dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.442090,3.297954,0.000060,0.002415,0.048305,0.966099,0.000561
0.050000,1.442105,3.297954,0.000075,0.000289,-0.042534,-1.816777,0.000516
0.050000,1.442137,3.297954,0.000107,0.000649,0.007212,0.994916,0.000415
0.050000,1.442195,3.297954,0.000165,0.001154,0.010091,0.057586,0.000235
0.050000,1.442529,3.297954,0.000500,0.006697,0.110859,2.015354,6.283140
0.050000,1.444833,3.297953,0.002803,0.046068,0.787420,13.531218,6.282736
0.050000,1.447968,3.297951,0.005938,0.062700,0.332640,-9.095596,6.282186
0.050000,1.452062,3.297946,0.010033,0.081887,0.383751,1.022224,6.281470
0.050000,1.457244,3.297934,0.015214,0.103631,0.434871,1.022403,6.280564
0.050000,1.463640,3.297914,0.021610,0.127924,0.485871,1.019991,6.279448
0.050000,1.471378,3.297880,0.029349,0.154767,0.536854,1.019661,6.278102
0.050000,1.480586,3.297826,0.038556,0.184157,0.587792,1.018761,6.276503
0.050000,1.491390,3.297743,0.049361,0.216086,0.638586,1.015876,6.274634
0.050000,1.503917,3.297623,0.061888,0.250552,0.689324,1.014761,6.272475
0.050000,1.518293,3.297451,0.076266,0.287549,0.739929,1.012100,6.270008
0.050000,1.534645,3.297213,0.092619,0.327067,0.790366,1.008745,6.267217
0.050000,1.553097,3.296889,0.111074,0.369100,0.840657,1.005819,6.264086
0.050000,1.573774,3.296458,0.131756,0.413639,0.890781,1.002471,6.260601
0.050000,1.596801,3.295893,0.154790,0.460670,0.940634,0.997060,6.256750
0.050000,1.622300,3.295165,0.180299,0.510184,0.990269,0.992714,6.252523
0.050000,1.650393,3.294239,0.208407,0.562164,1.039605,0.986706,6.247911
0.050000,1.681201,3.293074,0.239237,0.616596,1.088636,0.980621,6.242909
0.050000,1.714842,3.291627,0.272910,0.673460,1.137277,0.972819,6.237514
0.050000,1.751436,3.289848,0.309547,0.732737,1.185539,0.965241,6.231727
0.050000,1.791097,3.287683,0.349267,0.794403,1.233319,0.955612,6.225551
0.050000,1.833939,3.285069,0.392188,0.858434,1.280634,0.946290,6.218995
0.050000,1.880074,3.281943,0.438429,0.924803,1.327369,0.934709,6.212070
0.050000,1.929609,3.278232,0.488102,0.993478,1.373514,0.922892,6.204794
0.050000,1.982650,3.273862,0.541324,1.064429,1.419002,0.909757,6.197188
0.050000,2.039301,3.268751,0.598205,1.137618,1.463783,0.895625,6.189280
0.050000,2.099660,3.262816,0.658855,1.213007,1.507790,0.880144,6.181103
0.050000,2.163824,3.255969,0.723383,1.290557,1.550990,0.864004,6.172697
0.050000,2.231884,3.248120,0.791894,1.370223,1.593322,0.846638,6.164109
0.050000,2.303929,3.239179,0.864492,1.451960,1.634737,0.828291,6.155392
0.050000,2.379983,3.229065,0.941215,1.534467,1.650145,0.308166,6.146614
0.050000,2.460004,3.217707,1.022038,1.616455,1.639766,-0.207571,6.137857
0.050000,2.543949,3.205046,1.106933,1.697895,1.628803,-0.219276,6.129205
0.050000,2.631776,3.191029,1.195871,1.778760,1.617286,-0.230323,6.120749
0.050000,2.723440,3.175617,1.288822,1.859022,1.605240,-0.240939,6.112582
0.050000,2.818900,3.158782,1.385755,1.938656,1.592686,-0.251062,6.104802
0.050000,2.918114,3.140513,1.486637,2.017638,1.579646,-0.260818,6.097511
