dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.442270,2.977025,0.000060,0.002415,0.048305,0.966099,0.000561
0.050000,1.442270,2.977025,0.000302,0.007246,0.096610,0.966099,0.000516
0.050000,1.442270,2.977025,0.000845,0.014491,0.144915,0.966099,0.000415
0.050000,1.442270,2.977025,0.001811,0.024152,0.193220,0.966099,0.000235
0.050000,1.442515,2.977025,0.003321,0.036229,0.241525,0.966099,6.283140
0.050000,1.444689,2.977024,0.005495,0.050720,0.289830,0.966099,6.282736
0.050000,1.447647,2.977022,0.008453,0.067627,0.338135,0.966099,6.282186
0.050000,1.451512,2.977017,0.012318,0.086949,0.386440,0.966099,6.281470
0.050000,1.456403,2.977006,0.017209,0.108686,0.434745,0.966099,6.280564
0.050000,1.462441,2.976987,0.023247,0.132839,0.483050,0.966099,6.279448
0.050000,1.469747,2.976955,0.030553,0.159406,0.531355,0.966099,6.278102
0.050000,1.478441,2.976904,0.039248,0.188389,0.579660,0.966099,6.276503
0.050000,1.488646,2.976826,0.049452,0.219788,0.627965,0.966099,6.274634
0.050000,1.500480,2.976712,0.061287,0.253601,0.676270,0.966099,6.272475
0.050000,1.514065,2.976550,0.074873,0.289830,0.724575,0.966099,6.270008
0.050000,1.529521,2.976325,0.090330,0.328474,0.772880,0.966099,6.267217
0.050000,1.546968,2.976019,0.107780,0.369533,0.821185,0.966099,6.264086
0.050000,1.566527,2.975611,0.127344,0.413008,0.869490,0.966099,6.260601
0.050000,1.588318,2.975077,0.149142,0.458897,0.917795,0.966099,6.256750
0.050000,1.612461,2.974387,0.173294,0.507202,0.966099,0.966099,6.252523
0.050000,1.639075,2.973509,0.199922,0.557922,1.014404,0.966099,6.247911
0.050000,1.668278,2.972405,0.229147,0.611058,1.062709,0.966099,6.242909
0.050000,1.700190,2.971033,0.261088,0.666609,1.111014,0.966099,6.237514
0.050000,1.734929,2.969344,0.295868,0.724575,1.159319,0.966099,6.231727
0.050000,1.772611,2.967286,0.333606,0.784956,1.207624,0.966099,6.225551
0.050000,1.813353,2.964801,0.374424,0.847752,1.255929,0.966099,6.218995
0.050000,1.857270,2.961825,0.418442,0.912964,1.304234,0.966099,6.212070
0.050000,1.904476,2.958289,0.465781,0.980591,1.352539,0.966099,6.204794
0.050000,1.955085,2.954119,0.516561,1.050633,1.400844,0.966099,6.197188
0.050000,2.009208,2.949236,0.570904,1.123091,1.449149,0.966099,6.189280
0.050000,2.066956,2.943558,0.628931,1.197963,1.497454,0.966099,6.181103
0.050000,2.128437,2.936997,0.690761,1.275251,1.545759,0.966099,6.172697
0.050000,2.193759,2.929464,0.756516,1.354955,1.594064,0.966099,6.164109
0.050000,2.263028,2.920867,0.826317,1.437073,1.642369,0.966099,6.155392
0.050000,2.336290,2.911124,0.900224,1.519191,1.642369,0.000000,6.146614
0.050000,2.413528,2.900161,0.978236,1.601310,1.642369,0.000000,6.137857
0.050000,2.494728,2.887914,1.060355,1.683428,1.642369,-0.000000,6.129205
0.050000,2.579874,2.874325,1.146579,1.765547,1.642369,0.000000,6.120749
0.050000,2.668954,2.859347,1.236909,1.847665,1.642369,0.000000,6.112582
0.050000,2.761955,2.842946,1.331345,1.929784,1.642369,-0.000000,6.104802
0.050000,2.858867,2.825101,1.429888,2.011902,1.642369,0.000000,6.097511
0.050000,2.959685,2.805805,1.532536,2.094021,1.642369,0.000000,6.090813
0.050000,3.064407,2.785073,1.639290,2.176139,1.642369,-0.000000,6.084819
0.050000,3.173033,2.762935,1.750150,2.258258,1.642369,0.000000,6.079640
0.050000,3.285574,2.739446,1.865115,2.340376,1.642369,0.000000,6.075393
0.050000,3.402042,2.714683,1.984187,2.422494,1.642369,-0.000000,6.072198
0.050000,3.522460,2.688752,2.107365,2.504613,1.642369,0.000000,6.070181
0.050000,3.646854,2.661786,2.234648,2.586731,1.642369,0.000000,6.069470
0.050000,3.775261,2.633950,2.366038,2.668850,1.642369,-0.000000,6.070200
0.050000,3.907724,2.605445,2.501533,2.750968,1.642369,0.000000,6.072512
0.050000,4.044294,2.576508,2.641135,2.833087,1.642369,-0.000000,6.076551
0.050000,4.185026,2.547420,2.784842,2.915205,1.642369,0.000000,6.082469
0.050000,4.329983,2.518504,2.932655,2.997324,1.642369,0.000000,6.090423
0.050000,4.475879,2.490110,3.084575,3.079442,1.642369,-0.000000,6.064657
0.050000,4.625736,2.446983,3.240600,3.161561,1.642369,0.000000,5.949363
0.050000,4.774676,2.388281,3.400731,3.243679,1.642369,-0.000000,5.871520
0.050000,4.923271,2.318372,3.564967,3.325797,1.642369,-0.000000,5.819111
0.050000,5.072388,2.240265,3.733310,3.407916,1.642369,0.000000,5.785048
0.050000,5.222967,2.156218,3.905759,3.490034,1.642369,-0.000000,5.765436
0.050000,5.375986,2.068147,4.082314,3.572153,1.642369,0.000000,5.758516
0.050000,5.532506,1.977927,4.262974,3.654271,1.642369,0.000000,5.764236
0.050000,5.693689,1.887729,4.447681,3.733975,1.594064,-0.966099,5.784359
0.050000,5.860891,1.800434,4.636311,3.811262,1.545759,-0.966099,5.823225
0.050000,6.035820,1.720325,4.828746,3.886135,1.497454,-0.966099,5.889794
0.050000,6.220489,1.654602,5.024865,3.958593,1.449149,-0.966099,6.002408
0.050000,6.416197,1.616597,5.224545,4.028635,1.400844,-0.966099,6.198069
0.050000,6.617916,1.630389,5.427668,4.096262,1.352539,-0.966099,0.245941
0.050000,6.801697,1.720946,5.634111,4.161474,1.304234,-0.966099,0.668267
0.050000,6.939980,1.877235,5.843755,4.224270,1.255929,-0.966099,0.999415
0.050000,7.034539,2.067384,6.056478,4.284651,1.207624,-0.966099,1.201546
0.050000,7.098686,2.273158,6.272159,4.342617,1.159319,-0.966099,1.326136
0.050000,7.142235,2.487232,6.490679,4.398168,1.111014,-0.966099,1.408774
0.050000,7.171157,2.706536,6.711916,4.451303,1.062709,-0.966099,1.467395
0.050000,7.189148,2.929627,6.935749,4.502024,1.014404,-0.966099,1.511217
0.050000,7.198613,3.155728,7.162058,4.550329,0.966099,-0.966099,1.545314
0.050000,7.201169,3.353215,7.390721,4.596218,0.917795,-0.966099,4.705715
0.050000,7.185655,3.122992,7.621619,4.639693,0.869490,-0.966099,4.580278
0.050000,7.138072,2.895118,7.854630,4.680752,0.821185,-0.966099,4.429016
0.050000,7.053793,2.676049,8.089634,4.719396,0.772880,-0.966099,4.259716
0.050000,6.932495,2.472917,8.326510,4.755625,0.724575,-0.966099,4.090488
0.050000,6.779138,2.290382,8.565136,4.789438,0.676270,-0.966099,3.941748
0.050000,6.601667,2.128634,8.805393,4.820836,0.627965,-0.966099,3.825576
0.050000,6.407864,1.984208,9.047159,4.849819,0.579660,-0.966099,3.744215
0.050000,6.203898,1.851881,9.290315,4.876387,0.531355,-0.966099,3.695142
0.050000,5.994427,1.725935,9.534738,4.900540,0.483050,-0.966099,3.675484
0.050000,5.783273,1.600561,9.780308,4.922277,0.434745,-0.966099,3.684050
0.050000,5.574207,1.469816,10.026905,4.941599,0.386440,-0.966099,3.721957
0.050000,5.371776,1.327500,10.274408,4.958506,0.338135,-0.966099,3.792515
0.050000,5.174926,1.186507,10.522695,4.972997,0.289830,-0.966099,3.733134
0.050000,4.964019,1.054316,10.771647,4.985073,0.241525,-0.966099,3.669456
0.050000,4.744544,0.935758,11.021142,4.994734,0.193220,-0.966099,3.604131
0.050000,4.517381,0.831674,11.271060,5.001980,0.144915,-0.966099,3.538405
0.050000,4.283622,0.742540,11.521280,5.006811,0.096610,-0.966099,3.473644
0.050000,4.044509,0.668421,11.771657,5.008294,0.029672,-1.338766,3.411206
0.050000,3.801378,0.608967,12.021988,5.004947,-0.066938,-1.932199,3.352307
0.050000,3.555487,0.563431,12.272092,4.999185,-0.115243,-0.966099,3.297909
0.050000,3.307905,0.530747,12.521847,4.991008,-0.163548,-0.966099,3.248667
0.050000,3.059534,0.509645,12.771132,4.980415,-0.211853,-0.966099,3.204960
0.050000,2.811093,0.498735,13.019828,4.967407,-0.260158,-0.966099,3.166934
0.050000,2.563129,0.496577,13.267812,4.951984,-0.308463,-0.966099,3.134570
0.050000,2.316037,0.501738,13.514966,4.934146,-0.356768,-0.966099,3.107737
0.050000,2.070090,0.512821,13.761167,4.913892,-0.405073,-0.966099,3.086248
0.050000,1.825466,0.528482,14.006295,4.891223,-0.453378,-0.966099,3.069898
0.050000,1.582271,0.547440,14.250229,4.866139,-0.501683,-0.966099,3.058487
0.050000,1.340566,0.568477,14.492848,4.838639,-0.549988,-0.966099,3.051843
0.050000,1.100382,0.590428,14.734032,4.808725,-0.598293,-0.966099,3.049823
0.050000,0.861744,0.612178,14.973660,4.776395,-0.646598,-0.966099,3.052325
0.050000,0.624676,0.632656,15.211611,4.741650,-0.694903,-0.966099,3.059279
0.050000,0.389223,0.650822,15.447765,4.704489,-0.743208,-0.966099,3.070649
0.050000,0.155462,0.665671,15.682000,4.664914,-0.791513,-0.966099,3.086421
0.050000,0.318549,0.655576,15.914196,4.622923,-0.839818,-0.966099,6.216355
0.050000,0.548016,0.639408,16.144232,4.578517,-0.888123,-0.966099,6.211425
0.050000,0.775228,0.623697,16.371987,4.531695,-0.936428,-0.966099,6.218934
0.050000,1.000233,0.611216,16.597341,4.482459,-0.984733,-0.966099,6.238677
0.050000,1.222957,0.604627,16.820172,4.430807,-1.033038,-0.966099,6.270654
0.050000,1.443120,0.606506,17.040361,4.376740,-1.081343,-0.966099,0.031740
0.050000,1.660139,0.619304,17.257786,4.320257,-1.129648,-0.966099,0.088190
0.050000,1.873064,0.645239,17.472326,4.261360,-1.177953,-0.966099,0.156217
0.050000,2.080560,0.686103,17.683862,4.200047,-1.226258,-0.966099,0.234393
0.050000,2.280979,0.743021,17.892271,4.136319,-1.274563,-0.966099,0.320264
0.050000,2.472559,0.816235,18.097433,4.070175,-1.322868,-0.966099,0.410445
0.050000,2.653693,0.905025,18.299228,4.001617,-1.371173,-0.966099,0.501116
0.050000,2.823198,1.007828,18.497534,3.930643,-1.419478,-0.966099,0.588737
0.050000,2.986902,1.107800,18.692232,3.857254,-1.467783,-0.966099,0.470831
0.050000,3.163289,1.180462,18.883199,3.781449,-1.516088,-0.966099,0.312791
0.050000,3.344762,1.225488,19.070316,3.703230,-1.564392,-0.966099,0.178069
0.050000,3.526418,1.248158,19.253462,3.622595,-1.612697,-0.966099,0.075439
0.050000,3.705329,1.254945,19.432539,3.540476,-1.642369,-0.593433,0.005311
0.050000,3.880262,1.251912,19.607510,3.458358,-1.642369,-0.000000,6.247600
0.050000,4.050951,1.244196,19.778374,3.376239,-1.642369,-0.000000,6.232396
0.050000,4.217512,1.236083,19.945133,3.294121,-1.642369,0.000000,6.240392
0.050000,4.380087,1.231251,20.107787,3.212002,-1.642369,-0.000000,6.270278
0.050000,4.538607,1.232970,20.266334,3.129884,-1.642369,0.000000,0.038354
0.050000,4.692609,1.244166,20.420775,3.047765,-1.642369,0.000000,0.110519
0.050000,4.841099,1.267305,20.571110,2.965647,-1.642369,0.000000,0.202062
0.050000,4.982557,1.304077,20.717340,2.883529,-1.642369,-0.000000,0.309222
