dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.442450,2.656096,0.000060,0.002415,0.048305,0.966099,0.000561
0.050000,1.442436,2.656096,0.000075,0.000289,-0.042534,-1.816777,0.000516
0.050000,1.442403,2.656096,0.000107,0.000649,0.007212,0.994916,0.000415
0.050000,1.442346,2.656096,0.000165,0.001154,0.010091,0.057586,0.000235
0.050000,1.442500,2.656096,0.000320,0.003093,0.038786,0.573886,6.283140
0.050000,1.444544,2.656095,0.002364,0.040882,0.755777,14.339827,6.282736
0.050000,1.447327,2.656093,0.005146,0.055648,0.295316,-9.209215,6.282186
0.050000,1.450961,2.656088,0.008780,0.072688,0.340801,0.909689,6.281470
0.050000,1.455561,2.656078,0.013381,0.092006,0.386360,0.911181,6.280564
0.050000,1.461241,2.656060,0.019061,0.113601,0.431898,0.910762,6.279448
0.050000,1.468115,2.656030,0.025935,0.137477,0.477530,0.912636,6.278102
0.050000,1.476297,2.655982,0.034117,0.163640,0.523255,0.914509,6.276503
0.050000,1.485901,2.655909,0.043721,0.192090,0.569014,0.915188,6.274634
0.050000,1.497043,2.655801,0.054863,0.222836,0.614918,0.918079,6.272475
0.050000,1.509836,2.655649,0.067657,0.255883,0.660934,0.920309,6.270008
0.050000,1.524396,2.655436,0.082219,0.291237,0.707070,0.922718,6.267217
0.050000,1.540839,2.655148,0.098664,0.328906,0.753389,0.926389,6.264086
0.050000,1.559280,2.654764,0.117109,0.368902,0.799922,0.930663,6.260601
0.050000,1.579836,2.654260,0.137671,0.411234,0.846631,0.934173,6.256750
0.050000,1.602622,2.653609,0.160467,0.455915,0.893622,0.939816,6.252523
0.050000,1.627756,2.652780,0.185615,0.502959,0.940885,0.945267,6.247911
0.050000,1.655356,2.651737,0.213234,0.552383,0.988488,0.952056,6.242909
0.050000,1.685538,2.650439,0.243444,0.604205,1.036429,0.958828,6.237514
0.050000,1.718421,2.648840,0.276366,0.658445,1.084801,0.967431,6.231727
0.050000,1.754125,2.646890,0.312123,0.715125,1.133598,0.975934,6.225551
0.050000,1.792766,2.644533,0.350836,0.774271,1.182925,0.986548,6.218995
0.050000,1.834466,2.641707,0.392632,0.835910,1.232777,0.997051,6.212070
0.050000,1.879344,2.638345,0.437635,0.900072,1.283244,1.009328,6.204794
0.050000,1.927520,2.634376,0.485975,0.966790,1.334366,1.022448,6.197188
0.050000,1.979116,2.629721,0.537780,1.036101,1.386202,1.036717,6.189280
0.050000,2.034252,2.624299,0.593182,1.108040,1.438792,1.051805,6.181103
0.050000,2.093050,2.618025,0.652314,1.182651,1.492207,1.068296,6.172697
0.050000,2.155634,2.610807,0.715313,1.259975,1.546487,1.085604,6.164109
0.050000,2.222127,2.602555,0.782316,1.340059,1.601680,1.103855,6.155392
0.050000,2.292596,2.593183,0.853405,1.421788,1.634579,0.657967,6.146614
0.050000,2.367052,2.582615,0.928607,1.504036,1.644965,0.207732,6.137857
0.050000,2.445506,2.570782,1.007949,1.586833,1.655929,0.219273,6.129205
0.050000,2.527973,2.557620,1.091459,1.670205,1.667451,0.230453,6.120749
0.050000,2.614467,2.543077,1.179168,1.754180,1.679504,0.241046,6.112582
0.050000,2.705009,2.527110,1.271107,1.838783,1.692063,0.251178,6.104802
0.050000,2.799621,2.509688,1.367309,1.924039,1.705107,0.260887,6.097511
0.050000,2.898328,2.490796,1.467808,2.009970,1.718627,0.270403,6.090813
0.050000,3.001162,2.470437,1.572638,2.096601,1.732612,0.279687,6.084819
0.050000,3.108160,2.448631,1.681836,2.183954,1.747071,0.289184,6.079640
0.050000,3.219366,2.425420,1.795438,2.272055,1.762017,0.298923,6.075393
0.050000,3.334832,2.400871,1.913485,2.360929,1.777480,0.309269,6.072198
0.050000,3.454616,2.375076,2.036015,2.450604,1.793497,0.320340,6.070181
0.050000,3.578787,2.348158,2.163070,2.541110,1.810116,0.332372,6.069470
0.050000,3.707424,2.320273,2.294694,2.632479,1.827387,0.345419,6.070200
0.050000,3.840612,2.291612,2.430932,2.724747,1.845358,0.359428,6.072512
0.050000,3.978450,2.262407,2.571829,2.817950,1.864066,0.374162,6.076551
0.050000,4.121042,2.232934,2.717436,2.912126,1.883519,0.389058,6.082469
0.050000,4.268502,2.203519,2.867801,3.007311,1.903685,0.403306,6.090423
0.050000,4.406304,2.176814,3.008167,2.807315,-3.999910,-118.071888,6.064657
0.050000,4.520581,2.143771,3.127126,2.379172,-8.562859,-91.258994,5.949363
0.050000,4.646261,2.094164,3.262241,2.702307,6.462692,300.511032,5.871520
0.050000,4.779625,2.031386,3.409642,2.948018,4.914234,-30.969166,5.819111
0.050000,4.919052,1.958337,3.567045,3.148072,4.001064,-18.263396,5.785048
0.050000,5.064131,1.877352,3.733198,3.323045,3.499477,-10.031743,5.765436
0.050000,5.215224,1.790386,3.907531,3.486671,3.272512,-4.539304,5.758516
0.050000,5.373336,1.699251,4.090028,3.649929,3.265162,-0.146988,5.764236
0.050000,5.540158,1.605907,4.281189,3.823221,3.465837,4.013500,5.784359
0.050000,5.718427,1.512859,4.482281,4.021837,3.972312,10.129496,5.823225
0.050000,5.912801,1.423911,4.696040,4.275190,5.067060,21.894950,5.889794
0.050000,6.131559,1.346241,4.928177,4.642737,7.350954,45.677883,6.002408
0.050000,6.388913,1.296829,5.190232,5.241106,11.967377,92.328473,6.198069
0.050000,6.696052,1.319117,5.498178,6.158923,18.356336,127.779167,0.245941
0.050000,7.000553,1.469050,5.837591,6.788249,12.586512,-115.396472,0.668267
0.050000,7.209931,1.703678,6.152058,6.289344,-9.978096,-451.292170,0.999415
0.050000,7.333837,1.951556,6.429179,5.542417,-14.938530,-99.208662,1.201546
0.050000,7.410058,2.195420,6.684677,5.109971,-8.648929,125.792017,1.326136
0.050000,7.458961,2.435461,6.929649,4.899439,-4.210640,88.765768,1.408774
0.050000,7.490372,2.673411,7.169663,4.800274,-1.983292,44.546973,1.467395
0.050000,7.509508,2.910517,7.407541,4.757550,-0.854481,22.576208,1.511217
0.050000,7.519438,3.147551,7.644782,4.744826,-0.254488,11.999871,1.545314
0.050000,6.880247,3.355357,8.316904,13.442451,173.952500,3484.139760,4.705715
0.050000,6.867523,3.165267,8.507420,3.810322,-192.642584,-7331.901688,4.580278
0.050000,6.829942,2.984848,8.691711,3.685817,-2.490099,3803.049705,4.429016
0.050000,6.765187,2.816414,8.872164,3.609063,-1.535081,19.100363,4.259716
0.050000,6.671652,2.659885,9.054511,3.646926,0.757276,45.847134,4.090488
0.050000,6.548883,2.513939,9.245226,3.814299,3.347459,51.803663,3.941748
0.050000,6.398877,2.377374,9.448085,4.057192,4.857861,30.208045,3.825576
0.050000,6.225960,2.248606,9.663681,4.311919,5.094534,4.733460,3.744215
0.050000,6.035182,2.124884,9.891064,4.547664,4.714903,-7.592623,3.695142
0.050000,5.831110,2.002201,10.129175,4.762211,4.290927,-8.479531,3.675484
0.050000,5.617596,1.875418,10.377493,4.966370,4.083180,-4.154941,3.684050
0.050000,5.398232,1.738197,10.636240,5.174936,4.171330,1.763005,3.721957
0.050000,5.177319,1.582807,10.906331,5.401813,4.537540,7.324205,3.792515
0.050000,4.995963,1.452904,11.129412,4.461612,-18.804017,-466.831151,3.733134
0.050000,4.802371,1.331562,11.357888,4.569533,2.158413,419.248603,3.669456
0.050000,4.601338,1.222964,11.586378,4.569798,0.005296,-43.062332,3.604131
0.050000,4.393348,1.127666,11.815161,4.575661,0.117270,2.239471,3.538405
0.050000,4.179005,1.045938,12.044557,4.587920,0.245176,2.558132,3.473644
0.050000,3.959027,0.977756,12.274859,4.606034,0.362285,2.342180,3.411206
0.050000,3.734253,0.922798,12.506254,4.627905,0.437407,1.502426,3.352307
0.050000,3.505524,0.880447,12.738871,4.652334,0.488582,1.023502,3.297909
0.050000,3.273607,0.849838,12.972799,4.678560,0.524525,0.718855,3.248667
0.050000,3.039212,0.829930,13.208039,4.704796,0.524715,0.003803,3.204960
0.050000,2.802961,0.819560,13.444516,4.729556,0.495200,-0.590289,3.166934
0.050000,2.565382,0.817498,13.682104,4.751754,0.443958,-1.024835,3.134570
0.050000,2.326900,0.822483,13.920639,4.770691,0.378750,-1.304174,3.107737
0.050000,2.087843,0.833258,14.159939,4.786000,0.306175,-1.451501,3.086248
0.050000,1.848455,0.848586,14.399817,4.797559,0.231175,-1.499987,3.069898
0.050000,1.608911,0.867262,14.640087,4.805416,0.157154,-1.480435,3.058487
0.050000,1.369330,0.888114,14.880574,4.809731,0.086297,-1.417139,3.051843
0.050000,1.129793,0.910006,15.121110,4.810718,0.019746,-1.331016,3.049823
0.050000,0.890354,0.931830,15.361541,4.808615,-0.042075,-1.236419,3.052325
0.050000,0.651063,0.952498,15.601723,4.803650,-0.099295,-1.144399,3.059279
0.050000,0.411972,0.970944,15.841524,4.796025,-0.152507,-1.064241,3.070649
0.050000,0.173159,0.986112,16.080819,4.785887,-0.202758,-1.005013,3.086421
0.050000,0.297117,0.335364,16.743268,13.248980,169.261858,3389.292305,6.216355
0.050000,0.525006,0.319305,16.971721,4.569069,-173.598214,-6857.201436,6.211425
0.050000,0.754623,0.303431,17.201886,4.603296,0.684539,3485.655059,6.218934
0.050000,0.985953,0.290605,17.433572,4.633722,0.608530,-1.520171,6.238677
0.050000,1.218936,0.283724,17.666656,4.661680,0.559144,-0.987730,6.270654
0.050000,1.453304,0.285739,17.901033,4.687546,0.517338,-0.836116,0.031740
0.050000,1.688405,0.299623,18.136543,4.710204,0.453146,-1.283846,0.088190
0.050000,1.922995,0.328218,18.372870,4.726529,0.326506,-2.532802,0.156217
0.050000,2.155097,0.373950,18.609434,4.731280,0.095016,-4.629783,0.234393
0.050000,2.382013,0.438411,18.845329,4.717896,-0.267676,-7.253850,0.320264
0.050000,2.600615,0.521961,19.079353,4.680488,-0.748159,-9.609666,0.410445
0.050000,2.807869,0.623555,19.310168,4.616297,-1.283829,-10.713397,0.501116
0.050000,3.001413,0.740929,19.536522,4.527074,-1.784457,-10.012557,0.588737
0.050000,3.132484,0.821791,19.690529,3.080149,-28.938496,-543.080775,0.470831
0.050000,3.262044,0.875105,19.830630,2.802015,-5.562669,467.516531,0.312791
0.050000,3.401608,0.909633,19.974402,2.875435,1.468398,140.621344,0.178069
0.050000,3.550606,0.928142,20.124544,3.002849,2.548274,21.597527,0.075439
0.050000,3.707034,0.934020,20.281083,3.130774,2.558493,0.204384,0.005311
0.050000,3.868844,0.931186,20.442917,3.236693,2.118380,-8.802269,6.247600
0.050000,4.034658,0.923681,20.608901,3.319678,1.659711,-9.173377,6.232396
0.050000,4.203782,0.915447,20.778226,3.386492,1.336270,-6.468817,6.240392
0.050000,4.375945,0.910349,20.950464,3.444759,1.165341,-3.418578,6.270278
0.050000,4.550913,0.912277,21.125443,3.499585,1.096518,-1.376468,0.038354
0.050000,4.728005,0.925195,21.303006,3.551250,1.033304,-1.264280,0.110519
0.050000,4.905507,0.952905,21.482657,3.593025,0.835502,-3.956034,0.202062
0.050000,5.080222,0.998369,21.663190,3.610670,0.352905,-9.651954,0.309222
0.050000,5.247639,1.062690,21.842538,3.586957,-0.474257,-16.543239,0.425528
0.050000,5.403037,1.144418,22.018117,3.511576,-1.507629,-20.667441,0.542882
0.050000,5.526126,1.224734,22.165092,2.939495,-11.441627,-198.679958,0.591246
0.050000,5.636410,1.299580,22.298376,2.665678,-5.476330,119.305946,0.602086
0.050000,5.743531,1.374349,22.429010,2.612678,-1.060010,88.326393,0.617465
0.050000,5.847116,1.449388,22.556919,2.558186,-1.089828,-0.596342,0.637150
0.050000,5.946822,1.524975,22.682037,2.502364,-1.116448,-0.532406,0.660935
0.050000,6.042317,1.601318,22.804297,2.445203,-1.143211,-0.535270,0.688611
0.050000,6.133282,1.678548,22.923625,2.386552,-1.173017,-0.596115,0.719946
0.050000,6.219408,1.756709,23.039930,2.326108,-1.208888,-0.717412,0.754661
0.050000,6.300402,1.835753,23.153103,2.263458,-1.252996,-0.882158,0.792412
0.050000,6.375999,1.915530,23.263009,2.198111,-1.306940,-1.078882,0.832778
0.050000,6.445972,1.995788,23.369486,2.129549,-1.371252,-1.286254,0.875258
0.050000,6.510153,2.076175,23.472351,2.057302,-1.444929,-1.473535,0.919277
0.050000,6.568448,2.156254,23.571402,1.981022,-1.525611,-1.613631,0.964206
0.050000,6.620855,2.235523,23.666429,1.900537,-1.609697,-1.681734,1.009388
0.050000,6.667469,2.313439,23.757224,1.815891,-1.692906,-1.664170,1.054175
0.050000,6.708482,2.389448,23.843591,1.727351,-1.770802,-1.557923,1.097960
0.050000,6.744190,2.463038,23.925387,1.635920,-1.828621,-1.156388,1.140218
0.050000,6.774986,2.533809,24.002569,1.543634,-1.845731,-0.342194,1.180557
0.050000,6.801319,2.601466,24.075169,1.452011,-1.832453,0.265561,1.218702
0.050000,6.823651,2.665783,24.143253,1.361672,-1.806780,0.513455,1.254479
0.050000,6.842442,2.726604,24.206911,1.273150,-1.770447,0.726664,1.287793
0.050000,6.858132,2.783837,24.266255,1.186896,-1.725082,0.907296,1.318623
0.050000,6.871135,2.837445,24.321418,1.103252,-1.672878,1.044087,1.346999
0.050000,6.881831,2.887438,24.372543,1.022492,-1.615202,1.153511,1.372994
0.050000,6.890563,2.933863,24.419781,0.944778,-1.554275,1.218551,1.396707
0.050000,6.897636,2.976796,24.463294,0.870243,-1.490701,1.271470,1.418256
0.050000,6.903320,3.016336,24.503240,0.798926,-1.426326,1.287508,1.437769
0.050000,6.907847,3.052598,24.539784,0.730875,-1.361030,1.305913,1.455376
0.050000,6.911420,3.085710,24.573087,0.666073,-1.296037,1.299862,1.471208
0.050000,6.914211,3.115805,24.603312,0.604496,-1.231534,1.290068,1.485392
0.050000,6.916368,3.143027,24.630618,0.546128,-1.167372,1.283233,1.498051
0.050000,6.918014,3.167517,24.655164,0.490918,-1.104191,1.263615,1.509300
0.050000,6.919253,3.189423,24.677106,0.438824,-1.041886,1.246110,1.519249
0.050000,6.920172,3.208892,24.696596,0.389805,-0.980384,1.230032,1.528001
0.050000,6.920842,3.226070,24.713787,0.343828,-0.919535,1.216985,1.535654
0.050000,6.921320,3.241105,24.728829,0.300841,-0.859741,1.195889,1.542296
0.050000,6.921654,3.254142,24.741870,0.260825,-0.800310,1.188614,1.548015
0.050000,6.921882,3.265327,24.753058,0.223745,-0.741609,1.174018,1.552892
0.050000,6.922032,3.274804,24.762536,0.189562,-0.683659,1.158993,1.557001
0.050000,6.922128,3.282716,24.770449,0.158257,-0.626099,1.151201,1.560417
0.050000,6.922186,3.289207,24.776940,0.129829,-0.568553,1.150924,1.563208
0.050000,6.922220,3.294419,24.782152,0.104245,-0.511680,1.137468,1.565443
0.050000,6.922238,3.298493,24.786226,0.081481,-0.455295,1.127687,1.567185
0.050000,6.922247,3.301571,24.789304,0.061550,-0.398604,1.133827,1.568499
0.050000,6.922251,3.303792,24.791526,0.044435,-0.342312,1.125849,1.569446
0.050000,6.922253,3.305298,24.793031,0.030107,-0.286565,1.114942,1.570087
0.050000,6.922253,3.306228,24.793961,0.018604,-0.230047,1.130361,1.570483
0.050000,6.922253,3.306723,24.794456,0.009893,-0.174222,1.116485,1.570693
0.050000,6.922253,3.306921,24.794655,0.003977,-0.118312,1.118205,1.570778
