dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,7.482929,3.291520,0.000059,0.002354,0.047078,0.941565,4.714010
0.050000,7.482929,3.291497,0.000082,0.000457,-0.037943,-1.700421,4.713938
0.050000,7.482929,3.291446,0.000133,0.001028,0.011426,0.987365,4.713778
0.050000,7.482929,3.291354,0.000225,0.001829,0.016013,0.091747,4.713493
0.050000,7.482929,3.291211,0.000368,0.002860,0.020627,0.092274,4.713048
0.050000,7.482929,3.291005,0.000574,0.004124,0.025283,0.093138,4.712405
0.050000,7.482928,3.287892,0.003687,0.062268,1.162884,22.752008,4.711528
0.050000,7.482922,3.283757,0.007822,0.082696,0.408547,-15.086741,4.710378
0.050000,7.482907,3.278521,0.013058,0.104717,0.440432,0.637712,4.708914
0.050000,7.482879,3.272052,0.019527,0.129389,0.493425,1.059844,4.707094
0.050000,7.482829,3.264218,0.027361,0.156682,0.545875,1.049009,4.704872
0.050000,7.482746,3.254888,0.036691,0.186600,0.598351,1.049516,4.702202
0.050000,7.482617,3.243926,0.047654,0.219252,0.653036,1.093708,4.699030
0.050000,7.482423,3.231195,0.060387,0.254666,0.708286,1.105001,4.695297
0.050000,7.482141,3.216558,0.075027,0.292786,0.762398,1.082237,4.690940
0.050000,7.481743,3.199941,0.091648,0.332431,0.792893,0.609888,4.685907
0.050000,7.481197,3.181334,0.110263,0.372304,0.797465,0.091450,4.680160
0.050000,7.480466,3.160720,0.130890,0.412537,0.804660,0.143891,4.673651
0.050000,7.479506,3.138088,0.153543,0.453054,0.810337,0.113538,4.666328
0.050000,7.478268,3.113421,0.178241,0.493962,0.818161,0.156481,4.658128
0.050000,7.476694,3.086696,0.205012,0.535414,0.829046,0.217706,4.648978
0.050000,7.474719,3.057898,0.233878,0.577321,0.838152,0.182115,4.638794
0.050000,7.472266,3.026999,0.264874,0.619926,0.852083,0.278634,4.627478
0.050000,7.469248,2.993978,0.298033,0.663178,0.865057,0.259475,4.614920
0.050000,7.465563,2.958802,0.333401,0.707368,0.883787,0.374595,4.600984
0.050000,7.461093,2.921447,0.371023,0.752428,0.901211,0.348493,4.585522
0.050000,7.455703,2.881877,0.410958,0.798712,0.925669,0.489158,4.568356
0.050000,7.449234,2.840063,0.453270,0.846229,0.950340,0.493419,4.549281
0.050000,7.441500,2.795969,0.498036,0.895336,0.982133,0.635850,4.528058
0.050000,7.432285,2.749565,0.545347,0.946210,1.017497,0.707280,4.504413
0.050000,7.421333,2.700828,0.595300,0.999051,1.056817,0.786399,4.478030
0.050000,7.408344,2.649738,0.648014,1.054296,1.104897,0.961606,4.448543
0.050000,7.392967,2.596300,0.703620,1.112122,1.156512,1.032299,4.415544
0.050000,7.374790,2.540544,0.762265,1.172883,1.215234,1.174436,4.378577
0.050000,7.353335,2.482545,0.824105,1.236808,1.278500,1.265316,4.337151
0.050000,7.328055,2.422450,0.889301,1.303917,1.342165,1.273301,4.290765
0.050000,7.298339,2.360506,0.958004,1.374063,1.402932,1.215349,4.238944
0.050000,7.263534,2.297099,1.030336,1.446632,1.451380,0.968946,4.181310
0.050000,7.222983,2.232799,1.106354,1.520365,1.474660,0.465609,4.117683
0.050000,7.176101,2.168396,1.186014,1.593199,1.456670,-0.359806,4.048199
0.050000,7.122469,2.104904,1.269126,1.662247,1.380965,-1.514097,3.973447
0.050000,7.061946,2.043518,1.355331,1.724097,1.236993,-2.879436,3.894552
0.050000,6.994760,1.985509,1.444094,1.775268,1.023429,-4.271290,3.813178
0.050000,6.921527,1.932056,1.534760,1.813315,0.760943,-5.249718,3.731376
0.050000,6.843179,1.884079,1.626631,1.837412,0.481930,-5.580261,3.651323
0.050000,6.760814,1.842119,1.719068,1.848737,0.226515,-5.108298,3.575013
0.050000,6.675524,1.806317,1.811568,1.850010,0.025450,-4.021289,3.504015
0.050000,6.588255,1.776468,1.903800,1.844642,-0.107364,-2.656280,3.439364
0.050000,6.499743,1.752131,1.995597,1.835929,-0.174261,-1.337936,3.381583
0.050000,6.410504,1.732734,2.086920,1.826464,-0.189291,-0.300617,3.330787
0.050000,6.320865,1.717654,2.177819,1.817981,-0.169654,0.392750,3.286821
0.050000,6.231011,1.706273,2.268390,1.811432,-0.130982,0.773434,3.249382
0.050000,6.141033,1.698002,2.358748,1.807150,-0.085645,0.906734,3.218117
0.050000,6.050962,1.692289,2.449000,1.805031,-0.042371,0.865498,3.192687
0.050000,5.960802,1.688617,2.539234,1.804691,-0.006813,0.711158,3.172814
0.050000,5.870549,1.686494,2.629512,1.805559,0.017368,0.483610,3.158310
0.050000,5.780210,1.685440,2.719858,1.806916,0.027133,0.195311,3.149096
0.050000,5.689815,1.684977,2.810254,1.807926,0.020208,-0.138504,3.145226
0.050000,5.599435,1.684616,2.900634,1.807601,-0.006513,-0.534420,3.146908
0.050000,5.509200,1.683839,2.990873,1.804768,-0.056655,-1.002845,3.154533
0.050000,5.419317,1.682091,3.080772,1.797997,-0.135426,-1.575422,3.168711
0.050000,5.330157,1.678769,3.169994,1.784442,-0.271086,-2.713198,3.190316
0.050000,5.242282,1.673225,3.258045,1.761002,-0.468814,-3.954555,3.220518
0.050000,5.156429,1.664776,3.344312,1.725357,-0.712885,-4.881416,3.260850
0.050000,5.073548,1.652741,3.428063,1.675006,-1.007025,-5.882797,3.313233
0.050000,4.994811,1.636499,3.508457,1.607892,-1.342290,-6.705311,3.379906
0.050000,4.921542,1.615586,3.584652,1.523895,-1.679936,-6.752917,3.463127
0.050000,4.832858,1.584693,3.678563,1.878226,7.086631,175.331347,3.479282
0.050000,4.735124,1.550172,3.782215,2.073024,3.895954,-63.813553,3.482886
0.050000,4.636643,1.515014,3.886783,2.091374,0.366989,-70.579289,3.486016
0.050000,4.537507,1.479300,3.992156,2.107448,0.321491,-0.909971,3.488658
0.050000,4.437810,1.443113,4.098217,2.121234,0.275726,-0.915300,3.490802
0.050000,4.337642,1.406540,4.204853,2.132719,0.229696,-0.920601,3.492441
0.050000,4.237094,1.369671,4.311948,2.141889,0.183402,-0.925868,3.493568
0.050000,4.136271,1.332603,4.419369,2.148417,0.130556,-1.056925,3.494179
0.050000,4.035336,1.295452,4.526924,2.151110,0.053861,-1.533911,3.494272
0.050000,3.934434,1.258332,4.634437,2.150262,-0.016965,-1.416514,3.493850
0.050000,3.833658,1.221337,4.741789,2.147033,-0.064571,-0.952110,3.492915
0.050000,3.733103,1.184558,4.848859,2.141412,-0.112433,-0.957254,3.491475
0.050000,3.632862,1.148086,4.955529,2.133384,-0.160554,-0.962403,3.489536
0.050000,3.533034,1.112010,5.061676,2.122937,-0.208933,-0.967588,3.487110
0.050000,3.433716,1.076418,5.167178,2.110059,-0.257569,-0.972727,3.484209
0.050000,3.335009,1.041394,5.271915,2.094735,-0.306470,-0.978023,3.480846
0.050000,3.237016,1.007018,5.375763,2.076954,-0.355632,-0.983235,3.477038
0.050000,3.139842,0.973367,5.478598,2.056701,-0.405059,-0.988546,3.472804
0.050000,3.043596,0.940516,5.580296,2.033963,-0.454749,-0.993782,3.468163
0.050000,2.948389,0.908532,5.680733,2.008728,-0.504699,-0.998999,3.463138
0.050000,2.854333,0.877479,5.779782,1.980983,-0.554912,-1.004274,3.457753
0.050000,2.761546,0.847415,5.877317,1.950714,-0.605374,-1.009235,3.452035
0.050000,2.670133,0.818388,5.973229,1.918231,-0.649664,-0.885800,3.446011
0.050000,2.580141,0.790423,6.067465,1.884727,-0.670083,-0.408378,3.439706
0.050000,2.491582,0.763526,6.160019,1.851080,-0.672924,-0.056831,3.433142
0.050000,2.404464,0.737701,6.250884,1.817294,-0.675738,-0.056275,3.426341
0.050000,2.318800,0.712951,6.340052,1.783367,-0.678538,-0.055990,3.419324
0.050000,2.234601,0.689271,6.427517,1.749301,-0.681309,-0.055421,3.412114
0.050000,2.151881,0.666658,6.513272,1.715098,-0.684055,-0.054931,3.404731
0.050000,2.070655,0.645102,6.597310,1.680760,-0.686774,-0.054372,3.397197
0.050000,1.990936,0.624594,6.679625,1.646287,-0.689460,-0.053722,3.389533
0.050000,1.912741,0.605120,6.760209,1.611681,-0.692112,-0.053046,3.381760
0.050000,1.836084,0.586665,6.839056,1.576945,-0.694722,-0.052189,3.373897
0.050000,1.760981,0.569210,6.916160,1.542081,-0.697291,-0.051384,3.365965
0.050000,1.687450,0.552736,6.991514,1.507090,-0.699807,-0.050327,3.357984
0.050000,1.615505,0.537221,7.065113,1.471976,-0.702278,-0.049413,3.349972
0.050000,1.545163,0.522640,7.136950,1.436743,-0.704673,-0.047908,3.341948
0.050000,1.476440,0.508969,7.207020,1.401391,-0.707031,-0.047162,3.333931
0.050000,1.409351,0.496181,7.275316,1.365925,-0.709312,-0.045611,3.325939
0.050000,1.343913,0.484248,7.341834,1.330350,-0.711501,-0.043779,3.317988
0.050000,1.280140,0.473139,7.406567,1.294668,-0.713652,-0.043011,3.310095
0.050000,1.218047,0.462825,7.469511,1.258883,-0.715692,-0.040803,3.302277
