dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,7.162000,3.291000,0.000059,0.002354,0.047078,0.941565,4.714010
0.050000,7.162000,3.291000,0.000294,0.007062,0.094157,0.941565,4.713938
0.050000,7.162000,3.291000,0.000824,0.014123,0.141235,0.941565,4.713778
0.050000,7.162000,3.291000,0.001765,0.023539,0.188313,0.941565,4.713493
0.050000,7.162000,3.291000,0.003237,0.035309,0.235391,0.941565,4.713048
0.050000,7.162000,3.291000,0.005355,0.049432,0.282470,0.941565,4.712405
0.050000,7.161999,3.288168,0.008239,0.065910,0.329548,0.941565,4.711528
0.050000,7.161993,3.284403,0.012005,0.084741,0.376626,0.941565,4.710378
0.050000,7.161980,3.279636,0.016772,0.105926,0.423704,0.941565,4.708914
0.050000,7.161955,3.273751,0.022656,0.129465,0.470783,0.941565,4.707094
0.050000,7.161909,3.266630,0.029777,0.155358,0.517861,0.941565,4.704872
0.050000,7.161834,3.258157,0.038251,0.183605,0.564939,0.941565,4.702202
0.050000,7.161717,3.248214,0.048196,0.214206,0.612018,0.941565,4.699030
0.050000,7.161541,3.236680,0.059731,0.247161,0.659096,0.941565,4.695297
0.050000,7.161286,3.223441,0.072971,0.282470,0.706174,0.941565,4.690940
0.050000,7.160927,3.208439,0.087978,0.317778,0.706174,0.000000,4.685907
0.050000,7.160435,3.191675,0.104749,0.353087,0.706174,0.000000,4.680160
0.050000,7.159777,3.173149,0.123286,0.388396,0.706174,0.000000,4.673651
0.050000,7.158917,3.152865,0.143589,0.423704,0.706174,0.000000,4.666328
0.050000,7.157811,3.130826,0.165657,0.459013,0.706174,0.000000,4.658128
0.050000,7.156410,3.107033,0.189490,0.494322,0.706174,0.000000,4.648978
0.050000,7.154659,3.081495,0.215089,0.529631,0.706174,-0.000000,4.638794
0.050000,7.152494,3.054216,0.242453,0.564939,0.706174,0.000000,4.627478
0.050000,7.149842,3.025209,0.271583,0.600248,0.706174,-0.000000,4.614920
0.050000,7.146623,2.994481,0.302478,0.635557,0.706174,0.000000,4.600984
0.050000,7.142744,2.962053,0.335138,0.670865,0.706174,-0.000000,4.585522
0.050000,7.138097,2.927941,0.369564,0.706174,0.706174,0.000000,4.568356
0.050000,7.132565,2.892177,0.405756,0.741483,0.706174,0.000000,4.549281
0.050000,7.126008,2.854792,0.443713,0.776791,0.706174,0.000000,4.528058
0.050000,7.118271,2.815830,0.483435,0.812100,0.706174,0.000000,4.504413
0.050000,7.109177,2.775354,0.524923,0.847409,0.706174,0.000000,4.478030
0.050000,7.098521,2.733435,0.568176,0.882718,0.706174,0.000000,4.448543
