dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,6.841071,3.290480,0.000059,0.002354,0.047078,0.941565,4.714010
0.050000,6.841071,3.290503,0.000082,0.000457,-0.037943,-1.700421,4.713938
0.050000,6.841071,3.290554,0.000133,0.001028,0.011426,0.987365,4.713778
0.050000,6.841071,3.290646,0.000225,0.001829,0.016013,0.091747,4.713493
0.050000,6.841071,3.290789,0.000368,0.002860,0.020627,0.092274,4.713048
0.050000,6.841071,3.290995,0.000574,0.004124,0.025283,0.093138,4.712405
0.050000,6.841070,3.288445,0.003124,0.051004,0.937596,18.246244,4.711528
0.050000,6.841065,3.285048,0.006520,0.067931,0.338545,-11.981017,4.710378
0.050000,6.841053,3.280752,0.010817,0.085926,0.359899,0.427074,4.708914
0.050000,6.841030,3.275451,0.016118,0.106023,0.401929,0.840601,4.707094
0.050000,6.840989,3.269042,0.022526,0.128167,0.442888,0.819192,4.704872
0.050000,6.840922,3.261427,0.030142,0.152321,0.483085,0.803935,4.702202
0.050000,6.840817,3.252501,0.039069,0.178527,0.524109,0.820490,4.699030
0.050000,6.840659,3.242165,0.049406,0.206746,0.564382,0.805456,4.695297
0.050000,6.840431,3.230324,0.061249,0.236859,0.602255,0.757448,4.690940
0.050000,6.840110,3.216937,0.074640,0.267827,0.619361,0.342124,4.685907
0.050000,6.839672,3.202017,0.089566,0.298525,0.613977,-0.107686,4.680160
0.050000,6.839089,3.185578,0.106016,0.328981,0.609112,-0.097296,4.673651
0.050000,6.838329,3.167642,0.123968,0.359043,0.601250,-0.157237,4.666328
0.050000,6.837355,3.148232,0.143403,0.388698,0.593086,-0.163275,4.658128
0.050000,6.836126,3.127370,0.164300,0.417949,0.585015,-0.161429,4.648978
0.050000,6.834599,3.105093,0.186630,0.446594,0.572899,-0.242306,4.638794
0.050000,6.832721,3.081434,0.210363,0.474668,0.561483,-0.228320,4.627478
0.050000,6.830437,3.056440,0.235461,0.501958,0.545804,-0.313586,4.614920
0.050000,6.827684,3.030160,0.261885,0.528479,0.530414,-0.307811,4.600984
0.050000,6.824394,3.002659,0.289582,0.553944,0.509314,-0.422001,4.585522
0.050000,6.820492,2.974006,0.318499,0.578342,0.487960,-0.427069,4.568356
0.050000,6.815895,2.944291,0.348567,0.601365,0.460448,-0.550240,4.549281
0.050000,6.810516,2.913614,0.379713,0.622906,0.430827,-0.592425,4.528058
0.050000,6.804258,2.882095,0.411847,0.642681,0.395495,-0.706630,4.504413
0.050000,6.797021,2.849880,0.444865,0.660373,0.353836,-0.833177,4.478030
0.050000,6.788698,2.817132,0.478655,0.675785,0.308242,-0.911884,4.448543
0.050000,6.779181,2.784047,0.513081,0.688529,0.254882,-1.067205,4.415544
0.050000,6.768363,2.750847,0.547999,0.698360,0.196626,-1.165117,4.378577
0.050000,6.756137,2.717782,0.583252,0.705054,0.133888,-1.254771,4.337151
0.050000,6.742407,2.685126,0.618677,0.708498,0.068871,-1.300337,4.290765
0.050000,6.727084,2.653164,0.654122,0.708902,0.008084,-1.215726,4.238944
0.050000,6.710084,2.622176,0.689466,0.706889,-0.040256,-0.966800,4.181310
0.050000,6.691324,2.592410,0.724652,0.703707,-0.063642,-0.467732,4.117683
0.050000,6.670692,2.564051,0.759722,0.701404,-0.046073,0.351375,4.048199
0.050000,6.648019,2.537199,0.794865,0.702864,0.029209,1.505640,3.973447
0.050000,6.623042,2.511861,0.830444,0.711577,0.174253,2.900895,3.894552
0.050000,6.595378,2.487979,0.866991,0.730945,0.387368,4.262299,3.813178
0.050000,6.564538,2.465480,0.905166,0.763499,0.651075,5.274141,3.731376
0.050000,6.529990,2.444342,0.945668,0.810028,0.930580,5.590094,3.651323
0.050000,6.491249,2.424628,0.989136,0.869368,1.186804,5.124473,3.575013
0.050000,6.447959,2.406480,1.036076,0.938792,1.388482,4.033558,3.504015
0.050000,6.399940,2.390079,1.086819,1.014859,1.521341,2.657193,3.439364
0.050000,6.347178,2.375593,1.141533,1.094284,1.588494,1.343050,3.381583
0.050000,6.289791,2.363138,1.200255,1.174456,1.603432,0.298766,3.330787
0.050000,6.227976,2.352755,1.262937,1.253628,1.583451,-0.399616,3.286821
0.050000,6.161959,2.344406,1.329480,1.330857,1.544574,-0.777542,3.249382
0.050000,6.091963,2.337981,1.399770,1.405812,1.499109,-0.909300,3.218117
0.050000,6.018181,2.333310,1.473700,1.478592,1.455602,-0.870146,3.192687
0.050000,5.940766,2.330163,1.551179,1.549582,1.419784,-0.716360,3.172814
0.050000,5.859820,2.328262,1.632147,1.619359,1.395558,-0.484517,3.158310
0.050000,5.775394,2.327280,1.716579,1.688634,1.385499,-0.201176,3.149096
0.050000,5.687482,2.326831,1.804491,1.758253,1.392377,0.137557,3.145226
0.050000,5.596023,2.326465,1.895951,1.829197,1.418877,0.530000,3.146908
0.050000,5.500895,2.325643,1.991083,1.902641,1.468870,0.999851,3.154533
0.050000,5.401913,2.323713,2.090084,1.980006,1.547304,1.568681,3.168711
0.050000,5.298896,2.319865,2.193173,2.061780,1.635475,1.763429,3.190316
0.050000,5.191675,2.313085,2.300608,2.148702,1.738449,2.059489,3.220518
0.050000,5.080063,2.302075,2.412761,2.243072,1.887409,2.979196,3.260850
0.050000,4.963919,2.285168,2.530130,2.347368,2.085913,3.970076,3.313233
0.050000,4.843291,2.260217,2.653311,2.463631,2.325253,4.786803,3.379906
0.050000,4.718701,2.224549,2.782907,2.591907,2.565517,4.805280,3.463127
0.050000,4.620205,2.190301,2.887187,2.085602,-10.126093,-253.832197,3.479282
0.050000,4.520290,2.155009,2.993151,2.119294,0.673837,215.998585,3.482886
0.050000,4.419917,2.119176,3.099729,2.131546,0.245040,-8.575933,3.486016
0.050000,4.319186,2.082887,3.206797,2.141365,0.196378,-0.973239,3.488658
0.050000,4.218195,2.046230,3.314235,2.148764,0.147986,-0.967845,3.490802
0.050000,4.117038,2.009297,3.421923,2.153757,0.099859,-0.962530,3.492441
0.050000,4.015811,1.972179,3.529741,2.156357,0.051995,-0.957281,3.493568
0.050000,3.914621,1.934975,3.637554,2.156261,-0.001913,-1.078173,3.494179
0.050000,3.813629,1.897804,3.745169,2.152309,-0.079052,-1.542771,3.494272
0.050000,3.712982,1.860778,3.852411,2.144835,-0.149462,-1.408196,3.493850
0.050000,3.612769,1.823989,3.959163,2.135035,-0.196015,-0.931062,3.492915
0.050000,3.513082,1.787528,4.065309,2.122919,-0.242311,-0.925922,3.491475
0.050000,3.414011,1.751481,4.170734,2.108502,-0.288349,-0.920765,3.489536
0.050000,3.315647,1.715935,4.275324,2.091795,-0.334129,-0.915603,3.487110
0.050000,3.218082,1.680971,4.378964,2.072813,-0.379647,-0.910342,3.484209
0.050000,3.121409,1.646668,4.481543,2.051568,-0.424906,-0.905181,3.480846
0.050000,3.025722,1.613101,4.582946,2.028073,-0.469900,-0.899885,3.477038
0.050000,2.931117,1.580340,4.683063,2.002341,-0.514633,-0.894656,3.472804
0.050000,2.837690,1.548450,4.781783,1.974386,-0.559100,-0.889353,3.468163
0.050000,2.745540,1.517493,4.878994,1.944221,-0.603304,-0.884072,3.463138
0.050000,2.654767,1.487524,4.974587,1.911858,-0.647251,-0.878943,3.457753
0.050000,2.565472,1.458591,5.068452,1.877311,-0.690935,-0.873672,3.452035
0.050000,2.477743,1.430734,5.160497,1.840901,-0.728214,-0.745593,3.446011
0.050000,2.391617,1.403970,5.250686,1.803787,-0.742273,-0.281183,3.439706
0.050000,2.307088,1.378297,5.339027,1.766815,-0.739435,0.056764,3.433142
0.050000,2.224156,1.353713,5.425526,1.729985,-0.736612,0.056457,3.426341
0.050000,2.142818,1.330213,5.510191,1.693294,-0.733819,0.055866,3.419324
0.050000,2.063075,1.307786,5.593028,1.656742,-0.731045,0.055491,3.412114
0.050000,1.984926,1.286422,5.674045,1.620327,-0.728297,0.054958,3.404731
0.050000,1.908374,1.266106,5.753247,1.584048,-0.725578,0.054381,3.397197
0.050000,1.833419,1.246824,5.830642,1.547903,-0.722890,0.053761,3.389533
0.050000,1.760065,1.228556,5.906237,1.511891,-0.720239,0.053018,3.381760
0.050000,1.688315,1.211281,5.980037,1.476010,-0.717624,0.052284,3.373897
0.050000,1.618171,1.194979,6.052050,1.440257,-0.715058,0.051330,3.365965
0.050000,1.549639,1.179625,6.122282,1.404630,-0.712536,0.050434,3.357984
0.050000,1.482721,1.165194,6.190738,1.369127,-0.710075,0.049223,3.349972
0.050000,1.417422,1.151658,6.257425,1.333744,-0.707656,0.048384,3.341948
0.050000,1.353745,1.138991,6.322349,1.298478,-0.705323,0.046666,3.333931
0.050000,1.291696,1.127164,6.385515,1.263326,-0.703046,0.045530,3.325939
0.050000,1.231279,1.116146,6.446930,1.228284,-0.700821,0.044498,3.317988
0.050000,1.172496,1.105906,6.506597,1.193349,-0.698704,0.042341,3.310095
0.050000,1.115353,1.096414,6.564523,1.158518,-0.696635,0.041390,3.302277
0.050000,1.059854,1.087638,6.620712,1.123784,-0.694676,0.039175,3.294548
0.050000,1.006001,1.079546,6.675169,1.089146,-0.692760,0.038327,3.286924
0.050000,0.953799,1.072105,6.727899,1.054596,-0.690993,0.035324,3.279418
0.050000,0.903251,1.065283,6.778906,1.020134,-0.689232,0.035233,3.272044
0.050000,0.854359,1.059047,6.828194,0.985755,-0.687593,0.032765,3.264814
0.050000,0.807127,1.053367,6.875766,0.951450,-0.686094,0.029983,3.257741
0.050000,0.761557,1.048209,6.921627,0.917221,-0.684581,0.030274,3.250836
0.050000,0.717651,1.043543,6.965780,0.883059,-0.683238,0.026848,3.244110
0.050000,0.675412,1.039336,7.008228,0.848963,-0.681920,0.026364,3.237573
0.050000,0.634841,1.035560,7.048975,0.814926,-0.680744,0.023511,3.231234
0.050000,0.595940,1.032184,7.088022,0.780948,-0.679561,0.023662,3.225101
0.050000,0.558710,1.029178,7.125373,0.747019,-0.678576,0.019710,3.219184
0.050000,0.523152,1.026515,7.161030,0.713139,-0.677607,0.019378,3.213490
0.050000,0.489268,1.024168,7.194995,0.679307,-0.676629,0.019567,3.208026
0.050000,0.457058,1.022109,7.227271,0.645513,-0.675883,0.014904,3.202797
0.050000,0.426523,1.020314,7.257859,0.611758,-0.675100,0.015663,3.197811
0.050000,0.397663,1.018759,7.286761,0.578040,-0.674372,0.014568,3.193073
0.050000,0.370478,1.017419,7.313978,0.544352,-0.673758,0.012270,3.188586
0.050000,0.344969,1.016273,7.339513,0.510694,-0.673150,0.012169,3.184357
0.050000,0.321136,1.015301,7.363366,0.477061,-0.672661,0.009769,3.180389
0.050000,0.298979,1.014482,7.385539,0.443450,-0.672223,0.008765,3.176686
0.050000,0.278497,1.013798,7.406032,0.409865,-0.671703,0.010411,3.173251
0.050000,0.259691,1.013232,7.424847,0.376295,-0.671389,0.006281,3.170088
0.050000,0.242560,1.012769,7.441984,0.342743,-0.671042,0.006936,3.167197
0.050000,0.227104,1.012393,7.457444,0.309208,-0.670698,0.006869,3.164583
0.050000,0.213323,1.012092,7.471228,0.275684,-0.670478,0.004414,3.162248
0.050000,0.201202,1.011854,7.483352,0.242468,-0.664323,0.123093,3.160189
0.050000,0.190670,1.011668,7.493886,0.210682,-0.635720,0.572056,3.158397
0.050000,0.181614,1.011523,7.502942,0.181132,-0.591013,0.894150,3.156855
0.050000,0.173924,1.011410,7.510634,0.153820,-0.546230,0.895655,3.155543
0.050000,0.167487,1.011324,7.517071,0.128746,-0.501482,0.894967,3.154444
0.050000,0.162192,1.011258,7.522366,0.105906,-0.456792,0.893798,3.153540
0.050000,0.157928,1.011209,7.526631,0.085299,-0.412141,0.893014,3.152810
0.050000,0.154581,1.011172,7.529977,0.066927,-0.367451,0.893795,3.152238
0.050000,0.152042,1.011146,7.532517,0.050790,-0.322737,0.894290,3.151803
0.050000,0.150198,1.011127,7.534361,0.036878,-0.278231,0.890122,3.151488
0.050000,0.148938,1.011115,7.535621,0.025205,-0.233466,0.895303,3.151272
0.050000,0.148150,1.011108,7.536409,0.015762,-0.188868,0.891942,3.151137
0.050000,0.147723,1.011103,7.536837,0.008549,-0.144255,0.892269,3.151064
0.050000,0.147544,1.011102,7.537015,0.003567,-0.099632,0.892464,3.151033
0.050000,0.147503,1.011101,7.537056,0.000817,-0.055004,0.892560,3.151026
0.050000,0.147503,1.011101,7.537056,0.000000,-0.016345,0.773185,3.151026
