dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.148166,1.010916,0.000058,0.002334,0.046690,0.933797,0.008832
0.050000,0.148152,1.010916,0.000072,0.000270,-0.041298,-1.759749,0.008874
0.050000,0.148122,1.010916,0.000102,0.000606,0.006737,0.960700,0.008968
0.050000,0.148068,1.010916,0.000156,0.001078,0.009424,0.053735,0.009136
0.050000,0.147984,1.010915,0.000240,0.001683,0.012098,0.053484,0.009398
0.050000,0.148273,1.010918,0.000529,0.005773,0.081807,1.394168,0.009775
0.050000,0.150968,1.010945,0.003224,0.053906,0.962662,17.617105,0.010288
0.050000,0.154488,1.010982,0.006745,0.070417,0.330221,-12.648820,0.010955
0.050000,0.158945,1.011033,0.011202,0.089136,0.374387,0.883320,0.011798
0.050000,0.164448,1.011101,0.016705,0.110068,0.418627,0.884796,0.012835
0.050000,0.171053,1.011189,0.023311,0.132115,0.440940,0.446270,0.014075
0.050000,0.178761,1.011304,0.031020,0.154179,0.441294,0.007067,0.015514
0.050000,0.187573,1.011447,0.039833,0.176266,0.441728,0.008688,0.017148
0.050000,0.197490,1.011627,0.049752,0.198377,0.442213,0.009697,0.018976
0.050000,0.208514,1.011847,0.060778,0.220515,0.442761,0.010956,0.020991
0.050000,0.220645,1.012115,0.072912,0.242683,0.443365,0.012086,0.023189
0.050000,0.233885,1.012438,0.086156,0.264885,0.444042,0.013534,0.025566
0.050000,0.248236,1.012823,0.100512,0.287124,0.444776,0.014687,0.028115
0.050000,0.263700,1.013279,0.115982,0.309402,0.445575,0.015985,0.030830
0.050000,0.280277,1.013814,0.132569,0.331723,0.446416,0.016821,0.033704
0.050000,0.297971,1.014438,0.150273,0.354091,0.447355,0.018774,0.036731
0.050000,0.316783,1.015159,0.169099,0.376508,0.448330,0.019507,0.039902
0.050000,0.336714,1.015988,0.189047,0.398976,0.449377,0.020924,0.043210
0.050000,0.357768,1.016934,0.210122,0.421500,0.450480,0.022062,0.046646
0.050000,0.379946,1.018009,0.232327,0.444083,0.451653,0.023463,0.050201
0.050000,0.403251,1.019223,0.255663,0.466726,0.452867,0.024286,0.053865
0.050000,0.427684,1.020587,0.280135,0.489434,0.454154,0.025741,0.057628
0.050000,0.453249,1.022111,0.305745,0.512210,0.455511,0.027130,0.061480
0.050000,0.479948,1.023808,0.332498,0.535055,0.456911,0.028011,0.065409
0.050000,0.507784,1.025687,0.360396,0.557974,0.458373,0.029234,0.069405
0.050000,0.536758,1.027761,0.389445,0.580968,0.459886,0.030258,0.073456
0.050000,0.566874,1.030039,0.419647,0.604042,0.461470,0.031674,0.077549
0.050000,0.598134,1.032533,0.451007,0.627195,0.463069,0.031983,0.081672
0.050000,0.630542,1.035254,0.483528,0.650434,0.464771,0.034041,0.085811
0.050000,0.664100,1.038211,0.517216,0.673758,0.466491,0.034399,0.089953
0.050000,0.698811,1.041415,0.552075,0.697172,0.468277,0.035725,0.094085
0.050000,0.734678,1.044874,0.588109,0.720676,0.470079,0.036032,0.098192
0.050000,0.771705,1.048598,0.625322,0.744275,0.471978,0.037994,0.102260
0.050000,0.809895,1.052595,0.663721,0.767969,0.473884,0.038107,0.106273
0.050000,0.849251,1.056873,0.703309,0.791761,0.475851,0.039346,0.110216
0.050000,0.889778,1.061437,0.744092,0.815655,0.477864,0.040268,0.114074
0.050000,0.931478,1.066295,0.786074,0.839650,0.479904,0.040797,0.117831
0.050000,0.974357,1.071451,0.829262,0.863750,0.482001,0.041935,0.121469
0.050000,1.018418,1.076909,0.873659,0.887957,0.484142,0.042821,0.124974
0.050000,1.063666,1.082671,0.919273,0.912272,0.486309,0.043339,0.128327
0.050000,1.110106,1.088740,0.966108,0.936700,0.488554,0.044896,0.131512
0.050000,1.157744,1.095115,1.014170,0.961241,0.490808,0.045078,0.134511
0.050000,1.206584,1.101795,1.063465,0.985896,0.493116,0.046171,0.137305
0.050000,1.256633,1.108777,1.113998,1.010671,0.495485,0.047371,0.139876
