dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.151000,0.690000,0.000058,0.002334,0.046690,0.933797,0.008832
0.050000,0.151000,0.690000,0.000292,0.007003,0.093380,0.933797,0.008874
0.050000,0.151000,0.690000,0.000817,0.014007,0.140070,0.933797,0.008968
0.050000,0.151000,0.690000,0.001751,0.023345,0.186759,0.933797,0.009136
0.050000,0.151000,0.690000,0.003210,0.035017,0.233449,0.933797,0.009398
0.050000,0.151410,0.690004,0.005311,0.049024,0.280139,0.933797,0.009775
0.050000,0.154269,0.690033,0.008171,0.065366,0.326829,0.933797,0.010288
0.050000,0.158004,0.690072,0.011906,0.084042,0.373519,0.933797,0.010955
0.050000,0.162731,0.690126,0.016633,0.105052,0.420209,0.933797,0.011798
0.050000,0.168567,0.690198,0.022469,0.128397,0.466898,0.933797,0.012835
0.050000,0.175570,0.690292,0.029473,0.151742,0.466898,-0.000000,0.014075
0.050000,0.183740,0.690413,0.037644,0.175087,0.466898,0.000000,0.015514
0.050000,0.193076,0.690566,0.046982,0.198432,0.466898,-0.000000,0.017148
0.050000,0.203580,0.690755,0.057487,0.221777,0.466898,0.000000,0.018976
0.050000,0.215250,0.690989,0.069159,0.245122,0.466898,-0.000000,0.020991
0.050000,0.228087,0.691272,0.081999,0.268467,0.466898,0.000000,0.023189
0.050000,0.242089,0.691614,0.096006,0.291812,0.466898,0.000000,0.025566
0.050000,0.257258,0.692021,0.111180,0.315156,0.466898,0.000000,0.028115
0.050000,0.273593,0.692503,0.127522,0.338501,0.466898,0.000000,0.030830
0.050000,0.291092,0.693067,0.145030,0.361846,0.466898,0.000000,0.033704
0.050000,0.309756,0.693725,0.163706,0.385191,0.466898,0.000000,0.036731
0.050000,0.329585,0.694485,0.183549,0.408536,0.466898,-0.000000,0.039902
0.050000,0.350577,0.695358,0.204560,0.431881,0.466898,0.000000,0.043210
0.050000,0.372733,0.696354,0.226738,0.455226,0.466898,0.000000,0.046646
0.050000,0.396050,0.697485,0.250082,0.478571,0.466898,-0.000000,0.050201
0.050000,0.420529,0.698760,0.274595,0.501916,0.466898,0.000000,0.053865
0.050000,0.446169,0.700191,0.300274,0.525261,0.466898,-0.000000,0.057628
0.050000,0.472968,0.701789,0.327121,0.548606,0.466898,0.000000,0.061480
0.050000,0.500925,0.703565,0.355135,0.571951,0.466898,0.000000,0.065409
0.050000,0.530040,0.705531,0.384316,0.595296,0.466898,0.000000,0.069405
0.050000,0.560311,0.707697,0.414664,0.618640,0.466898,-0.000000,0.073456
0.050000,0.591737,0.710074,0.446180,0.641985,0.466898,0.000000,0.077549
0.050000,0.624316,0.712674,0.478863,0.665330,0.466898,-0.000000,0.081672
0.050000,0.658048,0.715506,0.512713,0.688675,0.466898,0.000000,0.085811
0.050000,0.692930,0.718580,0.547730,0.712020,0.466898,0.000000,0.089953
0.050000,0.728961,0.721905,0.583915,0.735365,0.466898,0.000000,0.094085
0.050000,0.766141,0.725491,0.621267,0.758710,0.466898,-0.000000,0.098192
0.050000,0.804466,0.729346,0.659786,0.782055,0.466898,0.000000,0.102260
0.050000,0.843937,0.733477,0.699472,0.805400,0.466898,-0.000000,0.106273
0.050000,0.884551,0.737891,0.740326,0.828745,0.466898,0.000000,0.110216
0.050000,0.926308,0.742594,0.782347,0.852090,0.466898,0.000000,0.114074
0.050000,0.969206,0.747591,0.825535,0.875435,0.466898,0.000000,0.117831
0.050000,1.013244,0.752887,0.869890,0.898780,0.466898,-0.000000,0.121469
0.050000,1.058422,0.758483,0.915413,0.922124,0.466898,0.000000,0.124974
0.050000,1.104737,0.764381,0.962103,0.945469,0.466898,-0.000000,0.128327
0.050000,1.152191,0.770582,1.009960,0.968814,0.466898,0.000000,0.131512
0.050000,1.200782,0.777085,1.058984,0.992159,0.466898,0.000000,0.134511
0.050000,1.250511,0.783887,1.109176,1.015504,0.466898,-0.000000,0.137305
0.050000,1.301377,0.790983,1.160534,1.038849,0.466898,0.000000,0.139876
0.050000,1.353381,0.798368,1.213061,1.062194,0.466898,-0.000000,0.142207
0.050000,1.406524,0.806034,1.266754,1.085539,0.466898,0.000000,0.144276
0.050000,1.460808,0.813972,1.321614,1.108884,0.466898,0.000000,0.146065
0.050000,1.516233,0.822169,1.377642,1.132229,0.466898,0.000000,0.147554
0.050000,1.572801,0.830613,1.434837,1.155574,0.466898,0.000000,0.148722
0.050000,1.630515,0.839286,1.493200,1.178919,0.466898,-0.000000,0.149548
0.050000,1.689378,0.848171,1.552729,1.202264,0.466898,0.000000,0.150010
0.050000,1.749392,0.857247,1.613426,1.225608,0.466898,0.000000,0.150087
0.050000,1.810562,0.866489,1.675290,1.248953,0.466898,0.000000,0.149754
0.050000,1.872891,0.875871,1.738321,1.272298,0.466898,0.000000,0.148989
0.050000,1.936384,0.885364,1.802520,1.295643,0.466898,-0.000000,0.147766
0.050000,2.001045,0.894935,1.867886,1.318988,0.466898,0.000000,0.146061
0.050000,2.066823,0.904540,1.934360,1.339999,0.420209,-0.933797,0.143850
0.050000,2.133605,0.914123,2.001827,1.358675,0.373519,-0.933797,0.141112
0.050000,2.201283,0.923627,2.070169,1.375016,0.326829,-0.933797,0.137829
0.050000,2.269747,0.932992,2.139270,1.389023,0.280139,-0.933797,0.133987
0.050000,2.338885,0.942159,2.209013,1.400695,0.233449,-0.933797,0.129572
0.050000,2.408586,0.951068,2.279282,1.410033,0.186759,-0.933797,0.124576
0.050000,2.478739,0.959657,2.349958,1.417037,0.140070,-0.933797,0.118992
0.050000,2.549230,0.967868,2.420927,1.421706,0.093380,-0.933797,0.112819
0.050000,2.619943,0.975641,2.492065,1.423822,0.042328,-1.021037,0.106058
0.050000,2.690697,0.982914,2.563192,1.421270,-0.051052,-1.867594,0.098720
0.050000,2.761319,0.989631,2.634134,1.416383,-0.097742,-0.933797,0.090822
0.050000,2.831693,0.995744,2.704772,1.409161,-0.144432,-0.933797,0.082381
0.050000,2.901698,1.001212,2.774991,1.399605,-0.191121,-0.933797,0.073417
0.050000,2.971217,1.005997,2.844674,1.387714,-0.237811,-0.933797,0.063955
0.050000,3.040126,1.010070,2.913704,1.373489,-0.284501,-0.933797,0.054022
0.050000,3.108305,1.013406,2.981965,1.356930,-0.331191,-0.933797,0.043653
0.050000,3.175629,1.015986,3.049339,1.338036,-0.377881,-0.933797,0.032886
0.050000,3.241975,1.017802,3.115710,1.316807,-0.424571,-0.933797,0.021762
0.050000,3.307223,1.018852,3.180967,1.293462,-0.466898,-0.846557,0.010328
0.050000,3.371311,1.019141,3.245056,1.270117,-0.466898,0.000000,6.281806
0.050000,3.434232,1.018681,3.307979,1.246772,-0.466898,-0.000000,6.269857
0.050000,3.495975,1.017485,3.369734,1.223427,-0.466898,0.000000,6.257695
0.050000,3.556532,1.015569,3.430321,1.200083,-0.466898,-0.000000,6.245351
0.050000,3.615894,1.012952,3.489742,1.176738,-0.466898,0.000000,6.232855
0.050000,3.674054,1.009656,3.547995,1.153393,-0.466898,0.000000,6.220238
0.050000,3.731002,1.005705,3.605081,1.130048,-0.466898,-0.000000,6.207529
0.050000,3.786733,1.001124,3.661000,1.106703,-0.466898,0.000000,6.194759
0.050000,3.841238,0.995941,3.715751,1.083358,-0.466898,0.000000,6.181956
0.050000,3.894512,0.990186,3.769336,1.060013,-0.466898,0.000000,6.169148
0.050000,3.946549,0.983890,3.821753,1.036668,-0.466898,0.000000,6.156365
0.050000,3.997345,0.977085,3.873002,1.013323,-0.466898,-0.000000,6.143631
0.050000,4.046895,0.969806,3.923085,0.989978,-0.466898,0.000000,6.130974
0.050000,4.095197,0.962086,3.972000,0.966633,-0.466898,-0.000000,6.118418
0.050000,4.142249,0.953963,4.019748,0.943288,-0.466898,0.000000,6.105987
0.050000,4.188048,0.945471,4.066329,0.919943,-0.466898,-0.000000,6.093703
0.050000,4.232596,0.936648,4.111743,0.896599,-0.466898,0.000000,6.081586
0.050000,4.275893,0.927530,4.155989,0.873254,-0.466898,0.000000,6.069658
0.050000,4.317939,0.918155,4.199068,0.849909,-0.466898,-0.000000,6.057935
0.050000,4.358737,0.908560,4.240980,0.826564,-0.466898,0.000000,6.046436
0.050000,4.398291,0.898781,4.281724,0.803219,-0.466898,0.000000,6.035175
0.050000,4.436603,0.888855,4.321302,0.779874,-0.466898,-0.000000,6.024168
0.050000,4.473678,0.878818,4.359712,0.756529,-0.466898,0.000000,6.013425
0.050000,4.509522,0.868705,4.396955,0.733184,-0.466898,0.000000,6.002960
0.050000,4.544139,0.858551,4.433030,0.709839,-0.466898,-0.000000,5.992783
0.050000,4.577536,0.848391,4.467939,0.686494,-0.466898,0.000000,5.982902
0.050000,4.609718,0.838256,4.501680,0.663149,-0.466898,-0.000000,5.973327
0.050000,4.640695,0.828180,4.534253,0.639804,-0.466898,0.000000,5.964062
0.050000,4.670471,0.818194,4.565660,0.616459,-0.466898,0.000000,5.955116
0.050000,4.699055,0.808327,4.595899,0.593115,-0.466898,-0.000000,5.946492
0.050000,4.726455,0.798609,4.624972,0.569770,-0.466898,0.000000,5.938195
0.050000,4.752678,0.789067,4.652876,0.546425,-0.466898,0.000000,5.930228
0.050000,4.777732,0.779729,4.679614,0.523080,-0.466898,-0.000000,5.922594
0.050000,4.801624,0.770620,4.705184,0.499735,-0.466898,0.000000,5.915296
0.050000,4.824364,0.761764,4.729587,0.476390,-0.466898,0.000000,5.908334
0.050000,4.845958,0.753185,4.752823,0.453045,-0.466898,-0.000000,5.901709
0.050000,4.866414,0.744905,4.774892,0.429700,-0.466898,0.000000,5.895424
0.050000,4.885740,0.736944,4.795793,0.406355,-0.466898,0.000000,5.889476
0.050000,4.903943,0.729323,4.815527,0.383010,-0.466898,-0.000000,5.883867
0.050000,4.921030,0.722059,4.834094,0.359665,-0.466898,-0.000000,5.878596
0.050000,4.937008,0.715170,4.851494,0.336320,-0.466898,0.000000,5.873663
0.050000,4.951883,0.708673,4.867726,0.312975,-0.466898,0.000000,5.869066
0.050000,4.965662,0.702582,4.882792,0.289631,-0.466898,-0.000000,5.864806
0.050000,4.978350,0.696910,4.896689,0.266286,-0.466898,-0.000000,5.860881
0.050000,4.989953,0.691672,4.909420,0.242941,-0.466898,0.000000,5.857290
0.050000,5.000475,0.686877,4.920984,0.219596,-0.466898,0.000000,5.854032
