dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.153834,0.369084,0.000058,0.002334,0.046690,0.933797,0.008832
0.050000,0.153848,0.369084,0.000072,0.000270,-0.041298,-1.759749,0.008874
0.050000,0.153878,0.369084,0.000102,0.000606,0.006737,0.960700,0.008968
0.050000,0.153932,0.369084,0.000156,0.001078,0.009424,0.053735,0.009136
0.050000,0.154016,0.369085,0.000240,0.001683,0.012098,0.053484,0.009398
0.050000,0.154547,0.369090,0.000771,0.010613,0.178615,3.330324,0.009775
0.050000,0.157571,0.369121,0.003795,0.060484,0.997411,16.375928,0.010288
0.050000,0.161520,0.369163,0.007745,0.078990,0.370130,-12.545626,0.010955
0.050000,0.166518,0.369219,0.012742,0.099957,0.419341,0.984228,0.011798
0.050000,0.172686,0.369295,0.018912,0.123381,0.468480,0.982775,0.012835
0.050000,0.180087,0.369395,0.026313,0.148025,0.492864,0.487685,0.014075
0.050000,0.188718,0.369523,0.034945,0.172649,0.492489,-0.007508,0.015514
0.050000,0.198580,0.369684,0.044808,0.197253,0.492074,-0.008286,0.017148
0.050000,0.209669,0.369884,0.055899,0.221832,0.491586,-0.009759,0.018976
0.050000,0.221986,0.370130,0.068219,0.246384,0.491038,-0.010960,0.020991
0.050000,0.235528,0.370430,0.081764,0.270905,0.490423,-0.012314,0.023189
0.050000,0.250293,0.370790,0.096534,0.295393,0.489757,-0.013320,0.025566
0.050000,0.266280,0.371219,0.112526,0.319844,0.489024,-0.014661,0.028115
0.050000,0.283485,0.371726,0.129739,0.344256,0.488231,-0.015844,0.030830
0.050000,0.301907,0.372321,0.148170,0.368623,0.487354,-0.017541,0.033704
0.050000,0.321542,0.373013,0.167817,0.392946,0.486455,-0.017995,0.036731
0.050000,0.342387,0.373812,0.188678,0.417219,0.485465,-0.019799,0.039902
0.050000,0.364440,0.374729,0.210750,0.441441,0.484423,-0.020834,0.043210
0.050000,0.387697,0.375775,0.234030,0.465606,0.483315,-0.022164,0.046646
0.050000,0.412154,0.376960,0.258516,0.489714,0.482156,-0.023185,0.050201
0.050000,0.437807,0.378296,0.284204,0.513760,0.480915,-0.024819,0.053865
0.050000,0.464653,0.379794,0.311091,0.537741,0.479628,-0.025728,0.057628
0.050000,0.492686,0.381466,0.339174,0.561656,0.478294,-0.026679,0.061480
0.050000,0.521902,0.383322,0.368449,0.585500,0.476887,-0.028151,0.065409
0.050000,0.552296,0.385374,0.398912,0.609272,0.475427,-0.029202,0.069405
0.050000,0.583864,0.387633,0.430561,0.632967,0.473905,-0.030426,0.073456
0.050000,0.616600,0.390110,0.463390,0.656584,0.472347,-0.031172,0.077549
0.050000,0.650498,0.392815,0.497396,0.680119,0.470693,-0.033069,0.081672
0.050000,0.685553,0.395758,0.532575,0.703571,0.469043,-0.033013,0.085811
0.050000,0.721759,0.398948,0.568921,0.726936,0.467305,-0.034746,0.089953
0.050000,0.759111,0.402395,0.606432,0.750213,0.465537,-0.035374,0.094085
0.050000,0.797603,0.406108,0.645102,0.773397,0.463684,-0.037044,0.098192
0.050000,0.837227,0.410093,0.684926,0.796489,0.461840,-0.036885,0.102260
0.050000,0.877979,0.414358,0.725901,0.819485,0.459907,-0.038664,0.106273
0.050000,0.919851,0.418909,0.768020,0.842382,0.457947,-0.039192,0.110216
0.050000,0.962839,0.423751,0.811279,0.865179,0.455946,-0.040026,0.114074
