dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.389430,2.990998,0.000057,0.002289,0.045775,0.915507,0.000869
0.050000,1.389430,2.990998,0.000286,0.006866,0.091551,0.915507,0.000822
0.050000,1.389430,2.990998,0.000801,0.013733,0.137326,0.915507,0.000716
0.050000,1.389430,2.990998,0.001717,0.022888,0.183101,0.915507,0.000528
0.050000,1.389430,2.990998,0.003147,0.034332,0.228877,0.915507,0.000234
0.050000,1.390352,2.990998,0.005207,0.048064,0.274652,0.915507,6.282996
0.050000,1.393156,2.990997,0.008011,0.064085,0.320427,0.915507,6.282420
0.050000,1.396818,2.990993,0.011673,0.082396,0.366203,0.915507,6.281669
0.050000,1.401453,2.990984,0.016307,0.102995,0.411978,0.915507,6.280719
0.050000,1.407175,2.990966,0.022029,0.125882,0.457753,0.915507,6.279549
0.050000,1.414098,2.990936,0.028953,0.151059,0.503529,0.915507,6.278135
0.050000,1.422338,2.990887,0.037192,0.178524,0.549304,0.915507,6.276457
0.050000,1.432007,2.990813,0.046863,0.208278,0.595080,0.915507,6.274492
0.050000,1.443165,2.990703,0.058020,0.238032,0.595080,0.000000,6.272233
0.050000,1.455809,2.990549,0.070666,0.267786,0.595080,0.000000,6.269682
0.050000,1.469941,2.990338,0.084799,0.297540,0.595080,0.000000,6.266843
0.050000,1.485559,2.990058,0.100420,0.327294,0.595080,0.000000,6.263720
0.050000,1.502664,2.989696,0.117528,0.357048,0.595080,0.000000,6.260319
0.050000,1.521254,2.989237,0.136124,0.386802,0.595080,0.000000,6.256644
0.050000,1.541330,2.988664,0.156208,0.416556,0.595080,0.000000,6.252701
0.050000,1.562890,2.987961,0.177780,0.446310,0.595080,0.000000,6.248497
0.050000,1.585934,2.987110,0.200839,0.476064,0.595080,0.000000,6.244039
0.050000,1.610459,2.986091,0.225386,0.505818,0.595080,0.000000,6.239334
0.050000,1.636466,2.984886,0.251421,0.535572,0.595080,0.000000,6.234391
0.050000,1.663952,2.983472,0.278944,0.565326,0.595080,0.000000,6.229220
0.050000,1.692916,2.981829,0.307954,0.595080,0.595080,0.000000,6.223829
0.050000,1.723355,2.979935,0.338451,0.624833,0.595080,0.000000,6.218231
0.050000,1.755267,2.977766,0.370437,0.654587,0.595080,0.000000,6.212435
0.050000,1.788649,2.975299,0.403910,0.684341,0.595080,0.000000,6.206454
0.050000,1.823498,2.972512,0.438871,0.714095,0.595080,0.000000,6.200300
0.050000,1.859812,2.969379,0.475320,0.743849,0.595080,0.000000,6.193989
