dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.389708,2.670070,0.000057,0.002289,0.045775,0.915507,0.000869
0.050000,1.389693,2.670070,0.000072,0.000302,-0.039730,-1.710100,0.000822
0.050000,1.389659,2.670069,0.000106,0.000680,0.007555,0.945702,0.000716
0.050000,1.389599,2.670069,0.000167,0.001209,0.010573,0.060349,0.000528
0.050000,1.389505,2.670069,0.000261,0.001888,0.013583,0.060204,0.000234
0.050000,1.390291,2.670069,0.001048,0.015738,0.277009,5.268511,6.282996
0.050000,1.392910,2.670068,0.003667,0.052379,0.732816,9.116154,6.282420
0.050000,1.396331,2.670064,0.007088,0.068419,0.320802,-8.240285,6.281669
0.050000,1.400661,2.670056,0.011418,0.086600,0.363608,0.856126,6.280719
0.050000,1.406008,2.670039,0.016764,0.106925,0.406507,0.857969,6.279549
0.050000,1.412477,2.670011,0.023234,0.129397,0.449445,0.858772,6.278135
0.050000,1.420178,2.669966,0.030935,0.154018,0.492418,0.859445,6.276457
0.050000,1.429217,2.669896,0.039975,0.180791,0.535457,0.860779,6.274492
0.050000,1.439650,2.669794,0.050407,0.208654,0.557270,0.436272,6.272233
0.050000,1.451476,2.669649,0.062234,0.236535,0.557617,0.006930,6.269682
0.050000,1.464696,2.669452,0.075456,0.264441,0.558106,0.009786,6.266843
0.050000,1.479312,2.669190,0.090075,0.292375,0.558685,0.011583,6.263720
0.050000,1.495326,2.668851,0.106092,0.320338,0.559260,0.011494,6.260319
0.050000,1.512737,2.668421,0.123508,0.348335,0.559940,0.013609,6.256644
0.050000,1.531548,2.667884,0.142327,0.376372,0.560734,0.015871,6.252701
0.050000,1.551760,2.667225,0.162549,0.404448,0.561527,0.015859,6.248497
0.050000,1.573374,2.666427,0.184178,0.432570,0.562434,0.018154,6.244039
0.050000,1.596391,2.665471,0.207215,0.460744,0.563479,0.020895,6.239334
0.050000,1.620813,2.664339,0.231663,0.488969,0.564510,0.020615,6.234391
0.050000,1.646642,2.663010,0.257526,0.517255,0.565724,0.024272,6.229220
0.050000,1.673878,2.661465,0.284806,0.545602,0.566943,0.024395,6.223829
0.050000,1.702524,2.659682,0.313507,0.574019,0.568331,0.027749,6.218231
0.050000,1.732580,2.657640,0.343633,0.602507,0.569755,0.028495,6.212435
0.050000,1.764047,2.655315,0.375186,0.631074,0.571351,0.031905,6.206454
0.050000,1.796929,2.652685,0.408173,0.659723,0.572977,0.032524,6.200300
0.050000,1.831224,2.649726,0.442596,0.688460,0.574743,0.035330,6.193989
0.050000,1.866936,2.646416,0.478460,0.717290,0.576592,0.036977,6.187533
