dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,315.534998,120.007486,0.007162,0.716225,35.811232,1790.561618,4.712954
0.020000,315.535000,120.002511,0.012138,0.248764,-23.373041,-2959.213684,4.712578
0.020000,315.534986,119.949767,0.064881,2.637155,119.419547,7139.629397,4.711830
0.020000,315.534873,119.849009,0.165639,5.037926,120.038546,30.949973,4.710712
0.020000,315.534549,119.714798,0.299851,6.710569,83.632185,-1820.318077,4.709231
0.020000,315.533866,119.547250,0.467400,8.377475,83.345266,-14.345910,4.707397
0.020000,315.532645,119.346509,0.668145,10.037236,82.988044,-17.861130,4.705220
0.020000,315.530675,119.112749,0.901913,11.688391,82.557790,-21.512685,4.702712
0.020000,315.527718,118.846175,1.168503,13.329515,82.056193,-25.079858,4.699890
0.020000,315.523511,118.547021,1.467687,14.959190,81.483717,-28.623816,4.696769
0.020000,315.517768,118.215552,1.799206,16.575956,80.838307,-32.270490,4.693371
0.020000,315.510187,117.852063,2.162774,18.178413,80.122841,-35.773277,4.689716
0.020000,315.500454,117.456880,2.558076,19.765123,79.335501,-39.367009,4.685828
0.020000,315.488245,117.030361,2.984771,21.334708,78.479263,-42.811876,4.681733
0.020000,315.473233,116.572892,3.442485,22.885738,77.551529,-46.386745,4.677459
0.020000,315.455094,116.084892,3.930823,24.416871,76.556645,-49.744187,4.673036
0.020000,315.433510,115.566806,4.449358,25.926769,75.494902,-53.087157,4.668496
0.020000,315.408178,115.019109,4.997640,27.414089,74.365995,-56.445359,4.663874
0.020000,315.378812,114.442306,5.575190,28.877522,73.171665,-59.716483,4.659204
0.020000,315.345153,113.836924,6.181507,30.315833,71.915542,-62.806160,4.654526
0.020000,315.306971,113.203519,6.816062,31.727744,70.595549,-65.999613,4.649879
0.020000,315.264074,112.542669,7.478303,33.112072,69.216370,-68.958984,4.645304
0.020000,315.216313,111.854973,8.167656,34.467617,67.777266,-71.955166,4.640846
0.020000,315.163587,111.141053,8.883519,35.793184,66.278325,-74.947060,4.636549
0.020000,315.105851,110.401551,9.625272,37.087626,64.722129,-77.809799,4.632460
0.020000,315.043121,109.637125,10.392268,38.349814,63.109383,-80.637299,4.628628
0.020000,314.975476,108.848449,11.183839,39.578539,61.436269,-83.655717,4.625104
0.020000,314.903072,108.036217,11.999292,40.772638,59.704961,-86.565397,4.621939
0.020000,314.826138,107.201136,12.837909,41.930873,57.911749,-89.660605,4.619188
0.020000,314.744987,106.343929,13.698949,43.051983,56.055460,-92.814432,4.616908
0.020000,314.660021,105.465336,14.581641,44.134599,54.130842,-96.230891,4.615155
0.020000,314.571732,104.566114,15.485187,45.177307,52.135365,-99.773863,4.613991
0.020000,314.480712,103.647039,16.408758,46.178563,50.062793,-103.628607,4.613477
0.020000,314.387653,102.708909,17.351492,47.136700,47.906870,-107.796164,4.613680
0.020000,314.293355,101.752548,18.312491,48.049927,45.661342,-112.276397,4.614666
