dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,302.285000,120.000000,0.007162,0.716225,35.811232,1790.561618,4.712954
0.020000,302.285000,120.000000,0.035811,2.148674,71.622465,1790.561618,4.712578
0.020000,302.284988,119.957179,0.093109,3.581123,71.622465,-0.000000,4.711830
0.020000,302.284892,119.871232,0.179056,5.013573,71.622465,0.000000,4.710712
0.020000,302.284615,119.756636,0.293652,6.446022,71.622465,0.000000,4.709231
0.020000,302.284031,119.613393,0.436897,7.878471,71.622465,-0.000000,4.707397
0.020000,302.282985,119.441502,0.608791,9.310920,71.622465,0.000000,4.705220
0.020000,302.281295,119.240966,0.809334,10.743370,71.622465,-0.000000,4.702712
0.020000,302.278753,119.011789,1.038526,12.175819,71.622465,-0.000000,4.699890
0.020000,302.275127,118.753973,1.296367,13.608268,71.622465,0.000000,4.696769
0.020000,302.270164,118.467527,1.582856,15.040718,71.622465,0.000000,4.693371
0.020000,302.263593,118.152457,1.897995,16.473167,71.622465,-0.000000,4.689716
0.020000,302.255128,117.808773,2.241783,17.905616,71.622465,0.000000,4.685828
0.020000,302.244470,117.436489,2.614220,19.338065,71.622465,0.000000,4.681733
0.020000,302.231315,117.035619,3.015306,20.770515,71.622465,0.000000,4.677459
0.020000,302.215352,116.606182,3.445041,22.202964,71.622465,0.000000,4.673036
0.020000,302.196272,116.148196,3.903424,23.635413,71.622465,0.000000,4.668496
0.020000,302.173768,115.661683,4.390457,25.067863,71.622465,0.000000,4.663874
0.020000,302.147547,115.146669,4.906139,26.500312,71.622465,0.000000,4.659204
0.020000,302.117328,114.603178,5.450470,27.932761,71.622465,0.000000,4.654526
0.020000,302.082850,114.031238,6.023449,29.365211,71.622465,0.000000,4.649879
0.020000,302.043878,113.430873,6.625078,30.797660,71.622465,0.000000,4.645304
0.020000,302.000208,112.802110,7.255356,32.230109,71.622465,0.000000,4.640846
0.020000,301.951674,112.144974,7.914282,33.662558,71.622465,-0.000000,4.636549
0.020000,301.898154,111.459485,8.601858,35.095008,71.622465,0.000000,4.632460
0.020000,301.839574,110.745660,9.318083,36.527457,71.622465,0.000000,4.628628
