dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,289.035002,119.992514,0.007162,0.716225,35.811232,1790.561618,4.712954
0.020000,289.035000,119.997489,0.012138,0.248764,-23.373041,-2959.213684,4.712578
0.020000,289.034990,119.964591,0.045036,1.644948,69.809208,4659.112470,4.711830
0.020000,289.034910,119.893455,0.116172,3.556762,95.590717,1289.075422,4.710712
0.020000,289.034681,119.798475,0.211152,4.749030,59.613372,-1798.867245,4.709231
0.020000,289.034196,119.679536,0.330093,5.947011,59.899042,14.283528,4.707397
0.020000,289.033326,119.536495,0.473136,7.152159,60.257435,17.919643,4.705220
0.020000,289.031916,119.369183,0.640454,8.365893,60.686707,21.463606,4.702712
0.020000,289.029788,119.177402,0.832247,9.589655,61.188068,25.068038,4.699890
0.020000,289.026743,118.960926,1.048744,10.824890,61.761750,28.684087,4.696769
0.020000,289.022560,118.719502,1.290205,12.073010,62.405989,32.211947,4.693371
0.020000,289.016998,118.452851,1.556914,13.335457,63.122372,35.819153,4.689716
0.020000,289.009801,118.160667,1.849186,14.613634,63.908829,39.322880,4.685828
0.020000,289.000696,117.842618,2.167366,15.908964,64.766522,42.884662,4.681733
0.020000,288.989398,117.498347,2.511822,17.222808,65.692189,46.283327,4.677459
0.020000,288.975611,117.127472,2.882953,18.556556,66.687428,49.761925,4.673036
0.020000,288.959033,116.729586,3.281184,19.911568,67.750569,53.157057,4.668496
0.020000,288.939359,116.304257,3.706967,21.289152,68.879198,56.431488,4.663874
0.020000,288.916283,115.851033,4.160779,22.690597,70.072248,59.652459,4.659204
0.020000,288.889503,115.369433,4.643123,24.117198,71.330066,62.890943,4.654526
0.020000,288.858729,114.858956,5.154527,25.570168,72.648515,65.922447,4.649879
0.020000,288.823681,114.319077,5.695542,27.050747,74.028924,69.020428,4.645304
0.020000,288.784103,113.749248,6.266744,28.560119,75.468608,71.984195,4.640846
0.020000,288.739761,113.148894,6.868733,30.099437,76.965906,74.864887,4.636549
0.020000,288.690456,112.517419,7.502130,31.669875,78.521877,77.798585,4.632460
0.020000,288.636027,111.854196,8.167583,33.272613,80.136937,80.752962,4.628628
0.020000,288.576360,111.158575,8.865758,34.908785,81.808574,83.581856,4.625104
0.020000,288.511399,110.429873,9.597350,36.579598,83.540638,86.603233,4.621939
0.020000,288.441149,109.667377,10.363075,38.286263,85.333273,89.631715,4.619188
0.020000,288.365692,108.870339,11.163677,40.030071,87.190398,92.856267,4.616908
0.020000,288.285194,108.037976,11.999924,41.812349,89.113881,96.174130,4.615155
0.020000,288.199918,107.169461,12.872615,43.634545,91.109817,99.796840,4.613991
0.020000,288.110238,106.263927,13.782579,45.498197,93.182581,103.638168,4.613477
0.020000,288.016650,105.320458,14.730678,47.404958,95.338056,107.773778,4.613680
0.020000,287.919790,104.338089,15.717810,49.356628,97.583502,112.272294,4.614666
0.020000,287.820449,103.315802,16.744913,51.355141,99.925666,117.108198,4.616507
0.020000,287.719594,102.252523,17.812965,53.402595,102.372683,122.350835,4.619276
0.020000,287.618388,101.147122,18.922989,55.501202,104.930357,127.883704,4.623050
0.020000,287.518213,99.998415,20.076055,57.653312,107.605513,133.757803,4.627911
0.020000,287.420693,98.805166,21.273283,59.861373,110.403047,139.876704,4.633942
0.020000,287.327728,97.566092,22.515839,62.127832,113.322949,145.995103,4.641233
0.020000,287.241519,96.279877,23.804940,64.455037,116.360236,151.864337,4.649874
0.020000,287.164602,94.945187,25.141845,66.845230,119.509664,157.471403,4.659961
0.020000,287.099885,93.560696,26.527848,69.300162,122.746586,161.846123,4.671592
0.020000,287.050680,92.125118,27.964269,71.821042,126.044022,164.871797,4.684865
0.020000,287.020739,90.637257,29.452431,74.408116,129.353671,165.482421,4.699882
0.020000,287.014287,89.096064,30.993638,77.060328,132.610632,162.848040,4.716740
0.020000,287.036045,87.500715,32.589134,79.774833,135.725236,155.730215,4.735534
0.020000,287.091242,85.850710,34.240063,82.546438,138.580250,142.750727,4.756350
0.020000,287.185614,84.145979,35.947404,85.367035,141.029843,122.479618,4.779261
0.020000,287.325377,82.387025,37.711902,88.224922,142.894356,93.225686,4.804325
0.020000,287.517160,80.575059,39.533988,91.104310,143.969400,53.752181,4.831574
0.020000,287.767907,78.712162,41.413685,93.984835,144.026246,2.842271,4.861009
0.020000,288.084723,76.801422,43.350512,96.841361,142.826309,-59.996825,4.892595
0.020000,288.474678,74.847059,45.343400,99.644400,140.151942,-133.718367,4.926251
0.020000,288.944552,72.854486,47.390625,102.361227,135.841362,-215.528960,4.961846
0.020000,289.500551,70.830328,49.489755,104.956514,129.764340,-303.851147,4.999198
0.020000,290.148013,68.782324,51.637668,107.395654,121.957019,-390.366008,5.038070
0.020000,290.891125,66.719130,53.830608,109.646978,112.566202,-469.540848,5.078179
0.020000,291.732687,64.650057,56.064279,111.683571,101.829630,-536.828608,5.119201
0.020000,315.499048,76.429108,82.589475,1326.259770,60728.809965,3031349.016746,1.991184
0.020000,314.698545,78.187225,84.521256,96.589088,-61483.534130,-6110617.204744,2.005091
0.020000,313.853102,79.974695,86.498584,98.866354,113.863300,3079869.871508,2.020271
0.020000,312.958190,81.791485,88.523823,101.261982,119.781436,295.906766,2.036898
0.020000,312.008661,83.637240,90.599496,103.783623,126.082029,315.029677,2.055177
0.020000,310.998292,85.511831,92.729034,106.476917,134.664689,429.132966,2.075355
0.020000,309.919908,87.414646,94.916183,109.357458,144.027067,468.118913,2.097724
0.020000,308.764877,89.344968,97.165680,112.474855,155.869853,592.139315,2.122634
0.020000,307.522984,91.301478,99.483056,115.868776,169.696042,691.309417,2.150508
0.020000,306.181952,93.282180,101.875032,119.598812,186.501788,840.287308,2.181851
0.020000,304.727072,95.283887,104.349604,123.728593,206.489050,999.363093,2.217270
0.020000,303.140646,97.301700,106.916375,128.338546,230.497664,1200.430729,2.257487
0.020000,301.401625,99.327922,109.586539,133.508190,258.482181,1399.225829,2.303347
0.020000,299.485418,101.350564,112.372742,139.310160,290.098523,1580.817118,2.355811
0.020000,297.364174,103.351315,115.288677,145.796774,324.330722,1711.609938,2.415916
0.020000,295.008314,105.302744,118.347787,152.955493,357.935947,1680.261240,2.484672
0.020000,292.390580,107.164913,121.560294,160.625352,383.492907,1277.848000,2.562863
0.020000,289.492720,108.883338,124.929356,168.453084,391.386598,394.684555,2.650726
0.020000,286.315983,110.389891,128.445229,175.793656,367.028626,-1217.898611,2.747528
0.020000,282.891710,111.610584,132.080575,181.767281,298.681254,-3417.368564,2.851204
0.020000,279.285748,112.480914,135.790080,185.475277,185.399784,-5664.073514,2.958327
0.020000,275.590102,112.963690,139.517126,186.352317,43.852019,-7077.388246,3.064609
0.020000,271.902396,113.059354,143.206073,184.447335,-95.249115,-6955.056690,3.165840
0.020000,268.303510,112.802315,146.814126,180.402669,-202.233317,-5349.210109,3.258783
0.020000,264.845090,112.246823,150.316874,175.137360,-263.265413,-3051.604790,3.341594
0.020000,261.549652,111.451722,153.706874,169.500014,-281.867319,-930.095332,3.413713
0.020000,258.418166,110.470427,156.988510,164.081822,-270.909612,547.885371,3.475475
0.020000,255.438986,109.346942,160.172492,159.199070,-244.137584,1338.601379,3.527692
0.020000,252.594719,108.115781,163.271783,154.964585,-211.724242,1620.667108,3.571347
0.020000,249.866542,106.803596,166.299122,151.366926,-179.882967,1592.063776,3.607403
0.020000,247.236415,105.431146,169.265801,148.333966,-151.647987,1411.749001,3.636714
0.020000,244.688089,104.015057,172.181153,145.767578,-128.319379,1166.430379,3.659986
0.020000,242.207413,102.569235,175.052417,143.563189,-110.219483,904.994781,3.677767
0.020000,239.782316,101.105938,177.884789,141.618598,-97.229526,649.497881,3.690449
0.020000,237.402689,99.636611,180.681492,139.835153,-89.172256,402.863474,3.698275
0.020000,235.060263,98.172559,183.443811,138.115980,-85.958666,160.679529,3.701344
