dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,54.969372,134.819000,0.007154,0.715407,35.770326,1788.516296,0.000274
0.020000,54.970557,134.819000,0.008339,0.059252,-32.807748,-3428.903702,0.000184
0.020000,54.972928,134.819000,0.010710,0.118533,2.964074,1788.591113,0.000005
0.020000,55.060592,134.818988,0.098374,4.383203,213.233517,10513.472152,6.282922
0.020000,55.179803,134.818936,0.217585,5.960574,78.868546,-6718.248538,6.282564
0.020000,55.328823,134.818810,0.366605,7.450985,74.520525,-217.401065,6.282116
0.020000,55.507653,134.818570,0.545435,8.941519,74.526707,0.309094,6.281578
0.020000,55.716298,134.818169,0.754081,10.432268,74.537472,0.538265,6.280949
0.020000,55.954762,134.817550,0.992545,11.923220,74.547603,0.506510,6.280229
0.020000,56.223050,134.816648,1.260835,13.414509,74.564404,0.840051,6.279418
0.020000,56.521168,134.815391,1.558956,14.906020,74.575582,0.558899,6.278516
0.020000,56.849121,134.813697,1.886913,16.397859,74.591939,0.817881,6.277521
0.020000,57.206917,134.811475,2.244716,17.890132,74.613631,1.084610,6.276434
0.020000,57.594561,134.808630,2.632370,19.382722,74.629517,0.794263,6.275253
0.020000,58.012060,134.805052,3.049885,20.875749,74.651337,1.091028,6.273979
0.020000,58.459424,134.800627,3.497270,22.369267,74.675939,1.230098,6.272610
0.020000,58.936658,134.795230,3.974535,23.863238,74.698519,1.129010,6.271145
0.020000,59.443772,134.788729,4.481690,25.357767,74.726436,1.395849,6.269584
0.020000,59.980772,134.780980,5.018747,26.852818,74.752597,1.308036,6.267927
0.020000,60.547668,134.771831,5.585717,28.348490,74.783585,1.549393,6.266171
0.020000,61.144467,134.761123,6.182612,29.844754,74.813215,1.481493,6.264317
0.020000,61.771177,134.748685,6.809445,31.341659,74.845208,1.599661,6.262363
0.020000,62.427807,134.734336,7.466231,32.839317,74.882934,1.886279,6.260308
0.020000,63.114362,134.717886,8.152984,34.337622,74.915229,1.614781,6.258151
0.020000,63.830850,134.699136,8.869717,35.836680,74.952895,1.883288,6.255891
0.020000,64.577279,134.677875,9.616449,37.336565,74.994264,2.068432,6.253527
0.020000,65.353652,134.653883,10.393193,38.837208,75.032154,1.894508,6.251057
0.020000,66.159976,134.626930,11.199967,40.338713,75.075256,2.155127,6.248481
0.020000,66.996254,134.596773,12.036788,41.841063,75.117513,2.112816,6.245797
0.020000,67.862489,134.563160,12.903675,43.344358,75.164741,2.361441,6.243003
0.020000,68.758683,134.525827,13.800646,44.848542,75.209174,2.221646,6.240099
0.020000,69.684836,134.484499,14.727721,46.353733,75.259561,2.519359,6.237082
0.020000,70.640945,134.438889,15.684918,47.859837,75.305173,2.280592,6.233952
0.020000,71.627009,134.388700,16.672258,49.367001,75.358213,2.651985,6.230706
0.020000,72.643021,134.333620,17.689761,50.875193,75.409634,2.571040,6.227344
0.020000,73.688973,134.273327,18.737450,52.384427,75.461699,2.603235,6.223863
0.020000,74.764856,134.207486,19.815345,53.894768,75.517024,2.766260,6.220262
0.020000,75.870656,134.135749,20.923470,55.406221,75.572656,2.781602,6.216540
0.020000,77.006356,134.057756,22.061845,56.918768,75.627339,2.734151,6.212694
0.020000,78.171938,133.973132,23.230495,58.432506,75.686901,2.978125,6.208723
0.020000,79.367379,133.881491,24.429443,59.947402,75.744796,2.894717,6.204625
0.020000,80.592650,133.782431,25.658713,61.463472,75.803517,2.936050,6.200398
0.020000,81.847722,133.675538,26.918327,62.980737,75.863227,2.985516,6.196041
0.020000,83.132556,133.560384,28.208312,64.499211,75.923709,3.024091,6.191551
0.020000,84.447112,133.436526,29.528690,66.018900,75.984472,3.038164,6.186928
0.020000,85.791343,133.303506,30.879486,67.539835,76.046750,3.113921,6.182168
0.020000,87.165196,133.160853,32.260726,69.061983,76.107396,3.032298,6.177270
0.020000,88.568613,133.008080,33.672434,70.585380,76.169828,3.121564,6.172233
0.020000,90.001527,132.844685,35.114633,72.109975,76.229755,2.996362,6.167054
0.020000,91.463865,132.670153,36.587350,73.635825,76.292489,3.136691,6.161732
0.020000,92.955546,132.483951,38.090607,75.162886,76.353058,3.028446,6.156264
0.020000,94.476480,132.285533,39.624430,76.691123,76.411888,2.941529,6.150649
0.020000,96.026570,132.074336,41.188841,78.220569,76.472272,3.019167,6.144886
0.020000,97.605707,131.849781,42.783865,79.751164,76.529778,2.875338,6.138971
0.020000,99.213774,131.611277,44.409522,81.282897,76.586642,2.843197,6.132905
0.020000,100.850642,131.358214,46.065837,82.815726,76.641442,2.739973,6.126684
0.020000,102.516172,131.089969,47.752829,84.349619,76.694624,2.659124,6.120308
0.020000,104.210210,130.805902,49.470520,85.884531,76.745612,2.549384,6.113775
0.020000,105.932594,130.505360,51.218928,87.420411,76.794022,2.420481,6.107083
0.020000,107.683145,130.187672,52.998072,88.957202,76.839541,2.275997,6.100231
0.020000,109.461671,129.852155,54.807969,90.494838,76.881769,2.111355,6.093218
0.020000,111.267966,129.498111,56.648634,92.033256,76.920918,1.957448,6.086042
0.020000,113.101807,129.124828,58.520081,93.572367,76.955561,1.732192,6.078703
0.020000,114.962957,128.731579,60.422323,95.112089,76.986091,1.526497,6.071199
0.020000,116.851161,128.317626,62.355370,96.652343,77.012719,1.331374,6.063531
0.020000,118.766145,127.882218,64.319230,98.193003,77.032980,1.013074,6.055696
0.020000,120.707619,127.424590,66.313909,99.733958,77.047732,0.737567,6.047695
0.020000,122.675274,126.943968,68.339412,101.275120,77.058102,0.518494,6.039528
0.020000,124.668778,126.439567,70.395738,102.816335,77.060789,0.134349,6.031194
0.020000,126.687782,125.910592,72.482888,104.357482,77.057316,-0.173611,6.022693
0.020000,128.731916,125.356239,74.600857,105.898425,77.047166,-0.507522,6.014026
