dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,54.973000,121.569000,0.007154,0.715407,35.770326,1788.516296,0.000274
0.020000,54.973000,121.569000,0.035770,2.146220,71.540652,1788.516296,0.000184
0.020000,54.973000,121.569000,0.093003,3.577033,71.540652,0.000000,0.000005
0.020000,55.057106,121.568989,0.178852,5.007846,71.540652,0.000000,6.282922
0.020000,55.171571,121.568938,0.293317,6.438659,71.540652,0.000000,6.282564
0.020000,55.314653,121.568817,0.436398,7.869472,71.540652,0.000000,6.282116
0.020000,55.486351,121.568588,0.608096,9.300285,71.540652,-0.000000,6.281578
0.020000,55.686664,121.568203,0.808409,10.731098,71.540652,0.000000,6.280949
0.020000,55.915593,121.567608,1.037339,12.161911,71.540652,-0.000000,6.280229
0.020000,56.173138,121.566742,1.294886,13.592724,71.540652,-0.000000,6.279418
0.020000,56.459298,121.565535,1.581048,15.023537,71.540652,0.000000,6.278516
0.020000,56.774072,121.563909,1.895827,16.454350,71.540652,0.000000,6.277521
0.020000,57.117461,121.561777,2.239222,17.885163,71.540652,-0.000000,6.276434
0.020000,57.489463,121.559046,2.611234,19.315976,71.540652,0.000000,6.275253
0.020000,57.890075,121.555613,3.011861,20.746789,71.540652,0.000000,6.273979
0.020000,58.319298,121.551368,3.441105,22.177602,71.540652,-0.000000,6.272610
0.020000,58.777129,121.546191,3.898966,23.608415,71.540652,0.000000,6.271145
0.020000,59.263566,121.539954,4.385442,25.039228,71.540652,-0.000000,6.269584
0.020000,59.778605,121.532522,4.900535,26.470041,71.540652,0.000000,6.267927
0.020000,60.322243,121.523749,5.444244,27.900854,71.540652,0.000000,6.266171
0.020000,60.894476,121.513482,6.016569,29.331667,71.540652,0.000000,6.264317
0.020000,61.495298,121.501557,6.617510,30.762480,71.540652,0.000000,6.262363
0.020000,62.124706,121.487803,7.247068,32.193293,71.540652,0.000000,6.260308
0.020000,62.782691,121.472038,7.905242,33.624106,71.540652,-0.000000,6.258151
0.020000,63.469246,121.454071,8.592032,35.054919,71.540652,0.000000,6.255891
0.020000,64.184363,121.433702,9.307439,36.485732,71.540652,-0.000000,6.253527
0.020000,64.928030,121.410721,10.051462,37.916545,71.540652,0.000000,6.251057
0.020000,65.700238,121.384908,10.824101,39.347359,71.540652,0.000000,6.248481
0.020000,66.500972,121.356033,11.625356,40.778172,71.540652,0.000000,6.245797
0.020000,67.330219,121.323855,12.455227,42.208985,71.540652,-0.000000,6.243003
0.020000,68.187963,121.288124,13.313715,43.639798,71.540652,0.000000,6.240099
0.020000,69.074185,121.248578,14.200819,45.070611,71.540652,-0.000000,6.237082
0.020000,69.988865,121.204945,15.116540,46.501424,71.540652,0.000000,6.233952
0.020000,70.931980,121.156941,16.060876,47.932237,71.540652,-0.000000,6.230706
0.020000,71.903506,121.104273,17.033829,49.363050,71.540652,0.000000,6.227344
0.020000,72.903414,121.046635,18.035398,50.793863,71.540652,-0.000000,6.223863
0.020000,73.931676,120.983708,19.065584,52.224676,71.540652,0.000000,6.220262
0.020000,74.988256,120.915164,20.124385,53.655489,71.540652,0.000000,6.216540
0.020000,76.073118,120.840662,21.211803,55.086302,71.540652,0.000000,6.212694
0.020000,77.186221,120.759849,22.327837,56.517115,71.540652,0.000000,6.208723
0.020000,78.327522,120.672357,23.472488,57.947928,71.540652,-0.000000,6.204625
0.020000,79.496973,120.577811,24.645755,59.378741,71.540652,0.000000,6.200398
0.020000,80.694519,120.475818,25.847638,60.809554,71.540652,0.000000,6.196041
0.020000,81.920105,120.365974,27.078137,62.240367,71.540652,-0.000000,6.191551
0.020000,83.173667,120.247862,28.337252,63.671180,71.540652,0.000000,6.186928
0.020000,84.455138,120.121053,29.624984,65.101993,71.540652,0.000000,6.182168
0.020000,85.764446,119.985102,30.941332,66.532806,71.540652,-0.000000,6.177270
0.020000,87.101510,119.839552,32.286296,67.963619,71.540652,0.000000,6.172233
0.020000,88.466245,119.683933,33.659877,69.394432,71.540652,0.000000,6.167054
0.020000,89.858558,119.517758,35.062073,70.825245,71.540652,0.000000,6.161732
