dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,54.976628,108.319000,0.007154,0.715407,35.770326,1788.516296,0.000274
0.020000,54.975443,108.319000,0.008339,0.059252,-32.807748,-3428.903702,0.000184
0.020000,54.973072,108.319000,0.010710,0.118533,2.964074,1788.591113,0.000005
0.020000,55.053621,108.318989,0.091259,4.027446,195.445626,9624.077609,6.282922
0.020000,55.163340,108.318941,0.200977,5.485927,72.924053,-6126.078646,6.282564
0.020000,55.300483,108.318825,0.338121,6.857183,68.562800,-218.062651,6.282116
0.020000,55.465048,108.318605,0.502686,8.228238,68.552779,-0.501092,6.281578
0.020000,55.657030,108.318236,0.694668,9.599115,68.543832,-0.447329,6.280949
0.020000,55.876424,108.317666,0.914063,10.969738,68.531158,-0.633691,6.280229
0.020000,56.123226,108.316836,1.160866,12.340168,68.521479,-0.483971,6.279418
0.020000,56.397428,108.315680,1.435071,13.710237,68.503484,-0.899744,6.278516
0.020000,56.699024,108.314122,1.736670,15.079980,68.487113,-0.818551,6.277521
0.020000,57.028006,108.312079,2.065659,16.449430,68.472507,-0.730304,6.276434
0.020000,57.384365,108.309463,2.422027,17.818418,68.449423,-1.154205,6.275253
0.020000,57.768090,108.306175,2.805767,19.186991,68.428661,-1.038082,6.273979
0.020000,58.179173,108.302109,3.216870,20.555138,68.407323,-1.066876,6.272610
0.020000,58.617600,108.297151,3.655325,21.922758,68.381001,-1.316109,6.271145
0.020000,59.083360,108.291180,4.121123,23.289887,68.356462,-1.226960,6.269584
0.020000,59.576437,108.284064,4.614251,24.656431,68.327197,-1.463253,6.267927
0.020000,60.096817,108.275667,5.134700,26.022416,68.299262,-1.396746,6.266171
0.020000,60.644484,108.265840,5.682455,27.387756,68.266989,-1.613631,6.264317
0.020000,61.219420,108.254429,6.257504,28.752432,68.233811,-1.658943,6.262363
0.020000,61.821606,108.241270,6.859833,30.116489,68.202830,-1.549014,6.260308
0.020000,62.451021,108.226189,7.489429,31.479765,68.163830,-1.949999,6.258151
0.020000,63.107642,108.209006,8.146275,32.842300,68.126741,-1.854465,6.255891
0.020000,63.791446,108.189529,8.830357,34.204101,68.090056,-1.834235,6.253527
0.020000,64.502408,108.167559,9.541658,35.565046,68.047229,-2.141380,6.251057
0.020000,65.240499,108.142886,10.280161,36.925171,68.006257,-2.048568,6.248481
0.020000,66.005690,108.115293,11.045849,38.284404,67.961635,-2.231139,6.245797
0.020000,66.797949,108.084550,11.838705,39.642778,67.918733,-2.145080,6.243003
0.020000,67.617242,108.050421,12.658708,41.000188,67.870499,-2.411692,6.240099
0.020000,68.463534,108.012657,13.505842,42.356688,67.824997,-2.275133,6.237082
0.020000,69.336784,107.971000,14.380085,43.712138,67.772486,-2.625501,6.233952
0.020000,70.236951,107.925183,15.281417,45.066622,67.724197,-2.414468,6.230706
0.020000,71.163991,107.874927,16.209819,46.420061,67.671948,-2.612437,6.227344
0.020000,72.117856,107.819942,17.165267,47.772419,67.617906,-2.702122,6.223863
0.020000,73.098496,107.759930,18.147741,49.123710,67.564562,-2.667176,6.220262
0.020000,74.105856,107.694579,19.157219,50.473897,67.509341,-2.761068,6.216540
0.020000,75.139879,107.623569,20.193678,51.822922,67.451232,-2.905476,6.212694
0.020000,76.200504,107.546565,21.257094,53.170836,67.395685,-2.777305,6.208723
0.020000,77.287666,107.463224,22.347446,54.517574,67.336898,-2.939357,6.204625
0.020000,78.401295,107.373191,23.464708,55.863120,67.277318,-2.979030,6.200398
0.020000,79.541317,107.276097,24.608857,57.207466,67.217282,-3.001797,6.196041
0.020000,80.707654,107.171563,25.779869,58.550602,67.156800,-3.024087,6.191551
0.020000,81.900222,107.059199,26.977720,59.892515,67.095654,-3.057296,6.186928
0.020000,83.118934,106.938600,28.202384,61.233219,67.035209,-3.022259,6.182168
0.020000,84.363695,106.809352,29.453838,62.572676,66.972877,-3.116588,6.177270
0.020000,85.634407,106.671025,30.732056,63.910917,66.912047,-3.041519,6.172233
0.020000,86.930963,106.523180,32.037014,65.247900,66.849145,-3.145105,6.167054
0.020000,88.253252,106.365363,33.368688,66.583686,66.789315,-2.991505,6.161732
0.020000,89.601157,106.197109,34.727053,67.918255,66.728417,-3.044857,6.156264
0.020000,90.974551,106.017939,36.112085,69.251599,66.667231,-3.059334,6.150649
0.020000,92.373303,105.827362,37.523760,70.583782,66.609141,-2.904492,6.144886
0.020000,93.797274,105.624873,38.962056,71.914794,66.550590,-2.927565,6.138971
0.020000,95.246316,105.409955,40.426950,73.244675,66.494065,-2.826224,6.132905
0.020000,96.720274,105.182079,41.918419,74.573451,66.438785,-2.763998,6.126684
0.020000,98.218984,104.940702,43.436442,75.901165,66.385683,-2.655117,6.120308
0.020000,99.742274,104.685268,44.980999,77.227861,66.334797,-2.544310,6.113775
0.020000,101.289961,104.415209,46.552071,78.553588,66.286371,-2.421291,6.107083
0.020000,102.861854,104.129944,48.149639,79.878403,66.240744,-2.281354,6.100231
0.020000,104.457752,103.828881,49.773687,81.202367,66.198201,-2.127157,6.093218
0.020000,106.077443,103.511413,51.424198,82.525559,66.159609,-1.929591,6.086042
0.020000,107.720707,103.176923,53.101159,83.848047,66.124390,-1.760949,6.078703
0.020000,109.387309,102.824782,54.804557,85.169919,66.093622,-1.538399,6.071199
0.020000,111.077006,102.454348,56.534383,86.491284,66.068242,-1.268971,6.063531
0.020000,112.789542,102.064971,58.290627,87.812220,66.046816,-1.071317,6.055696
0.020000,114.524649,101.655987,60.073284,89.132838,66.030897,-0.795929,6.047695
0.020000,116.282048,101.226723,61.882350,90.453284,66.022294,-0.430161,6.039528
0.020000,118.061447,100.776497,63.717823,91.773662,66.018865,-0.171445,6.031194
0.020000,119.862539,100.304615,65.579705,93.094117,66.022787,0.196084,6.022693
0.020000,121.685007,99.810377,67.468001,94.414806,66.034408,0.581052,6.014026
0.020000,123.528519,99.293073,69.382717,95.735810,66.050247,0.791943,6.005193
0.020000,125.392730,98.751988,71.323865,97.057400,66.079498,1.462546,5.996196
0.020000,127.277281,98.186397,73.291459,98.379687,66.114352,1.742736,5.987035
0.020000,129.181798,97.595572,75.285516,99.702823,66.156754,2.120075,5.977711
0.020000,131.105896,96.978777,77.306057,101.027065,66.212110,2.767780,5.968226
0.020000,133.049171,96.335275,79.353107,102.352519,66.272707,3.029859,5.958583
0.020000,135.011210,95.664324,81.426696,103.679437,66.345914,3.660341,5.948783
0.020000,136.991582,94.965179,83.526857,105.008064,66.431364,4.272534,5.938828
0.020000,138.989843,94.237096,85.653627,106.338503,66.521921,4.527857,5.928722
0.020000,141.005534,93.479330,87.807048,107.671028,66.626238,5.215834,5.918467
0.020000,142.620217,92.845942,89.541517,86.723465,-1047.378148,-55700.219293,5.880542
0.020000,143.873958,92.256379,90.926960,69.272112,-872.567657,8740.524523,5.808030
0.020000,145.160736,91.536693,92.401322,73.718130,222.300921,54743.428905,5.740068
0.020000,146.486204,90.677549,93.980877,78.977728,262.979922,2033.950057,5.677883
0.020000,147.851815,89.673448,95.675902,84.751288,288.677972,1284.902480,5.622250
0.020000,149.256424,88.523250,97.491359,90.772840,301.077620,619.982441,5.573543
0.020000,150.698064,87.229741,99.428236,96.843815,303.548748,123.556376,5.531838
0.020000,152.175390,85.798686,101.485032,102.839835,299.800969,-187.388937,5.497020
0.020000,153.688650,84.237757,103.659073,108.702062,293.111366,-334.480133,5.468889
0.020000,155.240229,82.555635,105.947507,114.421699,285.981841,-356.476295,5.447230
0.020000,156.834951,80.761355,108.348044,120.026844,280.257286,-286.227750,5.431870
0.020000,158.480246,78.863951,110.859447,125.570118,277.163669,-154.680813,5.422716
