dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,54.971459,134.819000,0.007172,0.717210,35.860477,1793.023857,0.000116
0.020000,54.972067,134.819000,0.007781,0.030431,-34.338918,-3509.969759,0.000070
0.020000,54.986793,134.819000,0.022506,0.736277,35.292278,3481.559799,6.283164
0.020000,55.074697,134.818992,0.110410,4.395200,182.946164,7382.694282,6.283025
0.020000,55.191917,134.818962,0.227631,5.861022,73.291099,-5482.753253,6.282839
0.020000,55.338467,134.818894,0.374181,7.327494,73.323613,1.625726,6.282604
0.020000,55.514362,134.818767,0.550076,8.794775,73.364055,2.022097,6.282320
0.020000,55.719623,134.818555,0.755337,10.263031,73.412766,2.435569,6.281985
0.020000,55.954271,134.818228,0.989985,11.732427,73.469826,2.852994,6.281597
0.020000,56.218334,134.817750,1.254048,13.203138,73.535561,3.286750,6.281154
0.020000,56.511839,134.817081,1.547554,14.675292,73.607662,3.605030,6.280654
0.020000,56.834819,134.816173,1.870536,16.149095,73.690183,4.126058,6.280095
0.020000,57.187311,134.814974,2.223030,17.624689,73.779684,4.475045,6.279473
0.020000,57.569353,134.813426,2.605074,19.102247,73.877917,4.911630,6.278787
0.020000,57.980987,134.811460,3.016713,20.581936,73.984449,5.326611,6.278032
0.020000,58.422259,134.809005,3.457992,22.063933,74.099855,5.770292,6.277205
0.020000,58.893217,134.805977,3.928959,23.548379,74.222282,6.121390,6.276303
0.020000,59.393913,134.802286,4.429669,25.035492,74.355645,6.668109,6.275322
0.020000,59.924402,134.797833,4.960177,26.525403,74.495531,6.994337,6.274256
0.020000,60.484743,134.792508,5.520543,28.018296,74.644695,7.458165,6.273102
0.020000,61.074996,134.786190,6.110830,29.514349,74.802641,7.897345,6.271856
0.020000,61.695226,134.778747,6.731105,31.013746,74.969833,8.359562,6.270511
0.020000,62.345501,134.770036,7.381438,32.516653,75.145339,8.775299,6.269063
0.020000,63.025891,134.759899,8.061903,34.023263,75.330536,9.259846,6.267506
0.020000,63.736469,134.748165,8.772578,35.533734,75.523514,9.648907,6.265834
0.020000,64.477311,134.734648,9.513544,37.048284,75.727498,10.199225,6.264041
0.020000,65.248497,134.719144,10.284885,38.567078,75.939741,10.612143,6.262120
0.020000,66.050107,134.701436,11.086691,40.090298,76.160980,11.061948,6.260066
0.020000,66.882226,134.681285,11.919054,41.618154,76.392783,11.590134,6.257871
0.020000,67.744940,134.658435,12.782071,43.150812,76.632909,12.006323,6.255527
0.020000,68.638337,134.632607,13.675841,44.688517,76.885267,12.617865,6.253027
0.020000,69.562507,134.603502,14.600469,46.231396,77.143940,12.933690,6.250364
0.020000,70.517541,134.570796,15.556064,47.779729,77.416672,13.636560,6.247529
0.020000,71.503533,134.534143,16.542736,49.333631,77.695093,13.921055,6.244513
0.020000,72.520575,134.493169,17.560603,50.893354,77.986150,14.552867,6.241309
0.020000,73.568762,134.447470,18.609786,52.459113,78.287922,15.088587,6.237906
0.020000,74.648186,134.396618,19.690407,54.031071,78.597893,15.498564,6.234295
0.020000,75.758940,134.340149,20.802596,55.609444,78.918677,16.039184,6.230467
0.020000,76.901117,134.277569,21.946485,57.194481,79.251817,16.657026,6.226412
0.020000,78.074803,134.208348,23.122211,58.786303,79.591120,16.965125,6.222119
0.020000,79.280086,134.131920,24.329915,60.385181,79.943915,17.639784,6.217578
0.020000,80.517046,134.047682,25.569740,61.991252,80.303515,17.979959,6.212778
0.020000,81.785760,133.954990,26.841835,63.604745,80.674666,18.557576,6.207707
0.020000,83.086295,133.853157,28.146351,65.225809,81.053206,18.926988,6.202355
0.020000,84.418714,133.741454,29.483444,66.854647,81.441890,19.434218,6.196709
0.020000,85.783067,133.619103,30.853272,68.491397,81.837537,19.782317,6.190758
0.020000,87.179393,133.485281,32.255996,70.136190,82.239651,20.105725,6.184490
0.020000,88.607717,133.339114,33.691779,71.789175,82.649243,20.479602,6.177891
0.020000,90.068047,133.179676,35.160788,73.450426,83.062545,20.665111,6.170950
0.020000,91.560375,133.005986,36.663189,75.120055,83.481414,20.943429,6.163654
0.020000,93.084666,132.817011,38.199150,76.798054,83.899953,20.926934,6.155990
0.020000,94.640865,132.611658,39.768840,78.484476,84.321139,21.059302,6.147946
0.020000,96.228886,132.388778,41.372424,80.179236,84.737971,20.841622,6.139508
0.020000,97.848609,132.147162,43.010070,81.882269,85.151681,20.685506,6.130666
0.020000,99.499881,131.885540,44.681938,83.593436,85.558321,20.332012,6.121405
0.020000,101.182505,131.602583,46.388188,85.312503,85.953339,19.750874,6.111715
0.020000,102.896240,131.296900,48.128972,87.039198,86.334779,19.071996,6.101583
0.020000,104.640792,130.967042,49.904436,88.773155,86.697822,18.152157,6.091000
0.020000,106.415812,130.611499,51.714714,90.513901,87.037319,16.974832,6.079953
0.020000,108.220888,130.228705,53.559932,92.260897,87.349808,15.624467,6.068435
0.020000,110.055539,129.817040,55.440201,94.013471,87.628706,13.944904,6.056437
0.020000,111.919211,129.374832,57.355618,95.770851,87.868974,12.013387,6.043951
0.020000,113.811269,128.900363,59.306260,97.532097,88.062312,9.666914,6.030972
0.020000,115.730992,128.391874,61.292184,99.296223,88.206307,7.199764,6.017495
0.020000,117.677565,127.847570,63.313425,101.062015,88.289606,4.164942,6.003517
0.020000,119.650077,127.265630,65.369989,102.828220,88.310238,1.031580,5.989039
0.020000,121.647512,126.644216,67.461856,104.593326,88.255302,-2.746768,5.974062
0.020000,123.668749,125.981480,69.588970,106.355738,88.120575,-6.736391,5.958589
0.020000,125.712555,125.275577,71.751248,108.113869,87.906565,-10.700488,5.942627
0.020000,127.777586,124.524680,73.948564,109.865795,87.596310,-15.512730,5.926186
0.020000,129.862382,123.726990,76.180757,111.609650,87.192740,-20.178514,5.909278
0.020000,131.965374,122.880749,78.447626,113.343457,86.690380,-25.117998,5.891918
0.020000,134.084874,121.984261,80.748924,115.064922,86.073217,-30.858123,5.874124
0.020000,136.219101,121.035899,83.084372,116.772367,85.372241,-35.048841,5.855918
0.020000,138.267999,120.080834,85.344932,113.028021,-187.217304,-13629.477230,5.836788
0.020000,140.654959,118.880338,88.016778,133.592322,1028.215092,60771.619818,5.797513
0.020000,143.028607,117.565758,90.730139,135.668055,103.786613,-46221.423984,5.757270
0.020000,145.379201,116.136277,93.481268,137.556424,94.418456,-468.407853,5.716340
0.020000,147.696884,114.592791,96.265869,139.230059,83.681755,-536.835025,5.675049
0.020000,149.972084,112.937977,99.079220,140.667558,71.874945,-590.340526,5.633753
0.020000,152.189108,111.181880,101.907483,141.413152,37.279696,-1729.762445,5.592955
0.020000,154.322801,109.347464,104.721329,140.692297,-36.042726,-3666.121083,5.553363
0.020000,156.352604,107.461000,107.492402,138.553624,-106.933678,-3544.547597,5.515606
0.020000,158.272220,105.541022,110.207406,135.750189,-140.171747,-1661.903456,5.480032
0.020000,160.083936,103.599748,112.862751,132.767269,-149.145995,-448.712422,5.446798
0.020000,161.792619,101.647065,115.457470,129.735979,-151.564467,-120.923592,5.415975
0.020000,163.403988,99.691686,117.991245,126.688734,-152.362291,-39.891189,5.387588
0.020000,164.924288,97.741144,120.464285,123.651996,-151.836863,26.271398,5.361621
0.020000,166.360022,95.801847,122.877210,120.646255,-150.287057,77.490296,5.338026
0.020000,167.717734,93.879175,125.230941,117.686551,-147.985232,115.091238,5.316735
0.020000,169.003842,91.977601,127.526602,114.783020,-145.176544,140.434413,5.297662
0.020000,170.224522,90.100807,129.765444,111.942112,-142.045376,156.558426,5.280713
