dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,54.973000,121.569000,0.007172,0.717210,35.860477,1793.023857,0.000116
0.020000,54.973000,121.569000,0.035860,2.151629,71.720954,1793.023857,0.000070
0.020000,54.986505,121.569000,0.093237,3.586048,71.720954,0.000000,6.283164
0.020000,55.072570,121.568992,0.179302,5.020467,71.720954,0.000000,6.283025
0.020000,55.187324,121.568963,0.294056,6.454886,71.720954,-0.000000,6.282839
0.020000,55.330766,121.568896,0.437498,7.889305,71.720954,0.000000,6.282604
0.020000,55.502896,121.568772,0.609628,9.323724,71.720954,-0.000000,6.282320
0.020000,55.703714,121.568565,0.810447,10.758143,71.720954,0.000000,6.281985
0.020000,55.933221,121.568245,1.039954,12.192562,71.720954,-0.000000,6.281597
0.020000,56.191416,121.567777,1.298149,13.626981,71.720954,0.000000,6.281154
0.020000,56.478299,121.567123,1.585033,15.061400,71.720954,0.000000,6.280654
0.020000,56.793870,121.566236,1.900605,16.495819,71.720954,-0.000000,6.280095
0.020000,57.138129,121.565066,2.244866,17.930239,71.720954,0.000000,6.279473
0.020000,57.511075,121.563554,2.617815,19.364658,71.720954,-0.000000,6.278787
0.020000,57.912708,121.561636,3.019452,20.799077,71.720954,-0.000000,6.278032
0.020000,58.343027,121.559242,3.449778,22.233496,71.720954,0.000000,6.277205
0.020000,58.802031,121.556290,3.908792,23.667915,71.720954,0.000000,6.276303
0.020000,59.289720,121.552696,4.396494,25.102334,71.720954,0.000000,6.275322
0.020000,59.806093,121.548361,4.912885,26.536753,71.720954,0.000000,6.274256
0.020000,60.351148,121.543181,5.457965,27.971172,71.720954,-0.000000,6.273102
0.020000,60.924883,121.537040,6.031732,29.405591,71.720954,0.000000,6.271856
0.020000,61.527295,121.529811,6.634188,30.840010,71.720954,0.000000,6.270511
0.020000,62.158383,121.521357,7.265333,32.274429,71.720954,0.000000,6.269063
0.020000,62.818142,121.511528,7.925165,33.708849,71.720954,-0.000000,6.267506
0.020000,63.506570,121.500160,8.613687,35.143268,71.720954,0.000000,6.265834
0.020000,64.223660,121.487076,9.330896,36.577687,71.720954,-0.000000,6.264041
0.020000,64.969407,121.472084,10.076794,38.012106,71.720954,0.000000,6.262120
0.020000,65.743804,121.454977,10.851380,39.446525,71.720954,0.000000,6.260066
0.020000,66.546843,121.435531,11.654655,40.880944,71.720954,-0.000000,6.257871
0.020000,67.378514,121.413502,12.486618,42.315363,71.720954,0.000000,6.255527
0.020000,68.238806,121.388632,13.347270,43.749782,71.720954,-0.000000,6.253027
0.020000,69.127705,121.360637,14.236609,45.184201,71.720954,0.000000,6.250364
0.020000,70.045195,121.329218,15.154638,46.618620,71.720954,0.000000,6.247529
0.020000,70.991258,121.294050,16.101354,48.053039,71.720954,-0.000000,6.244513
0.020000,71.965872,121.254785,17.076759,49.487458,71.720954,0.000000,6.241309
0.020000,72.969012,121.211051,18.080853,50.921878,71.720954,-0.000000,6.237906
0.020000,74.000649,121.162450,19.113634,52.356297,71.720954,0.000000,6.234295
0.020000,75.060749,121.108557,20.175104,53.790716,71.720954,0.000000,6.230467
0.020000,76.149275,121.048917,21.265263,55.225135,71.720954,0.000000,6.226412
0.020000,77.266180,120.983045,22.384110,56.659554,71.720954,-0.000000,6.222119
0.020000,78.411414,120.910426,23.531645,58.093973,71.720954,0.000000,6.217578
0.020000,79.584919,120.830510,24.707869,59.528392,71.720954,0.000000,6.212778
0.020000,80.786626,120.742714,25.912781,60.962811,71.720954,-0.000000,6.207707
0.020000,82.016461,120.646418,27.146381,62.397230,71.720954,0.000000,6.202355
0.020000,83.274336,120.540965,28.408670,63.831649,71.720954,0.000000,6.196709
0.020000,84.560151,120.425659,29.699647,65.266068,71.720954,-0.000000,6.190758
0.020000,85.873795,120.299762,31.019313,66.700487,71.720954,0.000000,6.184490
0.020000,87.215142,120.162497,32.367667,68.134907,71.720954,-0.000000,6.177891
0.020000,88.584047,120.013042,33.744709,69.569326,71.720954,-0.000000,6.170950
0.020000,89.980349,119.850530,35.150440,71.003745,71.720954,0.000000,6.163654
0.020000,91.403867,119.674050,36.584859,72.438164,71.720954,-0.000000,6.155990
0.020000,92.854396,119.482644,38.047966,73.872583,71.720954,0.000000,6.147946
0.020000,94.331708,119.275304,39.539762,75.307002,71.720954,-0.000000,6.139508
0.020000,95.835548,119.050976,41.060246,76.741421,71.720954,0.000000,6.130666
0.020000,97.365630,118.808557,42.609419,78.175840,71.720954,0.000000,6.121405
0.020000,98.921638,118.546895,44.187280,79.610259,71.720954,0.000000,6.111715
0.020000,100.503217,118.264788,45.793829,81.044678,71.720954,0.000000,6.101583
0.020000,102.109979,117.960986,47.429067,82.479097,71.720954,-0.000000,6.091000
0.020000,103.741489,117.634192,49.092993,83.913517,71.720954,0.000000,6.079953
0.020000,105.397273,117.283061,50.785608,85.347936,71.720954,0.000000,6.068435
0.020000,107.076805,116.906206,52.506911,86.782355,71.720954,0.000000,6.056437
0.020000,108.779510,116.502195,54.256902,88.216774,71.720954,0.000000,6.043951
0.020000,110.504759,116.069561,56.035582,89.651193,71.720954,-0.000000,6.030972
0.020000,112.251865,115.606798,57.842950,91.085612,71.720954,0.000000,6.017495
0.020000,114.020081,115.112370,59.679006,92.520031,71.720954,0.000000,6.003517
0.020000,115.808599,114.584718,61.543751,93.954450,71.720954,0.000000,5.989039
0.020000,117.616544,114.022259,63.437184,95.388869,71.720954,0.000000,5.974062
0.020000,119.442973,113.423402,65.359306,96.823288,71.720954,-0.000000,5.958589
0.020000,121.286880,112.786546,67.310116,98.257707,71.720954,0.000000,5.942627
0.020000,123.147186,112.110096,69.289614,99.692126,71.720954,0.000000,5.926186
0.020000,125.022747,111.392468,71.297801,101.126546,71.720954,0.000000,5.909278
0.020000,126.912349,110.632098,73.334676,102.560965,71.720954,0.000000,5.891918
0.020000,128.814712,109.827457,75.400239,103.995384,71.720954,-0.000000,5.874124
0.020000,130.728499,108.977052,77.494491,105.429803,71.720954,0.000000,5.855918
0.020000,132.547732,108.129221,79.617431,106.864222,71.720954,0.000000,5.836788
0.020000,134.469821,107.162550,81.769060,108.298641,71.720954,-0.000000,5.797513
0.020000,136.377040,106.106301,83.949377,109.733060,71.720954,0.000000,5.757270
0.020000,138.264304,104.958588,86.158382,111.167479,71.720954,-0.000000,5.716340
0.020000,140.126641,103.718329,88.396076,112.601898,71.720954,0.000000,5.675049
0.020000,141.959353,102.385317,90.662458,114.036317,71.720954,0.000000,5.633753
0.020000,143.752642,100.964809,92.950357,114.753527,35.860477,-1793.023857,5.592955
0.020000,145.488531,99.472334,95.239781,114.188934,-28.229660,-3204.506845,5.553363
0.020000,147.151864,97.926385,97.510742,112.907131,-64.090137,-1793.023857,5.515606
