dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,54.974541,108.319000,0.007172,0.717210,35.860477,1793.023857,0.000116
0.020000,54.973933,108.319000,0.007781,0.030431,-34.338918,-3509.969759,0.000070
0.020000,54.986217,108.319000,0.020065,0.614229,29.189886,3176.440215,6.283164
0.020000,55.070444,108.318992,0.104292,4.211319,179.854490,7533.230200,6.283025
0.020000,55.182730,108.318964,0.216578,5.614333,70.150730,-5485.187996,6.282839
0.020000,55.323064,108.318899,0.356912,7.016700,70.118334,-1.619810,6.282604
0.020000,55.491429,108.318777,0.525277,8.418252,70.077601,-2.036678,6.282320
0.020000,55.687806,108.318574,0.721654,9.818829,70.028826,-2.438717,6.281985
0.020000,55.912171,108.318261,0.946019,11.218270,69.972049,-2.838881,6.281597
0.020000,56.164499,108.317805,1.198348,12.616420,69.907534,-3.225721,6.281154
0.020000,56.444760,108.317166,1.478609,14.013081,69.833024,-3.725497,6.280654
0.020000,56.752921,108.316300,1.786772,15.408127,69.752333,-4.034575,6.280095
0.020000,57.088947,108.315157,2.122799,16.801369,69.662104,-4.511432,6.279473
0.020000,57.452797,108.313682,2.486652,18.192648,69.563934,-4.908490,6.278787
0.020000,57.844428,108.311812,2.878288,19.581795,69.457325,-5.330489,6.278032
0.020000,58.263795,108.309478,3.297661,20.968649,69.342725,-5.729998,6.277205
0.020000,58.710846,108.306604,3.744721,22.353014,69.218270,-6.222746,6.276303
0.020000,59.185528,108.303105,4.219417,23.734766,69.087559,-6.535516,6.275322
0.020000,59.687784,108.298889,4.721691,25.113691,68.946280,-7.063959,6.274256
0.020000,60.217553,108.293855,5.251483,26.489629,68.796908,-7.468592,6.273102
0.020000,60.774769,108.287890,5.808731,27.862406,68.638827,-7.904058,6.271856
0.020000,61.359364,108.280875,6.393368,29.231852,68.472312,-8.325765,6.270511
0.020000,61.971265,108.272679,7.005324,30.597779,68.296316,-8.799787,6.269063
0.020000,62.610394,108.263156,7.644524,31.960018,68.111957,-9.217943,6.267506
0.020000,63.276671,108.252154,8.310891,33.318363,67.917252,-9.735254,6.265834
0.020000,63.970008,108.239504,9.004345,34.672663,67.715031,-10.111041,6.264041
0.020000,64.690317,108.225024,9.724799,36.022714,67.502511,-10.626025,6.262120
0.020000,65.437501,108.208518,10.472165,37.368317,67.280179,-11.116607,6.260066
0.020000,66.211460,108.189776,11.246351,38.709303,67.049285,-11.544707,6.257871
0.020000,67.012089,108.168570,12.047260,40.045453,66.807531,-12.087695,6.255527
0.020000,67.839275,108.144657,12.874793,41.376620,66.558337,-12.459671,6.253027
0.020000,68.692903,108.117773,13.728844,42.702541,66.296022,-13.115763,6.250364
