dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,54.971610,134.819178,0.007170,0.717033,35.851629,1792.581469,0.000114
0.020000,54.972052,134.819178,0.007612,0.022105,-34.746355,-3529.899216,0.000080
0.020000,54.972937,134.819178,0.008497,0.044252,1.107318,1792.683646,0.000014
0.020000,55.048724,134.819174,0.084284,3.789329,187.253864,9307.327309,6.283098
0.020000,55.165226,134.819156,0.200786,5.825091,101.788101,-4273.288138,6.282964
0.020000,55.310859,134.819112,0.346419,7.281674,72.829143,-1447.947937,6.282796
0.020000,55.485628,134.819026,0.521189,8.738462,72.839399,0.512832,6.282594
0.020000,55.689538,134.818882,0.725099,10.195498,72.851776,0.618857,6.282357
0.020000,55.922595,134.818657,0.958155,11.652814,72.865813,0.701852,6.282085
0.020000,56.184804,134.818328,1.220364,13.110476,72.883090,0.863829,6.281777
0.020000,56.476173,134.817868,1.511734,14.568488,72.900599,0.875427,6.281433
0.020000,56.796711,134.817245,1.832273,16.026927,72.921968,1.068449,6.281052
0.020000,57.146427,134.816426,2.181989,17.485819,72.944615,1.132389,6.280634
0.020000,57.525329,134.815373,2.560893,18.945190,72.968533,1.195895,6.280178
0.020000,57.933429,134.814045,2.968995,20.405122,72.996618,1.404226,6.279682
0.020000,58.370738,134.812396,3.406308,21.865613,73.024531,1.395669,6.279147
0.020000,58.837269,134.810378,3.872842,23.326739,73.056288,1.587854,6.278571
0.020000,59.333033,134.807937,4.368612,24.788508,73.088476,1.609371,6.277953
0.020000,59.858045,134.805017,4.893632,26.251000,73.124605,1.806478,6.277292
0.020000,60.412319,134.801556,5.447917,27.714227,73.161341,1.836810,6.276587
0.020000,60.995869,134.797487,6.031482,29.178252,73.201269,1.996371,6.275837
0.020000,61.608713,134.792740,6.644344,30.643094,73.242057,2.039399,6.275041
0.020000,62.250866,134.787239,7.286520,32.108816,73.286136,2.203973,6.274196
0.020000,62.922345,134.780904,7.958029,33.575453,73.331820,2.284185,6.273303
0.020000,63.623168,134.773647,8.658890,35.043045,73.379592,2.388600,6.272359
0.020000,64.353354,134.765378,9.389123,36.511638,73.429663,2.503532,6.271362
0.020000,65.112922,134.756000,10.148749,37.981284,73.482300,2.631851,6.270312
0.020000,65.901891,134.745408,10.937789,39.452009,73.536242,2.697126,6.269207
0.020000,66.720281,134.733493,11.756266,40.923858,73.592470,2.811407,6.268045
0.020000,67.568114,134.720139,12.604204,42.396886,73.651411,2.947016,6.266824
0.020000,68.445410,134.705222,13.481626,43.871134,73.712377,3.048341,6.265542
0.020000,69.352190,134.688614,14.388559,45.346627,73.774664,3.114323,6.264198
0.020000,70.288478,134.670176,15.325028,46.823446,73.840936,3.313597,6.262789
0.020000,71.254294,134.649762,16.291060,48.301593,73.907341,3.320263,6.261313
0.020000,72.249661,134.627221,17.286682,49.781133,73.977026,3.484240,6.259769
0.020000,73.274603,134.602391,18.311925,51.262120,74.049355,3.616432,6.258154
0.020000,74.329141,134.575101,19.366816,52.744572,74.122591,3.661841,6.256467
0.020000,75.413299,134.545173,20.451387,54.228547,74.198755,3.808158,6.254703
0.020000,76.527100,134.512418,21.565669,55.714089,74.277090,3.916787,6.252862
0.020000,77.670565,134.476638,22.709694,57.201245,74.357806,4.035796,6.250941
0.020000,78.843717,134.437624,23.883495,58.690051,74.440282,4.123792,6.248938
0.020000,80.046579,134.395159,25.087106,60.180550,74.524946,4.233198,6.246849
0.020000,81.279171,134.349011,26.320562,61.672799,74.612489,4.377146,6.244672
0.020000,82.541515,134.298941,27.583898,63.166818,74.700930,4.422038,6.242405
0.020000,83.833630,134.244695,28.877152,64.662667,74.792471,4.577043,6.240044
0.020000,85.155536,134.186009,30.200359,66.160380,74.885614,4.657176,6.237588
0.020000,86.507250,134.122606,31.553559,67.660015,74.981765,4.807564,6.235032
0.020000,87.888789,134.054194,32.936791,69.161587,75.078605,4.842003,6.232375
0.020000,89.300168,133.980471,34.350094,70.665155,75.178386,4.989022,6.229612
0.020000,90.741400,133.901117,35.793509,72.170749,75.279695,5.065458,6.226742
0.020000,92.212496,133.815802,37.267078,73.678423,75.383714,5.200932,6.223761
0.020000,93.713466,133.724177,38.770842,75.188195,75.488608,5.244728,6.220665
0.020000,95.244316,133.625881,40.304844,76.700113,75.595905,5.364837,6.217452
0.020000,96.805049,133.520535,41.869128,78.214210,75.704851,5.447290,6.214118
0.020000,98.395665,133.407744,43.463738,79.730516,75.815292,5.522079,6.210660
0.020000,100.016162,133.287097,45.088720,81.249063,75.927353,5.603018,6.207074
