dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,54.974622,108.319178,0.007170,0.717033,35.851629,1792.581469,0.000114
0.020000,54.974180,108.319178,0.007612,0.022105,-34.746355,-3529.899216,0.000080
0.020000,54.973295,108.319178,0.008497,0.044252,1.107318,1792.683646,0.000014
0.020000,55.046423,108.319175,0.081625,3.656368,180.605831,8974.925649,6.283098
0.020000,55.159371,108.319157,0.194573,5.647427,99.552921,-4052.645480,6.282964
0.020000,55.300551,108.319114,0.335753,7.058977,70.577497,-1448.771227,6.282796
0.020000,55.469957,108.319031,0.505159,8.470321,70.567187,-0.515469,6.282594
0.020000,55.667585,108.318891,0.702788,9.881418,70.554877,-0.615546,6.282357
0.020000,55.893430,108.318673,0.928632,11.292220,70.540114,-0.738126,6.282085
0.020000,56.147484,108.318354,1.182686,12.702709,70.524426,-0.784385,6.281777
0.020000,56.429739,108.317908,1.464942,14.112807,70.504894,-0.976600,6.281433
0.020000,56.740189,108.317305,1.775393,15.522507,70.485028,-0.993310,6.281052
0.020000,57.078823,108.316512,2.114028,16.931754,70.462320,-1.135392,6.280634
0.020000,57.445631,108.315493,2.480837,18.340489,70.436756,-1.278191,6.280178
0.020000,57.840604,108.314207,2.875812,19.748712,70.411133,-1.281154,6.279682
0.020000,58.263727,108.312612,3.298938,21.156336,70.381244,-1.494472,6.279147
0.020000,58.714990,108.310660,3.750205,22.563356,70.350966,-1.513915,6.278571
0.020000,59.194378,108.308300,4.229599,23.969696,70.316987,-1.698941,6.277953
0.020000,59.701877,108.305477,4.737106,25.375349,70.282695,-1.714610,6.277292
0.020000,60.237472,108.302133,5.272711,26.780246,70.244853,-1.892061,6.276587
0.020000,60.801146,108.298202,5.836399,28.184365,70.205951,-1.945105,6.275837
0.020000,61.392881,108.293619,6.428151,29.587640,70.163725,-2.111294,6.275041
0.020000,62.012659,108.288310,7.047952,30.990050,70.120513,-2.160639,6.274196
0.020000,62.660461,108.282198,7.695783,32.391544,70.074672,-2.292055,6.273303
0.020000,63.336266,108.275200,8.371625,33.792077,70.026658,-2.400678,6.272359
0.020000,64.040053,108.267230,9.075457,35.191610,69.976663,-2.499764,6.271362
0.020000,64.771800,108.258195,9.807259,36.590109,69.924931,-2.586582,6.270312
0.020000,65.531481,108.247997,10.567009,37.987513,69.870236,-2.734746,6.269207
0.020000,66.319074,108.236530,11.354685,39.383784,69.813511,-2.836251,6.268045
0.020000,67.134550,108.223686,12.170263,40.778887,69.755154,-2.917841,6.266824
0.020000,67.977884,108.209347,13.013718,42.172777,69.694494,-3.033008,6.265542
0.020000,68.849046,108.193391,13.885026,43.565393,69.630842,-3.182623,6.264198
0.020000,69.748006,108.175688,14.784161,44.956728,69.566749,-3.204649,6.262789
0.020000,70.674733,108.156101,15.711095,46.346699,69.498506,-3.412118,6.261313
0.020000,71.629194,108.134486,16.665800,47.735281,69.429130,-3.468822,6.259769
0.020000,72.611355,108.110692,17.648249,49.122441,69.358002,-3.556404,6.258154
0.020000,73.621179,108.084560,18.658411,50.508110,69.283456,-3.727291,6.256467
0.020000,74.658629,108.055921,19.696257,51.892259,69.207427,-3.801465,6.254703
0.020000,75.723665,108.024600,20.761754,53.274843,69.129193,-3.911672,6.252862
0.020000,76.816247,107.990412,21.854870,54.655822,69.048960,-4.011672,6.250941
0.020000,77.936330,107.953164,22.975573,56.035145,68.966143,-4.140823,6.248938
0.020000,79.083871,107.912651,24.123828,57.412768,68.881168,-4.248764,6.246849
0.020000,80.258821,107.868662,25.299601,58.788662,68.794712,-4.322820,6.244672
0.020000,81.461131,107.820973,26.502857,60.162761,68.704911,-4.490053,6.242405
0.020000,82.690748,107.769352,27.733557,61.535039,68.613897,-4.550686,6.240044
0.020000,83.947619,107.713553,28.991666,62.905444,68.520283,-4.680688,6.237588
0.020000,85.231687,107.653323,30.277145,64.273953,68.425454,-4.741460,6.235032
0.020000,86.542890,107.588394,31.589955,65.640499,68.327263,-4.909536,6.232375
0.020000,87.881167,107.518490,32.930057,67.005057,68.227919,-4.967189,6.229612
0.020000,89.246450,107.443318,34.297408,68.367580,68.126162,-5.087855,6.226742
0.020000,90.638672,107.362577,35.691969,69.728044,68.023205,-5.147892,6.223761
