dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,54.975560,134.819000,0.007153,0.715347,35.767358,1788.367900,6.282992
0.020000,54.974834,134.819000,0.007880,0.036314,-33.951639,-3485.949857,6.283047
0.020000,54.973383,134.819000,0.009331,0.072560,1.812275,1788.195715,6.283156
0.020000,55.041941,134.819005,0.077889,3.427896,167.766791,8297.725792,0.000135
0.020000,55.153505,134.819032,0.189453,5.578208,107.515591,-3012.560016,0.000353
0.020000,55.292970,134.819100,0.328918,6.973274,69.753304,-1888.114351,0.000625
0.020000,55.460344,134.819232,0.496292,8.368689,69.770779,0.873761,0.000951
0.020000,55.655634,134.819455,0.691583,9.764512,69.791119,1.016984,0.001328
0.020000,55.878850,134.819799,0.914799,11.160817,69.815293,1.208705,0.001758
0.020000,56.130003,134.820301,1.165952,12.557672,69.842737,1.372204,0.002239
0.020000,56.409105,134.821000,1.445055,13.955153,69.874036,1.564953,0.002770
0.020000,56.716170,134.821940,1.752122,15.353316,69.908169,1.706669,0.003350
0.020000,57.051213,134.823168,2.087166,16.752239,69.946140,1.898549,0.003978
0.020000,57.414249,134.824735,2.450206,18.151989,69.987514,2.068710,0.004653
0.020000,57.805297,134.826696,2.841259,19.552637,70.032380,2.243302,0.005373
0.020000,58.224375,134.829108,3.260344,20.954250,70.080654,2.413694,0.006137
0.020000,58.671504,134.832033,3.707482,22.356897,70.132371,2.585860,0.006944
0.020000,59.146704,134.835534,4.182695,23.760652,70.187732,2.768034,0.007791
0.020000,59.649998,134.839678,4.686007,25.165578,70.246287,2.927740,0.008677
0.020000,60.181411,134.844535,5.217442,26.571749,70.308560,3.113644,0.009599
0.020000,60.740967,134.850175,5.777026,27.979233,70.374218,3.282930,0.010557
0.020000,61.328693,134.856672,6.364788,29.388101,70.443365,3.457326,0.011548
0.020000,61.944617,134.864101,6.980757,30.798421,70.516004,3.631932,0.012570
0.020000,62.588767,134.872538,7.624962,32.210264,70.592174,3.808516,0.013620
0.020000,63.261173,134.882060,8.297436,33.623699,70.671743,3.978454,0.014696
0.020000,63.961868,134.892745,8.998212,35.038795,70.754786,4.152138,0.015796
0.020000,64.690883,134.904671,9.727324,36.455623,70.841408,4.331095,0.016917
0.020000,65.448252,134.917918,10.484809,37.874252,70.931451,4.502180,0.018056
0.020000,66.234011,134.932562,11.270704,39.294751,71.024959,4.675371,0.019210
0.020000,67.048195,134.948681,12.085048,40.717190,71.121951,4.849638,0.020376
0.020000,67.890842,134.966352,12.927881,42.141639,71.222429,5.023879,0.021553
0.020000,68.761992,134.985648,13.799244,43.568166,71.326355,5.196300,0.022735
0.020000,69.661684,135.006642,14.699181,44.996841,71.433761,5.370276,0.023920
0.020000,70.589960,135.029405,15.627736,46.427733,71.544590,5.541457,0.025106
0.020000,71.546862,135.054002,16.584954,47.860911,71.658911,5.716050,0.026287
0.020000,72.532434,135.080499,17.570883,49.296444,71.776663,5.887640,0.027461
0.020000,73.546723,135.108954,18.585571,50.734401,71.897813,6.057488,0.028624
0.020000,74.589776,135.139422,19.629068,52.174850,72.022484,6.233550,0.029773
0.020000,75.661639,135.171954,20.701425,53.617860,72.150493,6.400457,0.030903
0.020000,76.762364,135.206596,21.802695,55.063500,72.281981,6.574371,0.032010
0.020000,77.892002,135.243384,22.932932,56.511838,72.416915,6.746698,0.033091
