dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,54.970440,108.319000,0.007153,0.715347,35.767358,1788.367900,6.282992
0.020000,54.971166,108.319000,0.007880,0.036314,-33.951639,-3485.949857,6.283047
0.020000,54.972617,108.319000,0.009331,0.072560,1.812275,1788.195715,6.283156
0.020000,55.045522,108.319005,0.082236,3.645231,178.633573,8841.064893,0.000135
0.020000,55.162869,108.319034,0.199583,5.867346,111.105754,-3376.390958,0.000353
0.020000,55.309542,108.319105,0.346256,7.333666,73.315962,-1889.489595,0.000625
0.020000,55.485535,108.319244,0.522249,8.799647,73.299060,-0.845123,0.000951
0.020000,55.690839,108.319478,0.727553,10.265209,73.278104,-1.047775,0.001328
0.020000,55.925444,108.319840,0.962159,11.730291,73.254111,-1.199671,0.001758
0.020000,56.189340,108.320368,1.226055,13.194821,73.226480,-1.381513,0.002239
0.020000,56.482514,108.321102,1.519230,14.658737,73.195822,-1.532918,0.002770
0.020000,56.804952,108.322089,1.841669,16.121958,73.161057,-1.738254,0.003350
0.020000,57.156638,108.323378,2.193358,17.584423,73.123233,-1.891214,0.003978
0.020000,57.537556,108.325022,2.574279,19.046061,73.081886,-2.067329,0.004653
0.020000,57.947686,108.327078,2.984415,20.506803,73.037103,-2.239127,0.005373
0.020000,58.387011,108.329607,3.423746,21.966579,72.988790,-2.415658,0.006137
0.020000,58.855507,108.332671,3.892253,23.425318,72.936978,-2.590637,0.006944
0.020000,59.353153,108.336338,4.389912,24.882956,72.881869,-2.755427,0.007791
0.020000,59.879923,108.340676,4.916700,26.339415,72.822989,-2.944017,0.008677
0.020000,60.435793,108.345756,5.472593,27.794633,72.760881,-3.105402,0.009599
0.020000,61.020734,108.351652,6.057564,29.248537,72.695193,-3.284383,0.010557
0.020000,61.634717,108.358440,6.671585,30.701057,72.626030,-3.458160,0.011548
0.020000,62.277713,108.366195,7.314627,32.152125,72.553393,-3.631816,0.012570
0.020000,62.949689,108.374996,7.986661,33.601672,72.477324,-3.803455,0.013620
0.020000,63.650611,108.384921,8.687653,35.049625,72.397684,-3.982015,0.014696
0.020000,64.380445,108.396051,9.417571,36.495916,72.314552,-4.156583,0.015796
0.020000,65.139153,108.408463,10.176381,37.940477,72.228042,-4.325527,0.016917
0.020000,65.926697,108.422237,10.964046,39.383237,72.137992,-4.502477,0.018056
0.020000,66.743038,108.437451,11.780528,40.824126,72.044453,-4.676970,0.019210
0.020000,67.588133,108.454183,12.625790,42.263075,71.947452,-4.850026,0.020376
0.020000,68.461942,108.472506,13.499790,43.700015,71.846998,-5.022740,0.021553
0.020000,69.364418,108.492496,14.402488,45.134876,71.743059,-5.196920,0.022735
0.020000,70.295516,108.514224,15.333839,46.567590,71.635679,-5.369021,0.023920
0.020000,71.255189,108.537756,16.293801,47.998086,71.524809,-5.543511,0.025106
0.020000,72.243389,108.563158,17.282327,49.426297,71.410530,-5.713942,0.026287
0.020000,73.260065,108.590490,18.299370,50.852153,71.292791,-5.886932,0.027461
0.020000,74.305165,108.619809,19.344882,52.275584,71.171568,-6.061161,0.028624
0.020000,75.378638,108.651166,20.418812,53.696524,71.046999,-6.228441,0.029773
0.020000,76.480428,108.684607,21.521110,55.114902,70.918906,-6.404627,0.030903
0.020000,77.610482,108.720171,22.651723,56.530651,70.787444,-6.573108,0.032010
0.020000,78.768742,108.757891,23.810597,57.943703,70.652588,-6.742793,0.033091
0.020000,79.955151,108.797794,24.997677,59.353988,70.514246,-6.917129,0.034140
0.020000,81.169650,108.839896,26.212906,60.761437,70.372483,-7.088148,0.035155
0.020000,82.412180,108.884209,27.456226,62.165985,70.227375,-7.255409,0.036130
0.020000,83.682680,108.930732,28.727577,63.567562,70.078884,-7.424541,0.037062
0.020000,84.981088,108.979457,30.026899,64.966100,69.926865,-7.600931,0.037945
0.020000,86.307342,109.030364,31.354129,66.361529,69.771469,-7.769802,0.038774
0.020000,87.661378,109.083424,32.709205,67.753784,69.612726,-7.937186,0.039546
