dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,54.987010,134.818993,0.007110,0.710998,35.549916,1777.495820,6.282128
0.020000,54.984459,134.818995,0.009661,0.127573,-29.171263,-3236.058972,6.282320
0.020000,54.979358,134.818998,0.014762,0.255041,6.373414,1777.233842,6.282705
0.020000,54.986090,134.819001,0.021494,0.336605,4.078189,-114.761250,0.000097
0.020000,55.089665,134.819051,0.125070,5.178766,242.108023,11901.491686,0.000866
0.020000,55.219147,134.819225,0.254552,6.474099,64.766666,-8867.067829,0.001826
0.020000,55.374544,134.819598,0.409949,7.769863,64.788214,1.077384,0.002976
0.020000,55.555866,134.820259,0.591272,9.066151,64.814401,1.309385,0.004316
0.020000,55.763131,134.821312,0.798540,10.363398,64.862348,2.397342,0.005845
0.020000,55.996346,134.822875,1.031760,11.661005,64.880355,0.900361,0.007561
0.020000,56.255534,134.825082,1.290957,12.959845,64.941997,3.082072,0.009463
0.020000,56.540706,134.828078,1.576145,14.259393,64.977400,1.770166,0.011550
0.020000,56.851883,134.832026,1.887347,15.560092,65.034938,2.876899,0.013820
0.020000,57.189083,134.837100,2.224585,16.861926,65.091677,2.836966,0.016271
0.020000,57.552334,134.843489,2.587893,18.165375,65.172493,4.040777,0.018901
0.020000,57.941651,134.851396,2.977289,19.469837,65.223077,2.529205,0.021709
0.020000,58.357066,134.861036,3.392816,20.776350,65.325637,5.128015,0.024691
0.020000,58.798598,134.872637,3.834501,22.084248,65.394935,3.464864,0.027845
0.020000,59.266275,134.886442,4.302382,23.394026,65.488902,4.698387,0.031169
0.020000,59.760127,134.902703,4.796501,24.705979,65.597630,5.436396,0.034659
0.020000,60.280180,134.921686,5.316900,26.019948,65.698441,5.040545,0.038311
0.020000,60.826463,134.943670,5.863626,27.336257,65.815483,5.852091,0.042124
0.020000,61.399005,134.968941,6.436725,28.654981,65.936181,6.034884,0.046092
0.020000,61.997838,134.997800,7.036254,29.976423,66.072100,6.795953,0.050212
0.020000,62.622994,135.030556,7.662267,31.300646,66.211168,6.953421,0.054479
