dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,54.973000,121.569000,0.007110,0.710998,35.549916,1777.495820,6.282128
0.020000,54.973000,121.569000,0.035550,2.132995,71.099833,1777.495820,6.282320
0.020000,54.973000,121.569000,0.092430,3.554992,71.099833,0.000000,6.282705
0.020000,54.987378,121.569001,0.177750,4.976988,71.099833,0.000000,0.000097
0.020000,55.101139,121.569055,0.291509,6.398985,71.099833,0.000000,0.000866
0.020000,55.243340,121.569247,0.433709,7.820982,71.099833,0.000000,0.001826
0.020000,55.413979,121.569657,0.604349,9.242978,71.099833,0.000000,0.002976
0.020000,55.613055,121.570383,0.803428,10.664975,71.099833,-0.000000,0.004316
0.020000,55.840573,121.571538,1.030948,12.086972,71.099833,-0.000000,0.005845
0.020000,56.096525,121.573254,1.286907,13.508968,71.099833,0.000000,0.007561
0.020000,56.380916,121.575675,1.571306,14.930965,71.099833,-0.000000,0.009463
0.020000,56.693738,121.578962,1.884146,16.352962,71.099833,-0.000000,0.011550
0.020000,57.034989,121.583291,2.225425,17.774958,71.099833,0.000000,0.013820
0.020000,57.404664,121.588854,2.595144,19.196955,71.099833,0.000000,0.016271
0.020000,57.802764,121.595856,2.993303,20.618952,71.099833,-0.000000,0.018901
0.020000,58.229272,121.604518,3.419902,22.040948,71.099833,0.000000,0.021709
0.020000,58.684190,121.615074,3.874941,23.462945,71.099833,-0.000000,0.024691
0.020000,59.167502,121.627774,4.358420,24.884941,71.099833,0.000000,0.027845
0.020000,59.679196,121.642877,4.870339,26.306938,71.099833,0.000000,0.031169
0.020000,60.219263,121.660660,5.410697,27.728935,71.099833,-0.000000,0.034659
0.020000,60.787683,121.681409,5.979496,29.150931,71.099833,0.000000,0.038311
0.020000,61.384438,121.705423,6.576735,30.572928,71.099833,0.000000,0.042124
0.020000,62.009507,121.733013,7.202413,31.994925,71.099833,-0.000000,0.046092
0.020000,62.662867,121.764500,7.856532,33.416921,71.099833,0.000000,0.050212
0.020000,63.344490,121.800214,8.539090,34.838918,71.099833,-0.000000,0.054479
0.020000,64.054344,121.840497,9.250088,36.260915,71.099833,0.000000,0.058890
0.020000,64.792400,121.885699,9.989527,37.682911,71.099833,0.000000,0.063439
0.020000,65.558616,121.936177,10.757405,39.104908,71.099833,0.000000,0.068121
0.020000,66.352953,121.992295,11.553723,40.526905,71.099833,0.000000,0.072932
0.020000,67.175367,122.054424,12.378481,41.948901,71.099833,-0.000000,0.077864
0.020000,68.025809,122.122942,13.231679,43.370898,71.099833,0.000000,0.082913
0.020000,68.904223,122.198228,14.113317,44.792895,71.099833,0.000000,0.088072
0.020000,69.810560,122.280667,15.023395,46.214891,71.099833,0.000000,0.093335
0.020000,70.744753,122.370646,15.961912,47.636888,71.099833,-0.000000,0.098695
0.020000,71.706740,122.468553,16.928870,49.058885,71.099833,0.000000,0.104145
0.020000,72.696452,122.574776,17.924268,50.480881,71.099833,-0.000000,0.109677
0.020000,73.713816,122.689702,18.948105,51.902878,71.099833,0.000000,0.115284
