dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,54.958990,108.319007,0.007110,0.710998,35.549916,1777.495820,6.282128
0.020000,54.961541,108.319005,0.009661,0.127573,-29.171263,-3236.058972,6.282320
0.020000,54.966642,108.319002,0.014762,0.255041,6.373414,1777.233842,6.282705
0.020000,54.988666,108.319001,0.036787,1.101218,42.308840,1796.771301,0.000097
0.020000,55.112613,108.319060,0.160734,6.197358,254.806987,10624.907342,0.000866
0.020000,55.267533,108.319269,0.315653,7.745960,77.430093,-8868.844679,0.001826
0.020000,55.453413,108.319715,0.501534,9.294063,77.405187,-1.245312,0.002976
0.020000,55.670243,108.320506,0.718366,10.841567,77.375199,-1.499373,0.004316
0.020000,55.918015,108.321765,0.966141,12.388774,77.360326,-0.743657,0.005845
0.020000,56.196704,108.323633,1.244836,13.934743,77.298454,-3.093615,0.007561
0.020000,56.506299,108.326268,1.554442,15.480287,77.277184,-1.063489,0.009463
0.020000,56.846771,108.329846,1.894932,17.024539,77.212631,-3.227666,0.011550
0.020000,57.218096,108.334556,2.266288,18.567783,77.162177,-2.522709,0.013820
0.020000,57.620246,108.340608,2.668483,20.109742,77.097980,-3.209839,0.016271
0.020000,58.053193,108.348223,3.101498,21.650727,77.049225,-2.437726,0.018901
0.020000,58.516892,108.357640,3.565292,23.189741,76.950677,-4.927423,0.021709
0.020000,59.011314,108.369113,4.059847,24.727736,76.899772,-2.545228,0.024691
0.020000,59.536405,108.382910,4.585120,26.263625,76.794436,-5.266840,0.027845
0.020000,60.092117,108.399313,5.141073,27.797687,76.703114,-4.566068,0.031169
0.020000,60.678398,108.418617,5.727672,29.329955,76.613400,-4.485707,0.034659
0.020000,61.295186,108.441132,6.344871,30.859911,76.497801,-5.779966,0.038311
0.020000,61.942414,108.467177,6.992623,32.387600,76.384439,-5.668106,0.042124
0.020000,62.620009,108.497085,7.670878,33.912756,76.257832,-6.330332,0.046092
0.020000,63.327895,108.531199,8.379585,35.435379,76.131131,-6.335071,0.050212
0.020000,64.065986,108.569872,9.118689,36.955169,75.989516,-7.080729,0.054479
0.020000,64.834187,108.613467,9.888126,38.471847,75.833883,-7.781631,0.058890
0.020000,65.632405,108.662353,10.687839,39.985669,75.691082,-7.140092,0.063439
0.020000,66.460527,108.716908,11.517756,41.495830,75.508049,-9.151602,0.068121
0.020000,67.318441,108.777518,12.377808,43.002612,75.339094,-8.447756,0.072932
0.020000,68.206026,108.844570,13.267922,44.505706,75.154730,-9.218226,0.077864
0.020000,69.123150,108.918460,14.188019,46.004828,74.956108,-9.931110,0.082913
0.020000,70.069675,108.999583,15.138013,47.499722,74.744668,-10.571996,0.088072
0.020000,71.045459,109.088339,16.117825,48.990625,74.545158,-9.975462,0.093335
0.020000,72.050344,109.185126,17.127360,50.476752,74.306376,-11.939126,0.098695
0.020000,73.084168,109.290344,18.166526,51.958253,74.075018,-11.567908,0.104145
0.020000,74.146763,109.404388,19.235223,53.434855,73.830122,-12.244773,0.109677
0.020000,75.237949,109.527653,20.333349,54.906321,73.573307,-12.840761,0.115284
0.020000,76.357545,109.660528,21.460802,56.372664,73.317161,-12.807295,0.120958
0.020000,77.505355,109.803393,22.617469,57.833334,73.033500,-14.183040,0.126690
0.020000,78.681181,109.956626,23.803237,59.288406,72.753580,-13.996006,0.132472
0.020000,79.884817,110.120592,25.017990,60.737641,72.461739,-14.592065,0.138295
0.020000,81.116051,110.295647,26.261606,62.180819,72.158897,-15.142111,0.144150
0.020000,82.374665,110.482135,27.533961,63.617748,71.846437,-15.622977,0.150028
0.020000,83.660438,110.680386,28.834929,65.048383,71.531796,-15.732058,0.155919
0.020000,84.973143,110.890716,30.164377,66.472393,71.200489,-16.565350,0.161813
0.020000,86.312548,111.113426,31.522171,67.889728,70.866738,-16.687573,0.167699
0.020000,87.678421,111.348795,32.908176,69.300210,70.524113,-17.131227,0.173569
0.020000,89.070525,111.597088,34.322249,70.703690,70.173972,-17.507057,0.179410
0.020000,90.488625,111.858546,35.764250,72.100046,69.817820,-17.807573,0.185213
0.020000,91.932482,112.133390,37.234033,73.489136,69.454519,-18.165079,0.190966
0.020000,93.401859,112.421815,38.731450,74.870845,69.085409,-18.455509,0.196658
0.020000,94.896520,112.723994,40.256351,76.245059,68.710710,-18.734942,0.202278
0.020000,96.416231,113.040072,41.808584,77.611666,68.330368,-19.017103,0.207815
0.020000,97.960762,113.370168,43.387996,78.970563,67.944852,-19.275785,0.213256
0.020000,99.529887,113.714372,44.994429,80.321688,67.556219,-19.431633,0.218591
0.020000,101.123384,114.072744,46.627727,81.664887,67.159949,-19.813535,0.223806
0.020000,102.741037,114.445311,48.287730,83.000128,66.762076,-19.893648,0.228890
0.020000,104.382638,114.832071,49.974276,84.327319,66.359552,-20.126179,0.233832
0.020000,106.047987,115.232987,51.687203,85.646366,65.952319,-20.361675,0.238617
0.020000,107.736891,115.647985,53.426347,86.957175,65.540472,-20.592333,0.243235
0.020000,109.449169,116.076958,55.191542,88.259740,65.128226,-20.612326,0.247673
0.020000,111.184648,116.519760,56.982620,89.553901,64.708074,-21.007581,0.251918
0.020000,112.943166,116.976209,58.799412,90.839603,64.285092,-21.149102,0.255957
0.020000,114.724576,117.446081,60.641748,92.116785,63.859125,-21.298339,0.259777
0.020000,116.528740,117.929111,62.509454,93.385313,63.426400,-21.636240,0.263366
0.020000,118.355536,118.424995,64.402357,94.645168,62.992757,-21.682159,0.266710
0.020000,120.204852,118.933383,66.320280,95.896154,62.549253,-22.175184,0.269796
0.020000,122.076594,119.453882,68.263045,97.138235,62.104077,-22.258832,0.272611
0.020000,123.970678,119.986051,70.230470,98.371245,61.650479,-22.679866,0.275140
0.020000,125.887039,120.529403,72.222371,99.595066,61.191066,-22.970684,0.277370
