dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,54.970805,134.819000,0.007182,0.718250,35.912477,1795.623827,0.000166
0.020000,54.971592,134.819000,0.007970,0.039379,-33.943513,-3492.799501,0.000106
0.020000,54.979315,134.819000,0.015693,0.386132,17.337645,2564.057938,6.283173
0.020000,55.067872,134.818991,0.104249,4.427837,202.085232,9237.379326,6.282994
0.020000,55.185952,134.818954,0.222330,5.904031,73.809717,-6413.775731,6.282755
0.020000,55.333560,134.818869,0.369938,7.380400,73.818419,0.435080,6.282457
0.020000,55.510701,134.818708,0.547079,8.857054,73.832737,0.715927,6.282097
0.020000,55.717382,134.818440,0.753760,10.334018,73.848209,0.773601,6.281677
0.020000,55.953607,134.818026,0.989986,11.811310,73.864552,0.817149,6.281195
0.020000,56.219388,134.817425,1.255767,13.289040,73.886508,1.097787,6.280651
0.020000,56.514731,134.816587,1.551111,14.767224,73.909218,1.135488,6.280044
0.020000,56.839647,134.815457,1.876029,16.245914,73.934513,1.264734,6.279373
0.020000,57.194148,134.813975,2.230533,17.725177,73.963124,1.430588,6.278637
0.020000,57.578244,134.812075,2.614634,19.205047,73.993494,1.518469,6.277837
0.020000,57.991949,134.809683,3.028346,20.685607,74.028001,1.725352,6.276969
0.020000,58.435277,134.806720,3.471683,22.166867,74.062998,1.749842,6.276034
0.020000,58.908241,134.803101,3.944661,23.648899,74.101621,1.931193,6.275031
0.020000,59.410857,134.798732,4.447297,25.131782,74.144134,2.125626,6.273957
0.020000,59.943142,134.793516,4.979607,26.615519,74.186855,2.136048,6.272812
0.020000,60.505112,134.787344,5.541611,28.100194,74.233763,2.345408,6.271594
0.020000,61.096785,134.780104,6.133328,29.585858,74.283200,2.471833,6.270302
0.020000,61.718179,134.771674,6.754779,31.072555,74.334869,2.583448,6.268935
0.020000,62.369313,134.761924,7.405986,32.560351,74.389781,2.745624,6.267490
0.020000,63.050206,134.750718,8.086972,34.049273,74.446113,2.816594,6.265965
0.020000,63.760879,134.737909,8.797760,35.539411,74.506896,3.039150,6.264360
