dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,54.975195,108.319000,0.007182,0.718250,35.912477,1795.623827,0.000166
0.020000,54.974408,108.319000,0.007970,0.039379,-33.943513,-3492.799501,0.000106
0.020000,54.978978,108.319000,0.012540,0.228515,9.456763,2170.013818,6.283173
0.020000,55.062801,108.318991,0.096364,4.191156,198.132099,9433.766796,6.282994
0.020000,55.174561,108.318957,0.208123,5.587980,69.841159,-6414.546996,6.282755
0.020000,55.314252,108.318876,0.347814,6.984569,69.829484,-0.583756,6.282457
0.020000,55.481870,108.318724,0.515433,8.380932,69.818138,-0.567307,6.282097
0.020000,55.677410,108.318470,0.710973,9.776990,69.802890,-0.762395,6.281677
0.020000,55.900863,108.318079,0.934426,11.172659,69.783466,-0.971165,6.281195
0.020000,56.152221,108.317510,1.185785,12.567946,69.764345,-0.956075,6.280651
0.020000,56.431475,108.316718,1.465040,13.962765,69.740919,-1.171292,6.280044
0.020000,56.738615,108.315650,1.772182,15.357063,69.714911,-1.300420,6.279373
0.020000,57.073628,108.314249,2.107198,16.750803,69.687000,-1.395531,6.278637
0.020000,57.436502,108.312454,2.470076,18.143917,69.655701,-1.564970,6.277837
0.020000,57.827223,108.310195,2.860804,19.536382,69.623248,-1.622639,6.276969
0.020000,58.245776,108.307398,3.279366,20.928105,69.586182,-1.853304,6.276034
0.020000,58.692144,108.303982,3.725747,22.319054,69.547452,-1.936506,6.275031
0.020000,59.166310,108.299861,4.199931,23.709200,69.507288,-2.008208,6.273957
0.020000,59.668255,108.294941,4.701900,25.098444,69.462202,-2.254291,6.272812
0.020000,60.197958,108.289124,5.231635,26.486763,69.415933,-2.313431,6.271594
0.020000,60.755398,108.282303,5.789117,27.874101,69.366901,-2.451622,6.270302
0.020000,61.340552,108.274365,6.374325,29.260397,69.314811,-2.604503,6.268935
0.020000,61.953396,108.265188,6.987237,30.645609,69.260601,-2.710491,6.267490
0.020000,62.593902,108.254647,7.627830,32.029660,69.202540,-2.903015,6.265965
0.020000,63.262044,108.242605,8.296081,33.412529,69.143470,-2.953533,6.264360
0.020000,63.957793,108.228919,8.991964,34.794154,69.081243,-3.111324,6.262672
0.020000,64.681116,108.213439,9.715453,36.174450,69.014770,-3.323682,6.260899
0.020000,65.431982,108.196005,10.466521,37.553403,68.947649,-3.356015,6.259040
0.020000,66.210355,108.176450,11.245140,38.930927,68.876216,-3.571650,6.257091
0.020000,67.016199,108.154596,12.051280,40.307012,68.804275,-3.597077,6.255051
0.020000,67.849474,108.130258,12.884911,41.681548,68.726801,-3.873703,6.252917
0.020000,68.710141,108.103242,13.746001,43.054516,68.648398,-3.920157,6.250688
0.020000,69.598155,108.073341,14.634518,44.425864,68.567371,-4.051356,6.248360
0.020000,70.513470,108.040342,15.550429,45.795521,68.482874,-4.224813,6.245932
0.020000,71.456040,108.004019,16.493698,47.163451,68.396494,-4.319034,6.243400
0.020000,72.425812,107.964137,17.464289,48.529578,68.306371,-4.506141,6.240761
0.020000,73.422733,107.920449,18.462167,49.893881,68.215129,-4.562099,6.238014
0.020000,74.446746,107.872698,19.487293,51.256296,68.120725,-4.720215,6.235155
0.020000,75.497791,107.820614,20.539628,52.616749,68.022692,-4.901614,6.232181
0.020000,76.575805,107.763916,21.619132,53.975221,67.923578,-4.955736,6.229090
0.020000,77.680722,107.702311,22.725765,55.331638,67.820869,-5.135443,6.225877
0.020000,78.812471,107.635491,23.859485,56.685988,67.717485,-5.169168,6.222541
0.020000,79.970977,107.563138,25.020248,58.038177,67.609442,-5.402154,6.219077
0.020000,81.156163,107.484919,26.208012,59.388189,67.500604,-5.441888,6.215482
0.020000,82.367945,107.400488,27.422732,60.735979,67.389522,-5.554146,6.211754
0.020000,83.606235,107.309485,28.664362,62.081497,67.275895,-5.681349,6.207889
0.020000,84.870942,107.211534,29.932856,63.424713,67.160771,-5.756167,6.203882
0.020000,86.161967,107.106247,31.228167,64.765576,67.043167,-5.880235,6.199732
0.020000,87.479208,106.993218,32.550249,66.104071,66.924752,-5.920713,6.195433
0.020000,88.822556,106.872027,33.899052,67.440161,66.804513,-6.011943,6.190983
0.020000,90.191895,106.742238,35.274528,68.773806,66.682249,-6.113240,6.186377
0.020000,91.587104,106.603400,36.676628,70.105004,66.559905,-6.117156,6.181613
0.020000,93.008055,106.455044,38.105303,71.433724,66.435970,-6.196752,6.176686
0.020000,94.454612,106.296683,39.560502,72.759961,66.311873,-6.204881,6.171593
0.020000,95.926632,106.127817,41.042176,74.083701,66.186989,-6.244191,6.166329
0.020000,97.423963,105.947926,42.550275,75.404948,66.062330,-6.232941,6.160891
0.020000,98.946447,105.756471,44.084749,76.723708,65.938026,-6.215190,6.155276
0.020000,100.493914,105.552900,45.645549,78.039993,65.814216,-6.190501,6.149479
0.020000,102.066187,105.336638,47.232625,79.353825,65.691620,-6.129836,6.143497
0.020000,103.663078,105.107095,48.845930,80.665235,65.570507,-6.055636,6.137327
0.020000,105.284390,104.863662,50.485415,81.974264,65.451427,-5.953983,6.130964
0.020000,106.929914,104.605712,52.151035,83.280958,65.334722,-5.835280,6.124405
0.020000,108.599430,104.332599,53.842742,84.585392,65.221674,-5.652376,6.117646
0.020000,110.292708,104.043660,55.560495,85.887618,65.111300,-5.518719,6.110685
0.020000,112.009502,103.738212,57.304250,87.187736,65.005929,-5.268556,6.103519
0.020000,113.749557,103.415557,59.073966,88.485849,64.905629,-5.015002,6.096143
0.020000,115.512603,103.074975,60.869608,89.782065,64.810841,-4.739359,6.088555
0.020000,117.298357,102.715731,62.691138,91.076524,64.722916,-4.396253,6.080754
0.020000,119.106521,102.337074,64.538525,92.369349,64.641244,-4.083623,6.072735
0.020000,120.936783,101.938234,66.411740,93.660735,64.569298,-3.597277,6.064497
0.020000,122.788815,101.518424,68.310756,94.950824,64.504488,-3.240542,6.056039
0.020000,124.662275,101.076844,70.235554,96.239855,64.451537,-2.647507,6.047358
0.020000,126.556802,100.612677,72.186114,97.528007,64.407593,-2.197214,6.038453
0.020000,128.472022,100.125092,74.162425,98.815550,64.377130,-1.523171,6.029323
0.020000,130.407541,99.613244,76.164479,100.102737,64.359384,-0.887281,6.019968
0.020000,132.362949,99.076278,78.192275,101.389760,64.351147,-0.411868,6.010387
0.020000,134.337820,98.513325,80.245816,102.677047,64.364347,0.659992,6.000581
0.020000,136.331708,97.923506,82.325112,103.964840,64.389659,1.265608,5.990550
0.020000,137.854603,97.440450,83.922783,79.883553,-1204.064343,-63422.700070,5.949330
0.020000,139.288612,96.897518,85.456132,76.667427,-160.806332,52162.900528,5.893774
0.020000,140.742805,96.254190,87.046273,79.507030,141.980172,15139.325226,5.840335
0.020000,142.220535,95.506157,88.702545,82.813635,165.330239,1167.503338,5.789718
0.020000,143.723850,94.650281,90.432424,86.493955,184.015984,934.287219,5.742486
0.020000,145.253696,93.684936,92.241379,90.447744,197.689445,683.673091,5.699053
0.020000,146.810298,92.610136,94.132993,94.580706,206.648135,447.934476,5.659688
0.020000,148.393618,91.427462,96.109258,98.813207,211.625030,248.844738,5.624542
0.020000,150.003789,90.139854,98.170952,103.084740,213.576662,97.581638,5.593675
0.020000,151.641475,88.751327,100.318048,107.354795,213.502749,-3.695681,5.567082
0.020000,153.308131,87.266691,102.550063,111.600738,212.297162,-60.279349,5.544729
0.020000,155.006200,85.691301,104.866373,115.815476,210.736884,-78.013880,5.526568
0.020000,156.739237,84.030869,107.266466,120.004684,209.460418,-63.823296,5.512562
0.020000,158.512014,82.291349,109.750147,124.184044,208.967970,-24.622398,5.502695
0.020000,160.330606,80.478894,112.317689,128.377091,209.652363,34.219621,5.496988
0.020000,162.202482,78.599895,114.969963,132.613706,211.830754,108.919585,5.495508
0.020000,164.136615,76.661085,117.708550,136.929328,215.781076,197.516088,5.498374
0.020000,166.143612,74.669743,120.535824,141.363697,221.718467,296.869560,5.505765
0.020000,168.235838,72.633995,123.455015,145.959577,229.794008,403.777054,5.517925
0.020000,170.421788,70.568580,126.462391,150.368819,220.462111,-466.594886,5.535117
0.020000,172.700573,68.499196,129.540575,153.909169,177.017469,-2172.232105,5.557499
0.020000,175.069741,66.453424,132.670773,156.509925,130.037813,-2348.982781,5.585124
0.020000,177.533335,64.452994,135.844260,158.674315,108.219493,-1090.916002,5.618032
0.020000,180.099808,62.516324,139.059454,160.759708,104.269629,-197.493199,5.656261
0.020000,182.777302,60.662633,142.316008,162.827700,103.399612,-43.500863,5.699784
0.020000,185.570659,58.913505,145.611807,164.789957,98.112878,-264.336706,5.748442
0.020000,188.479981,57.292425,148.942281,166.523703,86.687267,-571.280526,5.801891
0.020000,191.499266,55.823689,152.299850,167.878433,67.736516,-947.537545,5.859558
