dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,54.984435,134.818995,0.007172,0.717187,35.859363,1792.968141,6.282322
0.020000,54.981708,134.818997,0.009899,0.136349,-29.041903,-3245.063283,6.282528
0.020000,54.976261,134.819000,0.015346,0.272349,6.800008,1792.095543,6.282939
0.020000,55.019775,134.819009,0.058860,2.175708,95.167933,4418.396250,0.000369
0.020000,55.123688,134.819090,0.162773,5.195639,150.996563,2791.431480,0.001187
0.020000,55.253632,134.819310,0.292717,6.497209,65.078469,-4295.904684,0.002205
0.020000,55.409643,134.819749,0.448729,7.800605,65.169828,4.567961,0.003422
0.020000,55.591763,134.820501,0.630851,9.106082,65.273832,5.200169,0.004832
0.020000,55.800043,134.821674,0.839133,10.414127,65.402245,6.420670,0.006434
0.020000,56.034535,134.823393,1.073632,11.724948,65.541056,6.940568,0.008221
0.020000,56.295304,134.825794,1.334412,13.038977,65.701456,8.019979,0.010191
0.020000,56.582418,134.829029,1.621545,14.356648,65.883565,9.105452,0.012336
0.020000,56.895951,134.833260,1.935106,15.678078,66.071493,9.396392,0.014652
0.020000,57.235986,134.838666,2.275184,17.003870,66.289596,10.905146,0.017132
0.020000,57.602608,134.845432,2.641868,18.334224,66.517689,11.404669,0.019769
0.020000,57.995911,134.853758,3.035259,19.669565,66.767060,12.468541,0.022556
0.020000,58.415989,134.863852,3.455459,21.009979,67.020719,12.682955,0.025484
0.020000,58.862950,134.875932,3.902583,22.356202,67.311154,14.521736,0.028546
0.020000,59.336900,134.890223,4.376749,23.708283,67.604010,14.642814,0.031731
0.020000,59.837954,134.906958,4.878081,25.066629,67.917292,15.664092,0.035032
0.020000,60.366228,134.926376,5.406712,26.431551,68.246121,16.441459,0.038437
0.020000,60.921845,134.948720,5.962779,27.803313,68.588095,17.098692,0.041936
0.020000,61.504932,134.974238,6.546424,29.182261,68.947404,17.965439,0.045520
0.020000,62.115622,135.003179,7.157799,30.568750,69.324476,18.853605,0.049175
0.020000,62.754047,135.035794,7.797057,31.962893,69.707129,19.132665,0.052892
0.020000,63.420350,135.072334,8.464361,33.365210,70.115840,20.435527,0.056656
0.020000,64.114672,135.113045,9.159875,34.775727,70.525854,20.500718,0.060457
0.020000,64.837162,135.158172,9.883774,36.194914,70.959332,21.673904,0.064281
0.020000,65.587973,135.207956,10.636233,37.622944,71.401500,22.108399,0.068114
0.020000,66.367256,135.262627,11.417431,39.059924,71.849021,22.376028,0.071943
0.020000,67.175175,135.322411,12.227559,40.506422,72.324907,23.794301,0.075754
0.020000,68.011892,135.387519,13.066806,41.962318,72.794797,23.494539,0.079533
0.020000,68.877576,135.458154,13.935367,43.428050,73.286622,24.591241,0.083264
0.020000,69.772400,135.534501,14.833442,44.903741,73.784535,24.895644,0.086933
0.020000,70.696545,135.616730,15.761238,46.389803,74.303106,25.928527,0.090524
0.020000,71.650192,135.704993,16.718960,47.886115,74.815584,25.623903,0.094021
0.020000,72.633532,135.799420,17.706824,49.393207,75.354582,26.949925,0.097409
0.020000,73.646764,135.900119,18.725047,50.911155,75.897426,27.142199,0.100670
0.020000,74.690088,136.007171,19.773849,52.440112,76.447860,27.521702,0.103789
0.020000,75.763719,136.120633,20.853459,53.980477,77.018227,28.518339,0.106747
0.020000,76.867875,136.240526,21.964105,55.532281,77.590202,28.598746,0.109529
0.020000,78.002786,136.366843,23.106024,57.095943,78.183107,29.645259,0.112115
0.020000,79.168691,136.499538,24.279456,58.671612,78.783466,30.017929,0.114488
0.020000,80.365840,136.638528,25.484647,60.259547,79.396749,30.664188,0.116629
0.020000,81.594498,136.783688,26.721849,61.860135,80.029395,31.632305,0.118519
0.020000,82.854938,136.934848,27.991321,63.473592,80.672854,32.172916,0.120140
0.020000,84.147450,137.091790,29.293327,65.100276,81.334190,33.066823,0.121469
0.020000,85.472339,137.254243,30.628138,66.740576,82.014980,34.039489,0.122488
0.020000,86.829925,137.421883,31.996035,68.394858,82.714115,34.956768,0.123175
0.020000,88.220546,137.594323,33.397307,70.063570,83.435615,36.074990,0.123508
0.020000,89.644557,137.771116,34.832250,71.747171,84.180015,37.220001,0.123465
0.020000,91.102332,137.951743,36.301174,73.446185,84.950696,38.534024,0.123023
0.020000,92.594268,138.135614,37.804397,75.161145,85.748001,39.865267,0.122157
0.020000,94.120778,138.322059,39.342251,76.892688,86.577171,41.458516,0.120843
0.020000,95.682298,138.510323,40.915079,78.641420,87.436607,42.971757,0.119054
0.020000,97.279286,138.699562,42.523240,80.408072,88.332596,44.799492,0.116763
0.020000,98.912221,138.888832,44.167108,82.193353,89.264033,46.571811,0.113943
0.020000,100.581603,139.077088,45.847071,83.998186,90.241685,48.882635,0.110564
0.020000,102.287952,139.263168,47.563536,85.823225,91.251928,50.512132,0.106594
0.020000,104.031805,139.445792,49.316926,87.669502,92.313850,53.096100,0.102004
0.020000,105.813719,139.623549,51.107683,89.537875,93.418632,55.239113,0.096758
0.020000,107.634260,139.794888,52.936269,91.429309,94.571723,57.654531,0.090822
0.020000,109.494006,139.958109,54.803164,93.344742,95.771649,59.996321,0.084159
0.020000,111.393539,140.111351,56.708869,95.285216,97.023704,62.602755,0.076733
0.020000,113.333437,140.252578,58.653900,97.251593,98.318820,64.755765,0.068504
0.020000,115.314262,140.379572,60.638793,99.244618,99.651276,66.622814,0.059431
0.020000,117.336558,140.489920,62.664097,101.265186,101.028393,68.855855,0.049474
0.020000,119.400826,140.580997,64.730373,103.313831,102.432261,70.193411,0.038589
0.020000,121.507517,140.649961,66.838193,105.390977,103.857312,71.252529,0.026734
0.020000,123.657005,140.693740,68.988127,107.496702,105.286244,71.446594,0.013865
0.020000,125.849569,140.709020,71.180744,109.630845,106.707157,71.045648,6.283125
0.020000,128.085358,140.692244,73.416595,111.792583,108.086859,68.985137,6.268101
0.020000,130.364363,140.639602,75.696208,113.980629,109.402321,65.773104,6.251940
0.020000,132.686381,140.547039,78.020071,116.193138,110.625475,61.157682,6.234604
0.020000,135.050970,140.410259,80.388612,118.427080,111.697062,53.579324,6.216060
0.020000,137.457408,140.224738,82.802190,120.678909,112.591475,44.720673,6.196282
0.020000,139.904640,139.985754,85.261065,122.943712,113.240127,32.432587,6.175250
0.020000,142.391236,139.688416,87.765374,125.215491,113.588966,17.441942,6.152954
0.020000,144.915334,139.327716,90.315115,127.487012,113.576022,-0.647167,6.129394
0.020000,147.474602,138.898590,92.910110,129.749788,113.138809,-21.860677,6.104582
0.020000,150.066195,138.395991,95.549989,131.993941,112.207662,-46.557363,6.078548
0.020000,152.686732,137.814981,98.234162,134.208653,110.735601,-73.603024,6.051335
0.020000,155.332287,137.150827,100.961810,136.382382,108.686435,-102.458280,6.023006
0.020000,157.998404,136.399112,103.731874,138.503191,106.040461,-132.298716,5.993640
0.020000,160.680100,135.555853,106.543027,140.557658,102.723378,-165.854166,5.963336
0.020000,163.371987,134.617594,109.393743,142.535822,98.908162,-190.760813,5.932212
0.020000,166.060495,133.584659,112.273853,144.005469,73.482354,-1271.290390,5.900493
0.020000,168.718278,132.465230,115.157762,144.195460,9.499556,-3199.139896,5.868588
0.020000,171.319259,131.270981,118.019813,143.102545,-54.645762,-3207.265909,5.836911
0.020000,173.851209,130.010579,120.848131,141.415886,-84.332940,-1484.358865,5.805717
0.020000,176.310429,128.690084,123.639451,139.566025,-92.493030,-408.004507,5.775150
0.020000,178.695355,127.315111,126.392345,137.644707,-96.065922,-178.644617,5.745319
0.020000,181.005089,125.891345,129.105642,135.664814,-98.994641,-146.435944,5.716313
0.020000,183.239313,124.424456,131.778378,133.636832,-101.399117,-120.223823,5.688202
0.020000,185.398288,122.919973,134.409850,131.573601,-103.161530,-88.120650,5.661040
0.020000,187.482808,121.383190,136.999623,129.488644,-104.247840,-54.315478,5.634862
0.020000,189.494023,119.819182,139.547388,127.388237,-105.020353,-38.625660,5.609689
0.020000,191.117007,118.522976,141.624459,103.853581,-1176.732786,-53585.621641,5.611554
0.020000,192.768642,117.215533,143.730951,105.324585,73.550172,62514.147926,5.615360
0.020000,194.417421,115.918501,145.828751,104.889980,-21.730256,-4764.021415,5.617657
0.020000,196.060686,114.629983,147.916956,104.410265,-23.985736,-112.774018,5.618513
0.020000,197.695974,113.348147,149.994760,103.890181,-26.004202,-100.923289,5.617989
0.020000,199.320987,112.071237,152.061440,103.333999,-27.809096,-90.244679,5.616139
0.020000,200.933578,110.797579,154.116349,102.745489,-29.425516,-80.821033,5.613013
0.020000,202.531723,109.525582,156.158908,102.127919,-30.878481,-72.648251,5.608653
0.020000,204.113504,108.253747,158.188586,101.483924,-32.199742,-66.063044,5.603101
0.020000,205.677094,106.980670,160.204904,100.815898,-33.401332,-60.079481,5.596392
0.020000,207.220740,105.705052,162.207414,100.125483,-34.520729,-55.969883,5.588559
0.020000,208.742748,104.425700,164.195692,99.413889,-35.579678,-52.947440,5.579636
