dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,54.961565,108.319005,0.007172,0.717187,35.859363,1792.968141,6.282322
0.020000,54.964292,108.319003,0.009899,0.136349,-29.041903,-3245.063283,6.282528
0.020000,54.969739,108.319000,0.015346,0.272349,6.800008,1792.095543,6.282939
0.020000,55.029559,108.319010,0.075166,2.990989,135.931996,6456.599392,0.000369
0.020000,55.155146,108.319108,0.200753,6.279372,164.419137,1424.357067,0.001187
0.020000,55.312076,108.319374,0.357683,7.846516,78.357177,-4303.098031,0.002205
0.020000,55.500314,108.319904,0.545922,9.411927,78.270578,-4.329925,0.003422
0.020000,55.719815,108.320810,0.765424,10.975127,78.159995,-5.529134,0.004832
0.020000,55.970529,108.322223,1.016143,12.535921,78.039703,-6.014641,0.006434
0.020000,56.252397,108.324288,1.298018,14.093780,77.892924,-7.338953,0.008221
0.020000,56.565353,108.327170,1.610987,15.648445,77.733281,-7.982130,0.010191
0.020000,56.909325,108.331045,1.954981,17.199666,77.561056,-8.611232,0.012336
0.020000,57.284227,108.336105,2.329917,18.746815,77.357429,-10.181344,0.014652
0.020000,57.689972,108.342555,2.735714,20.289851,77.151830,-10.279982,0.017132
0.020000,58.126463,108.350611,3.172279,21.828259,76.920395,-11.571762,0.019769
0.020000,58.593595,108.360499,3.639515,23.361799,76.676966,-12.171446,0.022556
0.020000,59.091248,108.372457,4.137312,24.889835,76.401792,-13.758678,0.025484
0.020000,59.619305,108.386728,4.665562,26.412512,76.133876,-13.395812,0.028546
0.020000,60.177635,108.403563,5.224146,27.929172,75.833002,-15.043696,0.031731
0.020000,60.766099,108.423217,5.812937,29.439594,75.521109,-15.594636,0.035032
0.020000,61.384550,108.445948,6.431807,30.943456,75.193067,-16.402127,0.038437
0.020000,62.032834,108.472019,7.080614,32.440391,74.846782,-17.314230,0.041936
0.020000,62.710788,108.501688,7.759217,33.930150,74.487920,-17.943116,0.045520
0.020000,63.418244,108.535214,8.467467,35.412504,74.117728,-18.509584,0.049175
0.020000,64.155023,108.572853,9.205207,36.886963,73.722942,-19.739303,0.052892
0.020000,64.920942,108.614854,9.972277,38.353525,73.328111,-19.741535,0.056656
0.020000,65.715810,108.661459,10.768510,39.811636,72.905554,-21.127877,0.060457
0.020000,66.539430,108.712903,11.593735,41.261269,72.481648,-21.195300,0.064281
0.020000,67.391601,108.769406,12.447777,42.702075,72.040277,-22.068518,0.068114
0.020000,68.272110,108.831177,13.330450,44.133647,71.578618,-23.082955,0.071943
0.020000,69.180748,108.898413,14.241572,45.556117,71.123469,-22.757445,0.075754
0.020000,70.117294,108.971288,15.180949,46.968852,70.636756,-24.335651,0.079533
0.020000,71.081527,109.049962,16.148386,48.371864,70.150632,-24.306240,0.083264
0.020000,72.073220,109.134572,17.143683,49.764821,69.647829,-25.140147,0.086933
0.020000,73.092149,109.225234,18.166637,51.147719,69.144925,-25.145168,0.090524
0.020000,74.138079,109.322036,19.217037,52.519972,68.612646,-26.613944,0.094021
0.020000,75.210779,109.425042,20.294671,53.881714,68.087067,-26.278973,0.097409
0.020000,76.310015,109.534287,21.399322,55.232576,67.543101,-27.198309,0.100670
0.020000,77.435551,109.649773,22.530768,56.572269,66.984687,-27.920696,0.103789
0.020000,78.587154,109.771473,23.688783,57.900762,66.424606,-28.004036,0.106747
0.020000,79.764585,109.899321,24.873135,59.217608,65.842332,-29.113701,0.109529
0.020000,80.967612,110.033218,26.083590,60.522759,65.257563,-29.238441,0.112115
0.020000,82.195999,110.173023,27.319907,61.815850,64.654546,-30.150876,0.114488
0.020000,83.449511,110.318555,28.581839,63.096601,64.037550,-30.849803,0.116629
0.020000,84.727916,110.469591,29.869136,64.364828,63.411355,-31.309750,0.118519
0.020000,86.030982,110.625862,31.181539,65.620124,62.764753,-32.330085,0.120140
0.020000,87.358475,110.787050,32.518782,66.862175,62.102579,-33.108686,0.121469
0.020000,88.710165,110.952789,33.880595,68.090645,61.423516,-33.953150,0.122488
0.020000,90.085819,111.122659,35.266697,69.305109,60.723194,-35.016112,0.123175
0.020000,91.485204,111.296186,36.676800,70.505153,60.002165,-36.051464,0.123508
0.020000,92.908086,111.472839,38.110606,71.690295,59.257097,-37.253402,0.123465
0.020000,94.354228,111.652025,39.567807,72.860039,58.487225,-38.493565,0.123023
0.020000,95.823389,111.833090,41.048083,74.013809,57.688475,-39.937522,0.122157
0.020000,97.315322,112.015313,42.551104,75.151036,56.861380,-41.354732,0.120843
0.020000,98.829775,112.197904,44.076524,76.271027,55.999553,-43.091386,0.119054
0.020000,100.366486,112.380002,45.623987,77.373112,55.104231,-44.766069,0.116763
0.020000,101.925180,112.560671,47.193117,78.456500,54.169424,-46.740351,0.113943
0.020000,103.505573,112.738895,48.783527,79.520512,53.200599,-48.441244,0.110564
0.020000,105.107359,112.913577,50.394809,80.564118,52.180267,-51.016633,0.106594
0.020000,106.730214,113.083535,52.026540,81.586567,51.122451,-52.890788,0.102004
0.020000,108.373794,113.247499,53.678278,82.586875,50.015393,-55.352915,0.096758
0.020000,110.037722,113.404106,55.349560,83.564110,48.861796,-57.679822,0.090822
0.020000,111.721595,113.551901,57.039906,84.517295,47.659243,-60.127649,0.084159
0.020000,113.424971,113.689328,58.748817,85.445560,46.413219,-62.301207,0.076733
0.020000,115.147370,113.814733,60.475776,86.347930,45.118511,-64.735421,0.068504
0.020000,116.888264,113.926359,62.220245,87.223453,43.776148,-67.118135,0.059431
0.020000,118.647077,114.022345,63.981675,88.071498,42.402245,-68.695158,0.049474
0.020000,120.423176,114.100725,65.759503,88.891401,40.995143,-70.355086,0.038589
0.020000,122.215871,114.159430,67.553159,89.682794,39.569672,-71.273551,0.026734
0.020000,124.024407,114.196287,69.362069,90.445536,38.137096,-71.628795,0.013865
0.020000,125.847961,114.209020,71.185669,91.179956,36.720994,-70.805123,6.283125
0.020000,127.685643,114.195258,73.023402,91.886676,35.335993,-69.250058,6.268101
0.020000,129.536490,114.152537,74.874742,92.566984,34.015431,-66.028065,6.251940
0.020000,131.399471,114.078306,76.739201,93.222967,32.799156,-60.813742,6.234604
0.020000,133.273485,113.969938,78.616346,93.857238,31.713525,-54.281575,6.216060
0.020000,135.157372,113.824741,80.505820,94.473712,30.823701,-44.491184,6.196282
0.020000,137.049916,113.639966,82.407363,95.077141,30.171452,-32.612443,6.175250
0.020000,138.949857,113.412821,84.320834,95.673535,29.819678,-17.588709,6.152954
0.020000,140.855903,113.140486,86.246237,96.270162,29.831360,0.584109,6.129394
0.020000,142.766747,112.820130,88.183748,96.875581,30.270944,21.979174,6.104582
0.020000,144.681077,112.448920,90.133737,97.499449,31.193408,46.123202,6.078548
0.020000,146.597599,112.024043,92.096790,98.152627,32.658924,73.275828,6.051335
0.020000,148.515048,111.542718,94.073728,98.846921,34.714666,102.787071,6.023006
0.020000,150.432205,111.002209,96.065623,99.594714,37.389688,133.751104,5.993640
0.020000,152.347886,110.399856,98.073771,100.407424,40.635489,162.290057,5.963336
0.020000,154.260977,109.733070,100.099734,101.298116,44.534585,194.954816,5.932212
0.020000,156.164885,109.001598,102.139320,101.979343,34.061366,-523.660968,5.900493
0.020000,158.043510,108.210348,104.177778,101.922867,-2.823802,-1844.258390,5.868588
0.020000,159.881660,107.366351,106.200431,101.132677,-39.509527,-1834.286252,5.836911
0.020000,161.673612,106.474306,108.202139,100.085409,-52.363385,-642.692926,5.805717
0.020000,163.419202,105.536979,110.183469,99.066500,-50.945431,70.897716,5.775150
0.020000,165.119282,104.556811,112.145866,98.119814,-47.334292,180.556949,5.745319
0.020000,166.774685,103.536354,114.090523,97.232855,-44.347960,149.316627,5.716313
0.020000,168.386204,102.478268,116.018356,96.391663,-42.059617,114.417119,5.688202
0.020000,169.954628,101.385272,117.930055,95.584967,-40.334820,86.239861,5.661040
0.020000,171.480765,100.260107,119.826128,94.803613,-39.067686,63.356702,5.634862
0.020000,172.965379,99.105566,121.706830,94.035138,-38.423739,32.197320,5.609689
0.020000,174.627010,97.778579,123.833309,106.323942,614.440210,32643.197496,5.611554
0.020000,176.357719,96.408525,126.040661,110.367600,202.182897,-20612.865685,5.615360
0.020000,178.054335,95.073852,128.199332,107.933512,-121.704421,-16194.365887,5.617657
0.020000,179.715450,93.771333,130.310222,105.544531,-119.449019,112.770096,5.618513
0.020000,181.339810,92.498065,132.374140,103.195869,-117.433118,100.795077,5.617989
0.020000,182.926287,91.251444,134.391805,100.883263,-115.630282,90.141767,5.616139
0.020000,184.473866,90.029145,136.363864,98.602970,-114.014686,80.779827,5.613013
0.020000,185.981631,88.829098,138.290899,96.351765,-112.560237,72.722440,5.608653
0.020000,187.448749,87.649477,140.173436,94.126818,-111.247362,65.643750,5.603101
0.020000,188.874474,86.488672,142.011957,91.926046,-110.038579,60.439143,5.596392
0.020000,190.258136,85.345285,143.806909,89.747629,-108.920857,55.886117,5.588559
0.020000,191.599142,84.218108,145.558715,87.590291,-107.866890,52.698318,5.579636
0.020000,192.896976,83.106112,147.267782,85.453348,-106.847132,50.987895,5.569652
0.020000,194.151205,82.008434,148.934511,83.336440,-105.845409,50.086183,5.558638
0.020000,195.361477,80.924366,150.559307,81.239818,-104.831097,50.715596,5.546624
0.020000,196.527532,79.853341,152.142588,79.164048,-103.788513,52.129174,5.533643
0.020000,197.649202,78.794922,153.684793,77.110248,-102.689996,54.925858,5.519726
0.020000,198.726419,77.748788,155.186390,75.079850,-101.519925,58.503568,5.504910
0.020000,199.759220,76.714726,156.647882,73.074612,-100.261871,62.902717,5.489233
0.020000,200.747751,75.692617,158.069818,71.096800,-98.890616,68.562740,5.472735
0.020000,201.692272,74.682419,159.452793,69.148724,-97.403799,74.340816,5.455462
0.020000,202.593161,73.684162,160.797456,67.233155,-95.778429,81.268505,5.437462
0.020000,203.450912,72.697931,162.104509,65.352646,-94.025446,87.649143,5.418790
0.020000,204.266136,71.723855,163.374712,63.510130,-92.125804,94.982106,5.399501
0.020000,205.039558,70.762096,164.608876,61.708230,-90.095006,101.539933,5.379658
0.020000,205.772015,69.812840,165.807868,59.949576,-87.932722,108.114171,5.359325
0.020000,206.464443,68.876286,166.972595,58.236387,-85.659448,113.663728,5.338571
0.020000,207.117875,67.952640,168.104008,56.570639,-83.287400,118.602362,5.317468
0.020000,207.733426,67.042110,169.203084,54.953804,-80.841743,122.282869,5.296090
0.020000,208.312285,66.144900,170.270821,53.386834,-78.348484,124.662973,5.274511
0.020000,208.855698,65.261210,171.308225,51.870178,-75.832806,125.783887,5.252808
0.020000,209.364960,64.391235,172.316295,50.403520,-73.332890,124.995809,5.231057
0.020000,209.841399,63.535163,173.296016,48.986057,-70.873181,122.985449,5.209331
0.020000,210.286367,62.693179,174.248346,47.616496,-68.478018,119.758114,5.187703
0.020000,210.701223,61.865473,175.174199,46.292640,-66.192831,114.259374,5.166241
0.020000,211.087331,61.052231,176.074444,45.012265,-64.018726,108.705227,5.145012
0.020000,211.446040,60.253654,176.949886,43.772073,-62.009634,100.454632,5.124076
0.020000,211.778689,59.469949,177.801266,42.569014,-60.152941,92.834622,5.103489
0.020000,212.086593,58.701330,178.629263,41.399879,-58.456735,84.810296,5.083302
0.020000,212.371038,57.948035,179.434473,40.260474,-56.970261,74.323698,5.063561
0.020000,212.633285,57.210307,180.217427,39.147682,-55.639595,66.533302,5.044304
0.020000,212.874554,56.488416,180.978568,38.057092,-54.529508,55.504355,5.025567
0.020000,213.096035,55.782642,181.718279,36.985519,-53.578639,47.543464,5.007378
0.020000,213.298883,55.093270,182.436875,35.929829,-52.784483,39.707781,4.989759
0.020000,213.484214,54.420609,183.134600,34.886223,-52.180299,30.209211,4.972731
0.020000,213.653107,53.764973,183.811641,33.852052,-51.708576,23.586147,4.956306
0.020000,213.806605,53.126684,184.468127,32.824284,-51.388389,16.009355,4.940496
0.020000,213.945712,52.506069,185.104141,31.800729,-51.177751,10.531892,4.925305
0.020000,214.071399,51.903455,185.719722,30.779054,-51.083735,4.700794,4.910737
0.020000,214.184595,51.319168,186.314874,29.757577,-51.073884,0.492592,4.896793
0.020000,214.286197,50.753534,186.889560,28.734308,-51.163417,-4.476693,4.883468
0.020000,214.377063,50.206870,187.443724,27.708212,-51.304822,-7.070224,4.870760
0.020000,214.458016,49.679490,187.977281,26.677867,-51.517251,-10.621460,4.858663
0.020000,214.529843,49.171690,188.490136,25.642743,-51.756183,-11.946597,4.847167
0.020000,214.593294,48.683765,188.982169,24.601644,-52.054957,-14.938690,4.836265
0.020000,214.649084,48.215993,189.453257,23.554376,-52.363393,-15.421811,4.825947
0.020000,214.697893,47.768640,189.903265,22.500401,-52.698739,-16.767290,4.816204
0.020000,214.740367,47.341957,190.332057,21.439592,-53.040475,-17.086788,4.807025
0.020000,214.777115,46.936177,190.739497,20.372021,-53.378541,-16.903305,4.798398
0.020000,214.808710,46.551541,191.125429,19.296594,-53.771371,-19.641504,4.790314
0.020000,214.835696,46.188241,191.489729,18.215023,-54.078531,-15.357993,4.782763
0.020000,214.858578,45.846478,191.832258,17.126426,-54.429861,-17.566539,4.775733
0.020000,214.877829,45.526435,192.152879,16.031035,-54.769563,-16.985066,4.769215
0.020000,214.893889,45.228278,192.451469,14.929503,-55.076589,-15.351303,4.763199
0.020000,214.907166,44.952163,192.727902,13.821676,-55.391316,-15.736361,4.757676
0.020000,214.918032,44.698218,192.982079,12.708846,-55.641507,-12.509541,4.752638
0.020000,214.926831,44.466583,193.213881,11.590103,-55.937177,-14.783493,4.748078
0.020000,214.933872,44.257367,193.423216,10.466736,-56.168350,-11.558670,4.743986
0.020000,214.939433,44.070671,193.609995,9.338969,-56.388323,-10.998627,4.740358
0.020000,214.943763,43.906582,193.774141,8.207272,-56.584875,-9.827632,4.737186
0.020000,214.947078,43.765175,193.915587,7.072299,-56.748646,-8.188520,4.734466
0.020000,214.949563,43.646525,194.034263,5.933822,-56.923852,-8.760289,4.732192
0.020000,214.951373,43.550673,194.130132,4.793421,-57.020028,-4.808801,4.730362
0.020000,214.952634,43.477681,194.203135,3.650151,-57.163535,-7.175381,4.728972
0.020000,214.953442,43.427577,194.253245,2.505532,-57.230925,-3.369490,4.728020
0.020000,214.953860,43.400369,194.280457,1.360586,-57.247320,-0.819756,4.727503
0.020000,214.953994,43.391421,194.289405,0.447417,-45.658458,579.443128,4.727334
0.020000,214.954010,43.390350,194.290477,0.053581,-19.691795,1298.333143,4.727313
0.020000,214.954010,43.390350,194.290477,0.000000,-2.679035,850.637966,4.727313
