dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,150.121940,99.310147,0.003716,0.148647,2.972942,59.458844,6.282280
0.050000,150.118602,99.310150,0.007054,0.066749,-1.637972,-92.218283,6.282515
0.050000,150.111087,99.310153,0.014569,0.150303,1.671095,66.181339,6.283042
0.050000,150.148078,99.310169,0.051560,0.739816,11.790255,202.383192,0.000796
0.050000,150.219993,99.310279,0.123475,1.438300,13.969685,43.588610,0.002269
0.050000,150.323381,99.310623,0.226864,2.067779,12.589571,-27.602274,0.004402
0.050000,150.463783,99.311446,0.367268,2.808091,14.806251,44.333595,0.007327
0.050000,150.646601,99.313138,0.550094,3.656513,16.968425,43.243478,0.011188
0.050000,150.877044,99.316285,0.780559,4.609300,19.055737,41.746247,0.016138
0.050000,151.160064,99.321729,1.063631,5.661447,21.042945,39.744157,0.022352
0.050000,151.500267,99.330634,1.403950,6.806376,22.898587,37.112829,0.030025
0.050000,151.901805,99.344563,1.805730,8.035599,24.584450,33.717265,0.039383
0.050000,152.368226,99.365564,2.272623,9.337869,26.045418,29.219352,0.050690
0.050000,152.902308,99.396265,2.807587,10.699266,27.227938,23.650409,0.064263
0.050000,153.505774,99.439966,3.412633,12.100926,28.033200,16.105239,0.080479
0.050000,154.179020,99.500742,4.088617,13.519682,28.375107,6.838150,0.099802
0.050000,154.920675,99.583514,4.834877,14.925194,28.110246,-5.297238,0.122798
0.050000,155.727052,99.694085,5.648799,16.278438,27.064887,-20.907179,0.150173
0.050000,156.591504,99.839087,6.525328,17.530591,25.043047,-40.436782,0.182803
0.050000,157.503635,100.025773,7.456368,18.620788,21.803955,-64.781850,0.221776
0.050000,158.446417,100.260981,8.428046,19.433575,16.255736,-110.964380,0.268327
0.050000,159.396538,100.550014,9.421157,19.862223,8.572964,-153.655436,0.323803
0.050000,160.327672,100.895993,10.414491,19.866672,0.088961,-169.680056,0.389690
0.050000,161.213019,101.299171,11.387319,19.456551,-8.202415,-165.827531,0.467444
0.050000,162.029189,101.757084,12.323170,18.717032,-14.790385,-131.759392,0.557957
0.050000,162.764501,102.268961,13.219106,17.918707,-15.966496,-23.522218,0.660916
0.050000,163.426287,102.845759,14.096977,17.557425,-7.225635,174.817221,0.774264
0.050000,164.037670,103.520349,15.007395,18.208357,13.018644,404.885562,0.893929
0.050000,164.622878,104.348705,16.021615,20.284401,41.520878,570.044695,1.014388
0.050000,165.189648,105.395381,17.211891,23.805533,70.422647,578.035368,1.130053
0.050000,165.722727,106.710875,18.631291,28.388000,91.649323,424.533535,1.236679
0.050000,166.191941,108.316926,20.304480,33.463782,101.515650,197.326522,1.332018
0.050000,166.565452,110.206703,22.230816,38.526702,101.258399,-5.145004,1.415595
0.050000,166.818851,112.354256,24.393267,43.249030,94.446554,-136.236914,1.488086
0.050000,166.937956,114.724982,26.766983,47.474329,84.505988,-198.811314,1.550712
0.050000,166.919533,117.210770,29.252839,49.717114,44.855703,-793.005703,1.605619
0.050000,166.757378,119.669654,31.717065,49.284512,-8.652036,-1070.154772,1.670236
0.050000,166.441235,121.965799,34.034871,46.356126,-58.567720,-998.313687,1.748506
0.050000,165.972893,124.032261,36.153742,42.377410,-79.574336,-420.132320,1.843591
0.050000,165.371782,125.803936,38.024614,37.417449,-99.199222,-392.497722,1.958410
0.050000,164.673618,127.242362,39.623521,31.978139,-108.786198,-191.739504,2.094126
0.050000,163.907876,128.368604,40.985425,27.238084,-94.801098,279.701996,2.247769
0.050000,163.054331,129.270772,42.227378,24.839052,-47.980640,936.409149,2.410609
0.050000,162.024090,130.052401,43.520567,25.863787,20.494711,1369.507035,2.570059
0.050000,160.709424,130.762889,45.014937,29.887388,80.472020,1199.546173,2.715022
0.050000,159.054555,131.387152,46.783636,35.373983,109.731895,585.197494,2.839850
0.050000,157.074023,131.886322,48.826104,40.849365,109.507639,-4.485112,2.944065
0.050000,154.824997,132.232010,51.101542,45.508758,93.187861,-326.395568,3.030008
0.050000,152.376040,132.415206,53.557342,49.115993,72.144703,-420.863156,3.100848
0.050000,149.857564,132.442730,56.075968,50.372525,25.130645,-940.281154,3.159154
0.050000,147.396366,132.323963,58.540029,49.281230,-21.825904,-939.130992,3.222936
0.050000,145.155730,132.060686,60.796081,45.121028,-83.204049,-1227.562893,3.297283
0.050000,143.173374,131.665215,62.817499,40.428366,-93.853227,-212.983568,3.383542
0.050000,141.477150,131.160627,64.587184,35.393703,-100.693264,-136.800732,3.482392
0.050000,140.072804,130.577105,66.107936,30.415035,-99.573359,22.398108,3.593118
0.050000,138.933782,129.940889,67.412597,26.093218,-86.436341,262.740350,3.712897
0.050000,138.003463,129.259555,68.565728,23.062613,-60.612098,516.484854,3.836680
0.050000,137.214914,128.516023,69.649540,21.676243,-27.727398,657.694006,3.958178
0.050000,136.516295,127.680370,70.738753,21.784256,2.160251,597.752991,4.071627
0.050000,135.882784,126.730922,71.880150,22.827941,20.873699,374.268950,4.173224
0.050000,135.310676,125.667392,73.087793,24.152873,26.498648,112.498982,4.261460
0.050000,134.804798,124.510112,74.350810,25.260335,22.149239,-86.988182,4.336576
0.050000,134.369402,123.291743,75.644638,25.876561,12.324506,-196.494669,4.399775
0.050000,134.004564,122.048480,76.940327,25.913782,0.744434,-231.601434,4.452620
0.050000,133.705863,120.812641,78.211751,25.428485,-9.705945,-209.007572,4.496740
0.050000,133.466130,119.610250,79.437809,24.521153,-18.146641,-168.813932,4.533614
0.050000,133.277298,118.462394,80.601094,23.265697,-25.109127,-139.249712,4.564464
0.050000,133.131210,117.385168,81.688180,21.741727,-30.479384,-107.405145,4.590287
0.050000,133.019965,116.388121,82.691414,20.064678,-33.540987,-61.232059,4.611938
0.050000,132.936458,115.475360,83.607987,18.331460,-34.664369,-22.467647,4.630135
0.050000,132.874728,114.648446,84.437202,16.584293,-34.943330,-5.579204,4.645448
0.050000,132.829863,113.906999,85.180005,14.856059,-34.564678,7.573025,4.658332
0.050000,132.797868,113.249194,85.838587,13.171651,-33.688164,17.530278,4.669154
0.050000,132.775540,112.672106,86.416107,11.550402,-32.424989,25.263511,4.678216
0.050000,132.760343,112.171969,86.916475,10.007351,-30.861013,31.279525,4.685764
0.050000,132.750298,111.744394,87.344168,8.553870,-29.069615,35.827958,4.692005
0.050000,132.743884,111.384486,87.704133,7.199301,-27.091390,39.564505,4.697114
0.050000,132.739955,111.086997,88.001648,5.950299,-24.980042,42.226941,4.701241
0.050000,132.737668,110.846369,88.242287,4.812775,-22.750474,44.591367,4.704518
0.050000,132.736418,110.656853,88.431807,3.790397,-20.447565,46.058178,4.707062
0.050000,132.735788,110.512514,88.576148,2.886825,-18.071432,47.522660,4.708977
0.050000,132.735502,110.407308,88.681354,2.104119,-15.654125,48.346136,4.710362
0.050000,132.735389,110.335105,88.753557,1.444053,-13.201314,49.056222,4.711306
0.050000,132.735354,110.289707,88.798956,0.907976,-10.721532,49.595652,4.711898
0.050000,132.735345,110.264881,88.823781,0.496506,-8.229410,49.842429,4.712221
0.050000,132.735344,110.254372,88.834291,0.210193,-5.726260,50.062996,4.712357
0.050000,132.735344,110.251914,88.836749,0.049160,-3.220651,50.112198,4.712389
0.050000,132.735344,110.251914,88.836749,0.000000,-0.983207,44.748863,4.712389
