dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,150.109044,85.060153,0.003716,0.148647,2.972942,59.458844,6.282280
0.050000,150.109044,85.060153,0.018581,0.445941,5.945884,59.458844,6.282515
0.050000,150.109044,85.060153,0.052026,0.891883,8.918827,59.458844,6.283042
0.050000,150.159421,85.060173,0.111485,1.486471,11.891769,59.458844,0.000796
0.050000,150.252327,85.060315,0.204390,2.229707,14.864711,59.458844,0.002269
0.050000,150.386110,85.060761,0.338172,3.121589,17.837653,59.458844,0.004402
0.050000,150.568199,85.061829,0.520265,4.162119,20.810595,59.458844,0.007327
0.050000,150.806024,85.064030,0.758100,5.351296,23.783538,59.458844,0.011188
0.050000,151.107006,85.068141,1.059111,6.689120,26.756480,59.458844,0.016138
0.050000,151.478554,85.075289,1.430728,8.175591,29.729422,59.458844,0.022352
0.050000,151.928054,85.087056,1.880386,9.810709,32.702364,59.458844,0.030025
0.050000,152.462861,85.105612,2.415516,11.594475,35.675306,59.458844,0.039383
0.050000,153.090251,85.133868,3.043550,13.526887,38.648249,59.458844,0.050690
0.050000,153.817421,85.175679,3.771920,15.607947,41.621191,59.458844,0.064263
0.050000,154.651364,85.236089,4.608060,17.837653,44.594133,59.458844,0.080479
0.050000,155.598832,85.321650,5.559402,20.216007,47.567075,59.458844,0.099802
0.050000,156.666157,85.440820,6.633377,22.743008,50.540017,59.458844,0.122798
0.050000,157.858987,85.604467,7.837419,25.418656,53.512960,59.458844,0.150173
0.050000,159.181960,85.826520,9.178959,28.242951,56.485902,59.458844,0.182803
0.050000,160.638106,86.124780,10.665430,31.215893,59.458844,59.458844,0.221776
0.050000,162.224361,86.520907,12.300548,34.188835,59.458844,-0.000000,0.268327
0.050000,163.930514,87.040553,14.084314,37.161778,59.458844,0.000000,0.323803
0.050000,165.741277,87.714362,16.016726,40.134720,59.458844,0.000000,0.389690
0.050000,167.634152,88.577868,18.097786,43.107662,59.458844,0.000000,0.467444
0.050000,169.573916,89.668263,20.323776,45.931957,56.485902,-59.458844,0.557957
0.050000,171.511720,91.019576,22.687265,48.607605,53.512960,-59.458844,0.660916
0.050000,173.389744,92.657921,25.180820,51.134606,50.540017,-59.458844,0.774264
0.050000,175.146094,94.594800,27.797010,53.512960,47.567075,-59.458844,0.893929
0.050000,176.723376,96.822720,30.528400,55.742666,44.594133,-59.458844,1.014388
0.050000,178.077844,99.316163,33.367560,57.823726,41.621191,-59.458844,1.130053
0.050000,179.184705,102.037797,36.307057,59.756138,38.648249,-59.458844,1.236679
0.050000,180.037634,104.946575,39.339458,61.539904,35.675306,-59.458844,1.332018
0.050000,180.644174,108.003956,42.457331,63.175022,32.702364,-59.458844,1.415595
0.050000,181.020137,111.176975,45.653244,64.661493,29.729422,-59.458844,1.488086
0.050000,181.185082,114.438797,48.919764,65.999317,26.756480,-59.458844,1.550712
0.050000,181.160894,117.706894,52.249459,67.188494,23.783538,-59.458844,1.605619
0.050000,180.936983,121.084331,55.634897,68.229024,20.810595,-59.458844,1.670236
0.050000,180.466814,124.484849,59.068645,69.120906,17.837653,-59.458844,1.748506
0.050000,179.695953,127.871547,62.543272,69.864142,14.864711,-59.458844,1.843591
0.050000,178.564628,131.190153,66.051343,70.458730,11.891769,-59.458844,1.958410
0.050000,177.016399,134.364037,69.585428,70.904672,8.918827,-59.458844,2.094126
0.050000,175.015362,137.295320,73.138094,71.201966,5.945884,-59.458844,2.247769
0.050000,172.567659,139.880159,76.701909,71.350613,2.972942,-59.458844,2.410609
0.050000,169.732237,142.037682,80.268635,71.318436,-0.643530,-72.329446,2.570059
0.050000,166.605379,143.735946,83.830036,71.137613,-3.616472,-59.458844,2.715022
0.050000,163.289438,144.993337,87.378680,70.808142,-6.589415,-59.458844,2.839850
0.050000,159.870524,145.859227,90.907134,70.330024,-9.562357,-59.458844,2.944065
0.050000,156.411777,146.393388,94.407966,69.703259,-12.535299,-59.458844,3.030008
0.050000,152.956488,146.653380,97.873744,68.927847,-15.508241,-59.458844,3.100848
0.050000,149.607327,146.690533,101.297035,68.003788,-18.481183,-59.458844,3.159154
0.050000,146.238501,146.526845,104.670407,66.931082,-21.454126,-59.458844,3.222936
0.050000,142.946089,146.138327,107.986427,65.709728,-24.427068,-59.458844,3.297283
0.050000,139.759132,145.500151,111.237663,64.339728,-27.400010,-59.458844,3.383542
0.050000,136.714219,144.591077,114.416684,62.821080,-30.372952,-59.458844,3.482392
0.050000,133.854978,143.399006,117.516055,61.153786,-33.345894,-59.458844,3.593118
0.050000,131.228388,141.927940,120.528346,59.337844,-36.318837,-59.458844,3.712897
0.050000,128.877019,140.203527,123.446123,57.373255,-39.291779,-59.458844,3.836680
0.050000,126.829346,138.273199,126.261955,55.260019,-42.264721,-59.458844,3.958178
0.050000,125.092918,136.199111,128.968409,52.998136,-45.237663,-59.458844,4.071627
0.050000,123.654324,134.047155,131.558053,50.587605,-48.210605,-59.458844,4.173224
0.050000,122.485069,131.877569,134.023454,48.028428,-51.183548,-59.458844,4.261460
0.050000,121.549310,129.740268,136.357179,45.320603,-54.156490,-59.458844,4.336576
0.050000,120.810060,127.674293,138.551798,42.464132,-57.129432,-59.458844,4.399775
0.050000,120.232661,125.708699,140.600681,39.491190,-59.458844,-46.588242,4.452620
0.050000,119.785927,123.861882,142.500917,36.518247,-59.458844,-0.000000,4.496740
0.050000,119.443242,122.144244,144.252505,33.545305,-59.458844,-0.000000,4.533614
0.050000,119.182922,120.562646,145.855447,30.572363,-59.458844,0.000000,4.564464
0.050000,118.987304,119.120797,147.310546,27.631597,-58.815314,12.870602,4.590287
0.050000,118.841799,117.817141,148.622323,24.839479,-55.842372,59.458844,4.611938
0.050000,118.734636,116.646159,149.798210,22.196007,-52.869430,59.458844,4.630135
0.050000,118.656645,115.601649,150.845640,19.701183,-49.896487,59.458844,4.645448
0.050000,118.600679,114.676943,151.772045,17.355006,-46.923545,59.458844,4.658332
0.050000,118.561184,113.865096,152.584857,15.157476,-43.950603,59.458844,4.669154
0.050000,118.533859,113.158977,153.291508,13.108592,-40.977661,59.458844,4.678216
0.050000,118.515393,112.551332,153.899432,11.208357,-38.004719,59.458844,4.685764
0.050000,118.503258,112.034849,154.416060,9.456768,-35.031776,59.458844,4.692005
0.050000,118.495546,111.602150,154.848825,7.853826,-32.058834,59.458844,4.697114
0.050000,118.490841,111.245852,155.205159,6.399531,-29.085892,59.458844,4.701241
0.050000,118.488109,110.958526,155.492494,5.093884,-26.112950,59.458844,4.704518
0.050000,118.486620,110.732765,155.718264,3.936884,-23.140008,59.458844,4.707062
0.050000,118.485870,110.561130,155.889899,2.928530,-20.167065,59.458844,4.708977
