dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,150.096148,70.810159,0.003716,0.148647,2.972942,59.458844,6.282280
0.050000,150.099486,70.810156,0.007054,0.066749,-1.637972,-92.218283,6.282515
0.050000,150.107001,70.810153,0.014569,0.150303,1.671095,66.181339,6.283042
0.050000,150.170764,70.810178,0.078332,1.275258,22.499097,416.560043,0.000796
0.050000,150.284662,70.810352,0.192230,2.277971,20.054267,-48.896595,0.002269
0.050000,150.448838,70.810900,0.356407,3.283540,20.111371,1.142074,0.004402
0.050000,150.672615,70.812212,0.580188,4.475613,23.841468,74.601943,0.007327
0.050000,150.965447,70.814922,0.873033,5.856895,27.625639,75.683420,0.011188
0.050000,151.336968,70.819996,1.244588,7.431101,31.484115,77.169517,0.016138
0.050000,151.797043,70.828848,1.704748,9.203213,35.442237,79.162431,0.022352
0.050000,152.355842,70.843479,2.263738,11.179800,39.531741,81.790092,0.030025
0.050000,153.023916,70.866662,2.932215,13.369535,43.794689,85.258961,0.039383
0.050000,153.812276,70.902172,3.721374,15.783183,48.272975,89.565710,0.050690
0.050000,154.732535,70.955093,4.643153,18.435577,53.047869,95.497888,0.064263
0.050000,155.796953,71.032212,5.710362,21.344174,58.171953,102.481674,0.080479
0.050000,157.018644,71.142559,6.937026,24.533278,63.782071,112.202355,0.099802
0.050000,158.411638,71.298126,8.338680,28.033081,69.996062,124.279825,0.122798
0.050000,159.990923,71.514848,9.932765,31.881710,76.972580,139.530365,0.150173
0.050000,161.772415,71.813953,11.739193,36.128546,84.936714,159.282682,0.182803
0.050000,163.772576,72.223787,13.780910,40.834341,94.115910,183.583906,0.221776
0.050000,166.002306,72.780833,16.079169,45.965183,102.616844,170.018694,0.268327
0.050000,168.464491,73.531091,18.653123,51.479077,110.277863,153.220384,0.323803
0.050000,171.154881,74.532732,21.523922,57.415983,118.738122,169.205174,0.389690
0.050000,174.055285,75.856564,24.712162,63.764799,126.976317,164.763890,0.467444
0.050000,177.118642,77.579441,28.226768,70.292134,130.546710,71.407872,0.557957
0.050000,180.258939,79.770191,32.055717,76.578964,125.736609,-96.202029,0.660916
0.050000,183.353200,82.470083,36.162281,82.131293,111.046570,-293.800773,0.774264
0.050000,186.254517,85.669251,40.481114,86.376655,84.907235,-522.786701,0.893929
0.050000,188.823874,89.296735,44.926363,88.904979,50.566480,-686.815094,1.014388
0.050000,190.966041,93.236944,49.411240,89.697542,15.851266,-694.304289,1.130053
0.050000,192.646683,97.364720,53.868043,89.136065,-11.229543,-541.616177,1.236679
0.050000,193.883328,101.576223,58.257354,87.786218,-26.996929,-315.347728,1.332018
0.050000,194.722896,105.801209,62.564950,86.151915,-32.686078,-113.782973,1.415595
0.050000,195.221422,109.999694,66.792928,84.559562,-31.847042,16.780721,1.488086
0.050000,195.432208,114.152611,70.951191,83.165262,-27.886002,79.220791,1.550712
0.050000,195.402255,118.203018,75.001709,81.010348,-43.098277,-304.245488,1.605619
0.050000,195.116587,122.499007,79.307185,86.109530,101.983623,2901.637993,1.670236
