dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,314.784998,120.007323,0.005570,0.556998,27.849894,1392.494693,4.712975
0.020000,314.784999,120.003672,0.009221,0.182567,-18.721520,-2328.570710,4.712683
0.020000,314.784996,119.974264,0.038629,1.470397,64.391465,4155.649275,4.712100
0.020000,314.784940,119.896535,0.116358,3.886437,120.802011,2820.527294,4.711229
0.020000,314.784760,119.792973,0.219920,5.178103,64.583310,-2810.935056,4.710073
0.020000,314.784368,119.663644,0.349250,6.466513,64.420515,-8.139740,4.708639
0.020000,314.783654,119.508629,0.504267,7.750832,64.215919,-10.229828,4.706932
0.020000,314.782490,119.328027,0.684872,9.030255,63.971133,-12.239256,4.704960
0.020000,314.780729,119.121956,0.890951,10.303962,63.685392,-14.287077,4.702733
0.020000,314.778208,118.890547,1.122374,11.571116,63.357660,-16.386599,4.700261
0.020000,314.774748,118.633952,1.378992,12.830908,62.989614,-18.402280,4.697555
0.020000,314.770157,118.352339,1.660643,14.082544,62.581786,-20.391414,4.694629
0.020000,314.764233,118.045892,1.967146,15.325179,62.131784,-22.500119,4.691498
0.020000,314.756763,117.714816,2.298307,16.558015,61.641810,-24.498657,4.688176
0.020000,314.747530,117.359331,2.653912,17.780248,61.111640,-26.508538,4.684681
0.020000,314.736312,116.979675,3.033733,18.991080,60.541577,-28.503123,4.681031
0.020000,314.722885,116.576104,3.437527,20.189711,59.931550,-30.501348,4.677246
0.020000,314.707027,116.148891,3.865035,21.375379,59.283396,-32.407698,4.673346
0.020000,314.688521,115.698325,4.315981,22.547293,58.595716,-34.383997,4.669354
0.020000,314.667157,115.224712,4.790075,23.704716,57.871147,-36.228477,4.665291
0.020000,314.642736,114.728375,5.287013,24.846901,57.109255,-38.094572,4.661184
0.020000,314.615071,114.209650,5.806475,25.973092,56.309532,-39.986157,4.657058
0.020000,314.583993,113.668890,6.348128,27.082634,55.477131,-41.620078,4.652938
0.020000,314.549354,113.106460,6.911623,28.174752,54.605882,-43.562432,4.648853
0.020000,314.511028,112.522741,7.496599,29.248816,53.703197,-45.134256,4.644833
0.020000,314.468915,111.918123,8.102682,30.304128,52.765599,-46.879886,4.640906
0.020000,314.422945,111.293011,8.729482,31.340016,51.794413,-48.559328,4.637104
0.020000,314.373082,110.647818,9.376598,32.355826,50.790507,-50.195298,4.633459
0.020000,314.319323,109.982971,10.043616,33.350882,49.752798,-51.885446,4.630005
0.020000,314.261708,109.298902,10.730107,34.324551,48.683415,-53.469151,4.626775
0.020000,314.200314,108.596055,11.435630,35.276127,47.578800,-55.230727,4.623805
0.020000,314.135267,107.874884,12.159729,36.204952,46.441255,-56.877287,4.621131
0.020000,314.066739,107.135848,12.901934,37.110287,45.266780,-58.723703,4.618791
