dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,289.785002,119.992677,0.005570,0.556998,27.849894,1392.494693,4.712975
0.020000,289.785001,119.996328,0.009221,0.182567,-18.721520,-2328.570710,4.712683
0.020000,289.784997,119.981493,0.024056,0.741751,27.959198,2334.035916,4.712100
0.020000,289.784957,119.925542,0.080007,2.797541,102.789466,3741.513421,4.711229
0.020000,289.784827,119.850865,0.154684,3.733858,46.815846,-2798.681016,4.710073
0.020000,289.784543,119.757397,0.248153,4.673446,46.979424,8.178908,4.708639
0.020000,289.784026,119.645056,0.360495,5.617111,47.183248,10.191205,4.706932
0.020000,289.783180,119.513745,0.491809,6.565682,47.428545,12.264839,4.704960
0.020000,289.781894,119.363351,0.642209,7.519978,47.714801,14.312789,4.702733
0.020000,289.780046,119.193745,0.811825,8.480803,48.041256,16.322748,4.700261
0.020000,289.777498,119.004782,1.000804,9.448985,48.409071,18.390731,4.697555
0.020000,289.774099,118.796303,1.209312,10.425355,48.818513,20.472109,4.694629
0.020000,289.769688,118.568131,1.437526,11.410707,49.267590,22.453858,4.691498
0.020000,289.764091,118.320077,1.685643,12.405858,49.757587,24.499840,4.688176
0.020000,289.757126,118.051935,1.953875,13.411616,50.287881,26.514713,4.684681
0.020000,289.748602,117.763486,2.242451,14.428778,50.858112,28.511560,4.681031
0.020000,289.738321,117.454494,2.551613,15.458128,51.467492,30.469006,4.677246
0.020000,289.726079,117.124712,2.881622,16.500459,52.116561,32.453444,4.673346
0.020000,289.711668,116.773878,3.232753,17.556524,52.803254,34.334657,4.669354
0.020000,289.694879,116.401714,3.605295,18.627094,53.528501,36.262353,4.665291
0.020000,289.675503,116.007932,3.999553,19.712910,54.290785,38.114189,4.661184
0.020000,289.653330,115.592230,4.415847,20.814679,55.088422,39.881821,4.657058
0.020000,289.628160,115.154289,4.854510,21.933164,55.924257,41.791779,4.652938
0.020000,289.599797,114.693782,5.315890,23.069005,56.792083,43.391285,4.648853
0.020000,289.568054,114.210364,5.800349,24.222940,57.696714,45.231574,4.644833
