dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,54.969515,134.069000,0.005549,0.554914,27.745686,1387.284281,0.000279
0.020000,54.970382,134.069000,0.006416,0.043356,-25.577861,-2666.177327,0.000209
0.020000,54.972117,134.069000,0.008151,0.086730,2.168674,1387.326747,0.000071
0.020000,55.018703,134.068997,0.054737,2.329322,112.129624,5498.047509,6.283048
0.020000,55.110961,134.068971,0.146996,4.612913,114.179517,102.494663,6.282770
0.020000,55.226287,134.068903,0.262321,5.766282,57.668471,-2825.552330,6.282423
0.020000,55.364681,134.068769,0.400715,6.919714,57.671575,0.155227,6.282005
0.020000,55.526148,134.068539,0.562182,8.073342,57.681403,0.491375,6.281518
0.020000,55.710688,134.068180,0.746723,9.227018,57.683823,0.121025,6.280961
0.020000,55.918304,134.067653,0.954340,10.380866,57.692378,0.427719,6.280333
0.020000,56.149000,134.066914,1.185037,11.534861,57.699765,0.369362,6.279634
0.020000,56.402781,134.065916,1.438820,12.689114,57.712638,0.643639,6.278865
0.020000,56.679647,134.064603,1.715689,13.843494,57.718983,0.317233,6.278024
0.020000,56.979605,134.062918,2.015652,14.998129,57.731784,0.640064,6.277111
0.020000,57.302658,134.060796,2.338712,16.152998,57.743429,0.582238,6.276126
0.020000,57.648811,134.058170,2.684874,17.308124,57.756315,0.644346,6.275069
0.020000,58.018068,134.054965,3.054145,18.463531,57.770330,0.700716,6.273939
0.020000,58.410434,134.051101,3.446530,19.619252,57.786089,0.787974,6.272736
0.020000,58.825914,134.046493,3.862036,20.775284,57.801561,0.773569,6.271458
0.020000,59.264513,134.041053,4.300669,21.931645,57.818057,0.824815,6.270106
0.020000,59.726236,134.034685,4.762435,23.088340,57.834764,0.835348,6.268680
0.020000,60.211088,134.027287,5.247344,24.245420,57.853988,0.961215,6.267177
0.020000,60.719074,134.018754,5.755402,25.402900,57.874015,1.001331,6.265598
0.020000,61.250199,134.008972,6.286617,26.560760,57.892969,0.947723,6.263943
0.020000,61.804469,133.997825,6.840999,27.719086,57.916322,1.167652,6.262210
0.020000,62.381887,133.985189,7.418555,28.877818,57.936600,1.013867,6.260398
0.020000,62.982458,133.970933,8.019296,30.037032,57.960694,1.204726,6.258508
0.020000,63.606187,133.954924,8.643230,31.196707,57.983738,1.152181,6.256538
0.020000,64.253078,133.937018,9.290368,32.356912,58.010263,1.326269,6.254487
0.020000,64.923133,133.917069,9.960720,33.517595,58.034160,1.194858,6.252355
0.020000,65.616356,133.894921,10.654297,34.678838,58.062151,1.399545,6.250140
0.020000,66.332749,133.870416,11.371109,35.840620,58.089106,1.347763,6.247843
0.020000,67.072314,133.843386,12.111168,37.002950,58.116505,1.369926,6.245461
