dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,54.976485,109.069000,0.005549,0.554914,27.745686,1387.284281,0.000279
0.020000,54.975618,109.069000,0.006416,0.043356,-25.577861,-2666.177327,0.000209
0.020000,54.973883,109.069000,0.008151,0.086730,2.168674,1387.326747,0.000071
0.020000,55.015264,109.068997,0.049532,2.069043,99.115658,4847.349190,6.283048
0.020000,55.100578,109.068974,0.134846,4.265704,109.833062,535.870189,6.282770
0.020000,55.207218,109.068911,0.241486,5.331993,53.314428,-2825.931694,6.282423
0.020000,55.335181,109.068786,0.369449,6.398160,53.308361,-0.303340,6.282005
0.020000,55.484467,109.068574,0.518735,7.464295,53.306722,-0.081928,6.281518
0.020000,55.655071,109.068242,0.689339,8.530224,53.296447,-0.513751,6.280961
0.020000,55.846991,109.067755,0.881260,9.596025,53.290056,-0.319582,6.280333
0.020000,56.060223,109.067072,1.094493,10.661641,53.280797,-0.462923,6.279634
0.020000,56.294764,109.066149,1.329035,11.727137,53.274821,-0.298807,6.278865
0.020000,56.550608,109.064936,1.584882,12.792357,53.261024,-0.689851,6.278024
0.020000,56.827751,109.063379,1.862030,13.857386,53.251408,-0.480825,6.277111
0.020000,57.126188,109.061419,2.160473,14.922164,53.238936,-0.623568,6.276126
0.020000,57.445913,109.058993,2.480207,15.986681,53.225828,-0.655421,6.275069
0.020000,57.786918,109.056033,2.821225,17.050920,53.211978,-0.692512,6.273939
0.020000,58.149198,109.052465,3.183523,18.114880,53.197958,-0.701002,6.272736
0.020000,58.532745,109.048212,3.567093,19.178517,53.181892,-0.803252,6.271458
0.020000,58.937550,109.043192,3.971930,20.241817,53.164998,-0.844714,6.270106
0.020000,59.363605,109.037315,4.398025,21.304748,53.146527,-0.923561,6.268680
0.020000,59.810899,109.030490,4.845371,22.367320,53.128612,-0.895758,6.267177
0.020000,60.279423,109.022620,5.313961,23.429514,53.109675,-0.946854,6.265598
0.020000,60.769166,109.013600,5.803787,24.491274,53.087994,-1.084040,6.263943
0.020000,61.280115,109.003325,6.314840,25.552646,53.068622,-0.968609,6.262210
0.020000,61.812259,108.991679,6.847111,26.613540,53.044675,-1.197322,6.260398
0.020000,62.365583,108.978545,7.400590,27.673990,53.022520,-1.107789,6.258508
0.020000,62.940072,108.963799,7.975269,28.733944,52.997679,-1.242020,6.256538
0.020000,63.535713,108.947312,8.571138,29.793430,52.974343,-1.166803,6.254487
0.020000,64.152487,108.928949,9.188185,30.852368,52.946900,-1.372172,6.252355
0.020000,64.790377,108.908570,9.826401,31.910799,52.921556,-1.267195,6.250140
0.020000,65.449365,108.886028,10.485775,32.968672,52.893609,-1.397363,6.247843
0.020000,66.129430,108.861173,11.166294,34.025961,52.864443,-1.458300,6.245461
0.020000,66.830552,108.833846,11.867948,35.082693,52.836606,-1.391802,6.242994
0.020000,67.552707,108.803883,12.590724,36.138817,52.806203,-1.520149,6.240442
0.020000,68.295872,108.771117,13.334611,37.194332,52.775772,-1.521598,6.237803
0.020000,69.060020,108.735370,14.099595,38.249207,52.743742,-1.601453,6.235075
0.020000,69.845125,108.696463,14.885663,39.303431,52.711195,-1.627358,6.232259
0.020000,70.651158,108.654205,15.692803,40.356996,52.678234,-1.648069,6.229353
0.020000,71.478089,108.608405,16.521001,41.409888,52.644611,-1.681158,6.226355
0.020000,72.325884,108.558859,17.370243,42.462071,52.609176,-1.771757,6.223266
0.020000,73.194510,108.505363,18.240515,43.513600,52.576411,-1.638243,6.220083
0.020000,74.083930,108.447702,19.131802,44.564370,52.538546,-1.893225,6.216805
0.020000,74.994106,108.385655,20.044090,45.614416,52.502255,-1.814562,6.213432
0.020000,75.924997,108.318995,20.977365,46.663741,52.466256,-1.799950,6.209963
0.020000,76.876560,108.247489,21.931611,47.712295,52.427738,-1.925890,6.206395
0.020000,77.848750,108.170896,22.906813,48.760114,52.390914,-1.841224,6.202728
0.020000,78.841518,108.088966,23.902956,49.807140,52.351322,-1.979575,6.198960
0.020000,79.854813,108.001446,24.920024,50.853419,52.313935,-1.869337,6.195091
0.020000,80.888583,107.908073,25.958002,51.898883,52.273213,-2.036142,6.191119
0.020000,81.942770,107.808577,27.016874,52.943592,52.235440,-1.888641,6.187042
0.020000,83.017314,107.702682,28.096624,53.987486,52.194719,-2.036025,6.182860
0.020000,84.112153,107.590103,29.197236,55.030603,52.155831,-1.944391,6.178572
0.020000,85.227221,107.470548,30.318694,56.072918,52.115757,-2.003723,6.174175
0.020000,86.362447,107.343718,31.460983,57.114444,52.076287,-1.973502,6.169669
0.020000,87.517758,107.209306,32.624086,58.155172,52.036403,-1.994179,6.165053
0.020000,88.693076,107.066998,33.807989,59.195110,51.996925,-1.973941,6.160325
0.020000,89.888320,106.916470,35.012674,60.234291,51.959031,-1.894699,6.155483
0.020000,91.103405,106.757394,36.238128,61.272673,51.919102,-1.996417,6.150528
0.020000,92.338240,106.589432,37.484334,62.310305,51.881607,-1.874745,6.145457
