dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,54.971514,134.069000,0.005568,0.556812,27.840593,1392.029644,0.000119
0.020000,54.971959,134.069000,0.006014,0.022282,-26.726512,-2728.355262,0.000083
0.020000,54.972852,134.069000,0.006907,0.044655,1.118669,1392.259067,0.000012
0.020000,55.033668,134.068997,0.067722,3.040754,149.804940,7434.313536,6.283090
0.020000,55.124558,134.068982,0.158613,4.544539,75.189238,-3730.785104,6.282945
0.020000,55.238186,134.068944,0.272240,5.681372,56.841689,-917.377431,6.282764
0.020000,55.374559,134.068872,0.408613,6.818651,56.863955,1.113317,6.282545
0.020000,55.533689,134.068750,0.567743,7.956502,56.892519,1.428177,6.282287
0.020000,55.715588,134.068559,0.749643,9.094990,56.924421,1.595081,6.281990
0.020000,55.920273,134.068280,0.954327,10.234224,56.961704,1.864182,6.281651
0.020000,56.147758,134.067888,1.181813,11.374282,57.002866,2.058102,6.281270
0.020000,56.398063,134.067355,1.432119,12.515270,57.049397,2.326529,6.280846
0.020000,56.671207,134.066652,1.705264,13.657272,57.100101,2.535219,6.280376
0.020000,56.967214,134.065744,2.001272,14.800407,57.156790,2.834459,6.279858
0.020000,57.286107,134.064593,2.320167,15.944732,57.216239,2.972427,6.279292
0.020000,57.627911,134.063157,2.661974,17.090368,57.281776,3.276837,6.278674
0.020000,57.992655,134.061390,3.026722,18.237393,57.351280,3.475236,6.278003
0.020000,58.380367,134.059240,3.414441,19.385935,57.427067,3.789321,6.277276
0.020000,58.791080,134.056653,3.825162,20.536050,57.505766,3.934956,6.276491
0.020000,59.224826,134.053566,4.258919,21.687861,57.590556,4.239513,6.275645
0.020000,59.681641,134.049914,4.715748,22.841456,57.679725,4.458443,6.274734
0.020000,60.161561,134.045625,5.195687,23.996935,57.773984,4.712944,6.273757
0.020000,60.664623,134.040619,5.698774,25.154390,57.872740,4.937827,6.272709
0.020000,61.190870,134.034812,6.225053,26.313940,57.977499,5.237907,6.271588
0.020000,61.740342,134.028112,6.774566,27.475659,58.085949,5.422527,6.270391
0.020000,62.313084,134.020418,7.347360,28.639681,58.201102,5.757632,6.269112
0.020000,62.909141,134.011625,7.943482,29.806091,58.320505,5.970140,6.267749
0.020000,63.528560,134.001615,8.562981,30.974975,58.444184,6.183998,6.266298
0.020000,64.171389,133.990263,9.205911,32.146469,58.574724,6.526989,6.264754
0.020000,64.837679,133.977437,9.872324,33.320652,58.709143,6.720935,6.263113
0.020000,65.527481,133.962990,10.562277,34.497652,58.849983,7.042008,6.261370
0.020000,66.240847,133.946769,11.275828,35.677566,58.995708,7.286257,6.259522
0.020000,66.977834,133.928607,12.013038,36.860508,59.147104,7.569799,6.257563
0.020000,67.738495,133.908326,12.773970,38.046577,59.303462,7.817884,6.255488
0.020000,68.522888,133.885736,13.558688,39.235908,59.466555,8.154630,6.253291
0.020000,69.331070,133.860633,14.367260,40.428576,59.633404,8.342489,6.250968
0.020000,70.163099,133.832801,15.199754,41.624722,59.807254,8.692491,6.248514
0.020000,71.019034,133.802006,16.056243,42.824438,59.985817,8.928162,6.245921
0.020000,71.898935,133.768002,16.936801,44.027897,60.172933,9.355775,6.243185
0.020000,72.802861,133.730524,17.841503,45.235127,60.361545,9.430604,6.240299
0.020000,73.730871,133.689292,18.770429,46.446292,60.558250,9.835271,6.237256
0.020000,74.683026,133.644007,19.723660,47.661528,60.761795,10.177232,6.234052
0.020000,75.659382,133.594353,20.701278,48.880896,60.968378,10.329172,6.230678
0.020000,76.659997,133.539991,21.703369,50.104562,61.183309,10.746529,6.227128
0.020000,77.684928,133.480564,22.730021,51.332606,61.402206,10.944853,6.223394
0.020000,78.734228,133.415694,23.781324,52.565162,61.627770,11.278222,6.219471
0.020000,79.807948,133.344978,24.857371,53.802326,61.858229,11.522942,6.215350
0.020000,80.906137,133.267991,25.958255,55.044218,62.094595,11.818259,6.211024
0.020000,82.028840,133.184283,27.084074,56.290930,62.335584,12.049498,6.206484
0.020000,83.176095,133.093379,28.234925,57.542577,62.582380,12.339798,6.201724
0.020000,84.347940,132.994776,29.410911,58.799264,62.834308,12.596400,6.196735
0.020000,85.544401,132.887946,30.612132,60.061053,63.089486,12.758879,6.191509
0.020000,86.765500,132.772330,31.838692,61.328019,63.348282,12.939809,6.186038
0.020000,88.011251,132.647340,33.090697,62.600269,63.612520,13.211901,6.180312
0.020000,89.281657,132.512358,34.368254,63.877847,63.878869,13.317452,6.174325
0.020000,90.576711,132.366732,35.671470,65.160778,64.146571,13.385081,6.168066
0.020000,91.896393,132.209781,37.000453,66.449145,64.418342,13.588537,6.161528
0.020000,93.240671,132.040788,38.355311,67.742916,64.688527,13.509260,6.154702
0.020000,94.609495,131.859002,39.736153,69.042119,64.960189,13.583101,6.147578
0.020000,96.002799,131.663640,41.143087,70.346693,65.228709,13.426013,6.140150
0.020000,97.420498,131.453880,42.576220,71.656621,65.496386,13.383854,6.132406
0.020000,98.862483,131.228865,44.035656,72.971805,65.759188,13.140080,6.124341
0.020000,100.328624,130.987704,45.521498,74.292130,66.016254,12.853305,6.115945
0.020000,101.818763,130.729468,47.033848,75.617457,66.266354,12.504992,6.107210
0.020000,103.332713,130.453193,48.572799,76.947591,66.506705,12.017556,6.098128
0.020000,104.870255,130.157878,50.138445,78.282297,66.735302,11.429866,6.088693
0.020000,106.431137,129.842489,51.730872,79.621315,66.950904,10.780077,6.078897
0.020000,108.015067,129.505957,53.350158,80.964295,67.148970,9.903329,6.068734
0.020000,109.621713,129.147182,54.996375,82.310855,67.327998,8.951388,6.058198
0.020000,111.250700,128.765032,56.669586,83.660585,67.486537,7.926962,6.047285
0.020000,112.901604,128.358348,58.369845,85.012913,67.616354,6.490841,6.035989
0.020000,114.573954,127.925943,60.097192,86.367347,67.721745,5.269530,6.024308
0.020000,116.267223,127.466611,61.851656,87.723210,67.793154,3.570448,6.012240
0.020000,117.980827,126.979126,63.633251,89.079768,67.827860,1.735330,5.999782
0.020000,119.714127,126.462246,65.441978,90.436320,67.827639,-0.011076,5.986936
0.020000,121.466418,125.914723,67.277817,91.791982,67.783096,-2.227128,5.973703
0.020000,123.236935,125.335301,69.140735,93.145876,67.694679,-4.420843,5.960085
0.020000,125.024845,124.722728,71.030673,94.496905,67.551448,-7.161563,5.946087
0.020000,126.829251,124.075761,72.947558,95.844258,67.367641,-9.190377,5.931715
0.020000,128.649188,123.393170,74.891291,97.186664,67.120302,-12.366925,5.916977
0.020000,130.483622,122.673749,76.861752,98.523063,66.819960,-15.017103,5.901883
0.020000,132.331460,121.916321,78.858800,99.852393,66.466478,-17.674107,5.886443
0.020000,134.191535,121.119748,80.882265,101.173231,66.041918,-21.227985,5.870671
0.020000,136.062629,120.282935,82.931959,102.484712,65.574053,-23.393258,5.854583
0.020000,137.834512,119.456710,84.887009,97.752493,-236.610964,-15109.250825,5.838583
0.020000,139.915361,118.421027,87.211352,116.217132,923.231961,57992.146214,5.804078
0.020000,141.987003,117.298058,89.567781,117.821481,80.217472,-42150.724429,5.768789
0.020000,144.043009,116.086949,91.953981,119.309978,74.424831,-289.632064,5.732899
0.020000,146.076792,114.787849,94.367263,120.664111,67.706630,-335.910058,5.696624
0.020000,148.081878,113.401919,96.804715,121.872600,60.424487,-364.107137,5.660197
0.020000,150.052048,111.931379,99.263182,122.923322,52.536060,-394.421350,5.623871
0.020000,151.976204,110.383939,101.732382,123.460025,26.835157,-1285.045129,5.588005
0.020000,153.834660,108.777834,104.188686,122.815200,-32.241245,-2953.820101,5.553139
0.020000,155.611282,107.133229,106.609659,121.048654,-88.327298,-2804.302685,5.519747
0.020000,157.302471,105.462272,108.987099,118.871976,-108.833889,-1025.329524,5.488057
0.020000,158.910568,103.772431,111.319809,116.635536,-111.822002,-149.405645,5.458164
0.020000,160.438656,102.070566,113.607033,114.361195,-113.717058,-94.752826,5.430130
0.020000,161.890379,100.362865,115.848404,112.068563,-114.631574,-45.725806,5.403983
0.020000,163.269775,98.654818,118.043890,109.774284,-114.713983,-4.120425,5.379725
0.020000,164.581122,96.951239,120.193731,107.492020,-114.113208,30.038732,5.357339
0.020000,165.828805,95.256297,122.298378,105.232375,-112.982216,56.549608,5.336786
0.020000,167.017213,93.573568,124.358449,103.003533,-111.442109,77.005352,5.318019
0.020000,168.150657,91.906102,126.374667,100.810932,-109.630066,90.602128,5.300978
0.020000,169.233307,90.256477,128.347835,98.658398,-107.626695,100.168560,5.285600
0.020000,170.269153,88.626867,130.278796,96.548035,-105.518128,105.428379,5.271817
0.020000,171.261977,87.019091,132.168410,94.480700,-103.366756,107.568590,5.259560
0.020000,172.215329,85.434675,134.017533,92.456127,-101.228650,106.905277,5.248762
0.020000,173.132530,83.874892,135.827002,90.473479,-99.132399,104.812556,5.239353
0.020000,174.016665,82.340801,137.597632,88.531497,-97.099101,101.664931,5.231270
0.020000,174.870590,80.833284,139.330201,86.628452,-95.152253,97.342373,5.224451
0.020000,175.696938,79.353075,141.025450,84.762440,-93.300589,92.583209,5.218835
0.020000,176.498128,77.900785,142.684079,82.931466,-91.548728,87.593064,5.214367
0.020000,177.276376,76.476919,144.306752,81.133616,-89.892487,82.812021,5.210994
0.020000,178.033707,75.081893,145.894091,79.366972,-88.332201,78.014292,5.208666
0.020000,178.771965,73.716054,147.446683,77.629618,-86.867710,73.224568,5.207336
0.020000,179.492827,72.379682,148.965081,75.919890,-85.486392,69.065882,5.206959
0.020000,180.197808,71.073004,150.449805,74.236183,-84.185322,65.053497,5.207495
0.020000,180.888277,69.796201,151.901346,72.577071,-82.955605,61.485850,5.208904
0.020000,181.565463,68.549411,153.320173,70.941315,-81.787825,58.389013,5.211147
0.020000,182.230468,67.332734,154.706728,69.327750,-80.678233,55.479621,5.214191
0.020000,182.884270,66.146234,156.061438,67.735521,-79.611477,53.337767,5.218001
0.020000,183.527738,64.989943,157.384714,66.163792,-78.586441,51.251809,5.222543
0.020000,184.161632,63.863861,158.676953,64.611957,-77.591718,49.736155,5.227787
0.020000,184.786615,62.767959,159.938541,63.079423,-76.626707,48.250552,5.233701
0.020000,185.403260,61.702173,161.169862,61.566051,-75.668618,47.904443,5.240254
0.020000,186.012055,60.666413,162.371290,60.071402,-74.732467,46.807586,5.247417
0.020000,186.613405,59.660555,163.543200,58.595486,-73.795788,46.833925,5.255159
0.020000,187.207646,58.684446,164.685965,57.138243,-72.862139,46.682442,5.263452
0.020000,187.795046,57.737898,165.799962,55.699865,-71.918904,47.161735,5.272264
0.020000,188.375807,56.820698,166.885568,54.280298,-70.978371,47.026694,5.281565
0.020000,188.950077,55.932591,167.943169,52.880053,-70.012238,48.306627,5.291325
0.020000,189.517951,55.073299,168.973151,51.499107,-69.047295,48.247145,5.301513
0.020000,190.079474,54.242506,169.975911,50.137955,-68.057598,49.484848,5.312097
0.020000,190.634652,53.439868,170.951846,48.796785,-67.058493,49.955258,5.323044
0.020000,191.183448,52.665008,171.901365,47.475936,-66.042478,50.800734,5.334324
0.020000,191.725794,51.917519,172.824879,46.175706,-65.011491,51.549347,5.345902
0.020000,192.261590,51.196966,173.722806,44.896367,-63.966943,52.227412,5.357745
0.020000,192.790708,50.502886,174.595568,43.638076,-62.914516,52.621368,5.369819
0.020000,193.312999,49.834792,175.443587,42.400972,-61.855236,52.963974,5.382091
0.020000,193.828293,49.192173,176.267291,41.185199,-60.788633,53.330161,5.394527
0.020000,194.336404,48.574496,177.067104,39.990648,-59.727554,53.053968,5.407091
0.020000,194.837129,47.981212,177.843450,38.817273,-58.668765,52.939451,5.419752
0.020000,195.330258,47.411755,178.596747,37.664875,-57.619911,52.442683,5.432475
0.020000,195.815566,46.865547,179.327410,36.533113,-56.588053,51.592905,5.445226
0.020000,196.292825,46.342000,180.035843,35.421676,-55.571877,50.808819,5.457974
0.020000,196.761799,45.840518,180.722444,34.330022,-54.582697,49.458981,5.470687
0.020000,197.222247,45.360503,181.387595,33.257581,-53.622067,48.031514,5.483335
0.020000,197.673926,44.901353,182.031671,32.203774,-52.690351,46.585767,5.495886
0.020000,198.116589,44.462471,182.655023,31.167596,-51.808900,44.072543,5.508314
0.020000,198.549992,44.043260,183.257995,30.148619,-50.948812,43.004426,5.520590
0.020000,198.973887,43.643132,183.840910,29.145735,-50.144195,40.230857,5.532689
0.020000,199.388027,43.261503,184.404073,28.158147,-49.379407,38.239390,5.544586
0.020000,199.792166,42.897806,184.947768,27.184756,-48.669572,35.491768,5.556259
0.020000,200.186063,42.551476,185.472266,26.224910,-47.992314,33.862858,5.567686
0.020000,200.569471,42.221972,185.977810,25.277216,-47.384666,30.382434,5.578848
0.020000,200.942152,41.908762,186.464628,24.340915,-46.815079,28.479345,5.589725
0.020000,201.303871,41.611327,186.932931,23.415144,-46.288544,26.326721,5.600302
0.020000,201.654397,41.329166,187.382913,22.499060,-45.804184,24.218015,5.610564
0.020000,201.993499,41.061799,187.814741,21.591405,-45.382745,21.071935,5.620495
0.020000,202.320951,40.808762,188.228567,20.691329,-45.003820,18.946259,5.630085
0.020000,202.636532,40.569609,188.624529,19.798093,-44.661800,17.101017,5.639323
0.020000,202.940034,40.343907,189.002755,18.911292,-44.340038,16.088090,5.648197
0.020000,203.231244,40.131252,189.363346,18.029532,-44.087983,12.602778,5.656700
0.020000,203.509963,39.931249,189.706398,17.152632,-43.844997,12.149304,5.664825
0.020000,203.775994,39.743531,190.031991,16.279633,-43.649976,9.751050,5.672565
0.020000,204.029151,39.567742,190.340196,15.410255,-43.468910,9.053288,5.679914
0.020000,204.269248,39.403555,190.631064,14.543410,-43.342224,6.334301,5.686868
0.020000,204.496122,39.250649,190.904654,13.679509,-43.195076,7.357406,5.693423
0.020000,204.709601,39.108735,191.160999,12.817253,-43.112785,4.114541,5.699576
0.020000,204.909529,38.977538,191.400131,11.956575,-43.033893,3.944604,5.705323
0.020000,205.095764,38.856798,191.622081,11.097494,-42.954067,3.991272,5.710663
0.020000,205.268170,38.746277,191.826871,10.239486,-42.900374,2.684678,5.715595
0.020000,205.426621,38.645757,192.014517,9.382304,-42.859127,2.062338,5.720117
0.020000,205.570992,38.555039,192.185024,8.525361,-42.847124,0.600132,5.724227
0.020000,205.701177,38.473944,192.338401,7.668833,-42.826424,1.035032,5.727926
0.020000,205.817082,38.402303,192.474660,6.812950,-42.794154,1.613466,5.731212
0.020000,205.918625,38.339972,192.593807,5.957368,-42.779073,0.754050,5.734087
0.020000,206.005727,38.286824,192.695843,5.101807,-42.778044,0.051489,5.736548
0.020000,206.078316,38.242756,192.780762,4.245953,-42.792725,-0.734048,5.738597
0.020000,206.136339,38.207678,192.848565,3.390125,-42.791384,0.067004,5.740232
0.020000,206.179758,38.181513,192.899258,2.534673,-42.772629,0.937753,5.741455
0.020000,206.208541,38.164207,192.932842,1.679220,-42.772641,-0.000594,5.742265
0.020000,206.222803,38.155644,192.949478,0.831760,-42.372990,19.982566,5.742666
0.020000,206.226335,38.153525,192.953597,0.205951,-31.290466,554.126212,5.742766
0.020000,206.226335,38.153525,192.953597,0.000000,-10.297539,1049.646329,5.742766
