dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,54.973000,121.569000,0.005568,0.556812,27.840593,1392.029644,0.000119
0.020000,54.973000,121.569000,0.027841,1.670436,55.681186,1392.029644,0.000083
0.020000,54.973000,121.569000,0.072386,2.784059,55.681186,0.000000,0.000012
0.020000,55.032471,121.568997,0.139203,3.897683,55.681186,-0.000000,6.283090
0.020000,55.121561,121.568982,0.228293,5.011307,55.681186,0.000000,6.282945
0.020000,55.232923,121.568945,0.339655,6.124930,55.681186,0.000000,6.282764
0.020000,55.366558,121.568875,0.473290,7.238554,55.681186,0.000000,6.282545
0.020000,55.522465,121.568755,0.629197,8.352178,55.681186,0.000000,6.282287
0.020000,55.700645,121.568568,0.807377,9.465802,55.681186,0.000000,6.281990
0.020000,55.901097,121.568295,1.007829,10.579425,55.681186,0.000000,6.281651
0.020000,56.123821,121.567911,1.230554,11.693049,55.681186,-0.000000,6.281270
0.020000,56.368818,121.567390,1.475551,12.806673,55.681186,0.000000,6.280846
0.020000,56.636087,121.566702,1.742821,13.920296,55.681186,0.000000,6.280376
0.020000,56.925628,121.565814,2.032363,15.033920,55.681186,-0.000000,6.279858
0.020000,57.237440,121.564688,2.344178,16.147544,55.681186,0.000000,6.279292
0.020000,57.571524,121.563285,2.678265,17.261168,55.681186,0.000000,6.278674
0.020000,57.927880,121.561558,3.034625,18.374791,55.681186,-0.000000,6.278003
0.020000,58.306506,121.559459,3.413257,19.488415,55.681186,0.000000,6.277276
0.020000,58.707403,121.556933,3.814161,20.602039,55.681186,0.000000,6.276491
0.020000,59.130569,121.553922,4.237338,21.715662,55.681186,0.000000,6.275645
0.020000,59.576004,121.550361,4.682788,22.829286,55.681186,0.000000,6.274734
0.020000,60.043708,121.546180,5.150510,23.942910,55.681186,-0.000000,6.273757
0.020000,60.533678,121.541305,5.640504,25.056534,55.681186,0.000000,6.272709
0.020000,61.045913,121.535652,6.152771,26.170157,55.681186,-0.000000,6.271588
0.020000,61.580413,121.529135,6.687310,27.283781,55.681186,0.000000,6.270391
0.020000,62.137174,121.521656,7.244122,28.397405,55.681186,0.000000,6.269112
0.020000,62.716196,121.513114,7.823207,29.511028,55.681186,0.000000,6.267749
0.020000,63.317474,121.503397,8.424563,30.624652,55.681186,-0.000000,6.266298
0.020000,63.941006,121.492387,9.048193,31.738276,55.681186,0.000000,6.264754
0.020000,64.586788,121.479955,9.694094,32.851900,55.681186,0.000000,6.263113
0.020000,65.254816,121.465964,10.362269,33.965523,55.681186,-0.000000,6.261370
0.020000,65.945084,121.450268,11.052715,35.079147,55.681186,0.000000,6.259522
0.020000,66.657587,121.432710,11.765435,36.192771,55.681186,0.000000,6.257563
0.020000,67.392317,121.413120,12.500426,37.306394,55.681186,0.000000,6.255488
0.020000,68.149267,121.391321,13.257690,38.420018,55.681186,-0.000000,6.253291
0.020000,68.928428,121.367120,14.037227,39.533642,55.681186,0.000000,6.250968
0.020000,69.729789,121.340313,14.839036,40.647266,55.681186,-0.000000,6.248514
0.020000,70.553337,121.310684,15.663118,41.760889,55.681186,0.000000,6.245921
0.020000,71.399060,121.278001,16.509472,42.874513,55.681186,0.000000,6.243185
0.020000,72.266940,121.242018,17.378098,43.988137,55.681186,0.000000,6.240299
0.020000,73.156961,121.202474,18.268997,45.101760,55.681186,0.000000,6.237256
0.020000,74.069101,121.159093,19.182168,46.215384,55.681186,0.000000,6.234052
0.020000,75.003337,121.111580,20.117612,47.329008,55.681186,0.000000,6.230678
0.020000,75.959643,121.059626,21.075329,48.442632,55.681186,-0.000000,6.227128
0.020000,76.937988,121.002901,22.055318,49.556255,55.681186,0.000000,6.223394
0.020000,77.938339,120.941057,23.057579,50.669879,55.681186,0.000000,6.219471
0.020000,78.960657,120.873727,24.082113,51.783503,55.681186,0.000000,6.215350
0.020000,80.004900,120.800522,25.128919,52.897126,55.681186,0.000000,6.211024
0.020000,81.071018,120.721034,26.197998,54.010750,55.681186,-0.000000,6.206484
0.020000,82.158958,120.634830,27.289349,55.124374,55.681186,0.000000,6.201724
0.020000,83.268660,120.541457,28.402973,56.237998,55.681186,0.000000,6.196735
0.020000,84.400054,120.440438,29.538869,57.351621,55.681186,-0.000000,6.191509
0.020000,85.553064,120.331269,30.697038,58.465245,55.681186,-0.000000,6.186038
0.020000,86.727607,120.213425,31.877479,59.578869,55.681186,0.000000,6.180312
0.020000,87.923587,120.086351,33.080192,60.692492,55.681186,-0.000000,6.174325
0.020000,89.140899,119.949468,34.305179,61.806116,55.681186,0.000000,6.168066
0.020000,90.379427,119.802170,35.552437,62.919740,55.681186,-0.000000,6.161528
0.020000,91.639041,119.643821,36.821968,64.033364,55.681186,-0.000000,6.154702
0.020000,92.919599,119.473759,38.113772,65.146987,55.681186,0.000000,6.147578
0.020000,94.220942,119.291292,39.427848,66.260611,55.681186,0.000000,6.140150
0.020000,95.542896,119.095700,40.764196,67.374235,55.681186,-0.000000,6.132406
0.020000,96.885268,118.886231,42.122817,68.487858,55.681186,0.000000,6.124341
0.020000,98.247848,118.662106,43.503710,69.601482,55.681186,-0.000000,6.115945
0.020000,99.630403,118.422516,44.906876,70.715106,55.681186,0.000000,6.107210
0.020000,101.032679,118.166621,46.332315,71.828730,55.681186,0.000000,6.098128
0.020000,102.454398,117.893555,47.780026,72.942353,55.681186,-0.000000,6.088693
0.020000,103.895257,117.602419,49.250009,74.055977,55.681186,0.000000,6.078897
0.020000,105.354924,117.292291,50.742265,75.169601,55.681186,0.000000,6.068734
0.020000,106.833040,116.962220,52.256793,76.283224,55.681186,0.000000,6.058198
0.020000,108.329215,116.611229,53.793594,77.396848,55.681186,-0.000000,6.047285
0.020000,109.843025,116.238319,55.352667,78.510472,55.681186,0.000000,6.035989
0.020000,111.374014,115.842468,56.934012,79.624096,55.681186,-0.000000,6.024308
0.020000,112.921689,115.422633,58.537631,80.737719,55.681186,0.000000,6.012240
0.020000,114.485521,114.977758,60.163521,81.851343,55.681186,0.000000,5.999782
0.020000,116.064943,114.506768,61.811684,82.964967,55.681186,-0.000000,5.986936
0.020000,117.659346,114.008581,63.482120,84.078590,55.681186,0.000000,5.973703
0.020000,119.268085,113.482106,65.174828,85.192214,55.681186,-0.000000,5.960085
0.020000,120.890469,112.926248,66.889808,86.305838,55.681186,0.000000,5.946087
0.020000,122.525771,112.339916,68.627061,87.419462,55.681186,0.000000,5.931715
0.020000,124.173218,111.722022,70.386587,88.533085,55.681186,-0.000000,5.916977
0.020000,125.831998,111.071491,72.168385,89.646709,55.681186,0.000000,5.901883
0.020000,127.501261,110.387263,73.972455,90.760333,55.681186,0.000000,5.886443
0.020000,129.180114,109.668300,75.798798,91.873957,55.681186,0.000000,5.870671
0.020000,130.867632,108.913590,77.647414,92.987580,55.681186,-0.000000,5.854583
0.020000,132.458277,108.171937,79.518301,94.101204,55.681186,0.000000,5.838583
0.020000,134.153025,107.328440,81.411462,95.214828,55.681186,-0.000000,5.804078
0.020000,135.836881,106.415687,83.326894,96.328451,55.681186,0.000000,5.768789
0.020000,137.506372,105.432261,85.264600,97.442075,55.681186,0.000000,5.732899
0.020000,139.158035,104.377239,87.224577,98.555699,55.681186,-0.000000,5.696624
0.020000,140.788569,103.250187,89.206828,99.669323,55.681186,0.000000,5.660197
0.020000,142.394856,102.051227,91.211350,100.782946,55.681186,0.000000,5.623871
0.020000,143.969659,100.784708,93.232368,101.318860,26.795689,-1444.274861,5.588005
0.020000,145.498358,99.463541,95.252969,100.741150,-28.885497,-2784.059288,5.553139
0.020000,146.968661,98.102442,97.256655,99.627526,-55.681186,-1339.784427,5.519747
0.020000,148.378051,96.709859,99.238070,98.513903,-55.681186,0.000000,5.488057
0.020000,149.728542,95.290662,101.197211,97.400279,-55.681186,-0.000000,5.458164
0.020000,151.022487,93.849510,103.134081,96.286655,-55.681186,0.000000,5.430130
0.020000,152.262497,92.390796,105.048678,95.173031,-55.681186,0.000000,5.403983
0.020000,153.451364,90.918618,106.941002,94.059408,-55.681186,0.000000,5.379725
0.020000,154.591998,89.436760,108.811054,92.945784,-55.681186,-0.000000,5.357339
0.020000,155.687360,87.948692,110.658833,91.832160,-55.681186,0.000000,5.336786
0.020000,156.740417,86.457567,112.484340,90.718537,-55.681186,-0.000000,5.318019
0.020000,157.754097,84.966250,114.287575,89.604913,-55.681186,0.000000,5.300978
0.020000,158.731259,83.477319,116.068537,88.491289,-55.681186,0.000000,5.285600
0.020000,159.674669,81.993097,117.827226,87.377665,-55.681186,-0.000000,5.271817
0.020000,160.586982,80.515669,119.563643,86.264042,-55.681186,0.000000,5.259560
0.020000,161.470728,79.046909,121.277788,85.150418,-55.681186,0.000000,5.248762
0.020000,162.328307,77.588496,122.969660,84.036794,-55.681186,-0.000000,5.239353
0.020000,163.161984,76.141938,124.639260,82.923171,-55.681186,0.000000,5.231270
0.020000,163.973888,74.708589,126.286587,81.809547,-55.681186,0.000000,5.224451
0.020000,164.766014,73.289668,127.911642,80.695923,-55.681186,-0.000000,5.218835
0.020000,165.540222,71.886277,129.514424,79.582299,-55.681186,0.000000,5.214367
0.020000,166.298245,70.499406,131.094934,78.468676,-55.681186,0.000000,5.210994
0.020000,167.041690,69.129956,132.653171,77.355052,-55.681186,-0.000000,5.208666
0.020000,167.772041,67.778744,134.189136,76.241428,-55.681186,0.000000,5.207336
0.020000,168.490668,66.446512,135.702828,75.127805,-55.681186,0.000000,5.206959
0.020000,169.198829,65.133942,137.194248,74.014181,-55.681186,-0.000000,5.207495
0.020000,169.897674,63.841653,138.663395,72.900557,-55.681186,0.000000,5.208904
0.020000,170.588249,62.570216,140.110270,71.786933,-55.681186,0.000000,5.211147
0.020000,171.271504,61.320154,141.534873,70.673310,-55.681186,-0.000000,5.214191
0.020000,171.948291,60.091950,142.937203,69.559686,-55.681186,0.000000,5.218001
0.020000,172.619372,58.886045,144.317260,68.446062,-55.681186,-0.000000,5.222543
0.020000,173.285423,57.702848,145.675045,67.332439,-55.681186,0.000000,5.227787
0.020000,173.947030,56.542735,147.010558,66.218815,-55.681186,0.000000,5.233701
0.020000,174.604705,55.406047,148.323798,65.105191,-55.681186,-0.000000,5.240254
0.020000,175.258875,54.293099,149.614765,63.991567,-55.681186,0.000000,5.247417
0.020000,175.909893,53.204176,150.883460,62.877944,-55.681186,0.000000,5.255159
0.020000,176.558040,52.139533,152.129883,61.764320,-55.681186,-0.000000,5.263452
0.020000,177.203526,51.099397,153.354033,60.650696,-55.681186,0.000000,5.272264
0.020000,177.846491,50.083969,154.555911,59.537073,-55.681186,0.000000,5.281565
0.020000,178.487013,49.093419,155.735516,58.423449,-55.681186,-0.000000,5.291325
0.020000,179.125103,48.127889,156.892849,57.309825,-55.681186,0.000000,5.301513
0.020000,179.760716,47.187492,158.027909,56.196201,-55.681186,-0.000000,5.312097
0.020000,180.393747,46.272311,159.140697,55.082578,-55.681186,-0.000000,5.323044
0.020000,181.024038,45.382399,160.231212,53.968954,-55.681186,0.000000,5.334324
0.020000,181.651380,44.517777,161.299455,52.855330,-55.681186,0.000000,5.345902
0.020000,182.275515,43.678434,162.345425,51.741707,-55.681186,-0.000000,5.357745
0.020000,182.896142,42.864329,163.369123,50.628083,-55.681186,0.000000,5.369819
0.020000,183.512916,42.075387,164.370549,49.514459,-55.681186,0.000000,5.382091
0.020000,184.125457,41.311502,165.349702,48.400835,-55.681186,-0.000000,5.394527
0.020000,184.733351,40.572535,166.306582,47.287212,-55.681186,0.000000,5.407091
0.020000,185.336153,39.858315,167.241190,46.173588,-55.681186,-0.000000,5.419752
0.020000,185.933393,39.168641,168.153526,45.059964,-55.681186,0.000000,5.432475
0.020000,186.524575,38.503282,169.043589,43.946341,-55.681186,0.000000,5.445226
0.020000,187.109189,37.861974,169.911379,42.832717,-55.681186,0.000000,5.457974
0.020000,187.686709,37.244429,170.756897,41.719093,-55.681186,0.000000,5.470687
0.020000,188.256595,36.650331,171.580143,40.605469,-55.681186,-0.000000,5.483335
0.020000,188.818304,36.079337,172.381116,39.491846,-55.681186,0.000000,5.495886
0.020000,189.371283,35.531087,173.159817,38.378222,-55.681186,-0.000000,5.508314
0.020000,189.914985,35.005194,173.916245,37.264598,-55.681186,0.000000,5.520590
0.020000,190.448860,34.501254,174.650401,36.150975,-55.681186,0.000000,5.532689
0.020000,190.972366,34.018850,175.362284,35.037351,-55.681186,0.000000,5.544586
0.020000,191.484965,33.557549,176.051895,33.923727,-55.681186,0.000000,5.556259
0.020000,191.986134,33.116903,176.719233,32.810103,-55.681186,-0.000000,5.567686
0.020000,192.475355,32.696465,177.364299,31.696480,-55.681186,0.000000,5.578848
0.020000,192.952128,32.295775,177.987092,30.582856,-55.681186,-0.000000,5.589725
