dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,54.974486,109.069000,0.005568,0.556812,27.840593,1392.029644,0.000119
0.020000,54.974041,109.069000,0.006014,0.022282,-26.726512,-2728.355262,0.000083
0.020000,54.973148,109.069000,0.006907,0.044655,1.118669,1392.259067,0.000012
0.020000,55.031274,109.068997,0.065033,2.906329,143.083681,7098.250589,6.283090
0.020000,55.118563,109.068983,0.152322,4.364445,72.905818,-3508.893138,6.282945
0.020000,55.227660,109.068947,0.261420,5.454872,54.521333,-919.224234,6.282764
0.020000,55.358557,109.068877,0.392316,6.544821,54.497488,-1.192283,6.282545
0.020000,55.511241,109.068760,0.545001,7.634234,54.470613,-1.343717,6.282287
0.020000,55.685701,109.068577,0.719461,8.722991,54.437853,-1.638007,6.281990
0.020000,55.881921,109.068309,0.915681,9.811014,54.401149,-1.835196,6.281651
0.020000,56.099885,109.067934,1.133645,10.898194,54.359037,-2.105621,6.281270
0.020000,56.339573,109.067424,1.373334,11.984453,54.312919,-2.305916,6.280846
0.020000,56.600966,109.066751,1.634728,13.069685,54.261620,-2.564931,6.280376
0.020000,56.884041,109.065883,1.917804,14.153822,54.206841,-2.738952,6.279858
0.020000,57.188774,109.064783,2.222539,15.236731,54.145459,-3.069095,6.279292
0.020000,57.515138,109.063412,2.548906,16.318344,54.080618,-3.242053,6.278674
0.020000,57.863105,109.061726,2.896876,17.398548,54.010246,-3.518602,6.278003
0.020000,58.232645,109.059677,3.266422,18.477279,53.936501,-3.687224,6.277276
0.020000,58.623725,109.057213,3.657510,19.554401,53.856118,-4.019179,6.276491
0.020000,59.036311,109.054277,4.070107,20.629842,53.772068,-4.202494,6.275645
0.020000,59.470367,109.050807,4.504177,21.703495,53.682657,-4.470563,6.274734
0.020000,59.925855,109.046736,4.959682,22.775265,53.588494,-4.708130,6.273757
0.020000,60.402732,109.041991,5.436583,23.845044,53.488946,-4.977410,6.272709
0.020000,60.900956,109.036493,5.934838,24.912751,53.385361,-5.179251,6.271588
0.020000,61.420483,109.030158,6.454403,25.978261,53.275469,-5.494579,6.270391
0.020000,61.961264,109.022894,6.995233,27.041501,53.162033,-5.671798,6.269112
0.020000,62.523250,109.014603,7.557280,28.102354,53.042641,-5.969594,6.267749
0.020000,63.106388,109.005180,8.140494,29.160699,52.917230,-6.270564,6.266298
0.020000,63.710623,108.994510,8.744824,30.216462,52.788133,-6.454835,6.264754
0.020000,64.335897,108.982473,9.370214,31.269510,52.652442,-6.784548,6.263113
0.020000,64.982151,108.968938,10.016609,32.319759,52.512444,-6.999923,6.261370
0.020000,65.649320,108.953768,10.683951,33.367091,52.366588,-7.292800,6.259522
0.020000,66.337339,108.936813,11.372179,34.411401,52.215505,-7.554141,6.257563
0.020000,67.046139,108.917915,12.081230,35.452570,52.058428,-7.853870,6.255488
0.020000,67.775647,108.896906,12.811040,36.490508,51.896905,-8.076156,6.253291
0.020000,68.525786,108.873606,13.561542,37.525069,51.728064,-8.442015,6.250968
0.020000,69.296479,108.847826,14.332665,38.556166,51.554831,-8.661646,6.248514
0.020000,70.087640,108.819362,15.124338,39.583666,51.374997,-8.991726,6.245921
0.020000,70.899184,108.788000,15.936489,40.607506,51.192034,-9.148153,6.243185
0.020000,71.731020,108.753511,16.769038,41.627494,50.999369,-9.633255,6.240299
0.020000,72.583050,108.715656,17.621909,42.643555,50.803056,-9.815656,6.237256
0.020000,73.455176,108.674178,18.495021,43.655593,50.601906,-10.057505,6.234052
0.020000,74.347292,108.628808,19.388290,44.663442,50.392449,-10.472834,6.230678
0.020000,75.259288,108.579261,20.301631,45.667034,50.179593,-10.642805,6.227128
0.020000,76.191048,108.525238,21.234955,46.666222,49.959414,-11.008933,6.223394
0.020000,77.142449,108.466420,22.188174,47.660912,49.734510,-11.245204,6.219471
0.020000,78.113366,108.402476,23.161193,48.650981,49.503453,-11.552843,6.215350
0.020000,79.103662,108.333054,24.153920,49.636330,49.267413,-11.802022,6.211024
0.020000,80.113197,108.257784,25.166257,50.616841,49.025556,-12.092859,6.206484
0.020000,81.141821,108.176281,26.198105,51.592428,48.779356,-12.309987,6.201724
0.020000,82.189380,108.088138,27.249365,52.563002,48.528707,-12.532430,6.196735
0.020000,83.255707,107.992929,28.319934,53.528453,48.272545,-12.808117,6.191509
0.020000,84.340628,107.890208,29.409708,54.488692,48.011952,-13.029635,6.186038
0.020000,85.443963,107.779509,30.518582,55.443680,47.749427,-13.126243,6.180312
0.020000,86.565517,107.660344,31.646448,56.393341,47.483044,-13.319148,6.174325
0.020000,87.705087,107.532204,32.793201,57.337608,47.213360,-13.484205,6.168066
0.020000,88.862461,107.394559,33.958730,58.276492,46.944172,-13.459427,6.161528
0.020000,90.037412,107.246854,35.142929,59.209934,46.672124,-13.602386,6.154702
0.020000,91.229703,107.088516,36.345689,60.137970,46.401762,-13.518079,6.147578
0.020000,92.439085,106.918945,37.566900,61.060593,46.131159,-13.530150,6.140150
0.020000,93.665294,106.737520,38.806458,61.977887,45.864699,-13.322997,6.132406
0.020000,94.908053,106.543597,40.064257,62.889918,45.601551,-13.157425,6.124341
0.020000,96.167071,106.336508,41.340192,63.796797,45.343964,-12.879328,6.115945
0.020000,97.442042,106.115563,42.634166,64.698681,45.094192,-12.488632,6.107210
0.020000,98.732645,105.880050,43.946081,65.595751,44.853500,-12.034581,6.098128
0.020000,100.038540,105.629231,45.275846,66.488235,44.624187,-11.465652,6.088693
0.020000,101.359376,105.362349,46.623374,67.376426,44.409553,-10.731697,6.078897
