dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,54.971672,134.069178,0.005553,0.555305,27.765255,1388.262729,0.000116
0.020000,54.971995,134.069178,0.005876,0.016149,-26.957812,-2736.153321,0.000090
0.020000,54.972641,134.069178,0.006522,0.032321,0.808599,1388.320543,0.000038
0.020000,55.007637,134.069177,0.041518,1.749795,85.873698,4253.254952,6.283146
0.020000,55.097783,134.069169,0.131664,4.507265,137.873530,2599.991583,6.283042
0.020000,55.210468,134.069145,0.244349,5.634261,56.349771,-4076.187938,6.282912
0.020000,55.345695,134.069098,0.379576,6.761370,56.355456,0.284259,6.282756
0.020000,55.503467,134.069016,0.537348,7.888607,56.361833,0.318830,6.282573
0.020000,55.683788,134.068886,0.717669,9.016033,56.371300,0.473340,6.282363
0.020000,55.886660,134.068695,0.920542,10.143623,56.379526,0.411306,6.282126
0.020000,56.112089,134.068427,1.145970,11.271427,56.390214,0.534428,6.281861
0.020000,56.360078,134.068062,1.393959,12.399462,56.401747,0.576635,6.281569
0.020000,56.630633,134.067581,1.664515,13.527771,56.415447,0.684992,6.281248
0.020000,56.923759,134.066962,1.957642,14.656339,56.428405,0.647887,6.280899
0.020000,57.239462,134.066181,2.273346,15.785219,56.443972,0.778375,6.280520
0.020000,57.577749,134.065210,2.611634,16.914427,56.460389,0.820835,6.280112
0.020000,57.938627,134.064022,2.972514,18.043977,56.477499,0.855514,6.279673
0.020000,58.322103,134.062585,3.355992,19.173918,56.497052,0.977637,6.279203
0.020000,58.728184,134.060866,3.762077,20.304239,56.516076,0.951223,6.278702
0.020000,59.156879,134.058830,4.190777,21.434990,56.537561,1.074258,6.278169
0.020000,59.608196,134.056438,4.642101,22.566185,56.559747,1.109269,6.277602
0.020000,60.082145,134.053650,5.116057,23.697840,56.582728,1.149087,6.277002
0.020000,60.578734,134.050423,5.612658,24.830010,56.608531,1.290127,6.276368
0.020000,61.097975,134.046709,6.131911,25.962677,56.633344,1.240640,6.275698
0.020000,61.639876,134.042460,6.673829,27.095888,56.660546,1.360110,6.274992
0.020000,62.204448,134.037625,7.238422,28.229659,56.688553,1.400361,6.274249
0.020000,62.791703,134.032148,7.825703,29.364040,56.719045,1.524567,6.273468
0.020000,63.401652,134.025971,8.435683,30.499008,56.748365,1.466043,6.272648
0.020000,64.034307,134.019032,9.068376,31.634624,56.780844,1.623952,6.271788
0.020000,64.689679,134.011267,9.723794,32.770905,56.814036,1.659571,6.270886
0.020000,65.367781,134.002608,10.401951,33.907864,56.847936,1.694996,6.269943
0.020000,66.068625,133.992981,11.102862,35.045534,56.883484,1.777431,6.268957
0.020000,66.792225,133.982312,11.826540,36.183935,56.920049,1.828232,6.267925
0.020000,67.538594,133.970521,12.573002,37.323104,56.958474,1.921260,6.266849
0.020000,68.307746,133.957523,13.342263,38.463056,56.997617,1.957140,6.265725
0.020000,69.099693,133.943231,14.134340,39.603806,57.037477,1.993019,6.264553
0.020000,69.914450,133.927552,14.949247,40.745393,57.079345,2.093402,6.263332
0.020000,70.752031,133.910389,15.787004,41.887834,57.122045,2.134961,6.262059
0.020000,71.612450,133.891640,16.647627,43.031163,57.166471,2.221311,6.260734
0.020000,72.495721,133.871199,17.531135,44.175396,57.211623,2.257587,6.259356
0.020000,73.401859,133.848953,18.437546,45.320550,57.257705,2.304128,6.257922
0.020000,74.330878,133.824787,19.366880,46.466681,57.306567,2.443065,6.256431
0.020000,75.282793,133.798577,20.319155,47.613777,57.354822,2.412767,6.254882
0.020000,76.257618,133.770196,21.294393,48.761879,57.405081,2.512980,6.253273
0.020000,77.255366,133.739511,22.292613,49.911018,57.456929,2.592395,6.251603
0.020000,78.276053,133.706380,23.313838,51.061210,57.509604,2.633748,6.249869
0.020000,79.319691,133.670659,24.358087,52.212481,57.563545,2.697034,6.248070
0.020000,80.386295,133.632195,25.425384,53.364853,57.618614,2.753457,6.246204
0.020000,81.475877,133.590829,26.515751,54.518354,57.675059,2.822231,6.244269
0.020000,82.588451,133.546396,27.629212,55.673009,57.732754,2.884740,6.242264
0.020000,83.724027,133.498722,28.765788,56.828846,57.791835,2.954080,6.240187
0.020000,84.882619,133.447628,29.925506,57.985880,57.851705,2.993499,6.238035
0.020000,86.064236,133.392926,31.108389,59.144135,57.912759,3.052711,6.235807
0.020000,87.268889,133.334421,32.314461,60.303636,57.975029,3.113499,6.233501
0.020000,88.496587,133.271908,33.543750,61.464426,58.039489,3.222960,6.231115
0.020000,89.747338,133.205178,34.796280,62.626485,58.102997,3.175410,6.228646
0.020000,91.021149,133.134009,36.072077,63.789873,58.169373,3.318811,6.226093
0.020000,92.318025,133.058174,37.371169,64.954600,58.236376,3.350133,6.223453
0.020000,93.637972,132.977434,38.693583,66.120681,58.304042,3.383296,6.220725
0.020000,94.980991,132.891543,40.039346,67.288137,58.372800,3.437940,6.217905
0.020000,96.347083,132.800245,41.408485,68.456998,58.443048,3.512400,6.214993
0.020000,97.736248,132.703272,42.801031,69.627277,58.513932,3.544163,6.211984
0.020000,99.148483,132.600351,44.217011,70.798990,58.585665,3.586662,6.208879
0.020000,100.583781,132.491194,45.656454,71.972157,58.658327,3.633105,6.205673
0.020000,102.042135,132.375505,47.119390,73.146786,58.731449,3.656114,6.202364
0.020000,103.523535,132.252976,48.605848,74.322902,58.805814,3.718230,6.198951
0.020000,105.027966,132.123290,50.115858,75.500517,58.880752,3.746914,6.195430
0.020000,106.555411,131.986117,51.649451,76.679638,58.956040,3.764373,6.191800
0.020000,108.105851,131.841116,53.206656,77.860273,59.031745,3.785267,6.188058
0.020000,109.679261,131.687934,54.787505,79.042439,59.108303,3.827916,6.184202
0.020000,111.275612,131.526208,56.392028,80.226133,59.184735,3.821603,6.180228
0.020000,112.894872,131.355560,58.020255,81.411365,59.261592,3.842846,6.176135
0.020000,114.537004,131.175602,59.672218,82.598136,59.338514,3.846076,6.171920
0.020000,116.201964,130.985933,61.347947,83.786440,59.415233,3.835979,6.167581
0.020000,117.889705,130.786138,63.047472,84.976280,59.492001,3.838385,6.163115
0.020000,119.600173,130.575791,64.770825,86.167645,59.568250,3.812458,6.158520
0.020000,121.333307,130.354451,66.518036,87.360526,59.644023,3.788629,6.153793
0.020000,123.089040,130.121667,68.289134,88.554914,59.719394,3.768557,6.148932
