dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,54.974561,109.069178,0.005553,0.555305,27.765255,1388.262729,0.000116
0.020000,54.974238,109.069178,0.005876,0.016149,-26.957812,-2736.153321,0.000090
0.020000,54.973591,109.069178,0.006522,0.032321,0.808599,1388.320543,0.000038
0.020000,55.006646,109.069177,0.039577,1.652716,81.019775,4010.558793,6.283146
0.020000,55.094198,109.069169,0.127129,4.377611,136.244724,2761.247474,6.283042
0.020000,55.203635,109.069146,0.236566,5.471843,54.711634,-4076.654540,6.282912
0.020000,55.334954,109.069100,0.367885,6.565957,54.705687,-0.297323,6.282756
0.020000,55.488152,109.069020,0.521083,7.659920,54.698116,-0.378567,6.282573
0.020000,55.663227,109.068895,0.696158,8.753744,54.691247,-0.343434,6.282363
0.020000,55.860174,109.068709,0.893106,9.847362,54.680874,-0.518657,6.282126
0.020000,56.078989,109.068449,1.111921,10.940774,54.670590,-0.514203,6.281861
0.020000,56.319668,109.068095,1.352600,12.033950,54.658821,-0.588432,6.281569
0.020000,56.582205,109.067628,1.615138,13.126887,54.646849,-0.598601,6.281248
0.020000,56.866595,109.067028,1.899528,14.219524,54.631848,-0.750074,6.280899
0.020000,57.172832,109.066270,2.205766,15.311865,54.617066,-0.739073,6.280520
0.020000,57.500908,109.065328,2.533843,16.403881,54.600793,-0.813672,6.280112
0.020000,57.850817,109.064176,2.883754,17.495539,54.582873,-0.895988,6.279673
0.020000,58.222551,109.062783,3.255491,18.586839,54.564999,-0.893718,6.279203
0.020000,58.616102,109.061118,3.649045,19.677724,54.544285,-1.035671,6.278702
0.020000,59.031461,109.059145,4.064409,20.768197,54.523626,-1.032964,6.278169
0.020000,59.468620,109.056828,4.501574,21.858223,54.501309,-1.115823,6.277602
0.020000,59.927567,109.054128,4.960529,22.947772,54.477425,-1.194244,6.277002
0.020000,60.408294,109.051004,5.441266,24.036850,54.453926,-1.174919,6.276368
0.020000,60.910789,109.047410,5.943774,25.125393,54.427119,-1.340339,6.275698
0.020000,61.435041,109.043299,6.468042,26.213398,54.400271,-1.342439,6.274992
0.020000,61.981037,109.038623,7.014059,27.300835,54.371840,-1.421516,6.274249
0.020000,62.548767,109.033328,7.581813,28.387704,54.343446,-1.419704,6.273468
0.020000,63.138215,109.027359,8.171291,29.473935,54.311549,-1.594858,6.272648
0.020000,63.749369,109.020656,8.782482,30.559541,54.280328,-1.561057,6.271788
0.020000,64.382215,109.013158,9.415372,31.644489,54.247412,-1.645805,6.270886
0.020000,65.036736,109.004800,10.069947,32.728745,54.212792,-1.730995,6.269943
0.020000,65.712918,108.995512,10.746193,33.812293,54.177370,-1.771087,6.268957
0.020000,66.410745,108.985223,11.444095,34.895103,54.140530,-1.842018,6.267925
0.020000,67.130198,108.973857,12.163638,35.977165,54.103080,-1.872518,6.266849
0.020000,67.871261,108.961334,12.904807,37.058443,54.063911,-1.958413,6.265725
0.020000,68.633915,108.947570,13.667585,38.138904,54.023021,-2.044511,6.264553
0.020000,69.418141,108.932479,14.451956,39.218537,53.981647,-2.068714,6.263332
0.020000,70.223918,108.915967,15.257902,40.297310,53.938651,-2.149802,6.262059
0.020000,71.051225,108.897940,16.085406,41.375207,53.894891,-2.187969,6.260734
0.020000,71.900042,108.878296,16.934450,42.452195,53.849402,-2.274457,6.259356
0.020000,72.770345,108.856931,17.805015,43.528243,53.802380,-2.351129,6.257922
0.020000,73.662110,108.833733,18.697082,44.603355,53.755597,-2.339150,6.256431
0.020000,74.575313,108.808590,19.610631,45.677471,53.705803,-2.489694,6.254882
0.020000,75.509929,108.781380,20.545643,46.750581,53.655506,-2.514820,6.253273
0.020000,76.465930,108.751978,21.502096,47.822667,53.604310,-2.559839,6.251603
0.020000,77.443290,108.720254,22.479970,48.893697,53.551487,-2.641120,6.249869
0.020000,78.441978,108.686071,23.479243,49.963646,53.497466,-2.701037,6.248070
0.020000,79.461964,108.649289,24.499893,51.032489,53.442125,-2.767088,6.246204
0.020000,80.503218,108.609758,25.541897,52.100203,53.385709,-2.820770,6.244269
0.020000,81.565707,108.567325,26.605232,53.166765,53.328114,-2.879767,6.242264
0.020000,82.649395,108.521830,27.689875,54.232155,53.269486,-2.931411,6.240187
0.020000,83.754248,108.473106,28.795802,55.296341,53.209274,-3.010596,6.238035
0.020000,84.880228,108.420979,29.922988,56.359298,53.147881,-3.069655,6.235807
0.020000,86.027296,108.365271,31.071408,57.421005,53.085365,-3.125802,6.233501
0.020000,87.195412,108.305792,32.241037,58.481459,53.022684,-3.134022,6.231115
0.020000,88.384533,108.242350,33.431849,59.540597,52.956889,-3.289760,6.228646
0.020000,89.594614,108.174743,34.643818,60.598430,52.891657,-3.261609,6.226093
0.020000,90.825610,108.102760,35.876917,61.654928,52.824904,-3.337658,6.223453
0.020000,92.077472,108.026185,37.131118,62.710063,52.756722,-3.409068,6.220725
0.020000,93.350148,107.944793,38.406394,63.763814,52.687585,-3.456882,6.217905
0.020000,94.643586,107.858350,39.702718,64.816173,52.617937,-3.482389,6.214993
0.020000,95.957730,107.766615,41.020060,65.867114,52.547049,-3.544379,6.211984
0.020000,97.292523,107.669338,42.358392,66.916618,52.475215,-3.591704,6.208879
0.020000,98.647902,107.566259,43.717686,67.964670,52.402609,-3.630335,6.205673
0.020000,100.023805,107.457111,45.097911,69.011248,52.328897,-3.685577,6.202364
0.020000,101.420163,107.341617,46.499038,70.056347,52.254941,-3.697815,6.198951
0.020000,102.836908,107.219490,47.921037,71.099952,52.180242,-3.734914,6.195430
0.020000,104.273966,107.090435,49.363878,72.142047,52.104739,-3.775161,6.191800
0.020000,105.731259,106.954145,50.827530,73.182620,52.028659,-3.804016,6.188058
0.020000,107.208707,106.810307,52.311963,74.221672,51.952588,-3.803549,6.184202
0.020000,108.706226,106.658594,53.817147,75.259188,51.875800,-3.839388,6.180228
0.020000,110.223726,106.498670,55.343050,76.295168,51.799025,-3.838739,6.176135
0.020000,111.761114,106.330192,56.889643,77.329611,51.722155,-3.843496,6.171920
0.020000,113.318293,106.152801,58.456893,78.362515,51.645191,-3.848228,6.167581
0.020000,114.895160,105.966132,60.044771,79.393888,51.568636,-3.827737,6.163115
0.020000,116.491608,105.769807,61.653245,80.423733,51.492253,-3.819139,6.158520
0.020000,118.107525,105.563438,63.282287,81.452061,51.416397,-3.792814,6.153793
0.020000,119.742793,105.346626,64.931864,82.478890,51.341475,-3.746082,6.148932
0.020000,121.397287,105.118962,66.601949,83.504223,51.266621,-3.742725,6.143935
0.020000,123.070878,104.880023,68.292511,84.528102,51.193961,-3.632994,6.138799
0.020000,124.763431,104.629379,70.003522,85.550538,51.121788,-3.608660,6.133522
0.020000,126.474803,104.366586,71.734953,86.571567,51.051437,-3.517563,6.128102
