dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,54.975453,134.069000,0.005578,0.557845,27.892261,1394.613069,6.282989
0.020000,54.974919,134.069000,0.006113,0.026719,-26.556328,-2722.429448,6.283032
0.020000,54.973851,134.069000,0.007181,0.053398,1.333958,1394.514287,6.283117
0.020000,55.003607,134.069001,0.036937,1.487791,71.719663,3519.285233,0.000060
0.020000,55.090732,134.069014,0.124062,4.356281,143.424483,3585.240986,0.000230
0.020000,55.199645,134.069050,0.232975,5.445649,54.468388,-4447.804736,0.000443
0.020000,55.330349,134.069125,0.363679,6.535213,54.478228,0.492006,0.000697
0.020000,55.482850,134.069254,0.516180,7.625011,54.489908,0.584016,0.000993
0.020000,55.657151,134.069456,0.690481,8.715090,54.503943,0.701753,0.001329
0.020000,55.853261,134.069754,0.886591,9.805481,54.519557,0.780679,0.001707
0.020000,56.071185,134.070171,1.104516,10.896230,54.537420,0.893142,0.002124
0.020000,56.310932,134.070735,1.344263,11.987372,54.557131,0.985568,0.002580
0.020000,56.572510,134.071475,1.605842,13.078949,54.578850,1.085952,0.003075
0.020000,56.855928,134.072422,1.889262,14.171002,54.602646,1.189789,0.003608
0.020000,57.161197,134.073610,2.194534,15.263569,54.628321,1.283736,0.004178
0.020000,57.488328,134.075076,2.521667,16.356687,54.655937,1.380823,0.004783
0.020000,57.837331,134.076858,2.870675,17.450401,54.685669,1.486597,0.005424
0.020000,58.208220,134.078995,3.241570,18.544748,54.717388,1.585951,0.006100
0.020000,58.601007,134.081530,3.634366,19.639767,54.750933,1.677268,0.006808
0.020000,59.015706,134.084507,4.049076,20.735500,54.786625,1.784591,0.007548
0.020000,59.452332,134.087971,4.485715,21.831986,54.824300,1.883713,0.008319
0.020000,59.910900,134.091970,4.944301,22.929263,54.863889,1.979480,0.009119
0.020000,60.391426,134.096552,5.424848,24.027375,54.905565,2.083813,0.009948
0.020000,60.893926,134.101766,5.927375,25.126358,54.949141,2.178788,0.010803
0.020000,61.418418,134.107664,6.451900,26.226255,54.994857,2.285813,0.011684
0.020000,61.964920,134.114297,6.998442,27.327104,55.042462,2.380223,0.012588
0.020000,62.533450,134.121718,7.567021,28.428945,55.092069,2.480356,0.013514
0.020000,63.124029,134.129981,8.157658,29.531818,55.143647,2.578877,0.014461
0.020000,63.736676,134.139137,8.770373,30.635765,55.197351,2.685219,0.015427
0.020000,64.371412,134.149243,9.405189,31.740824,55.252933,2.779118,0.016410
0.020000,65.028258,134.160352,10.062130,32.847035,55.310549,2.880762,0.017407
0.020000,65.707238,134.172517,10.741219,33.954439,55.370185,2.981832,0.018419
0.020000,66.408374,134.185792,11.442480,35.063074,55.431756,3.078519,0.019441
0.020000,67.131690,134.200230,12.165940,36.172981,55.495382,3.181322,0.020473
0.020000,67.877209,134.215884,12.911624,37.284201,55.560960,3.278886,0.021512
0.020000,68.644958,134.232805,13.679559,38.396771,55.628538,3.378927,0.022555
0.020000,69.434962,134.251042,14.469774,39.510733,55.698092,3.477707,0.023602
0.020000,70.247248,134.270645,15.282297,40.626126,55.769660,3.578355,0.024649
0.020000,71.081844,134.291660,16.117156,41.742990,55.843179,3.675961,0.025694
0.020000,71.938776,134.314131,16.974384,42.861363,55.918664,3.774254,0.026735
0.020000,72.818075,134.338103,17.854009,43.981286,55.996144,3.873994,0.027769
0.020000,73.719771,134.363614,18.756065,45.102799,56.075634,3.974497,0.028794
0.020000,74.643892,134.390702,19.680584,46.225939,56.157012,4.068925,0.029807
0.020000,75.590472,134.419401,20.627599,47.350748,56.240436,4.171184,0.030805
0.020000,76.559543,134.449742,21.597144,48.477263,56.325769,4.266641,0.031786
0.020000,77.551137,134.481752,22.589255,49.605525,56.413101,4.366618,0.032747
0.020000,78.565288,134.515455,23.603966,50.735572,56.502367,4.463298,0.033685
0.020000,79.602033,134.550868,24.641315,51.867445,56.593614,4.562364,0.034597
0.020000,80.661405,134.588006,25.701339,53.001180,56.686770,4.657806,0.035480
0.020000,81.743444,134.626879,26.784075,54.136820,56.781975,4.760252,0.036331
0.020000,82.848186,134.667490,27.889563,55.274400,56.879018,4.852135,0.037148
0.020000,83.975670,134.709837,29.017843,56.413963,56.978150,4.956598,0.037926
0.020000,85.125937,134.753912,30.168953,57.555546,57.079128,5.048906,0.038662
0.020000,86.299027,134.799702,31.342937,58.699188,57.182144,5.150793,0.039354
0.020000,87.494984,134.847183,32.539836,59.844930,57.287078,5.246714,0.039998
0.020000,88.713849,134.896329,33.759692,60.992810,57.394015,5.346819,0.040590
0.020000,89.955669,134.947104,35.002549,62.142867,57.502817,5.440132,0.041127
0.020000,91.220489,134.999462,36.268452,63.295142,57.613762,5.547244,0.041606
0.020000,92.508355,135.053353,37.557446,64.449673,57.726562,5.639979,0.042023
0.020000,93.819317,135.108714,38.869576,65.606501,57.841384,5.741094,0.042373
0.020000,95.153423,135.165475,40.204889,66.765665,57.958216,5.841618,0.042655
0.020000,96.510725,135.223555,41.563433,67.927205,58.077011,5.939725,0.042863
0.020000,97.891275,135.282865,42.945256,69.091162,58.197853,6.042131,0.042993
0.020000,99.295126,135.343303,44.350408,70.257576,58.320683,6.141512,0.043043
0.020000,100.722333,135.404757,45.778938,71.426487,58.445553,6.243476,0.043007
0.020000,102.172953,135.467102,47.230896,72.597936,58.572445,6.344605,0.042882
0.020000,103.647042,135.530203,48.706336,73.771964,58.701395,6.447507,0.042664
0.020000,105.144660,135.593911,50.205308,74.948611,58.832364,6.548451,0.042348
0.020000,106.665866,135.658064,51.727866,76.127920,58.965414,6.652504,0.041931
0.020000,108.210722,135.722486,53.274065,77.309930,59.100509,6.754745,0.041407
0.020000,109.779290,135.786988,54.843958,78.494682,59.237632,6.856131,0.040773
0.020000,111.371634,135.851365,56.437603,79.682221,59.376940,6.965429,0.040024
0.020000,112.987818,135.915396,58.055055,80.872584,59.518137,7.059843,0.039155
0.020000,114.627907,135.978847,59.696371,82.065814,59.661483,7.167276,0.038162
0.020000,116.291968,136.041464,61.361610,83.261950,59.806835,7.267633,0.037041
0.020000,117.980069,136.102977,63.050831,84.461036,59.954291,7.372776,0.035786
0.020000,119.692276,136.163100,64.764093,85.663108,60.103586,7.464763,0.034393
0.020000,121.428657,136.221526,66.501457,86.868209,60.255036,7.572470,0.032857
0.020000,123.189281,136.277930,68.262984,88.076374,60.408284,7.662428,0.031173
0.020000,124.974216,136.331969,70.048737,89.287644,60.563486,7.760107,0.029336
0.020000,126.783530,136.383276,71.858778,90.502052,60.720399,7.845627,0.027341
0.020000,128.617290,136.431466,73.693171,91.719636,60.879195,7.939793,0.025183
0.020000,130.475562,136.476132,75.551980,92.940426,61.039532,8.016868,0.022857
0.020000,132.358411,136.516844,77.435269,94.164456,61.201469,8.096846,0.020358
0.020000,134.265900,136.553149,79.343104,95.391752,61.364826,8.167868,0.017679
0.020000,136.198091,136.584572,81.275550,96.622340,61.529393,8.228315,0.014818
0.020000,138.155043,136.610610,83.232675,97.856243,61.695160,8.288361,0.011767
0.020000,140.136810,136.630739,85.214545,99.093478,61.861752,8.329596,0.008521
0.020000,142.143445,136.644408,87.221226,100.334059,62.029017,8.363268,0.005076
0.020000,144.174994,136.651039,89.252786,101.577995,62.196812,8.389742,0.001425
0.020000,146.231500,136.650028,91.309292,102.825285,62.364506,8.384679,6.280749
0.020000,148.312998,136.640743,93.390810,104.075932,62.532342,8.391845,6.276672
0.020000,150.419517,136.622526,95.497409,105.329916,62.699213,8.343549,6.272374
0.020000,152.551080,136.594687,97.629153,106.587220,62.865206,8.299649,6.267849
0.020000,154.707698,136.556511,99.786109,107.847822,63.030071,8.243240,6.263092
0.020000,156.889376,136.507251,101.968343,109.111673,63.192538,8.123326,6.258098
0.020000,159.096104,136.446131,104.175918,110.378731,63.352932,8.019728,6.252862
0.020000,161.327863,136.372346,106.408896,111.648920,63.509447,7.825720,6.247379
0.020000,163.553145,136.286366,108.635838,111.347103,-15.090848,-3930.014742,6.241532
0.020000,165.598728,136.211165,110.682803,102.348246,-449.942855,-21742.600360,6.250958
0.020000,167.723579,136.151852,112.808481,106.283923,196.783838,32336.334666,6.259413
0.020000,169.883636,136.108755,114.968968,108.024350,87.021353,-5488.124256,6.266869
0.020000,172.079105,136.080198,117.164624,109.782759,87.920461,44.955421,6.273297
0.020000,174.310230,136.064344,119.395805,111.559068,88.815454,44.749642,6.278668
0.020000,176.577292,136.059182,121.662873,113.353401,89.716637,45.059133,6.282954
0.020000,178.880612,136.062526,123.966195,115.166114,90.635632,45.949742,0.002939
0.020000,181.220548,136.072004,126.306150,116.997753,91.581978,47.317296,0.004963
0.020000,183.597493,136.085048,128.683131,118.849033,92.563976,49.099934,0.005811
0.020000,186.011870,136.098887,131.097547,120.720815,93.589125,51.257442,0.005449
0.020000,188.464123,136.110533,133.549829,122.614064,94.662445,53.665992,0.003843
0.020000,190.954711,136.116770,136.040424,124.529793,95.786470,56.201235,0.000957
0.020000,193.484090,136.114142,138.569805,126.469025,96.961594,58.756231,6.279938
0.020000,196.052699,136.098935,141.138459,128.432703,98.183892,61.114906,6.274377
