dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,54.970547,109.069000,0.005578,0.557845,27.892261,1394.613069,6.282989
0.020000,54.971081,109.069000,0.006113,0.026719,-26.556328,-2722.429448,6.283032
0.020000,54.972149,109.069000,0.007181,0.053398,1.333958,1394.514287,6.283117
0.020000,55.005105,109.069001,0.040137,1.647787,79.719468,3919.275499,0.000060
0.020000,55.096490,109.069014,0.131521,4.569240,146.072662,3317.659694,0.000230
0.020000,55.210715,109.069053,0.245746,5.711256,57.100802,-4448.593015,0.000443
0.020000,55.347776,109.069131,0.382808,6.853075,57.090912,-0.494482,0.000697
0.020000,55.507669,109.069266,0.542701,7.994653,57.078906,-0.600292,0.000993
0.020000,55.690388,109.069478,0.725420,9.135959,57.065321,-0.679239,0.001329
0.020000,55.895927,109.069790,0.930959,10.276946,57.049341,-0.799005,0.001707
0.020000,56.124278,109.070228,1.159311,11.417579,57.031666,-0.883750,0.002124
0.020000,56.375434,109.070818,1.410467,12.557817,57.011873,-0.989649,0.002580
0.020000,56.649385,109.071593,1.684419,13.697619,56.990126,-1.087364,0.003075
0.020000,56.946123,109.072585,1.981158,14.836949,56.966493,-1.181631,0.003608
0.020000,57.265635,109.073828,2.300674,15.975765,56.940765,-1.286424,0.004178
0.020000,57.607912,109.075362,2.642954,17.114025,56.913003,-1.388093,0.004783
0.020000,57.972942,109.077225,3.007988,18.251692,56.883386,-1.480842,0.005424
0.020000,58.360710,109.079460,3.395763,19.388728,56.851777,-1.580479,0.006100
0.020000,58.771203,109.082109,3.806264,20.525088,56.818003,-1.688671,0.006808
0.020000,59.204406,109.085219,4.239479,21.660736,56.782398,-1.780276,0.007548
0.020000,59.660305,109.088837,4.695392,22.795632,56.744786,-1.880597,0.008319
0.020000,60.138881,109.093010,5.173986,23.929734,56.705095,-1.984539,0.009119
0.020000,60.640118,109.097789,5.675246,25.063004,56.663502,-2.079642,0.009948
0.020000,61.163998,109.103225,6.199154,26.195400,56.619810,-2.184597,0.010803
0.020000,61.710501,109.109370,6.745692,27.326885,56.574269,-2.277050,0.011684
0.020000,62.279608,109.116278,7.314841,28.457417,56.526615,-2.382698,0.012588
0.020000,62.871297,109.124001,7.906580,29.586957,56.476967,-2.482393,0.013514
0.020000,63.485546,109.132595,8.520889,30.715463,56.425292,-2.583754,0.014461
0.020000,64.122333,109.142112,9.157747,31.842898,56.371753,-2.676947,0.015427
0.020000,64.781633,109.152609,9.817131,32.969220,56.316093,-2.783019,0.016410
0.020000,65.463424,109.164139,10.499019,34.094389,56.258474,-2.880942,0.017407
0.020000,66.167678,109.176757,11.203386,35.218367,56.198887,-2.979348,0.018419
0.020000,66.894370,109.190516,11.930209,36.341112,56.137244,-3.082155,0.019441
0.020000,67.643472,109.205469,12.679460,37.462585,56.073675,-3.178446,0.020473
0.020000,68.414957,109.221669,13.451115,38.582747,56.008076,-3.279975,0.021512
0.020000,69.208796,109.239164,14.245146,39.701557,55.940501,-3.378718,0.022555
0.020000,70.024958,109.258005,15.061526,40.818975,55.870931,-3.478531,0.023602
0.020000,70.863413,109.278239,15.900225,41.934964,55.799408,-3.576159,0.024649
0.020000,71.724130,109.299912,16.761215,43.049481,55.725874,-3.676665,0.025694
0.020000,72.607076,109.323066,17.644465,44.162488,55.650351,-3.776181,0.026735
0.020000,73.512219,109.347741,18.549943,45.273945,55.572872,-3.873926,0.027769
0.020000,74.439524,109.373977,19.477620,46.383815,55.493460,-3.970612,0.028794
0.020000,75.388957,109.401807,20.427461,47.492055,55.411994,-4.073273,0.029807
0.020000,76.360483,109.431262,21.399433,48.598627,55.328642,-4.167616,0.030805
0.020000,77.354066,109.462370,22.393503,49.703493,55.243268,-4.268705,0.031786
0.020000,78.369669,109.495156,23.409635,50.806612,55.155969,-4.364930,0.032747
0.020000,79.407256,109.529637,24.447794,51.907946,55.066683,-4.464342,0.033685
0.020000,80.466787,109.565828,25.507944,53.007455,54.975460,-4.561151,0.034597
0.020000,81.548224,109.603740,26.590045,54.105100,54.882229,-4.661548,0.035480
0.020000,82.651529,109.643377,27.694062,55.200842,54.787134,-4.754724,0.036331
0.020000,83.776662,109.684737,28.819955,56.294641,54.689961,-4.858663,0.037148
0.020000,84.923583,109.727814,29.967684,57.386461,54.590964,-4.949823,0.037926
0.020000,86.092250,109.772595,31.137210,58.476259,54.489895,-5.053471,0.038662
0.020000,87.282624,109.819058,32.328490,59.563998,54.386944,-5.147549,0.039354
0.020000,88.494662,109.867178,33.541482,60.649637,54.281985,-5.247943,0.039998
0.020000,89.728322,109.916921,34.776145,61.733139,54.175097,-5.344413,0.040590
0.020000,90.983563,109.968244,36.032434,62.814462,54.066134,-5.448156,0.041127
0.020000,92.260341,110.021097,37.310306,63.893569,53.955365,-5.538419,0.041606
0.020000,93.558613,110.075423,38.609714,64.970419,53.842490,-5.643771,0.042023
0.020000,94.878336,110.131154,39.930613,66.044972,53.727665,-5.741270,0.042373
0.020000,96.219467,110.188214,41.272957,67.117190,53.610863,-5.840057,0.042655
0.020000,97.581960,110.246517,42.636698,68.187030,53.492023,-5.942014,0.042863
0.020000,98.965773,110.305967,44.021787,69.254454,53.371214,-6.040434,0.042993
0.020000,100.370860,110.366458,45.428175,70.319421,53.248360,-6.142708,0.043043
0.020000,101.797176,110.427873,46.855813,71.381891,53.123496,-6.243218,0.043007
0.020000,103.244676,110.490084,48.304650,72.441823,52.996588,-6.345381,0.042882
0.020000,104.713315,110.552952,49.774633,73.499176,52.867657,-6.446555,0.042664
0.020000,106.203046,110.616324,51.265711,74.553909,52.736649,-6.550396,0.042348
0.020000,107.713822,110.680037,52.777831,75.605982,52.603614,-6.651752,0.041931
0.020000,109.245598,110.743914,54.310938,76.655352,52.468507,-6.755380,0.041407
