dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,54.986350,134.068993,0.005541,0.554075,27.703767,1385.188336,6.282117
0.020000,54.984474,134.068995,0.007417,0.093794,-23.014088,-2535.892758,6.282267
0.020000,54.980724,134.068998,0.011167,0.187527,4.686677,1385.038271,6.282567
0.020000,54.975101,134.069000,0.016790,0.281140,4.680668,-0.300435,6.283017
0.020000,55.031411,134.069013,0.073100,2.815510,126.718488,6101.890963,0.000431
0.020000,55.132867,134.069094,0.174556,5.072779,112.863449,-692.751914,0.001180
0.020000,55.254629,134.069293,0.296318,6.088106,50.766356,-3104.854683,0.002077
0.020000,55.396700,134.069662,0.438390,7.103581,50.773733,0.368878,0.003123
0.020000,55.559086,134.070266,0.600777,8.119355,50.788710,0.748820,0.004316
0.020000,55.741798,134.071177,0.783491,9.135723,50.818389,1.483973,0.005656
0.020000,55.944845,134.072477,0.986542,10.152555,50.841623,1.161680,0.007143
0.020000,56.168230,134.074255,1.209934,11.169598,50.852125,0.525140,0.008775
0.020000,56.411976,134.076610,1.453692,12.187880,50.914108,3.099154,0.010551
0.020000,56.676085,134.079650,1.717818,13.206320,50.922007,0.394925,0.012470
0.020000,56.960572,134.083491,2.002331,14.225644,50.966164,2.207867,0.014532
0.020000,57.265451,134.088258,2.307248,15.245831,51.009387,2.161131,0.016734
0.020000,57.590737,134.094083,2.632585,16.266873,51.052083,2.134806,0.019076
0.020000,57.936440,134.101107,2.978360,17.288767,51.094681,2.129919,0.021555
0.020000,58.302583,134.109480,3.344598,18.311891,51.156201,3.075970,0.024171
0.020000,58.689175,134.119359,3.731316,19.335907,51.200802,2.230062,0.026921
0.020000,59.096238,134.130908,4.138543,20.361342,51.271767,3.548223,0.029804
0.020000,59.523784,134.144299,4.566300,21.387826,51.324213,2.622306,0.032817
0.020000,59.971834,134.159714,5.014614,22.415734,51.395376,3.558166,0.035959
0.020000,60.440404,134.177337,5.483516,23.445079,51.467249,3.593652,0.039227
0.020000,60.929512,134.197365,5.973034,24.475887,51.540402,3.657625,0.042618
0.020000,61.439180,134.219997,6.483204,25.508524,51.631876,4.573726,0.046131
0.020000,61.969423,134.245440,7.014057,26.542637,51.705620,3.687196,0.049761
0.020000,62.520263,134.273909,7.565633,27.578779,51.807102,5.074093,0.053507
0.020000,63.091717,134.305623,8.137966,28.616654,51.893780,4.333919,0.057366
0.020000,63.683805,134.340806,8.731098,29.656621,51.998333,5.227646,0.061333
0.020000,64.296547,134.379689,9.345072,30.698720,52.104942,5.330442,0.065407
0.020000,64.929962,134.422508,9.979933,31.743005,52.214242,5.465018,0.069582
0.020000,65.584068,134.469503,10.635725,32.789628,52.331166,5.846198,0.073856
0.020000,66.258889,134.520918,11.312502,33.838828,52.460015,6.442427,0.078224
0.020000,66.954440,134.577001,12.010310,34.890413,52.579245,5.961489,0.082683
0.020000,67.670741,134.638004,12.729204,35.944702,52.714453,6.760424,0.087228
0.020000,68.407813,134.704182,13.469241,37.001832,52.856492,7.101953,0.091854
0.020000,69.165674,134.775793,14.230478,38.061866,53.001693,7.260066,0.096558
0.020000,69.944344,134.853095,15.012975,39.124879,53.150663,7.448496,0.101333
0.020000,70.743840,134.936350,15.816795,40.190958,53.303964,7.665018,0.106176
0.020000,71.564182,135.025819,16.642001,41.260326,53.468392,8.221391,0.111081
0.020000,72.405388,135.121766,17.488661,42.333015,53.634417,8.301257,0.116043
0.020000,73.267479,135.224454,18.356846,43.409226,53.810578,8.808086,0.121056
0.020000,74.150470,135.334143,19.246625,44.488932,53.985311,8.736634,0.126114
