dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,54.973000,121.569000,0.005541,0.554075,27.703767,1385.188336,6.282117
0.020000,54.973000,121.569000,0.027704,1.662226,55.407533,1385.188336,6.282267
0.020000,54.973000,121.569000,0.072030,2.770377,55.407533,-0.000000,6.282567
0.020000,54.973000,121.569000,0.138519,3.878527,55.407533,0.000000,6.283017
0.020000,55.036802,121.569014,0.227171,4.986678,55.407533,-0.000000,0.000431
0.020000,55.147614,121.569103,0.337986,6.094829,55.407533,0.000000,0.001180
0.020000,55.280593,121.569320,0.470964,7.202979,55.407533,-0.000000,0.002077
0.020000,55.435734,121.569723,0.626105,8.311130,55.407533,-0.000000,0.003123
0.020000,55.613036,121.570382,0.803409,9.419281,55.407533,0.000000,0.004316
0.020000,55.812501,121.571377,1.002876,10.527431,55.407533,0.000000,0.005656
0.020000,56.034129,121.572795,1.224506,11.635582,55.407533,0.000000,0.007143
0.020000,56.277910,121.574736,1.468300,12.743733,55.407533,-0.000000,0.008775
0.020000,56.543857,121.577306,1.734256,13.851883,55.407533,0.000000,0.010551
0.020000,56.831957,121.580622,2.022375,14.960034,55.407533,-0.000000,0.012470
0.020000,57.142211,121.584811,2.332657,16.068185,55.407533,0.000000,0.014532
0.020000,57.474615,121.590008,2.665102,17.176335,55.407533,-0.000000,0.016734
0.020000,57.829167,121.596357,3.019711,18.284486,55.407533,0.000000,0.019076
0.020000,58.205859,121.604011,3.396482,19.392637,55.407533,-0.000000,0.021555
0.020000,58.604689,121.613132,3.795416,20.500787,55.407533,0.000000,0.024171
0.020000,59.025648,121.623888,4.216513,21.608938,55.407533,-0.000000,0.026921
0.020000,59.468731,121.636459,4.659774,22.717089,55.407533,0.000000,0.029804
0.020000,59.933926,121.651030,5.125197,23.825239,55.407533,-0.000000,0.032817
0.020000,60.421224,121.667794,5.612783,24.933390,55.407533,0.000000,0.035959
0.020000,60.930612,121.686953,6.122532,26.041541,55.407533,0.000000,0.039227
0.020000,61.462077,121.708715,6.654445,27.149691,55.407533,-0.000000,0.042618
0.020000,62.015608,121.733295,7.208520,28.257842,55.407533,0.000000,0.046131
0.020000,62.591183,121.760913,7.784758,29.365993,55.407533,0.000000,0.049761
0.020000,63.188787,121.791799,8.383160,30.474143,55.407533,-0.000000,0.053507
0.020000,63.808398,121.826185,9.003724,31.582294,55.407533,0.000000,0.057366
0.020000,64.449992,121.864310,9.646452,32.690445,55.407533,0.000000,0.061333
0.020000,65.113548,121.906417,10.311342,33.798595,55.407533,-0.000000,0.065407
0.020000,65.799036,121.952756,10.998395,34.906746,55.407533,0.000000,0.069582
0.020000,66.506427,122.003579,11.707612,36.014897,55.407533,-0.000000,0.073856
0.020000,67.235693,122.059142,12.438991,37.123047,55.407533,0.000000,0.078224
0.020000,67.986797,122.119704,13.192534,38.231198,55.407533,-0.000000,0.082683
0.020000,68.759703,122.185528,13.968239,39.339349,55.407533,0.000000,0.087228
0.020000,69.554374,122.256877,14.766108,40.447499,55.407533,-0.000000,0.091854
0.020000,70.370769,122.334019,15.586139,41.555650,55.407533,0.000000,0.096558
0.020000,71.208843,122.417218,16.428334,42.663801,55.407533,-0.000000,0.101333
0.020000,72.068551,122.506742,17.292691,43.771951,55.407533,0.000000,0.106176
0.020000,72.949844,122.602859,18.179212,44.880102,55.407533,0.000000,0.111081
0.020000,73.852673,122.705834,19.087895,45.988253,55.407533,0.000000,0.116043
0.020000,74.776985,122.815933,20.018742,47.096403,55.407533,-0.000000,0.121056
0.020000,75.722724,122.933417,20.971751,48.204554,55.407533,0.000000,0.126114
0.020000,76.689834,123.058546,21.946924,49.312705,55.407533,0.000000,0.131212
0.020000,77.678256,123.191577,22.944260,50.420855,55.407533,-0.000000,0.136344
0.020000,78.687930,123.332761,23.963758,51.529006,55.407533,0.000000,0.141503
0.020000,79.718794,123.482346,25.005420,52.637157,55.407533,-0.000000,0.146682
0.020000,80.770785,123.640572,26.069244,53.745307,55.407533,0.000000,0.151877
0.020000,81.843838,123.807675,27.155232,54.853458,55.407533,0.000000,0.157078
0.020000,82.937888,123.983883,28.263383,55.961609,55.407533,-0.000000,0.162281
0.020000,84.052869,124.169415,29.393696,57.069759,55.407533,0.000000,0.167478
0.020000,85.188716,124.364484,30.546173,58.177910,55.407533,0.000000,0.172661
0.020000,86.345362,124.569290,31.720813,59.286061,55.407533,-0.000000,0.177824
0.020000,87.522741,124.784027,32.917616,60.394211,55.407533,0.000000,0.182959
0.020000,88.720789,125.008874,34.136581,61.502362,55.407533,-0.000000,0.188059
0.020000,89.939440,125.244001,35.377710,62.610513,55.407533,0.000000,0.193115
0.020000,91.178634,125.489566,36.641002,63.718663,55.407533,0.000000,0.198121
0.020000,92.438308,125.745712,37.926457,64.826814,55.407533,-0.000000,0.203069
0.020000,93.718405,126.012568,39.234074,65.934965,55.407533,0.000000,0.207950
0.020000,95.018869,126.290250,40.563855,67.043115,55.407533,0.000000,0.212757
0.020000,96.339647,126.578858,41.915799,68.151266,55.407533,-0.000000,0.217481
0.020000,97.680689,126.878476,43.289906,69.259417,55.407533,0.000000,0.222114
0.020000,99.041952,127.189170,44.686176,70.367567,55.407533,0.000000,0.226648
0.020000,100.423393,127.510989,46.104609,71.475718,55.407533,0.000000,0.231075
0.020000,101.824978,127.843965,47.545204,72.583869,55.407533,0.000000,0.235387
0.020000,103.246677,128.188108,49.007963,73.692019,55.407533,0.000000,0.239574
0.020000,104.688464,128.543410,50.492885,74.800170,55.407533,0.000000,0.243628
0.020000,106.150322,128.909842,51.999970,75.908321,55.407533,0.000000,0.247541
0.020000,107.632240,129.287354,53.529218,77.016471,55.407533,-0.000000,0.251304
