dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,54.959650,109.069007,0.005541,0.554075,27.703767,1385.188336,6.282117
0.020000,54.961526,109.069005,0.007417,0.093794,-23.014088,-2535.892758,6.282267
0.020000,54.965276,109.069002,0.011167,0.187527,4.686677,1385.038271,6.282567
0.020000,54.970899,109.069000,0.016790,0.281140,4.680668,-0.300435,6.283017
0.020000,55.042193,109.069015,0.088084,3.564713,164.178644,7974.898762,0.000431
0.020000,55.162362,109.069112,0.208253,6.008427,122.185668,-2099.648790,0.001180
0.020000,55.306557,109.069347,0.352448,7.209766,60.066943,-3105.936222,0.002077
0.020000,55.474768,109.069784,0.520660,8.410585,60.040949,-1.299721,0.003123
0.020000,55.666986,109.070499,0.712879,9.610942,60.017866,-1.154149,0.004316
0.020000,55.883204,109.071577,0.929100,10.811061,60.005957,-0.595434,0.005656
0.020000,56.123412,109.073114,1.169313,12.010662,59.980030,-1.296357,0.007143
0.020000,56.387590,109.075217,1.433499,13.209312,59.932497,-2.376671,0.008775
0.020000,56.675739,109.078001,1.721661,14.408093,59.939098,0.330056,0.010551
0.020000,56.987830,109.081594,2.033773,15.605589,59.874796,-3.215108,0.012470
0.020000,57.323849,109.086131,2.369823,16.802513,59.846199,-1.429811,0.014532
0.020000,57.683779,109.091758,2.729797,17.998695,59.809091,-1.855434,0.016734
0.020000,58.067597,109.098631,3.113677,19.193970,59.763717,-2.268676,0.019076
0.020000,58.475277,109.106915,3.521440,20.388176,59.710342,-2.668779,0.021555
0.020000,58.906796,109.116783,3.953072,21.581599,59.671121,-1.961008,0.024171
0.020000,59.362121,109.128417,4.408545,22.773669,59.603530,-3.379562,0.026921
0.020000,59.841224,109.142010,4.887842,23.964835,59.558295,-2.261757,0.029804
0.020000,60.344068,109.157760,5.390932,25.154481,59.482274,-3.801057,0.032817
0.020000,60.870613,109.175875,5.917789,26.342861,59.419025,-3.162464,0.035959
0.020000,61.420820,109.196569,6.468385,27.529802,59.347061,-3.598205,0.039227
0.020000,61.994642,109.220065,7.042688,28.715138,59.266785,-4.013796,0.042618
0.020000,62.592035,109.246593,7.640670,29.899096,59.197903,-3.444088,0.046131
0.020000,63.212942,109.276386,8.262291,31.081054,59.097869,-5.001681,0.049761
0.020000,63.857311,109.309689,8.907520,32.261448,59.019713,-3.907831,0.053507
0.020000,64.525078,109.346747,9.576314,33.439715,58.913357,-5.317784,0.057366
0.020000,65.216180,109.387813,10.268635,34.616051,58.816810,-4.827345,0.061333
0.020000,65.930548,109.433145,10.984441,35.790278,58.711333,-5.273856,0.065407
0.020000,66.668110,109.483004,11.723685,36.962227,58.597480,-5.692636,0.069582
0.020000,67.428786,109.537655,12.486322,38.131844,58.480818,-5.833128,0.073856
0.020000,68.212498,109.597366,13.272305,39.299167,58.366157,-5.733034,0.078224
0.020000,69.019155,109.662408,14.081580,40.463734,58.228339,-6.890909,0.082683
0.020000,69.848665,109.733052,14.914094,41.625674,58.096998,-6.567054,0.087228
0.020000,70.700935,109.809573,15.769792,42.784902,57.961392,-6.780278,0.091854
0.020000,71.575863,109.892244,16.648616,43.941246,57.817223,-7.208438,0.096558
0.020000,72.473342,109.981341,17.550507,45.094550,57.665188,-7.601776,0.101333
0.020000,73.393261,110.077135,18.475401,46.244669,57.505958,-7.961471,0.106176
0.020000,74.335506,110.179899,19.423233,47.391617,57.347391,-7.928360,0.111081
0.020000,75.299957,110.289902,20.393937,48.535189,57.178589,-8.440134,0.116043
0.020000,76.286491,110.407412,21.387445,49.675378,57.009464,-8.456243,0.121056
0.020000,77.294978,110.532690,22.403683,50.811916,56.826912,-9.127600,0.126114
0.020000,78.325286,110.665996,23.442579,51.944798,56.644105,-9.140355,0.131212
0.020000,79.377278,110.807582,24.504057,53.073890,56.454618,-9.474336,0.136344
0.020000,80.450817,110.957696,25.588040,54.199145,56.262740,-9.593887,0.141503
0.020000,81.545757,111.116578,26.694447,55.320375,56.061475,-10.063254,0.146682
