dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,54.970888,134.069000,0.005592,0.559198,27.959900,1397.995024,0.000169
0.020000,54.971466,134.069000,0.006170,0.028922,-26.513824,-2723.686215,0.000123
0.020000,54.972624,134.069000,0.007328,0.057872,1.447512,1398.066792,0.000030
0.020000,55.026935,134.068997,0.061639,2.715566,132.884693,6571.859064,6.283076
0.020000,55.118726,134.068979,0.153430,4.589560,93.699719,-1959.248719,6.282891
0.020000,55.233470,134.068931,0.268174,5.737162,57.380085,-1815.981701,6.282659
0.020000,55.371168,134.068840,0.405872,6.884934,57.388616,0.426573,6.282379
0.020000,55.531825,134.068684,0.566529,8.032853,57.395960,0.367167,6.282053
0.020000,55.715445,134.068442,0.750149,9.180994,57.407032,0.553612,6.281679
0.020000,55.922032,134.068087,0.956737,10.329365,57.418538,0.575291,6.281257
0.020000,56.151591,134.067590,1.186296,11.477992,57.431372,0.641699,6.280786
0.020000,56.404129,134.066919,1.438835,12.626918,57.446276,0.745200,6.280267
0.020000,56.679651,134.066036,1.714358,13.776178,57.463004,0.836433,6.279698
0.020000,56.978164,134.064903,2.012874,14.925786,57.480432,0.871357,6.279079
0.020000,57.299676,134.063475,2.334389,16.075749,57.498139,0.885377,6.278410
0.020000,57.644195,134.061706,2.678912,17.226164,57.520766,1.131339,6.277690
0.020000,58.011728,134.059545,3.046452,18.376991,57.541330,1.028227,6.276918
0.020000,58.402286,134.056936,3.437018,19.528313,57.566121,1.239505,6.276093
0.020000,58.815876,134.053821,3.850620,20.680107,57.589667,1.177317,6.275214
0.020000,59.252510,134.050137,4.287270,21.832461,57.617733,1.403287,6.274282
0.020000,59.712197,134.045817,4.746977,22.985355,57.644655,1.346107,6.273294
0.020000,60.194948,134.040790,5.229754,24.138864,57.675461,1.540311,6.272250
0.020000,60.700774,134.034980,5.735613,25.292960,57.704827,1.468294,6.271149
0.020000,61.229687,134.028307,6.264568,26.447745,57.739213,1.719333,6.269989
0.020000,61.781698,134.020686,6.816632,27.603190,57.772281,1.653402,6.268770
0.020000,62.356820,134.012028,7.391819,28.759366,57.808810,1.826440,6.267491
0.020000,62.955065,134.002238,7.990144,29.916259,57.844649,1.791943,6.266151
0.020000,63.576446,133.991216,8.611623,31.073946,57.884310,1.983049,6.264747
0.020000,64.220977,133.978858,9.256272,32.232442,57.924798,2.024412,6.263279
0.020000,64.888669,133.965054,9.924107,33.391758,57.965818,2.050978,6.261746
0.020000,65.579537,133.949687,10.615146,34.551953,58.009732,2.195723,6.260146
0.020000,66.293595,133.932638,11.329407,35.713037,58.054206,2.223673,6.258477
0.020000,67.030854,133.913778,12.066908,36.875051,58.100725,2.325944,6.256739
0.020000,67.791330,133.892974,12.827669,38.038023,58.148590,2.393253,6.254930
0.020000,68.575036,133.870087,13.611708,39.201989,58.198303,2.485663,6.253047
0.020000,69.381985,133.844970,14.419048,40.366976,58.249363,2.552995,6.251090
0.020000,70.212190,133.817472,15.249708,41.533016,58.301996,2.631642,6.249057
0.020000,71.065664,133.787433,16.103711,42.700133,58.355858,2.693112,6.246946
