dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,54.973000,121.569000,0.005592,0.559198,27.959900,1397.995024,0.000169
0.020000,54.973000,121.569000,0.027960,1.677594,55.919801,1397.995024,0.000123
0.020000,54.973000,121.569000,0.072696,2.795990,55.919801,-0.000000,0.000030
0.020000,55.025574,121.568997,0.139800,3.914386,55.919801,0.000000,6.283076
0.020000,55.115045,121.568979,0.229271,5.032782,55.919801,0.000000,6.282891
0.020000,55.226885,121.568933,0.341111,6.151178,55.919801,0.000000,6.282659
0.020000,55.361092,121.568844,0.475318,7.269574,55.919801,-0.000000,6.282379
0.020000,55.517668,121.568692,0.631894,8.387970,55.919801,0.000000,6.282053
0.020000,55.696611,121.568456,0.810837,9.506366,55.919801,0.000000,6.281679
0.020000,55.897922,121.568110,1.012148,10.624762,55.919801,-0.000000,6.281257
0.020000,56.121601,121.567626,1.235828,11.743158,55.919801,0.000000,6.280786
0.020000,56.367647,121.566972,1.481875,12.861554,55.919801,-0.000000,6.280267
0.020000,56.636060,121.566112,1.750290,13.979950,55.919801,0.000000,6.279698
0.020000,56.926841,121.565008,2.041073,15.098346,55.919801,-0.000000,6.279079
0.020000,57.239989,121.563618,2.354224,16.216742,55.919801,-0.000000,6.278410
0.020000,57.575504,121.561895,2.689742,17.335138,55.919801,0.000000,6.277690
0.020000,57.933384,121.559790,3.047629,18.453534,55.919801,-0.000000,6.276918
0.020000,58.313630,121.557250,3.427884,19.571930,55.919801,0.000000,6.276093
0.020000,58.716241,121.554218,3.830506,20.690326,55.919801,0.000000,6.275214
0.020000,59.141217,121.550633,4.255497,21.808722,55.919801,-0.000000,6.274282
0.020000,59.588555,121.546429,4.702855,22.927118,55.919801,0.000000,6.273294
0.020000,60.058256,121.541538,5.172582,24.045514,55.919801,0.000000,6.272250
0.020000,60.550318,121.535886,5.664676,25.163910,55.919801,0.000000,6.271149
0.020000,61.064739,121.529396,6.179138,26.282306,55.919801,-0.000000,6.269989
0.020000,61.601518,121.521985,6.715968,27.400702,55.919801,0.000000,6.268770
0.020000,62.160653,121.513567,7.275166,28.519098,55.919801,0.000000,6.267491
0.020000,62.742141,121.504051,7.856732,29.637495,55.919801,0.000000,6.266151
0.020000,63.345979,121.493341,8.460666,30.755891,55.919801,-0.000000,6.264747
0.020000,63.972166,121.481335,9.086968,31.874287,55.919801,0.000000,6.263279
0.020000,64.620697,121.467926,9.735637,32.992683,55.919801,0.000000,6.261746
0.020000,65.291569,121.453005,10.406675,34.111079,55.919801,-0.000000,6.260146
0.020000,65.984777,121.436453,11.100080,35.229475,55.919801,0.000000,6.258477
0.020000,66.700316,121.418149,11.815854,36.347871,55.919801,0.000000,6.256739
0.020000,67.438181,121.397964,12.553995,37.466267,55.919801,-0.000000,6.254930
0.020000,68.198366,121.375763,13.314505,38.584663,55.919801,0.000000,6.253047
0.020000,68.980864,121.351408,14.097382,39.703059,55.919801,0.000000,6.251090
