dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,54.975112,109.069000,0.005592,0.559198,27.959900,1397.995024,0.000169
0.020000,54.974534,109.069000,0.006170,0.028922,-26.513824,-2723.686215,0.000123
0.020000,54.973376,109.069000,0.007328,0.057872,1.447512,1398.066792,0.000030
0.020000,55.024212,109.068997,0.058164,2.541805,124.196670,6137.457905,6.283076
0.020000,55.111364,109.068980,0.145316,4.357608,90.790116,-1670.327684,6.282891
0.020000,55.220300,109.068935,0.254252,5.446783,54.458769,-1816.567398,6.282659
0.020000,55.351017,109.068848,0.384968,6.535835,54.452612,-0.307804,6.282379
0.020000,55.503510,109.068700,0.537462,7.624685,54.442471,-0.507057,6.282053
0.020000,55.677777,109.068470,0.711729,8.713345,54.433010,-0.473088,6.281679
0.020000,55.873812,109.068133,0.907764,9.801767,54.421095,-0.595719,6.281257
0.020000,56.091610,109.067662,1.125563,10.889918,54.407573,-0.676097,6.280786
0.020000,56.331165,109.067025,1.365118,11.977781,54.393143,-0.721524,6.280267
0.020000,56.592470,109.066188,1.626425,13.065332,54.377565,-0.778876,6.279698
0.020000,56.875519,109.065114,1.909476,14.152528,54.359767,-0.889920,6.279079
0.020000,57.180302,109.063760,2.214262,15.239315,54.339346,-1.021044,6.278410
0.020000,57.506812,109.062084,2.540776,16.325728,54.320693,-0.932629,6.277690
0.020000,57.855039,109.060036,2.889010,17.411672,54.297184,-1.175463,6.276918
0.020000,58.224975,109.057565,3.258953,18.497167,54.274771,-1.120677,6.276093
0.020000,58.616606,109.054615,3.650596,19.582133,54.248263,-1.325360,6.275214
0.020000,59.029923,109.051128,4.063928,20.666595,54.223114,-1.257492,6.274282
0.020000,59.464914,109.047040,4.498937,21.750474,54.193951,-1.458142,6.273294
0.020000,59.921565,109.042285,4.955613,22.833785,54.165526,-1.421216,6.272250
0.020000,60.399862,109.036791,5.433942,23.916440,54.132795,-1.636573,6.271149
0.020000,60.899792,109.030484,5.933911,24.998478,54.101860,-1.546754,6.269989
0.020000,61.421338,109.023284,6.455508,26.079812,54.066719,-1.757062,6.268770
0.020000,61.964486,109.015107,6.998717,27.160450,54.031882,-1.741822,6.267491
0.020000,62.529216,109.005865,7.563523,28.240318,53.993422,-1.922990,6.266151
0.020000,63.115513,108.995466,8.149911,29.319430,53.955594,-1.891422,6.264747
0.020000,63.723356,108.983811,8.757866,30.397741,53.915562,-2.001580,6.263279
0.020000,64.352725,108.970799,9.387370,31.475202,53.873045,-2.125849,6.261746
0.020000,65.003601,108.956322,10.038407,32.551808,53.830268,-2.138881,6.260146
0.020000,65.675959,108.940269,10.710957,33.627508,53.785024,-2.262161,6.258477
0.020000,66.369778,108.922520,11.405002,34.702282,53.738715,-2.315460,6.256739
0.020000,67.085032,108.902953,12.120524,35.776096,53.690682,-2.401684,6.254930
0.020000,67.821696,108.881440,12.857503,36.848924,53.641398,-2.464185,6.253047
0.020000,68.579744,108.857846,13.615917,37.920732,53.590397,-2.550065,6.251090
0.020000,69.359146,108.832030,14.395747,38.991490,53.537897,-2.624962,6.249057
0.020000,70.159874,108.803847,15.196970,40.061162,53.483587,-2.715499,6.246946
0.020000,70.981895,108.773144,16.019565,41.129721,53.427974,-2.780652,6.244755
0.020000,71.825177,108.739763,16.863508,42.197137,53.370775,-2.859944,6.242482
0.020000,72.689686,108.703537,17.728775,43.263376,53.311997,-2.938910,6.240126
0.020000,73.575386,108.664295,18.615344,44.328428,53.252572,-2.971248,6.237685
0.020000,74.482238,108.621858,19.523188,45.392231,53.190146,-3.121339,6.235157
0.020000,75.410203,108.576040,20.452284,46.454784,53.127640,-3.125268,6.232539
0.020000,76.359240,108.526646,21.402605,47.516041,53.062874,-3.238321,6.229829
0.020000,77.329303,108.473478,22.374124,48.575980,52.996940,-3.296692,6.227026
0.020000,78.320348,108.416325,23.366816,49.634572,52.929627,-3.365627,6.224128
0.020000,79.332326,108.354972,24.380652,50.691799,52.861352,-3.413751,6.221131
0.020000,80.365186,108.289194,25.415604,51.747620,52.791026,-3.516323,6.218035
