dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,54.983932,134.068995,0.005557,0.555748,27.787422,1389.371091,6.282311
0.020000,54.981939,134.068997,0.007551,0.099691,-22.802883,-2529.515245,6.282470
0.020000,54.977955,134.068999,0.011535,0.199184,4.974653,1388.876779,6.282789
0.020000,54.983297,134.069000,0.016878,0.267130,3.397292,-78.868028,0.000081
0.020000,55.064281,134.069033,0.097861,4.049194,189.103215,9285.296130,0.000716
0.020000,55.165542,134.069145,0.199122,5.063023,50.691439,-6920.588755,0.001507
0.020000,55.287099,134.069386,0.320679,6.077874,50.742544,2.555231,0.002453
0.020000,55.428977,134.069812,0.462558,7.093950,50.803804,3.063022,0.003551
0.020000,55.591203,134.070489,0.624785,8.111335,50.869278,3.273683,0.004800
0.020000,55.773809,134.071494,0.807395,9.130475,50.956990,4.385584,0.006197
0.020000,55.976830,134.072908,1.010421,10.151300,51.041253,4.213144,0.007739
0.020000,56.200307,134.074826,1.233905,11.174235,51.146764,5.275563,0.009422
0.020000,56.444281,134.077348,1.477893,12.199362,51.256306,5.477087,0.011244
0.020000,56.708800,134.080581,1.742431,13.226926,51.378222,6.095816,0.013200
0.020000,56.993911,134.084643,2.027571,14.256999,51.503645,6.271133,0.015286
0.020000,57.299670,134.089656,2.333371,15.290020,51.651060,7.370787,0.017498
0.020000,57.626131,134.095751,2.659889,16.325886,51.793287,7.111343,0.019831
0.020000,57.973355,134.103064,3.007190,17.365061,51.958739,8.272608,0.022280
0.020000,58.341405,134.111738,3.375342,18.407606,52.127291,8.427588,0.024839
0.020000,58.730346,134.121920,3.764417,19.453712,52.305258,8.898347,0.027502
0.020000,59.140245,134.133764,4.174487,20.503493,52.489087,9.191426,0.030265
0.020000,59.571176,134.147428,4.605634,21.557365,52.693581,10.224702,0.033119
0.020000,60.023211,134.163072,5.057940,22.615305,52.896990,10.170470,0.036059
0.020000,60.496427,134.180861,5.531490,23.677488,53.109185,10.609731,0.039078
0.020000,60.990901,134.200962,6.026373,24.744143,53.332747,11.178118,0.042169
0.020000,61.506717,134.223545,6.542682,25.815495,53.567578,11.741540,0.045324
0.020000,62.043960,134.248779,7.080518,26.891761,53.813317,12.286959,0.048536
0.020000,62.602711,134.276837,7.639973,27.972757,54.049771,11.822716,0.051796
0.020000,63.183063,134.307888,8.221155,29.059083,54.316329,13.327876,0.055096
0.020000,63.785104,134.342103,8.824168,30.150656,54.578660,13.116567,0.058429
0.020000,64.408929,134.379650,9.449121,31.247677,54.851025,13.618248,0.061784
0.020000,65.054632,134.420693,10.096127,32.350295,55.130896,13.993554,0.065154
0.020000,65.722308,134.465394,10.765298,33.458535,55.411995,14.054924,0.068529
0.020000,66.412059,134.513911,11.456754,34.572793,55.712919,15.046193,0.071900
0.020000,67.123988,134.566395,12.170614,35.693013,56.011004,14.904275,0.075256
0.020000,67.858196,134.622992,12.907001,36.819332,56.315914,15.245502,0.078589
0.020000,68.614792,134.683840,13.666039,37.951929,56.629869,15.697748,0.081888
0.020000,69.393886,134.749068,14.447859,39.090980,56.952532,16.133154,0.085143
0.020000,70.195589,134.818795,15.252588,40.236480,57.275014,16.124089,0.088344
0.020000,71.020018,134.893132,16.080363,41.388712,57.611631,16.830857,0.091479
0.020000,71.867290,134.972176,16.931314,42.547567,57.942727,16.554775,0.094539
0.020000,72.737530,135.056012,17.805582,43.713415,58.292393,17.483301,0.097512
0.020000,73.630862,135.144709,18.703307,44.886215,58.640011,17.380921,0.100386
0.020000,74.547416,135.238323,19.624630,46.066151,58.996802,17.839563,0.103151
0.020000,75.487331,135.336894,20.569698,47.253432,59.364053,18.362547,0.105795
0.020000,76.450741,135.440440,21.538657,48.447957,59.726229,18.108796,0.108306
0.020000,77.437795,135.548963,22.531659,49.650085,60.106423,19.009670,0.110672
0.020000,78.448642,135.662443,23.548856,50.859871,60.489266,19.142160,0.112881
0.020000,79.483441,135.780839,24.590406,52.077467,60.879817,19.527541,0.114920
0.020000,80.542352,135.904085,25.656465,53.302966,61.274941,19.756244,0.116777
0.020000,81.625548,136.032089,26.747198,54.536664,61.684892,20.497511,0.118438
0.020000,82.733206,136.164734,27.862771,55.778612,62.097408,20.625806,0.119890
0.020000,83.865514,136.301871,29.003352,57.029090,62.523933,21.326251,0.121120
0.020000,85.022665,136.443325,30.169117,58.288250,62.958004,21.703554,0.122114
0.020000,86.204864,136.588883,31.360244,59.556328,63.403869,22.293246,0.122857
0.020000,87.412326,136.738301,32.576915,60.833552,63.861202,22.866649,0.123335
0.020000,88.645273,136.891297,33.819318,62.120176,64.331201,23.499969,0.123533
0.020000,89.903941,137.047549,35.087648,63.416487,64.815549,24.217385,0.123435
0.020000,91.188576,137.206695,36.382104,64.722766,65.313978,24.921456,0.123026
0.020000,92.499435,137.368328,37.702890,66.039339,65.828641,25.733140,0.122288
0.020000,93.836789,137.531993,39.050221,67.366539,66.360004,26.568136,0.121205
0.020000,95.200917,137.697187,40.424316,68.704720,66.909056,27.452624,0.119760
0.020000,96.592116,137.863350,41.825402,70.054339,67.480916,28.592978,0.117933
0.020000,98.010690,138.029870,43.253717,71.415710,68.068551,29.381789,0.115707
0.020000,99.456958,138.196072,44.709503,72.789328,68.680896,30.617248,0.113061
0.020000,100.931251,138.361217,46.193016,74.175657,69.316446,31.777508,0.109976
0.020000,102.433908,138.524498,47.704519,75.575144,69.974356,32.895477,0.106430
0.020000,103.965285,138.685035,49.244287,76.988397,70.662639,34.414149,0.102401
0.020000,105.525738,138.841870,50.812602,78.415748,71.367591,35.247601,0.097866
0.020000,107.115640,138.993964,52.409762,79.858019,72.113551,37.298016,0.092803
0.020000,108.735362,139.140187,54.036071,81.315457,72.871891,37.917005,0.087185
0.020000,110.385282,139.279319,55.691847,82.788780,73.666141,39.712486,0.080989
0.020000,112.065776,139.410038,57.377418,84.278523,74.487166,41.051242,0.074188
0.020000,113.777212,139.530919,59.093117,85.784986,75.323153,41.799343,0.066754
0.020000,115.519954,139.640423,60.839296,87.308949,76.198135,43.749124,0.058661
0.020000,117.294346,139.736895,62.616309,88.850631,77.084086,44.297534,0.049879
0.020000,119.100709,139.818556,64.424516,90.410365,77.986709,45.131161,0.040380
0.020000,120.939333,139.883496,66.264287,91.988556,78.909543,46.141682,0.030134
0.020000,122.810462,139.929672,68.135986,93.584930,79.818718,45.458765,0.019112
0.020000,124.714293,139.954899,70.039984,95.199893,80.748151,46.471649,0.007285
0.020000,126.650947,139.956849,71.976639,96.832736,81.642157,44.700301,6.277808
