dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,54.962068,109.069005,0.005557,0.555748,27.787422,1389.371091,6.282311
0.020000,54.964061,109.069003,0.007551,0.099691,-22.802883,-2529.515245,6.282470
0.020000,54.968045,109.069001,0.011535,0.199184,4.974653,1388.876779,6.282789
0.020000,54.985319,109.069000,0.028809,0.863688,33.225211,1412.527917,0.000081
0.020000,55.082173,109.069039,0.125663,4.842731,198.952132,8286.346043,0.000716
0.020000,55.203212,109.069174,0.246702,6.051912,60.459078,-6924.652671,0.001507
0.020000,55.348413,109.069461,0.391904,7.260096,60.409201,-2.493866,0.002453
0.020000,55.517754,109.069970,0.561245,8.467083,60.349320,-2.994028,0.003551
0.020000,55.711203,109.070777,0.754696,9.672530,60.272386,-3.846716,0.004800
0.020000,55.928730,109.071974,0.972226,10.876529,60.199938,-3.622380,0.006197
0.020000,56.170296,109.073657,1.213798,12.078557,60.101406,-4.926623,0.007739
0.020000,56.435860,109.075936,1.479371,13.278683,60.006282,-4.756196,0.009422
0.020000,56.725375,109.078928,1.768902,14.476566,59.894143,-5.606935,0.011244
0.020000,57.038793,109.082759,2.082344,15.672066,59.775016,-5.956358,0.013200
0.020000,57.376056,109.087564,2.419641,16.864836,59.638513,-6.825152,0.015286
0.020000,57.737107,109.093484,2.780740,18.054969,59.506648,-6.593251,0.017498
0.020000,58.121878,109.100667,3.165578,19.241918,59.347442,-7.960314,0.019831
0.020000,58.530304,109.109269,3.574095,20.425811,59.194636,-7.640297,0.022280
0.020000,58.962310,109.119449,4.006221,21.606304,59.024677,-8.497948,0.024839
0.020000,59.417818,109.131374,4.461885,22.783210,58.845264,-8.970630,0.027502
0.020000,59.896743,109.145213,4.941010,23.956260,58.652511,-9.637689,0.030265
0.020000,60.399002,109.161138,5.443521,25.125540,58.463984,-9.426320,0.033119
0.020000,60.924500,109.179323,5.969333,26.290631,58.254573,-10.470574,0.036059
0.020000,61.473139,109.199947,6.518360,27.451355,58.036191,-10.919106,0.039078
0.020000,62.044819,109.223187,7.090512,28.607599,57.812183,-11.200398,0.042169
0.020000,62.639435,109.249219,7.685698,29.759254,57.582772,-11.470516,0.045324
0.020000,63.256878,109.278220,8.303822,30.906212,57.347897,-11.743762,0.048536
0.020000,63.897030,109.310365,8.944780,32.047908,57.084824,-13.153662,0.051796
0.020000,64.559776,109.345824,9.608474,33.184693,56.839208,-12.280778,0.055096
0.020000,65.244993,109.384765,10.294796,34.316134,56.572064,-13.357213,0.058429
0.020000,65.952555,109.427351,11.003639,35.442138,56.300202,-13.593094,0.061784
0.020000,66.682334,109.473737,11.734890,36.562561,56.021158,-13.952204,0.065154
0.020000,67.434193,109.524074,12.488433,37.677127,55.728298,-14.643021,0.068529
0.020000,68.208001,109.578503,13.264153,38.785987,55.442983,-14.265712,0.071900
0.020000,69.003618,109.637156,14.061928,39.888788,55.140051,-15.146604,0.075256
0.020000,69.820901,109.700156,14.881637,40.985404,54.830804,-15.462358,0.078589
0.020000,70.659708,109.767614,15.723152,42.075764,54.518020,-15.639220,0.081888
0.020000,71.519895,109.839630,16.586348,43.159795,54.201549,-15.823553,0.085143
0.020000,72.401312,109.916290,17.471092,44.237231,53.871809,-16.486974,0.088344
0.020000,73.303813,109.997665,18.377255,45.308126,53.544756,-16.352633,0.091479
0.020000,74.227246,110.083813,19.304697,46.372105,53.198921,-17.291781,0.094539
0.020000,75.171461,110.174774,20.253283,47.429319,52.860686,-16.911719,0.097512
0.020000,76.136306,110.270571,21.222873,48.479468,52.507465,-17.661051,0.100386
0.020000,77.121630,110.371208,22.213323,49.522495,52.151338,-17.806395,0.103151
0.020000,78.127282,110.476671,23.224490,50.558362,51.793345,-17.899649,0.105795
0.020000,79.153108,110.586924,24.256224,51.586692,51.416513,-18.841573,0.108306
0.020000,80.198958,110.701911,25.308376,52.607593,51.045072,-18.572043,0.110672
0.020000,81.264680,110.821551,26.380792,53.620833,50.661965,-19.155353,0.112881
0.020000,82.350124,110.945741,27.473318,54.626270,50.271872,-19.504676,0.114920
0.020000,83.455139,111.074351,28.585791,55.623683,49.870663,-20.060456,0.116777
0.020000,84.579576,111.207228,29.718052,56.613044,49.468045,-20.130893,0.118438
0.020000,85.723285,111.344189,30.869933,57.594046,49.050079,-20.898286,0.119890
0.020000,86.886120,111.485024,32.041265,58.566593,48.627382,-21.134861,0.121120
0.020000,88.067931,111.629491,33.231874,59.530430,48.191823,-21.777951,0.122114
0.020000,89.268572,111.777319,34.441581,60.485354,47.746214,-22.280460,0.122857
0.020000,90.487894,111.928205,35.670203,61.431124,47.288495,-22.885902,0.123335
0.020000,91.725750,112.081809,36.917553,62.367485,46.818033,-23.523138,0.123533
0.020000,92.981990,112.237760,38.183436,63.294175,46.334523,-24.175489,0.123435
0.020000,94.256465,112.395648,39.467654,64.210887,45.835582,-24.947073,0.123026
0.020000,95.549023,112.555025,40.770000,65.117309,45.321131,-25.722526,0.122288
0.020000,96.859507,112.715403,42.090262,66.013095,44.789307,-26.591214,0.121205
0.020000,98.187761,112.876252,43.428220,66.897869,44.238696,-27.530546,0.119760
0.020000,99.533621,113.037002,44.783646,67.771306,43.671818,-28.343880,0.117933
0.020000,100.896918,113.197036,46.156304,68.632894,43.079387,-29.621558,0.115707
0.020000,102.277477,113.355688,47.545948,69.482246,42.467641,-30.587304,0.113061
0.020000,103.675113,113.512249,48.952326,70.318901,41.832733,-31.745402,0.109976
0.020000,105.089633,113.665956,50.375173,71.142334,41.171675,-33.052890,0.106430
0.020000,106.520833,113.815995,51.814216,71.952135,40.490027,-34.082427,0.102401
0.020000,107.968491,113.961497,53.269168,72.747601,39.773298,-35.836443,0.097866
0.020000,109.432377,114.101541,54.739737,73.528460,39.042928,-36.518492,0.092803
0.020000,110.912236,114.235143,56.225615,74.293894,38.271718,-38.560470,0.087185
0.020000,112.407798,114.361265,57.726485,75.043525,37.481531,-39.509375,0.080989
0.020000,113.918770,114.478804,59.242022,75.776822,36.664888,-40.832147,0.074188
0.020000,115.444829,114.586600,60.771884,76.493092,35.813462,-42.571298,0.066754
0.020000,116.985633,114.683424,62.315726,77.192139,34.952391,-43.053569,0.058661
0.020000,118.540803,114.767987,63.873194,77.873378,34.061923,-44.523361,0.049879
0.020000,120.109929,114.838935,65.443923,78.536472,33.154706,-45.360861,0.040380
0.020000,121.692569,114.894846,67.027550,79.181343,32.243533,-45.558646,0.030134
0.020000,123.288234,114.934238,68.623702,79.807580,31.311888,-46.582247,0.019112
0.020000,124.896406,114.955563,70.232015,80.415677,30.404849,-45.351956,0.007285
0.020000,126.516517,114.957210,71.852127,81.005569,29.494593,-45.512824,6.277808
0.020000,128.147957,114.937511,73.483686,81.577972,28.620154,-43.721937,6.264284
0.020000,129.790075,114.894739,75.126361,82.133719,27.787357,-41.639860,6.249871
0.020000,131.442174,114.827115,76.779843,82.674112,27.019605,-38.387607,6.234544
0.020000,133.103512,114.732812,78.443855,83.200612,26.325012,-34.729659,6.218281
0.020000,134.773308,114.609959,80.118165,83.715497,25.744284,-29.036371,6.201064
0.020000,136.450745,114.456649,81.802593,84.221379,25.294077,-22.510380,6.182878
0.020000,138.134967,114.270946,83.497022,84.721472,25.004656,-14.471044,6.163714
0.020000,139.825095,114.050891,85.201416,85.219669,24.909857,-4.739934,6.143569
0.020000,141.520225,113.794513,86.915824,85.720411,25.037114,6.362833,6.122447
0.020000,143.219441,113.499834,88.640402,86.228935,25.426195,19.454087,6.100361
0.020000,144.921817,113.164883,90.375417,86.750719,26.089200,33.150211,6.077331
0.020000,146.626431,112.787700,92.121262,87.292248,27.076406,49.360339,6.053390
0.020000,148.332369,112.366350,93.878464,87.860123,28.393760,65.867677,6.028579
0.020000,150.038727,111.898930,95.647685,88.461013,30.044511,82.537549,6.002952
0.020000,151.744627,111.383581,97.429728,89.102192,32.058959,100.722421,5.976572
0.020000,153.449216,110.818497,99.225541,89.790614,34.421089,118.106482,5.949515
0.020000,155.151647,110.201941,101.036180,90.531949,37.066778,132.284474,5.921867
0.020000,156.845667,109.534484,102.856949,91.038483,25.326678,-587.005023,5.893812
0.020000,158.516793,108.821179,104.673943,90.849668,-9.440765,-1738.372144,5.865690
0.020000,160.153456,108.067706,106.475717,90.088703,-38.048217,-1430.372610,5.837800
0.020000,161.752997,107.276905,108.260064,89.217354,-43.567454,-275.961846,5.810296
0.020000,163.315962,106.450396,110.028108,88.402194,-40.758012,140.472081,5.783264
0.020000,164.842860,105.589903,111.780782,87.633703,-38.424554,116.672906,5.756782
0.020000,166.334219,104.697208,113.518900,86.905889,-36.390678,101.693817,5.730914
0.020000,167.790596,103.774136,115.243167,86.213369,-34.626040,88.231903,5.705714
0.020000,169.212495,102.822589,116.954084,85.545870,-33.374928,62.555574,5.681226
0.020000,170.600448,101.844486,118.652053,84.898429,-32.372054,50.143729,5.657481
0.020000,171.955017,100.841740,120.337389,84.266795,-31.581719,39.516766,5.634501
0.020000,173.276714,99.816312,122.010227,83.641906,-31.244439,16.863990,5.612301
0.020000,174.699729,98.679205,123.831760,91.076659,371.737664,20149.105130,5.610480
0.020000,176.229380,97.465490,125.784435,97.633728,327.853441,-2194.211152,5.614221
0.020000,177.733712,96.279552,127.700019,95.779200,-92.726399,-21028.992002,5.616772
0.020000,179.211693,95.119124,129.579120,93.955052,-91.207416,75.949160,5.618184
0.020000,180.662392,93.982136,131.422288,92.158400,-89.832578,68.741881,5.618499
0.020000,182.084962,92.866702,133.230021,90.386674,-88.586303,62.313770,5.617758
0.020000,183.478632,91.771106,135.002772,88.637564,-87.455490,56.540656,5.615997
0.020000,184.842697,90.693796,136.740952,86.908960,-86.430195,51.264721,5.613248
0.020000,186.176507,89.633371,138.444933,85.199062,-85.494924,46.763565,5.609542
0.020000,187.479470,88.588571,140.115058,83.506270,-84.639566,42.767912,5.604906
0.020000,188.751041,87.558267,141.751646,81.829387,-83.844158,39.770411,5.599365
0.020000,189.990722,86.541458,143.354989,80.167170,-83.110876,36.664074,5.592943
0.020000,191.198064,85.537261,144.925367,78.518903,-82.413342,34.876688,5.585663
0.020000,192.372660,84.544899,146.463047,76.883960,-81.747151,33.309584,5.577545
0.020000,193.514155,83.563703,147.968289,75.262135,-81.091267,32.794166,5.568610
0.020000,194.622235,82.593101,149.441351,73.653092,-80.452152,31.955759,5.558880
0.020000,195.696643,81.632610,150.882494,72.057152,-79.796987,32.758263,5.548374
0.020000,196.737168,80.681835,152.291986,70.474600,-79.127567,33.470983,5.537115
0.020000,197.743658,79.740458,153.670105,68.905928,-78.433596,34.698548,5.525125
0.020000,198.716017,78.808236,155.017147,67.352093,-77.691798,37.089901,5.512426
0.020000,199.654210,77.884992,156.333423,65.813835,-76.912892,38.945309,5.499045
0.020000,200.558263,76.970611,157.619272,64.292423,-76.070585,42.115368,5.485009
0.020000,201.428272,76.065032,158.875053,62.789068,-75.167772,45.140623,5.470345
0.020000,202.264397,75.168243,160.101159,61.305315,-74.187624,49.007413,5.455086
0.020000,203.066867,74.280274,161.298008,59.842450,-73.143245,52.218964,5.439264
0.020000,203.835983,73.401191,162.466052,58.402189,-72.013064,56.509059,5.422917
0.020000,204.572114,72.531090,163.605773,56.986040,-70.807448,60.280790,5.406082
0.020000,205.275697,71.670091,164.717685,55.595592,-69.522390,64.252879,5.388801
0.020000,205.947238,70.818334,165.802331,54.232298,-68.164711,67.883976,5.371117
0.020000,206.587304,69.975971,166.860282,52.897570,-66.736378,71.416637,5.353076
0.020000,207.196526,69.143164,167.892134,51.592592,-65.248914,74.373193,5.334726
0.020000,207.775587,68.320082,168.898502,50.318408,-63.709228,76.984321,5.316115
0.020000,208.325224,67.506894,169.880018,49.075809,-62.129943,78.964225,5.297294
