dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,54.745861,134.685749,0.003747,0.149874,2.997476,59.949526,6.280104
0.050000,54.737940,134.685772,0.011668,0.158429,0.171097,-56.527590,6.280660
0.050000,54.720148,134.685805,0.029460,0.355839,3.948211,75.542291,6.281908
0.050000,54.713995,134.685823,0.035613,0.123057,-4.655647,-172.077161,0.000935
0.050000,54.758736,134.685941,0.080354,0.894825,15.435361,401.820149,0.004368
0.050000,54.823869,134.686386,0.145489,1.302691,8.157328,-145.560656,0.009264
0.050000,54.913833,134.687517,0.235459,1.799411,9.934403,35.541503,0.015834
0.050000,55.033574,134.689921,0.355225,2.395309,11.917948,39.670903,0.024257
0.050000,55.188701,134.694499,0.510420,3.103894,14.171706,45.075148,0.034664
0.050000,55.385567,134.702568,0.707451,3.940628,16.734684,51.259558,0.047130
0.050000,55.631418,134.715977,0.953667,4.924328,19.673984,58.786006,0.061667
0.050000,55.934435,134.737241,1.257429,6.075229,23.018019,66.880702,0.078213
0.050000,56.303757,134.769666,1.628171,7.414852,26.792474,75.489106,0.096632
0.050000,56.749430,134.817471,2.076401,8.964598,30.994908,84.048682,0.116712
0.050000,57.282283,134.885865,2.613625,10.744482,35.597690,92.055640,0.138172
0.050000,57.913738,134.981085,3.252220,12.771892,40.548200,99.010203,0.160670
0.050000,58.655569,135.110347,4.005228,15.060166,45.765468,104.345356,0.183814
0.050000,59.519681,135.281733,4.886173,17.618885,51.174381,108.178245,0.207184
0.050000,60.517868,135.503981,5.908802,20.452587,56.674047,109.993320,0.230339
0.050000,61.658782,135.785470,7.083928,23.502530,60.998869,86.496453,0.252784
0.050000,62.944442,136.132598,8.415626,26.633951,62.628416,32.590931,0.273970
0.050000,64.372628,136.549502,9.903418,29.755838,62.437728,-3.813750,0.293405
0.050000,65.940011,137.038442,11.545292,32.837490,61.633046,-16.093639,0.310705
0.050000,67.642627,137.599749,13.338047,35.855090,60.351999,-25.620944,0.325567
0.050000,69.476357,138.231879,15.277674,38.792544,58.749080,-32.058383,0.337749
0.050000,71.437366,138.931508,17.359748,41.641488,56.978876,-35.404081,0.347033
0.050000,73.522487,139.693633,19.579785,44.400740,55.185056,-35.876400,0.353210
0.050000,75.729652,140.511662,21.933665,47.077591,53.537013,-32.960849,0.356042
0.050000,78.058256,141.377418,24.418002,49.686743,52.183028,-27.079719,0.355241
0.050000,80.509618,142.281051,27.030612,52.252193,51.309006,-17.480441,0.350434
0.050000,83.087533,143.210811,29.771068,54.809119,51.138527,-3.409573,0.341124
0.050000,85.798995,144.152578,32.641425,57.407143,51.960483,16.439119,0.326642
0.050000,88.655156,145.089048,35.647191,60.115323,54.163585,44.062049,0.306074
0.050000,91.672651,145.998328,38.798709,63.030365,58.300851,82.745309,0.278166
0.050000,94.875308,146.851538,42.113069,66.287202,65.136741,136.717808,0.241191
0.050000,98.295982,147.608639,45.616527,70.069147,75.638901,210.043199,0.192775
0.050000,101.977889,148.211375,49.347442,74.618307,90.983205,306.886072,0.129693
0.050000,105.972159,148.571682,53.357930,80.209757,111.828987,416.915649,0.047746
0.050000,110.323782,148.555696,57.709582,87.033036,136.465583,492.731912,6.225237
0.050000,115.030830,147.972584,62.452610,94.860571,156.550701,401.702366,6.091701
