dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,54.701950,120.435817,0.003747,0.149874,2.997476,59.949526,6.280104
0.050000,54.701950,120.435817,0.018734,0.449621,5.994953,59.949526,6.280660
0.050000,54.701950,120.435817,0.052456,0.899243,8.992429,59.949526,6.281908
0.050000,54.727312,120.435829,0.112405,1.498738,11.989905,59.949526,0.000935
0.050000,54.820981,120.436077,0.206076,2.248107,14.987381,59.949526,0.004368
0.050000,54.955873,120.436997,0.340963,3.147350,17.984858,59.949526,0.009264
0.050000,55.139458,120.439303,0.524558,4.196467,20.982334,59.949526,0.015834
0.050000,55.379196,120.444113,0.764356,5.395457,23.979810,59.949526,0.024257
0.050000,55.682559,120.453060,1.067851,6.744322,26.977287,59.949526,0.034664
0.050000,56.056922,120.468391,1.442535,8.243060,29.974763,59.949526,0.047130
0.050000,56.509614,120.493064,1.895904,9.891672,32.972239,59.949526,0.061667
0.050000,57.047831,120.530804,2.435449,11.690158,35.969716,59.949526,0.078213
0.050000,57.678616,120.586146,3.068666,13.638517,38.967192,59.949526,0.096632
0.050000,58.408803,120.664415,3.803048,15.736751,41.964668,59.949526,0.116712
0.050000,59.244976,120.771676,4.646088,17.984858,44.962144,59.949526,0.138172
0.050000,60.193444,120.914620,5.605281,20.382839,47.959621,59.949526,0.160670
0.050000,61.260198,121.100408,6.688119,22.930694,50.957097,59.949526,0.183814
0.050000,62.450974,121.336482,7.902097,25.628422,53.954573,59.949526,0.207184
0.050000,63.771245,121.630335,9.254708,28.476025,56.952050,59.949526,0.230339
0.050000,65.222708,121.988335,10.749699,31.323627,56.952050,0.000000,0.252784
0.050000,66.799857,122.414060,12.383324,34.021356,53.954573,-59.949526,0.273970
0.050000,68.493922,122.908482,14.148088,36.569211,50.957097,-59.949526,0.293405
0.050000,70.296660,123.470756,16.036498,38.967192,47.959621,-59.949526,0.310705
0.050000,72.200438,124.098310,18.041060,41.215299,44.962144,-59.949526,0.325567
0.050000,74.198289,124.786960,20.154281,43.313532,41.964668,-59.949526,0.337749
0.050000,76.283928,125.531010,22.368667,45.261892,38.967192,-59.949526,0.347033
0.050000,78.451726,126.323326,24.676724,47.060378,35.969716,-59.949526,0.353210
0.050000,80.696736,127.155369,27.070958,48.708990,32.972239,-59.949526,0.356042
0.050000,83.014638,128.017149,29.543876,50.207728,29.974763,-59.949526,0.355241
0.050000,85.401718,128.897111,32.087984,51.556592,26.977287,-59.949526,0.350434
0.050000,87.854826,129.781909,34.695788,52.755583,23.979810,-59.949526,0.341124
0.050000,90.371316,130.656046,37.359795,53.804699,20.982334,-59.949526,0.326642
0.050000,92.948927,131.501332,40.072511,54.703942,17.984858,-59.949526,0.306074
0.050000,95.585591,132.296088,42.826443,55.453311,14.987381,-59.949526,0.278166
0.050000,98.279057,133.014016,45.614095,56.052807,11.989905,-59.949526,0.241191
0.050000,101.026050,133.622602,48.427976,56.502428,8.992429,-59.949526,0.192775
0.050000,103.820842,134.081052,51.260591,56.802176,5.994953,-59.949526,0.129693
0.050000,106.652285,134.337922,54.104447,56.952050,2.997476,-59.949526,0.047746
0.050000,109.498481,134.329615,56.951990,56.949654,-0.047910,-60.907728,6.225237
0.050000,112.318824,133.983033,59.795666,56.797385,-3.045386,-59.949526,6.091701
0.050000,115.045662,133.228744,62.627981,56.495242,-6.042863,-59.949526,5.930657
0.050000,117.586366,132.029109,65.441443,56.043225,-9.040339,-59.949526,5.751533
0.050000,119.848669,130.407673,68.228557,55.441334,-12.037815,-59.949526,5.572481
0.050000,121.778265,128.447888,70.981830,54.689569,-15.035292,-59.949526,5.411220
0.050000,123.373268,126.257175,73.693767,53.787931,-18.032768,-59.949526,5.276430
0.050000,124.667952,123.931466,76.356876,52.736419,-21.030244,-59.949526,5.168019
0.050000,125.709239,121.542570,78.963662,51.535033,-24.027720,-59.949526,5.081835
0.050000,126.542626,119.140582,81.506632,50.183773,-27.025197,-59.949526,5.013101
0.050000,127.207051,116.760235,83.978292,48.682639,-30.022673,-59.949526,4.957740
0.050000,127.734274,114.426399,86.371149,47.031632,-33.020149,-59.949526,4.912619
0.050000,128.149848,112.157674,88.677709,45.230750,-36.017626,-59.949526,4.875412
0.050000,128.474331,109.968907,90.890477,43.279995,-39.015102,-59.949526,4.844411
0.050000,128.724434,107.872403,93.001962,41.179366,-42.012578,-59.949526,4.818356
0.050000,128.913889,105.878724,95.004667,38.928864,-45.010054,-59.949526,4.796305
0.050000,129.054087,103.997530,96.891101,36.528487,-48.007531,-59.949526,4.777551
0.050000,129.154592,102.237746,98.653769,33.978237,-51.005007,-59.949526,4.761556
0.050000,129.223507,100.607825,100.285178,31.278113,-54.002483,-59.949526,4.747907
0.050000,129.267746,99.115760,101.777893,28.430510,-56.952050,-58.991324,4.736283
0.050000,129.293279,97.765591,103.128289,25.585303,-56.904139,0.958202,4.726410
0.050000,129.305145,96.553805,104.340171,22.889970,-53.906663,59.949526,4.718024
0.050000,129.307354,95.472925,105.421033,20.344511,-50.909187,59.949526,4.710894
0.050000,129.303004,94.515629,106.378369,17.948925,-47.911711,59.949526,4.704836
0.050000,129.294477,93.674345,107.219672,15.703213,-44.914234,59.949526,4.699700
0.050000,129.283584,92.941703,107.952437,13.607376,-41.916758,59.949526,4.695362
0.050000,129.271673,92.310086,108.584156,11.661411,-38.919282,59.949526,4.691720
0.050000,129.259731,91.772042,109.122325,9.865321,-35.921805,59.949526,4.688685
0.050000,129.248448,91.320073,109.574435,8.219105,-32.924329,59.949526,4.686183
0.050000,129.238280,90.946679,109.947982,6.722762,-29.926853,59.949526,4.684147
0.050000,129.229492,90.644322,110.250458,5.376293,-26.929377,59.949526,4.682519
0.050000,129.222204,90.405527,110.489358,4.179698,-23.931900,59.949526,4.681246
0.050000,129.216424,90.222823,110.672175,3.132977,-20.934424,59.949526,4.680279
0.050000,129.212065,90.088611,110.806403,2.236130,-17.936948,59.949526,4.679573
0.050000,129.208989,89.995585,110.899535,1.489156,-14.939471,59.949526,4.679086
0.050000,129.206997,89.936060,110.959065,0.892056,-11.941995,59.949526,4.678775
0.050000,129.205869,89.902619,110.992487,0.444830,-8.944519,59.949526,4.678600
0.050000,129.205368,89.887798,111.007295,0.147478,-5.947042,59.949526,4.678523
0.050000,129.205242,89.884107,111.010982,0.000000,-2.949566,59.949526,4.678504
0.050000,129.205242,89.884107,111.010982,0.000000,0.000000,58.991324,4.678504
