dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,54.658039,106.185885,0.003747,0.149874,2.997476,59.949526,6.280104
0.050000,54.665961,106.185862,0.011668,0.158429,0.171097,-56.527590,6.280660
0.050000,54.683752,106.185829,0.029460,0.355839,3.948211,75.542291,6.281908
0.050000,54.740629,106.185835,0.086337,1.137529,15.633788,233.711532,0.000935
0.050000,54.883226,106.186213,0.228934,2.851956,34.288542,373.095080,0.004368
0.050000,55.087877,106.187609,0.433590,4.093108,24.823039,-189.310058,0.009264
0.050000,55.365082,106.191089,0.710817,5.544551,29.028859,84.116394,0.015834
0.050000,55.724818,106.198305,1.070625,7.196157,33.032132,80.065467,0.024257
0.050000,56.176417,106.211620,1.522421,9.035916,36.795167,75.260691,0.034664
0.050000,56.728277,106.234215,2.074742,11.046428,40.210244,68.301550,0.047130
0.050000,57.387809,106.270150,2.735253,13.210216,43.275772,61.310552,0.061667
0.050000,58.161228,106.324367,3.510570,15.506345,45.922576,52.936083,0.078213
0.050000,59.053476,106.402625,4.406243,17.913457,48.142243,44.393337,0.096632
0.050000,60.068175,106.511360,5.426752,20.410174,49.934331,35.841759,0.116712
0.050000,61.207670,106.657487,6.575578,22.976515,51.326823,27.849840,0.138172
0.050000,62.473149,106.848155,7.855341,25.595257,52.374847,20.960485,0.160670
0.050000,63.864827,107.090468,9.267956,28.252317,53.141196,15.326984,0.183814
0.050000,65.382267,107.391231,10.814915,30.939172,53.737094,11.917948,0.207184
0.050000,67.024622,107.756690,12.497440,33.650505,54.226673,9.791589,0.230339
0.050000,68.786634,108.191200,14.312236,36.295917,52.908222,-26.369018,0.252784
0.050000,70.655271,108.695522,16.247733,38.709933,48.280335,-92.557739,0.273970
0.050000,72.615217,109.267462,18.289423,40.833812,42.477570,-116.055309,0.293405
0.050000,74.653310,109.903070,20.424329,42.698110,37.285965,-103.832101,0.310705
0.050000,76.758249,110.596871,22.640662,44.326656,32.570918,-94.300942,0.325567
0.050000,78.920221,111.342040,24.927450,45.735760,28.182081,-87.776733,0.337749
0.050000,81.130490,112.130513,27.274145,46.933903,23.962861,-84.384402,0.347033
0.050000,83.380965,112.953019,29.670215,47.921402,19.749986,-84.257501,0.353210
0.050000,85.663820,113.799075,32.104807,48.691848,15.408925,-86.821219,0.356042
0.050000,87.971021,114.656881,34.566312,49.230088,10.764781,-92.882867,0.355241
0.050000,90.293818,115.513171,37.041916,49.512092,5.640085,-102.493937,0.350434
0.050000,92.622118,116.353006,39.517054,49.502762,-0.186600,-116.533683,0.341124
0.050000,94.943638,117.159514,41.974677,49.152449,-7.006259,-136.393181,0.326642
0.050000,97.242699,117.913616,44.394254,48.391540,-15.218171,-164.238253,0.306074
0.050000,99.498532,118.593847,46.750415,47.123228,-25.366253,-202.961632,0.278166
0.050000,101.682805,119.176495,49.011062,45.212941,-38.205729,-256.789526,0.241191
0.050000,103.756117,119.636565,51.134806,42.474882,-54.761186,-331.109137,0.192775
0.050000,105.663795,119.950729,53.068180,38.667477,-76.148101,-427.738307,0.129693
0.050000,107.332410,120.104162,54.743834,33.513083,-103.087874,-538.795446,0.047746
0.050000,108.673181,120.103534,56.084605,26.815420,-133.953268,-617.307895,6.225237
0.050000,109.606819,119.993483,57.024707,18.802034,-160.267716,-526.288954,6.091701
0.050000,110.125538,119.855080,57.561573,10.737312,-161.294429,-20.534248,5.930657
0.050000,110.362215,119.746025,57.822167,5.211883,-110.508594,1015.716689,5.751533
0.050000,110.552425,119.607565,58.057435,4.705355,-10.130553,2007.560815,5.572481
0.050000,110.868535,119.280538,58.512267,9.096644,87.825779,1959.126654,5.411220
0.050000,111.330573,118.639039,59.302836,15.811382,134.294756,929.379527,5.276430
