dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,58.999668,136.829793,0.003682,0.147282,2.945643,58.912857,6.282501
0.050000,58.995223,136.829796,0.008126,0.088885,-1.167935,-82.271564,6.282812
0.050000,59.000749,136.829798,0.013652,0.110515,0.432595,32.010609,0.000328
0.050000,59.041968,136.829837,0.054871,0.824376,14.277208,276.892262,0.001569
0.050000,59.106512,136.830001,0.119415,1.290882,9.330121,-98.941750,0.003500
0.050000,59.199754,136.830456,0.212658,1.864861,11.479587,42.989323,0.006258
0.050000,59.327234,136.831492,0.340143,2.549700,13.696776,44.343783,0.009973
0.050000,59.494729,136.833564,0.507650,3.350148,16.008962,46.243726,0.014755
0.050000,59.708326,136.837354,0.721281,4.272605,18.449152,48.803800,0.020693
0.050000,59.974517,136.843821,0.987550,5.325395,21.055782,52.132602,0.027846
0.050000,60.300302,136.854275,1.313503,6.519049,23.873095,56.346259,0.036238
0.050000,60.693300,136.870431,1.706833,7.866599,26.950987,61.557842,0.045844
0.050000,61.161873,136.894480,2.176023,9.383801,30.344055,67.861353,0.056586
0.050000,61.715256,136.929132,2.730490,11.089340,34.110776,75.334410,0.068320
0.050000,62.363690,136.977649,3.380736,13.004919,38.311570,84.015888,0.080826
0.050000,63.118557,137.043831,4.138499,15.155272,43.007060,93.909797,0.093797
0.050000,63.992531,137.131949,5.016904,17.568093,48.256425,104.987302,0.106829
0.050000,64.999727,137.246585,6.030602,20.273964,54.117430,117.220101,0.119410
0.050000,66.155893,137.392348,7.195921,23.306375,60.648209,130.615586,0.130911
0.050000,67.478661,137.573415,8.531024,26.702059,67.913681,145.309438,0.140575
0.050000,68.984399,137.792333,10.052593,30.431386,74.586543,133.457242,0.147490
0.050000,70.688023,138.048846,11.775421,34.456549,80.503256,118.334249,0.150617
0.050000,72.606501,138.339110,13.715732,38.806226,86.993534,129.805572,0.148817
0.050000,74.759247,138.654174,15.891412,43.513592,94.147322,143.075757,0.140836
0.050000,77.164292,138.977475,18.318089,48.533553,100.399224,125.038028,0.125316
0.050000,79.837077,139.282657,21.008242,53.803046,105.389850,99.812522,0.100865
0.050000,82.792398,139.531860,23.974050,59.316173,110.262549,97.453983,0.066107
0.050000,86.040728,139.673658,27.225474,65.028468,114.245899,79.667007,0.019823
0.050000,89.581700,139.642352,30.766584,70.822203,115.874702,32.576049,6.244390
0.050000,93.394713,139.360831,34.589976,76.467847,112.912882,-59.236393,6.173435
0.050000,97.429120,138.749698,38.670407,81.608622,102.815493,-201.947780,6.091395
0.050000,102.552208,137.314718,43.990671,106.405272,495.933005,7862.350245,5.923440
0.050000,107.954253,134.618494,50.028196,120.750509,286.904748,-4180.565139,5.715778
0.050000,112.765540,130.778772,56.183839,123.112863,47.247068,-4793.153605,5.505216
0.050000,116.505096,126.342972,61.985615,116.035515,-141.546953,-3775.880420,5.324643
0.050000,119.202530,121.861453,67.216309,104.613880,-228.432713,-1737.715196,5.188810
0.050000,121.143320,117.599851,71.899034,93.654505,-219.187484,184.904572,5.095472
0.050000,122.601510,113.627205,76.130847,84.636245,-180.365203,776.445623,5.037212
0.050000,123.772160,109.949557,79.990318,77.189428,-148.936351,628.577031,5.007957
0.050000,124.785681,106.575647,83.513171,70.457064,-134.647276,285.781505,5.004659
0.050000,125.727773,103.543118,86.688666,63.509896,-138.943354,-85.921554,5.027541
0.050000,126.645552,100.932673,89.455748,55.341640,-163.365132,-488.435557,5.080358
0.050000,127.533951,98.875239,91.696794,44.820919,-210.414412,-940.985614,5.170835
0.050000,128.302042,97.526509,93.248901,31.042146,-275.575460,-1303.220950,5.309773
0.050000,128.775244,96.933481,94.007585,15.173680,-317.369327,-835.877341,5.503914
0.050000,128.908622,96.821009,94.182056,3.489406,-233.685480,1673.676932,5.738105
0.050000,129.092477,96.744890,94.381045,3.979780,9.807485,4869.859304,5.969056
0.050000,129.822758,96.596362,95.126276,14.904639,218.497180,4173.793903,6.159594
0.050000,131.205094,96.536441,96.509911,27.672692,255.361071,737.277814,0.019588
0.050000,133.079404,96.680695,98.389763,37.597046,198.487074,-1137.479935,0.124901
0.050000,135.161912,97.029107,100.501216,42.229043,92.639928,-2116.942930,0.206206
0.050000,137.073787,97.518519,102.474738,39.470455,-55.171759,-2956.233722,0.297273
0.050000,138.802186,98.138719,104.311042,36.726070,-54.887693,5.681304,0.393349
0.050000,140.378583,98.884357,106.054890,34.876955,-36.982301,358.107843,0.490780
0.050000,141.841641,99.758203,107.759044,34.083099,-15.877111,422.103800,0.585350
0.050000,143.224913,100.766955,109.471067,34.240457,3.147155,380.485333,0.673207
0.050000,144.549222,101.913224,111.222560,35.029855,15.787965,252.816196,0.751616
0.050000,145.822670,103.189488,113.025480,36.058402,20.570929,95.659282,0.819222
0.050000,147.045302,104.577151,114.874923,36.988847,18.608898,-39.240634,0.875853
0.050000,148.214036,106.049496,116.754746,37.596477,12.152610,-129.125751,0.922122
0.050000,149.325653,107.575765,118.642917,37.763413,3.338722,-176.277767,0.959058
0.050000,150.377833,109.124496,120.515256,37.446780,-6.332672,-193.427884,0.987840
0.050000,151.369036,110.665576,122.347579,36.646462,-16.006351,-193.473573,1.009646
0.050000,152.298681,112.172436,124.118135,35.411119,-24.706857,-174.010109,1.025599
0.050000,153.167575,113.624223,125.810076,33.838816,-31.446075,-134.784376,1.036734
0.050000,153.976821,115.004777,127.410328,32.005050,-36.675308,-104.584663,1.043968
0.050000,154.726677,116.300687,128.907548,29.944391,-41.213182,-90.757479,1.048097
0.050000,155.417305,117.502216,130.293420,27.717435,-44.539120,-66.518758,1.049816
0.050000,156.049953,118.604866,131.564671,25.425021,-45.848279,-26.183164,1.049727
0.050000,156.626438,119.607841,132.721516,23.136914,-45.762139,1.722782,1.048330
0.050000,157.148339,120.511940,133.765441,20.878482,-45.168651,11.869773,1.046039
0.050000,157.617160,121.319255,134.699009,18.671373,-44.142181,20.529405,1.043190
0.050000,158.034469,122.032917,135.525726,16.534331,-42.740828,28.027056,1.040054
0.050000,158.402012,122.656900,136.249910,14.483678,-41.013069,34.555169,1.036845
0.050000,158.721783,123.195863,136.876595,12.533715,-38.999251,40.276366,1.033726
0.050000,158.996079,123.655012,137.411437,10.696833,-36.737642,45.232184,1.030817
0.050000,159.227515,124.039992,137.860628,8.983828,-34.260108,49.550686,1.028200
0.050000,159.419026,124.356798,138.230820,7.403839,-31.599777,53.206611,1.025926
0.050000,159.573843,124.611696,138.529050,5.964599,-28.784795,56.299640,1.024017
0.050000,159.695465,124.811163,138.762672,4.672439,-25.843201,58.831886,1.022474
0.050000,159.787620,124.961837,138.939294,3.532438,-22.800013,60.863750,1.021280
0.050000,159.854219,125.070475,139.066721,2.548544,-19.677889,62.442486,1.020403
0.050000,159.899318,125.143919,139.152907,1.723707,-16.496741,63.622963,1.019804
0.050000,159.927073,125.189069,139.205905,1.059972,-13.274702,64.440774,1.019432
0.050000,159.941709,125.212863,139.233840,0.558703,-10.025367,64.986693,1.019236
0.050000,159.947492,125.222260,139.244874,0.220672,-6.760622,65.294912,1.019158
0.050000,159.948704,125.224231,139.247188,0.046271,-3.488029,65.451860,1.019141
0.050000,159.948704,125.224231,139.247188,0.000000,-0.925418,51.252211,1.019141
