dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,58.980151,108.329800,0.003682,0.147282,2.945643,58.912857,6.282501
0.050000,58.984596,108.329798,0.008126,0.088885,-1.167935,-82.271564,6.282812
0.050000,59.010088,108.329800,0.033619,0.509857,8.419423,191.747158,0.000328
0.050000,59.086695,108.329873,0.110226,1.532132,20.445518,240.521905,0.001569
0.050000,59.206253,108.330176,0.229785,2.391176,17.180882,-65.292724,0.003500
0.050000,59.378116,108.331015,0.401649,3.437293,20.922331,74.828991,0.006258
0.050000,59.611464,108.332909,0.635005,4.667120,24.596546,73.484287,0.009973
0.050000,59.915236,108.336667,0.938800,6.075897,28.175538,71.579844,0.014755
0.050000,60.298037,108.343455,1.321662,7.657229,31.626641,69.022063,0.020693
0.050000,60.768038,108.354870,1.791801,9.402789,34.911194,65.691057,0.027846
0.050000,61.332849,108.372985,2.356903,11.302035,37.984929,61.474700,0.036238
0.050000,61.999384,108.400374,3.024000,13.341947,40.798229,56.266015,0.045844
0.050000,62.773704,108.440095,3.799338,15.506759,43.296238,49.960169,0.056586
0.050000,63.660858,108.495619,4.688228,17.777792,45.420675,42.488740,0.068320
0.050000,64.664722,108.570691,5.694895,20.133346,47.111072,33.807942,0.080826
0.050000,65.787853,108.669109,6.822330,22.548692,48.306921,23.916982,0.093797
0.050000,67.031362,108.794421,8.072137,24.996142,48.948990,12.841381,0.106829
0.050000,68.394824,108.949531,9.444393,27.445135,48.979865,0.617500,0.119410
0.050000,69.876217,109.136212,10.937503,29.862185,48.340999,-12.777330,0.130911
0.050000,71.471877,109.354552,12.548031,32.210569,46.967690,-27.466165,0.140575
0.050000,73.172637,109.601755,14.266663,34.372629,43.241188,-74.530038,0.147490
0.050000,74.964388,109.871502,16.078605,36.238852,37.324458,-118.334607,0.150617
0.050000,76.832152,110.154116,17.967629,37.780479,30.832538,-129.838408,0.148817
0.050000,78.759809,110.436351,19.915839,38.964189,23.674214,-143.166473,0.140836
0.050000,80.726465,110.700966,21.900217,39.687564,14.467489,-184.134510,0.125316
0.050000,82.706853,110.927509,23.893520,39.866059,3.569906,-217.951643,0.100865
0.050000,84.675072,111.094112,25.868778,39.505160,-7.217975,-215.757622,0.066107
0.050000,86.605640,111.179257,27.801222,38.648892,-17.125369,-198.147885,0.019823
0.050000,88.476308,111.163796,29.671955,37.414648,-24.684881,-151.190243,6.244390
0.050000,90.273106,111.032301,31.473557,36.032053,-27.651893,-59.340231,6.173435
0.050000,91.996539,110.772259,33.216498,34.858823,-23.464606,83.745727,6.091395
0.050000,92.519193,110.639100,33.755849,10.787010,-481.436262,-9159.433109,5.923440
0.050000,92.637003,110.584521,33.885687,2.596766,-163.804881,6352.627607,5.715778
0.050000,92.763262,110.477076,34.051476,3.315767,14.380027,3563.698158,5.505216
