dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,53.844787,130.727123,0.005560,0.556000,27.800001,1390.000028,0.001145
0.020000,53.846416,130.727125,0.007189,0.081433,-23.728352,-2576.417616,0.001015
0.020000,53.849672,130.727127,0.010445,0.162825,4.069582,1389.896686,0.000754
0.020000,53.854555,130.727130,0.015328,0.244134,4.065444,-0.206882,0.000364
0.020000,53.887877,130.727129,0.048650,1.666106,71.098619,3351.658734,6.283028
0.020000,54.007207,130.727071,0.167980,5.966502,215.019808,7196.059457,6.282378
0.020000,54.150392,130.726900,0.311166,7.159276,59.638701,-7769.055374,6.281599
0.020000,54.317428,130.726559,0.478201,8.351785,59.625468,-0.661650,6.280690
0.020000,54.508312,130.725984,0.669086,9.544235,59.622471,-0.149847,6.279653
0.020000,54.723040,130.725100,0.883816,10.736489,59.612727,-0.487186,6.278487
0.020000,54.961605,130.723825,1.122384,11.928416,59.596344,-0.819158,6.277194
0.020000,55.223996,130.722066,1.384782,13.119885,59.573443,-1.145048,6.275773
0.020000,55.510202,130.719723,1.670997,14.310768,59.544160,-1.464154,6.274226
0.020000,55.820211,130.716686,1.981021,15.501176,59.520403,-1.187822,6.272554
0.020000,56.154020,130.712837,2.314852,16.691583,59.520329,-0.003722,6.270756
0.020000,56.511607,130.708049,2.672471,17.880940,59.467875,-2.622693,6.268835
0.020000,56.892957,130.702186,3.053866,19.069750,59.440492,-1.369161,6.266790
0.020000,57.298058,130.695104,3.459029,20.258160,59.420470,-1.001067,6.264623
0.020000,57.726892,130.686653,3.887946,21.445849,59.384455,-1.800793,6.262336
0.020000,58.179438,130.676671,4.340602,22.632783,59.346704,-1.887528,6.259928
0.020000,58.655674,130.664990,4.816981,23.818973,59.309495,-1.860465,6.257402
0.020000,59.155572,130.651437,5.317063,25.004093,59.256029,-2.673275,6.254759
0.020000,59.679104,130.635827,5.840828,26.188253,59.207977,-2.402604,6.252000
0.020000,60.226252,130.617971,6.388267,27.371950,59.184843,-1.156690,6.249126
0.020000,60.796974,130.597672,6.959350,28.554128,59.108909,-3.796713,6.246140
0.020000,61.391237,130.574725,7.554056,29.735287,59.057967,-2.547081,6.243044
0.020000,62.009007,130.548921,8.172365,30.915454,59.008325,-2.482107,6.239838
0.020000,62.650245,130.520043,8.814253,32.094412,58.947915,-3.020540,6.236525
0.020000,63.314909,130.487868,9.479695,33.272118,58.885290,-3.131207,6.233108
0.020000,64.002951,130.452168,10.168663,34.448371,58.812669,-3.631090,6.229587
0.020000,64.714319,130.412711,10.881124,35.623062,58.734526,-3.907125,6.225966
0.020000,65.448962,130.369257,11.617051,36.796339,58.663885,-3.532042,6.222247
0.020000,66.206826,130.321564,12.376414,37.968163,58.591167,-3.635927,6.218432
0.020000,66.987850,130.269386,13.159179,39.138240,58.503835,-4.366564,6.214525
0.020000,67.791968,130.212471,13.965309,40.306491,58.412583,-4.562634,6.210527
0.020000,68.619115,130.150565,14.794769,41.473029,58.326905,-4.283891,6.206442
0.020000,69.469221,130.083412,15.647523,42.637707,58.233887,-4.650886,6.202273
0.020000,70.342210,130.010752,16.523531,43.800388,58.134055,-4.991591,6.198023
0.020000,71.238002,129.932323,17.422750,44.960947,58.027927,-5.306429,6.193695
0.020000,72.156513,129.847864,18.345135,46.119267,57.916008,-5.595930,6.189293
0.020000,73.097662,129.757109,19.290650,47.275724,57.822843,-4.658257,6.184820
0.020000,74.061349,129.659795,20.259238,48.429417,57.684672,-6.908567,6.180279
0.020000,75.047488,129.555658,21.250860,49.581093,57.583790,-5.044063,6.175676
0.020000,76.055975,129.444433,22.265462,50.730094,57.450043,-6.687394,6.171013
0.020000,77.086707,129.325859,23.302993,51.876539,57.322250,-6.389627,6.166296
0.020000,78.139580,129.199676,24.363400,53.020356,57.190859,-6.569558,6.161527
0.020000,79.214482,129.065623,25.446628,54.161430,57.053727,-6.856617,6.156712
0.020000,80.311300,128.923447,26.552622,55.299705,56.913706,-7.001035,6.151855
0.020000,81.429918,128.772896,27.681326,56.435188,56.774146,-6.977976,6.146960
0.020000,82.570211,128.613721,28.832676,57.567483,56.614798,-7.967439,6.142032
0.020000,83.732062,128.445680,30.006615,58.696978,56.474744,-7.002690,6.137077
0.020000,84.915339,128.268535,31.203079,59.823162,56.309194,-8.277468,6.132099
0.020000,86.119914,128.082056,32.422003,60.946198,56.151802,-7.869599,6.127104
0.020000,87.345655,127.886016,33.663322,62.065983,55.989227,-8.128782,6.122096
0.020000,88.592430,127.680199,34.926971,63.182426,55.822140,-8.354348,6.117080
0.020000,89.860101,127.464394,36.212880,64.295449,55.651160,-8.548975,6.112064
0.020000,91.148531,127.238401,37.520980,65.404986,55.476852,-8.715424,6.107051
0.020000,92.457582,127.002026,38.851200,66.511013,55.301362,-8.774487,6.102047
0.020000,93.787113,126.755089,40.203468,67.613433,55.120995,-9.018344,6.097059
0.020000,95.136983,126.497416,41.577713,68.712203,54.938505,-9.124505,6.092092
0.020000,96.507053,126.228846,42.973858,69.807261,54.752900,-9.280258,6.087153
0.020000,97.897182,125.949230,44.391829,70.898569,54.565389,-9.375549,6.082246
0.020000,99.307229,125.658431,45.831550,71.986068,54.374943,-9.522306,6.077379
0.020000,100.737056,125.356322,47.292945,73.069710,54.182095,-9.642411,6.072557
0.020000,102.186523,125.042793,48.775934,74.149456,53.987299,-9.739768,6.067786
0.020000,103.655496,124.717746,50.280439,75.225274,53.790934,-9.818246,6.063074
0.020000,105.143840,124.381098,51.806382,76.297114,53.592007,-9.946369,6.058425
0.020000,106.651423,124.032779,53.353680,77.364928,53.390682,-10.066260,6.053848
0.020000,108.178117,123.672737,54.922254,78.428708,53.189009,-10.083634,6.049347
0.020000,109.723797,123.300934,56.512023,79.488421,52.985652,-10.167860,6.044930
0.020000,111.288341,122.917350,58.122903,80.544009,52.779388,-10.313196,6.040604
0.020000,112.871632,122.521980,59.754812,81.595446,52.571843,-10.377223,6.036374
0.020000,114.473557,122.114840,61.407666,82.642711,52.363258,-10.429292,6.032248
0.020000,116.094009,121.695960,63.081382,83.685787,52.153780,-10.473863,6.028233
0.020000,117.732886,121.265391,64.775875,84.724656,51.943477,-10.515184,6.024334
0.020000,119.390091,120.823202,66.491060,85.759259,51.730140,-10.666851,6.020559
0.020000,121.065533,120.369481,68.226851,86.789551,51.514579,-10.778010,6.016915
0.020000,122.759130,119.904338,69.983162,87.815556,51.300278,-10.715068,6.013408
0.020000,124.470805,119.427902,71.759907,88.837230,51.083673,-10.830257,6.010046
0.020000,126.200487,118.940322,73.556997,89.854505,50.863752,-10.996065,6.006836
0.020000,127.948113,118.441771,75.374344,90.867358,50.642663,-11.054457,6.003784
0.020000,129.713629,117.932443,77.211859,91.875763,50.420276,-11.119344,6.000898
