dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,53.873414,105.727139,0.005560,0.556000,27.800001,1390.000028,0.001145
0.020000,53.871786,105.727137,0.007189,0.081433,-23.728352,-2576.417616,0.001015
0.020000,53.868529,105.727135,0.010445,0.162825,4.069582,1389.896686,0.000754
0.020000,53.863646,105.727132,0.015328,0.244134,4.065444,-0.206882,0.000364
0.020000,53.883955,105.727129,0.035637,1.015447,38.565655,1725.010511,6.283028
0.020000,53.987030,105.727079,0.138711,5.153733,206.914323,8417.433415,6.282378
0.020000,54.110725,105.726931,0.262406,6.184747,51.550688,-7768.181726,6.281599
0.020000,54.255043,105.726637,0.406725,7.215930,51.559145,0.422852,6.280690
0.020000,54.419993,105.726140,0.571676,8.247528,51.579931,1.039275,6.279653
0.020000,54.605581,105.725376,0.757265,9.279497,51.598452,0.926043,6.278487
0.020000,54.811814,105.724273,0.963501,10.311795,51.614885,0.821671,6.277194
0.020000,55.038697,105.722753,1.190389,11.344384,51.629429,0.727217,6.275773
0.020000,55.286233,105.720726,1.437934,12.377230,51.642304,0.643709,6.274226
0.020000,55.554431,105.718099,1.706144,13.410508,51.663921,1.080884,6.272554
0.020000,55.843306,105.714768,1.995038,14.444711,51.710130,2.310413,6.270756
0.020000,56.152858,105.710623,2.304618,15.479016,51.715244,0.255706,6.268835
0.020000,56.483098,105.705546,2.634897,16.513944,51.746413,1.558462,6.266790
0.020000,56.834039,105.699411,2.985891,17.549714,51.788482,2.103441,6.264623
0.020000,57.205689,105.692086,3.357614,18.586141,51.821377,1.644744,6.262336
0.020000,57.598060,105.683432,3.750080,19.623293,51.857601,1.811224,6.259928
0.020000,58.011161,105.673300,4.163306,20.661279,51.899297,2.084781,6.257402
0.020000,58.445000,105.661537,4.597304,21.699920,51.932059,1.638100,6.254759
0.020000,58.899586,105.647983,5.052092,22.739417,51.974851,2.139595,6.252000
0.020000,59.374940,105.632470,5.527699,23.780314,52.044816,3.498268,6.249126
0.020000,59.871062,105.614824,6.024135,24.821806,52.074624,1.490379,6.246140
0.020000,60.387966,105.594865,6.541424,25.864446,52.132010,2.869316,6.243044
0.020000,60.925664,105.572405,7.079591,26.908378,52.196598,3.229390,6.239838
0.020000,61.484169,105.547252,7.638662,27.953539,52.258063,3.073273,6.236525
0.020000,62.063491,105.519208,8.218663,29.000020,52.324018,3.297743,6.233108
0.020000,62.663639,105.488069,8.819618,30.047777,52.387844,3.191283,6.229587
0.020000,63.284622,105.453625,9.441555,31.096848,52.453592,3.287430,6.225966
0.020000,63.926450,105.415661,10.084505,32.147504,52.532796,3.960161,6.222247
0.020000,64.589136,105.373958,10.748502,33.199850,52.617265,4.223473,6.218432
0.020000,65.272688,105.328291,11.433578,34.253773,52.696175,3.945518,6.214525
0.020000,65.977113,105.278432,12.139765,35.309353,52.778986,4.140533,6.210527
0.020000,66.702421,105.224148,12.867101,36.366836,52.874147,4.758067,6.206442
0.020000,67.448621,105.165202,13.615626,37.426245,52.970468,4.816010,6.202273
0.020000,68.215721,105.101355,14.385379,38.487615,53.068490,4.901111,6.198023
0.020000,69.003726,105.032363,15.176398,39.550990,53.168737,5.012339,6.193695
0.020000,69.812642,104.957981,15.988727,40.616424,53.271707,5.148530,6.189293
0.020000,70.642481,104.877959,16.822415,41.684406,53.399093,6.369291,6.184820
0.020000,71.493240,104.792049,17.677501,42.754300,53.494725,4.781626,6.180279
